transcription,path_to_audio,speaker_id,native_language,gender,unispeech_large_transcriptions
there was no forecasting this strange girls processes,data/l2arctic/LXC/wav/arctic_a0284.wav,LXC,Chinese,F,there was no forcasting thi stange gols prosess
but what they want with your toothbrush is more than i can imagine,data/l2arctic/LXC/wav/arctic_a0285.wav,LXC,Chinese,F,but what they want with your tooth brash is more than i can image eererer
give them their choice between a fine or an official whipping,data/l2arctic/LXC/wav/arctic_a0286.wav,LXC,Chinese,F,eve them there cise beteng a fin or an  official weping
keep an eye on him,data/l2arctic/LXC/wav/arctic_a0287.wav,LXC,Chinese,F,kep an eieye on he
those are my oysters he said at last,data/l2arctic/LXC/wav/arctic_a0288.wav,LXC,Chinese,F,those are my oysters he said at last
one by one the boys were captured,data/l2arctic/LXC/wav/arctic_a0290.wav,LXC,Chinese,F,wonby wongle boys wa a capshurt
the weeks had gone by and no overt acts has been attempted,data/l2arctic/LXC/wav/arctic_a0291.wav,LXC,Chinese,F,the weks had gon  by and a no overt ecs had ben atempted
here in the midmorning the first casualty occurred,data/l2arctic/LXC/wav/arctic_a0292.wav,LXC,Chinese,F,ear in the mid morning the fist casuaty occurd
they were deep in the primeval forest,data/l2arctic/LXC/wav/arctic_a0293.wav,LXC,Chinese,F,they were dep in the prime evel forest
he had been foiled in his attempt to escape,data/l2arctic/LXC/wav/arctic_a0294.wav,LXC,Chinese,F,he had ben fold in   his attmt to eskap
and twenty men could hold it with spears and arrows,data/l2arctic/LXC/wav/arctic_a0295.wav,LXC,Chinese,F,and twentig man cood hod eate wishspirs and arows
bassett was a fastidious man,data/l2arctic/LXC/wav/arctic_a0296.wav,LXC,Chinese,F,basete was a fastidous man
theres a big english general right now whose name is roberts,data/l2arctic/LXC/wav/arctic_a0297.wav,LXC,Chinese,F,theres a big inglish general riht now whos name is roborts  r
this tacit promise of continued acquaintance gave saxon a little joy thrill,data/l2arctic/LXC/wav/arctic_a0298.wav,LXC,Chinese,F,lhes tasid promise of continued aquintans give secxon a lital   goysthrel
i tell you i am disgusted with this adventure tomfoolery and rot,data/l2arctic/LXC/wav/arctic_a0299.wav,LXC,Chinese,F,itilyou im disgusted with   les addventuor  thomfolera and e rood
from my earliest recollection my sleep was a period of terror,data/l2arctic/LXC/wav/arctic_a0300.wav,LXC,Chinese,F,from my erlst  recolection my slep was a puriod of teror    ea
but all my dreams violated this law,data/l2arctic/LXC/wav/arctic_a0301.wav,LXC,Chinese,F,but all my jems vilated this law
it is very plausible to such people a most convincing hypothesis,data/l2arctic/LXC/wav/arctic_a0302.wav,LXC,Chinese,F,its very plaossible to sach people  almost convesing hypothesi
but they make the mistake of ignoring their own duality,data/l2arctic/LXC/wav/arctic_a0303.wav,LXC,Chinese,F,butthey make a mistake of ignoring their  odarlity
i graduated last of my class,data/l2arctic/LXC/wav/arctic_a0304.wav,LXC,Chinese,F,i graduated lost of my clas
they had no fixed values to be altered by adjectives and adverbs,data/l2arctic/LXC/wav/arctic_a0305.wav,LXC,Chinese,F,the had no fixe values to be oultored by  abgectives and the ad worbs
very early in my life i separated from my mother,data/l2arctic/LXC/wav/arctic_a0307.wav,LXC,Chinese,F,verry aly in my life i seperated from my mother eaa
his infernal chattering worries me even now as i think of it,data/l2arctic/LXC/wav/arctic_a0308.wav,LXC,Chinese,F,his infernal chattering wores me even now as i think of i
white leghorns said missus mortimer,data/l2arctic/LXC/wav/arctic_a0309.wav,LXC,Chinese,F,wite lagons said missmoth timer
massage under tension was the cryptic reply,data/l2arctic/LXC/wav/arctic_a0310.wav,LXC,Chinese,F,message on the tension was the cripti repliy
therefore hurrah for the game,data/l2arctic/LXC/wav/arctic_a0311.wav,LXC,Chinese,F,they ofol hirase for a game
it lived in perpetual apprehension of that quarter of the compass,data/l2arctic/LXC/wav/arctic_a0312.wav,LXC,Chinese,F,it lived in perpentu aprehantion of that cator of the compes
broken tooth yelled with fright and pain,data/l2arctic/LXC/wav/arctic_a0313.wav,LXC,Chinese,F,brokoen tosh eld with frit and pane
thus was momentum gained in the younger world,data/l2arctic/LXC/wav/arctic_a0314.wav,LXC,Chinese,F,thos was momen tom gained in the younger wo
saxon waited for she knew a fresh idea had struck billy,data/l2arctic/LXC/wav/arctic_a0315.wav,LXC,Chinese,F,seacson wated for she neow a fresh idea had struck bily
we had been chased by them ourselves more than once,data/l2arctic/LXC/wav/arctic_a0316.wav,LXC,Chinese,F,we had been chased by them ouurselvesmore than wonse
he was a wise hyena,data/l2arctic/LXC/wav/arctic_a0317.wav,LXC,Chinese,F,he was a wise  hanior
production is doubling and quadrupling upon itself,data/l2arctic/LXC/wav/arctic_a0318.wav,LXC,Chinese,F,prodection is dobling and the  cajabling  opon it self
and the edinburgh evening news says with editorial gloom,data/l2arctic/LXC/wav/arctic_a0319.wav,LXC,Chinese,F,an the  eadienburg evening noas with    aditorial goloo
with my strength i slammed it full into red eyes face,data/l2arctic/LXC/wav/arctic_a0320.wav,LXC,Chinese,F,with my strenth ie slimed it fol intoread eyes fase
the log on which lop ear was lying got adrift,data/l2arctic/LXC/wav/arctic_a0321.wav,LXC,Chinese,F,the log on which lobeel was liing gat aceved
this is a common experience with all of us,data/l2arctic/LXC/wav/arctic_a0322.wav,LXC,Chinese,F,this is a common xperense with all of us
it was not red eyes way to forego revenge so easily,data/l2arctic/LXC/wav/arctic_a0324.wav,LXC,Chinese,F,it was not read ise wa too follgo revange so easily
whiz zip bang lop ear screamed with sudden anguish,data/l2arctic/LXC/wav/arctic_a0325.wav,LXC,Chinese,F,wes zebunke lob al scremed with sudeon anguish
cherokee identified himself with his instinct,data/l2arctic/LXC/wav/arctic_a0326.wav,LXC,Chinese,F,choroke identified himself with his instinkt
they were less stooped than we less springy in their movements,data/l2arctic/LXC/wav/arctic_a0327.wav,LXC,Chinese,F,they wer less stoped than we   lesbrinning in the movements
the fire people like ourselves lived in caves,data/l2arctic/LXC/wav/arctic_a0328.wav,LXC,Chinese,F,the fire people likck ouurselves lived in caves
ah indeed,data/l2arctic/LXC/wav/arctic_a0329.wav,LXC,Chinese,F,a  inded
red eye never committed a more outrageous deed,data/l2arctic/LXC/wav/arctic_a0330.wav,LXC,Chinese,F,read i never commited a mor aoi teggers ded
poor little crooked leg was terribly scared,data/l2arctic/LXC/wav/arctic_a0331.wav,LXC,Chinese,F,por lito crooked lacg was teribly  sgaled
unconsciously our yells and exclamations yielded to this rhythm,data/l2arctic/LXC/wav/arctic_a0332.wav,LXC,Chinese,F,unconsiously ouer years and eexlamations yelded to his riythm y
this is no place for you,data/l2arctic/LXC/wav/arctic_a0333.wav,LXC,Chinese,F,this is no plase for you
hell knock you off a few sticks in no time,data/l2arctic/LXC/wav/arctic_a0334.wav,LXC,Chinese,F,he well nock you off a fiu stiks in no time
red eye swung back and forth on the branch farther down,data/l2arctic/LXC/wav/arctic_a0335.wav,LXC,Chinese,F,red eyes wane backtand the fort on a branch father tongk
so unexpected was my charge that i knocked him off his feet,data/l2arctic/LXC/wav/arctic_a0336.wav,LXC,Chinese,F,so unspected was my tathe that iad not kam off his fet
encouraged by my conduct big face became a sudden ally,data/l2arctic/LXC/wav/arctic_a0337.wav,LXC,Chinese,F,in cach d bime my conduct big fase became a souddon aliy
the fighting had now become intermittent,data/l2arctic/LXC/wav/arctic_a0338.wav,LXC,Chinese,F,the finding had now became  intermitant
they obeyed him and went here and there at his commands,data/l2arctic/LXC/wav/arctic_a0339.wav,LXC,Chinese,F,they obate him and he wen heaneyr at his comonds
why doggone you all shake again,data/l2arctic/LXC/wav/arctic_a0341.wav,LXC,Chinese,F,whytogong you all  sheak again
seventeen no eighteen days ago,data/l2arctic/LXC/wav/arctic_a0342.wav,LXC,Chinese,F,seventen no eten days ago
you mean for this state general alberta,data/l2arctic/LXC/wav/arctic_a0343.wav,LXC,Chinese,F,you mean for this tdate geneora alberter
he seemed to fill it with his tremendous vitality,data/l2arctic/LXC/wav/arctic_a0344.wav,LXC,Chinese,F,he semed to fel it wese tcemdes viteility
she was trying to pass the apron string around him,data/l2arctic/LXC/wav/arctic_a0345.wav,LXC,Chinese,F,she was trying to pas the aperonstring arong him
get down and dig in,data/l2arctic/LXC/wav/arctic_a0346.wav,LXC,Chinese,F,get don and deg ing
they are greatly delighted with anything that is bright or giveth a sound,data/l2arctic/LXC/wav/arctic_a0347.wav,LXC,Chinese,F,they are greatly delited with anything let is brit or  gives a thon
they only lifted seven hundred and fifty,data/l2arctic/LXC/wav/arctic_a0348.wav,LXC,Chinese,F,they only live to d even hondred and fifte
it was simple in its way and no virtue of his,data/l2arctic/LXC/wav/arctic_a0349.wav,LXC,Chinese,F,it was simbl in its way and a no virtue of es
is that pat hanrahans mug looking hungry and willing,data/l2arctic/LXC/wav/arctic_a0350.wav,LXC,Chinese,F,is that padtharhans mog loking hongue in the wilding
it was more like sugar,data/l2arctic/LXC/wav/arctic_a0351.wav,LXC,Chinese,F,it was more like shoger rr
im sure going along with you all elijah,data/l2arctic/LXC/wav/arctic_a0352.wav,LXC,Chinese,F,am sure going along whith your  al aty dund
here the explosion of mirth drowned him out,data/l2arctic/LXC/wav/arctic_a0353.wav,LXC,Chinese,F,hear the explosion of mois doned him out
fresh meat they failed to obtain,data/l2arctic/LXC/wav/arctic_a0354.wav,LXC,Chinese,F,fresh met they faile to obtin
a burst of laughter was his reward,data/l2arctic/LXC/wav/arctic_a0355.wav,LXC,Chinese,F,a birst of lactor was his reword
you dont catch me at any such foolishness,data/l2arctic/LXC/wav/arctic_a0356.wav,LXC,Chinese,F,you dont cach me at any such folish ness
they continued valiantly to lie but the truth continued to outrun them,data/l2arctic/LXC/wav/arctic_a0358.wav,LXC,Chinese,F,they continued valently to di but the toes continued to out ron them
earth and gravel seemed to fill the pan,data/l2arctic/LXC/wav/arctic_a0359.wav,LXC,Chinese,F,eth and the grevo semd to fill he pan
but he no longer cared quite so much for that form of diversion,data/l2arctic/LXC/wav/arctic_a0360.wav,LXC,Chinese,F,but he nolonger cald quite so much for that form of  diversion
but he didnt broach it preferring to mature it carefully,data/l2arctic/LXC/wav/arctic_a0361.wav,LXC,Chinese,F,but he didnt bwach itprefering to mater and  aid careflly
nope not the slightest idea,data/l2arctic/LXC/wav/arctic_a0362.wav,LXC,Chinese,F,nopnot the slitest idea
its not an attempt to smash the market,data/l2arctic/LXC/wav/arctic_a0363.wav,LXC,Chinese,F,its not an atemt to sbmach the market
we have plenty of capital ourselves and yet we want more,data/l2arctic/LXC/wav/arctic_a0364.wav,LXC,Chinese,F,we have plenty of capitl ourselvesand yet we wont mor
these rumors may even originate with us,data/l2arctic/LXC/wav/arctic_a0365.wav,LXC,Chinese,F,these looumers may ever originate with us
a wildly exciting time was his during the week preceding thursday the eighteenth,data/l2arctic/LXC/wav/arctic_a0366.wav,LXC,Chinese,F,a wildly exiting time was hisz during a wek preseding thirsday the etenth
there is not an iota of truth in it certainly not,data/l2arctic/LXC/wav/arctic_a0367.wav,LXC,Chinese,F,thees not an iota of juse ing eit sertnly not
i just do appreciate it without being able to express my feelings,data/l2arctic/LXC/wav/arctic_a0368.wav,LXC,Chinese,F,i just do appreciate without being able to express my feelings
in partnership with daylight the pair raided the san jose interurban,data/l2arctic/LXC/wav/arctic_a0369.wav,LXC,Chinese,F,inpatnorship wit daylit the pai readeede ta sanguous interrapn
he saw all men in the business game doing this,data/l2arctic/LXC/wav/arctic_a0370.wav,LXC,Chinese,F,he saww all mane in the bisnous game doing lis
it issued a rate of forty two dollars a car on charcoal,data/l2arctic/LXC/wav/arctic_a0371.wav,LXC,Chinese,F,it isoued a rad of forty to dollars a ca on chaco
he saw only the effect in a general sketchy a way,data/l2arctic/LXC/wav/arctic_a0372.wav,LXC,Chinese,F,he saw only the effect in a general scaching away
points of view new ideas life,data/l2arctic/LXC/wav/arctic_a0373.wav,LXC,Chinese,F,point of view new ideas life
the butchers and meat cutters refused to handle meat destined for unfair restaurants,data/l2arctic/LXC/wav/arctic_a0375.wav,LXC,Chinese,F,the birthes and midcatos reveulesd to handle meedistint for unfil rest rons
your price my son is just about thirty per week,data/l2arctic/LXC/wav/arctic_a0376.wav,LXC,Chinese,F,youre prise my son  is gjust about theirten perr week
this sound did not disturb the hush and awe of the place,data/l2arctic/LXC/wav/arctic_a0377.wav,LXC,Chinese,F,lesond didnt dstobe the hash andhe ol of theplase
thats why its boundaries are all gouged and jagged,data/l2arctic/LXC/wav/arctic_a0378.wav,LXC,Chinese,F,tlhats why its bundres are agouched and jak da
how old are you daddy,data/l2arctic/LXC/wav/arctic_a0379.wav,LXC,Chinese,F,how old ar yo  dady
but in the canyons water was plentiful and also a luxuriant forest growth,data/l2arctic/LXC/wav/arctic_a0380.wav,LXC,Chinese,F,ba inecens water was plentyful and dhe allso a luxuren forest gros  oooo
my names ferguson,data/l2arctic/LXC/wav/arctic_a0381.wav,LXC,Chinese,F,my name es fgonse
daylight found himself charmed and made curious by the little man,data/l2arctic/LXC/wav/arctic_a0382.wav,LXC,Chinese,F,delihte found himself tomed and dhe mad kurous by l a littl man
to his surprise her answer was flat and uncompromising,data/l2arctic/LXC/wav/arctic_a0383.wav,LXC,Chinese,F,to heis surprise her anser was flat and  uncompromasing
the farmer works the soil and produces grain,data/l2arctic/LXC/wav/arctic_a0384.wav,LXC,Chinese,F,the farmer woked the sol andthe producs scren
thats what carnegie did,data/l2arctic/LXC/wav/arctic_a0385.wav,LXC,Chinese,F,lats what  canedin ded
i cant argue with you and you know that,data/l2arctic/LXC/wav/arctic_a0386.wav,LXC,Chinese,F,i can argu with you and you now that
bob growing disgusted turned back suddenly and attempted to pass mab,data/l2arctic/LXC/wav/arctic_a0387.wav,LXC,Chinese,F,bob growing disgusted tund back sudonly and attempt to pas map
it was my idea a tee,data/l2arctic/LXC/wav/arctic_a0388.wav,LXC,Chinese,F,it was my idea a te
mab she said,data/l2arctic/LXC/wav/arctic_a0389.wav,LXC,Chinese,F,map she said
ill go over tomorrow afternoon,data/l2arctic/LXC/wav/arctic_a0390.wav,LXC,Chinese,F,ill go over tomoro aftttorno
there is that magnificent bob eating his head off in the stable,data/l2arctic/LXC/wav/arctic_a0392.wav,LXC,Chinese,F,thee is that magnifisent bob  eating his had off in eas stable
already he had begun borrowing from the banks,data/l2arctic/LXC/wav/arctic_a0393.wav,LXC,Chinese,F,alrady he had begon borowing from the banks
its the strap hangers thatll keep us from going under,data/l2arctic/LXC/wav/arctic_a0394.wav,LXC,Chinese,F,its a strem hangers that will kep us from going onder
as for himself werent the street railway earnings increasing steadily,data/l2arctic/LXC/wav/arctic_a0395.wav,LXC,Chinese,F,as for himselfwan to e streht ralway onis increasing stadily
a rising tide of fat had submerged them,data/l2arctic/LXC/wav/arctic_a0396.wav,LXC,Chinese,F,a rising tid ov fat had a submerged them   m
call me that again he murmured ecstatically,data/l2arctic/LXC/wav/arctic_a0397.wav,LXC,Chinese,F,call me that again he muwmred eestaticaly
in the car were unwin and harrison while jones sat with the chauffeur,data/l2arctic/LXC/wav/arctic_a0398.wav,LXC,Chinese,F,in the cawolonwing and the harisene  wil jons sate with a tafer
and here is another idea,data/l2arctic/LXC/wav/arctic_a0399.wav,LXC,Chinese,F,and her is another idea
manuel had one besetting sin,data/l2arctic/LXC/wav/arctic_a0400.wav,LXC,Chinese,F,monueul  had wonbezetingg thing
the man smiled grimly and brought a hatchet and a club,data/l2arctic/LXC/wav/arctic_a0401.wav,LXC,Chinese,F,the men smelled gremly and brout a hadat and the cub
curly rushed her antagonist who struck again and leaped aside,data/l2arctic/LXC/wav/arctic_a0402.wav,LXC,Chinese,F,carlesh rushed herantagonist who sjhunk again and lepped asid
his newborn cunning gave him poise and control,data/l2arctic/LXC/wav/arctic_a0403.wav,LXC,Chinese,F,his new bon coning gav him  pos an a conter
perrault found one with head buried in the grub box,data/l2arctic/LXC/wav/arctic_a0404.wav,LXC,Chinese,F,perod fon won with had burred in the grabbox
it seemed the ordained order of things that dogs should work,data/l2arctic/LXC/wav/arctic_a0405.wav,LXC,Chinese,F,it seem tthe adin oudor of tins that doks should wok
and that was the last of francois and perrault,data/l2arctic/LXC/wav/arctic_a0406.wav,LXC,Chinese,F,and that was ae lost of francise and the parod
mercedes screamed cried laughed and manifested the chaotic abandonment of hysteria,data/l2arctic/LXC/wav/arctic_a0407.wav,LXC,Chinese,F,moses  cremed corid  laofed and the manifested the tocotic  abondmnt of  his teri
he could feel a new stir in the land,data/l2arctic/LXC/wav/arctic_a0409.wav,LXC,Chinese,F,he could fel a newl stei in hae bland
so we have to fit the boat throughout with oil lamps as well,data/l2arctic/LXC/wav/arctic_a0410.wav,LXC,Chinese,F,so we have to fil a boe thoog out with ol lamps as wel
it will break our hearts and our backs to hoist anchor by hand,data/l2arctic/LXC/wav/arctic_a0411.wav,LXC,Chinese,F,it will brabf our heards and owuer backs to hoist ancor by hand
there is another virtue in these bulkheads,data/l2arctic/LXC/wav/arctic_a0412.wav,LXC,Chinese,F,the s annother wirtue in this bock hand   o
but im at the end of my resources,data/l2arctic/LXC/wav/arctic_a0413.wav,LXC,Chinese,F,but im at t the end of my resourses
now our figuring was all right,data/l2arctic/LXC/wav/arctic_a0414.wav,LXC,Chinese,F,now aoer figering was al riht
it lasted as a deterrent for two days,data/l2arctic/LXC/wav/arctic_a0415.wav,LXC,Chinese,F,it lasted as a deturrant for twodas
the added weight had a velocity of fifteen miles per hour,data/l2arctic/LXC/wav/arctic_a0416.wav,LXC,Chinese,F,the aded wat had ea valosity o fiften meles per owr   re
its also an insidious deceitful sun,data/l2arctic/LXC/wav/arctic_a0417.wav,LXC,Chinese,F,its also an insiduous dased fol song
the portuguese boy crawled nearer and nearer,data/l2arctic/LXC/wav/arctic_a0418.wav,LXC,Chinese,F,the porchuges boy craled near and near   n
the portuguese boy passed the hawaiian,data/l2arctic/LXC/wav/arctic_a0419.wav,LXC,Chinese,F,the paortogesh boy past thehawaiioun
when i came to i was waving my hat and murmuring ecstatically,data/l2arctic/LXC/wav/arctic_a0420.wav,LXC,Chinese,F,when i came to i was waving my hat and mourmouring ecstaticaly
by golly the boy wins,data/l2arctic/LXC/wav/arctic_a0421.wav,LXC,Chinese,F,by goliy the boy wias
halfway around the track one donkey got into an argument with its rider,data/l2arctic/LXC/wav/arctic_a0422.wav,LXC,Chinese,F,hafe way around the tac won donka get into an argument with its ride
mcveigh when he returns from a trip to honolulu,data/l2arctic/LXC/wav/arctic_a0423.wav,LXC,Chinese,F,ma wmang when he retans from a chib to honololo
obviously it was a disease that could be contracted by contact,data/l2arctic/LXC/wav/arctic_a0424.wav,LXC,Chinese,F,abviausly  it was a diseas that could be contected by contat t
they do not know the length of time of incubation,data/l2arctic/LXC/wav/arctic_a0426.wav,LXC,Chinese,F,they do not now the lenth of tim o   incubation
enters now the psychology of the situation,data/l2arctic/LXC/wav/arctic_a0427.wav,LXC,Chinese,F,anteors now thesycology of the situation
it was not exactly a deportation,data/l2arctic/LXC/wav/arctic_a0428.wav,LXC,Chinese,F,it was not exactly a deportation
quick was the disappointment in his face yet smiling was the acquiescence,data/l2arctic/LXC/wav/arctic_a0429.wav,LXC,Chinese,F,quik was the dis appointment in his fas yet smelling was the aquesing
nevertheless we found ourselves once more in the high seat of abundance,data/l2arctic/LXC/wav/arctic_a0430.wav,LXC,Chinese,F,nevertheless we found ourselves onse more in the hiy set of abundans e
wada and na ka ta were in a bit of a funk,data/l2arctic/LXC/wav/arctic_a0431.wav,LXC,Chinese,F,wader and the e nekato wr iung ar bit of fun
the boy at the wheel lost his head,data/l2arctic/LXC/wav/arctic_a0432.wav,LXC,Chinese,F,the boy at tthe wel los his head
to her the bridge was tambo which is the native for taboo,data/l2arctic/LXC/wav/arctic_a0433.wav,LXC,Chinese,F,to hor the brage was tmped whichis nativ for tempo
a half a case of tobacco was worth three pounds,data/l2arctic/LXC/wav/arctic_a0434.wav,LXC,Chinese,F,a havf a case of tabaco was wurth thre poinds
what do you mean by this outrageous conduct,data/l2arctic/LXC/wav/arctic_a0435.wav,LXC,Chinese,F,what do you mean by theisacagons condackt
but martin smiled a superior smile,data/l2arctic/LXC/wav/arctic_a0436.wav,LXC,Chinese,F,bat matin smelled a superiol smile
by that answer my professional medical prestige stood or fell,data/l2arctic/LXC/wav/arctic_a0437.wav,LXC,Chinese,F,by that anthor my provasional medical pastage stod o fiel
at sea monday march sixteenth nineteen eight,data/l2arctic/LXC/wav/arctic_a0438.wav,LXC,Chinese,F,ad se monday miche sixtin  ninten ete
at sea wednesday march eighteenth nineteen zero eight,data/l2arctic/LXC/wav/arctic_a0439.wav,LXC,Chinese,F,a she weansday mach eiting  niten theero ait
yes sir i corrected,data/l2arctic/LXC/wav/arctic_a0440.wav,LXC,Chinese,F,yes er i corectid
violent life and athletic sports had never appealed to me,data/l2arctic/LXC/wav/arctic_a0441.wav,LXC,Chinese,F,vilent life and the asthletic spots had never appeared to mme
he was worth nothing to the world,data/l2arctic/LXC/wav/arctic_a0443.wav,LXC,Chinese,F,he was worth nothing to the wor
then you dont believe in altruism,data/l2arctic/LXC/wav/arctic_a0444.wav,LXC,Chinese,F,then you dont beleve in al tosing
the creative joy i murmured,data/l2arctic/LXC/wav/arctic_a0445.wav,LXC,Chinese,F,the creative joy i mummerd
he deluged me overwhelmed me with argument,data/l2arctic/LXC/wav/arctic_a0446.wav,LXC,Chinese,F,he deluked me overvel ne wist argumen
ah it is growing dark and darker,data/l2arctic/LXC/wav/arctic_a0447.wav,LXC,Chinese,F,om is growin dok and dark
i was hump cabin boy on the schooner ghost,data/l2arctic/LXC/wav/arctic_a0448.wav,LXC,Chinese,F,i was hump cami boy on e sgoono gost
a sinewy hand dripping with water was clutching the rail,data/l2arctic/LXC/wav/arctic_a0449.wav,LXC,Chinese,F,a tewe hand jipping wish water    was cadhing a rele
no man ate of the seal meat or the oil,data/l2arctic/LXC/wav/arctic_a0450.wav,LXC,Chinese,F,no man a oflo el met olthe e
i noticed blood spouting from kerfoot left hand,data/l2arctic/LXC/wav/arctic_a0451.wav,LXC,Chinese,F,i notiset t blaid spbouting from caue frots left hand
three oilers and a fourth engineer was his greeting,data/l2arctic/LXC/wav/arctic_a0452.wav,LXC,Chinese,F,thhre oliurs and the a fos enginnere was his greating
eighteen hundred he calculated,data/l2arctic/LXC/wav/arctic_a0453.wav,LXC,Chinese,F,eten hondred he calculated
the sharp voice of wolf larsen aroused me,data/l2arctic/LXC/wav/arctic_a0454.wav,LXC,Chinese,F,the sharp voise of wois laseon arousd me
i obeyed and a minute or two later they stood before him,data/l2arctic/LXC/wav/arctic_a0455.wav,LXC,Chinese,F,i obade and the menit or too lat her they stood befor heim
but it wont continue she said with easy confidence,data/l2arctic/LXC/wav/arctic_a0456.wav,LXC,Chinese,F,but it wont continu she said with easy confidence
what i saw i couldnt at first believe,data/l2arctic/LXC/wav/arctic_a0457.wav,LXC,Chinese,F,what i sow i coulddont atd first belev
the stout wood was crushed like an eggshell,data/l2arctic/LXC/wav/arctic_a0458.wav,LXC,Chinese,F,the stat wood was crashed lik k a agsel
i had forgotten their existence,data/l2arctic/LXC/wav/arctic_a0460.wav,LXC,Chinese,F,i had forgoten thir existeancse
ah we were very close together in that moment,data/l2arctic/LXC/wav/arctic_a0461.wav,LXC,Chinese,F,a wee ware very clos together in that moment
but she swung obediently on her heel into the wind,data/l2arctic/LXC/wav/arctic_a0462.wav,LXC,Chinese,F,b she swng abidiently on her hel into the wind
they are his tongue by which he makes his knowledge articulate,data/l2arctic/LXC/wav/arctic_a0463.wav,LXC,Chinese,F,they are his toeeeby which he makes his nowlage  articulate
between the rush of the cascades streaks of rust showed everywhere,data/l2arctic/LXC/wav/arctic_a0464.wav,LXC,Chinese,F,betwen a rash of le casicads stacks of riset showed every rel
he will never do a tap of work the whole voyage,data/l2arctic/LXC/wav/arctic_a0465.wav,LXC,Chinese,F,he well never do a tapof work the hooage
captain west may be a samurai but he is also human,data/l2arctic/LXC/wav/arctic_a0466.wav,LXC,Chinese,F,keptonwest may be a samurri but hes also humord
and so early in the voyage too,data/l2arctic/LXC/wav/arctic_a0467.wav,LXC,Chinese,F,and so arly in the voyage to
in the matter of curry she is a sheer genius,data/l2arctic/LXC/wav/arctic_a0468.wav,LXC,Chinese,F,in a matter of carac is a sheo genios
the eastern heavens were equally spectacular,data/l2arctic/LXC/wav/arctic_a0469.wav,LXC,Chinese,F,theestern havans weare equally pectacuolar
he spat it out like so much venom,data/l2arctic/LXC/wav/arctic_a0470.wav,LXC,Chinese,F,he spat it all ladhe so much vnom
i saw mister pike nod his head grimly and sarcastically,data/l2arctic/LXC/wav/arctic_a0471.wav,LXC,Chinese,F,a sow mister pike  noed his had  gremly andesarcesticaly
he is too keenly intelligent too sharply sensitive successfully to endure,data/l2arctic/LXC/wav/arctic_a0472.wav,LXC,Chinese,F,a hes to kiny inteligent too shapet is sensitive successfuly to  endur
the night was calm and snowy,data/l2arctic/LXC/wav/arctic_a0473.wav,LXC,Chinese,F,the night was come and snowy
i sailed third mate in the little vampire before you were born,data/l2arctic/LXC/wav/arctic_a0474.wav,LXC,Chinese,F,i sild  sird mad in the litlvampie before you were bon
his outstretched arm dropped to his side and he paused,data/l2arctic/LXC/wav/arctic_a0475.wav,LXC,Chinese,F,hit out streched am jobe to his sid  and the he poseed
wada louis and the steward are servants of asiatic breed,data/l2arctic/LXC/wav/arctic_a0477.wav,LXC,Chinese,F,whollto loois anderes tei word a  sevents of ansetic brade
also she has forbidden them smoking their pipes in the after room,data/l2arctic/LXC/wav/arctic_a0478.wav,LXC,Chinese,F,also she has forbidden them smoking thei pipes in the afterroom
i tried to read george moore last night and was dreadfully bored,data/l2arctic/LXC/wav/arctic_a0479.wav,LXC,Chinese,F,i tryed to red gjourge mor last niht and was garfuly bord
tom spink has a harpoon,data/l2arctic/LXC/wav/arctic_a0480.wav,LXC,Chinese,F,tomspink has a hac pol
nimrod replied with a slight manifestation of sensitiveness,data/l2arctic/LXC/wav/arctic_a0481.wav,LXC,Chinese,F,nemodh replid with a slite manyfestation of  sensitiviness
and their chief virtue lies in that they will never wear out,data/l2arctic/LXC/wav/arctic_a0482.wav,LXC,Chinese,F,and their chef virtual lising that they will never where out
beyond dispute corry hutchinson had married mabel holmes,data/l2arctic/LXC/wav/arctic_a0483.wav,LXC,Chinese,F,beyond disput cori catonson had maried mabllhams
no sir,data/l2arctic/LXC/wav/arctic_a0484.wav,LXC,Chinese,F,noser
each insult added to the value of the claim,data/l2arctic/LXC/wav/arctic_a0485.wav,LXC,Chinese,F,each insaw added to the valoue of the clame
for the rest he was a mere automaton,data/l2arctic/LXC/wav/arctic_a0486.wav,LXC,Chinese,F,for therest he was a meleautimton
the river bared its bosom and snorting steamboats challenged the wilderness,data/l2arctic/LXC/wav/arctic_a0487.wav,LXC,Chinese,F,the driver billd its bosom  and the snowtig stemboes calenge the waidenes
their love burned with increasing brightness,data/l2arctic/LXC/wav/arctic_a0488.wav,LXC,Chinese,F,thear love bearned with increasing brit nes
they were artists not biologists,data/l2arctic/LXC/wav/arctic_a0489.wav,LXC,Chinese,F,they were atists not by alogist
both johnny and his mother shuffled their feet as they walked,data/l2arctic/LXC/wav/arctic_a0490.wav,LXC,Chinese,F,both jone anthe his mother shoffled their feet as they woked
and as in denial of guilt the one legged boy replied,data/l2arctic/LXC/wav/arctic_a0491.wav,LXC,Chinese,F,and  as in danal of gilt the wong leged boy replied oyy
burnt out like the crater of a volcano,data/l2arctic/LXC/wav/arctic_a0492.wav,LXC,Chinese,F,bon out like a creater of a vocano
obrien took off his coat and bared his right arm,data/l2arctic/LXC/wav/arctic_a0494.wav,LXC,Chinese,F,oabrain tok of his cot and t biled his rit am
he bore no grudges and had few enemies,data/l2arctic/LXC/wav/arctic_a0495.wav,LXC,Chinese,F,he bouhnt nogaghes and the had faile enemes
