transcription,path_to_audio,speaker_id,native_language,gender,s2t_medium_transcriptions
gregson held a lighted match until it burnt his fingertips,data/l2arctic/BWC/wav/arctic_b0030.wav,BWC,Chinese,M,grexen held a latin match until it burned his finger tips
gregson had seated himself under the lamp and was sharpening a pencil,data/l2arctic/BWC/wav/arctic_b0031.wav,BWC,Chinese,M,grexen had seated himself under the lamp and was shopping a pencil
he caught himself with a jerk,data/l2arctic/BWC/wav/arctic_b0032.wav,BWC,Chinese,M,he cost himself with a jerk
how does your wager look now,data/l2arctic/BWC/wav/arctic_b0033.wav,BWC,Chinese,M,how does your leisure look now
he confessed that the sketch had startled him,data/l2arctic/BWC/wav/arctic_b0034.wav,BWC,Chinese,M,he confessed that the sketch had stolen him
after all the picture was only a resemblance,data/l2arctic/BWC/wav/arctic_b0035.wav,BWC,Chinese,M,after our departure was only a resemblance
he wondered too where roscoe was,data/l2arctic/BWC/wav/arctic_b0036.wav,BWC,Chinese,M,he wanted to wear roscoe worse
in her haste to get away she had forgotten these things,data/l2arctic/BWC/wav/arctic_b0038.wav,BWC,Chinese,M,in her history to get away she had forgotten these things
philip took a step toward gregson half determined to awaken him,data/l2arctic/BWC/wav/arctic_b0039.wav,BWC,Chinese,M,philip took a step towards griggs and half determined to awake him
the thought set his blood tingling,data/l2arctic/BWC/wav/arctic_b0040.wav,BWC,Chinese,M,thus did his brow tinkling
but if pierre didnt return until tomorrow,data/l2arctic/BWC/wav/arctic_b0041.wav,BWC,Chinese,M,if pierre didn't return into to morrow
ten minutes had not elapsed since he had dropped the handkerchief,data/l2arctic/BWC/wav/arctic_b0042.wav,BWC,Chinese,M,two minutes had not elapsed since he had dropped the handkerchief
it wont be for sale,data/l2arctic/BWC/wav/arctic_b0043.wav,BWC,Chinese,M,it won't be for sale
for a few moments he ate in silence,data/l2arctic/BWC/wav/arctic_b0044.wav,BWC,Chinese,M,for a few moments he ate in silence
philip didnt pursue the subject,data/l2arctic/BWC/wav/arctic_b0045.wav,BWC,Chinese,M,philip did and pursued the subject
philip produced a couple of cigars and took a chair opposite him,data/l2arctic/BWC/wav/arctic_b0046.wav,BWC,Chinese,M,philip produced a cup of chegar and took a chair opposite him
suppose you saw me at work through the window,data/l2arctic/BWC/wav/arctic_b0047.wav,BWC,Chinese,M,suppose you saw me at work through the window
he looked like one who had passed through an uncomfortable hour or two,data/l2arctic/BWC/wav/arctic_b0048.wav,BWC,Chinese,M,he looked at one who had passed through a uncomfortable hour or two
there was nothing more except a large ink blot under the words,data/l2arctic/BWC/wav/arctic_b0049.wav,BWC,Chinese,M,there was nothing more except a large ink boat under the worth
all this day gregson remained in the cabin,data/l2arctic/BWC/wav/arctic_b0050.wav,BWC,Chinese,M,all this day jackson remained in the cabin
the sixth day he spent in the cabin with gregson,data/l2arctic/BWC/wav/arctic_b0051.wav,BWC,Chinese,M,the sixth day he spent in a cabin with grexen
the flush was gone from her face,data/l2arctic/BWC/wav/arctic_b0052.wav,BWC,Chinese,M,a flash was gone from her face
that was why i am am rattled he laughed,data/l2arctic/BWC/wav/arctic_b0053.wav,BWC,Chinese,M,there was why i am and rather tea left
she was even more beautiful than when i saw her before,data/l2arctic/BWC/wav/arctic_b0055.wav,BWC,Chinese,M,she was even more beautiful than when i saw her before
i will give a thousand if you produce her retorted gregson,data/l2arctic/BWC/wav/arctic_b0056.wav,BWC,Chinese,M,i will give a thousand if you produce her retorted griggs
they have won popular sentiment through the newspapers,data/l2arctic/BWC/wav/arctic_b0057.wav,BWC,Chinese,M,how win popular sentment through the newspapers
we must achieve our own salvation,data/l2arctic/BWC/wav/arctic_b0058.wav,BWC,Chinese,M,we must achieve our own salvation
in moments of mental energy philip was restless,data/l2arctic/BWC/wav/arctic_b0059.wav,BWC,Chinese,M,a moment's of mental energy philip was restless
he would keep his faith with gregson for the promised day or two,data/l2arctic/BWC/wav/arctic_b0060.wav,BWC,Chinese,M,he will keep his faith to his grandson for the promised day or two
sometime about it seemed to fascinate him to challenge his presence,data/l2arctic/BWC/wav/arctic_b0061.wav,BWC,Chinese,M,some time about is seemed to fascinate him to challenge his presence
now it was missing from the wall,data/l2arctic/BWC/wav/arctic_b0062.wav,BWC,Chinese,M,now it was missing from the wall
he boiled himself some coffee and sat down to wait,data/l2arctic/BWC/wav/arctic_b0063.wav,BWC,Chinese,M,he boiled himself some coffee and sat down to wait
im going down there with you and im going to fight,data/l2arctic/BWC/wav/arctic_b0064.wav,BWC,Chinese,M,i'm going down there with you and i'm going to fat
now have you got anything to say against me mister philip,data/l2arctic/BWC/wav/arctic_b0065.wav,BWC,Chinese,M,now have you got anything to say against me mister philip
if i meet her again i shall apologize said eileen,data/l2arctic/BWC/wav/arctic_b0066.wav,BWC,Chinese,M,if i meet her again i shall apologize said alleyne
below him the shadow was broken into a pool of rippling starlight,data/l2arctic/BWC/wav/arctic_b0067.wav,BWC,Chinese,M,below him the shadow was broken into a pool of rippling starlight
only the chance sound had led him to observe them,data/l2arctic/BWC/wav/arctic_b0068.wav,BWC,Chinese,M,only the chance sounds had led him to observe them
could the incident have anything to do with jeanne and pierre,data/l2arctic/BWC/wav/arctic_b0069.wav,BWC,Chinese,M,who that isn'ted half anything to do with jinian pierre
there was no chance to fire without hitting him,data/l2arctic/BWC/wav/arctic_b0070.wav,BWC,Chinese,M,there was no chance to fire without hitting him
then he hastened on as pierre had guided him,data/l2arctic/BWC/wav/arctic_b0072.wav,BWC,Chinese,M,then he hastened down as pierre had guided him
with these arguments he convinced himself that he should go on alone,data/l2arctic/BWC/wav/arctic_b0073.wav,BWC,Chinese,M,with this arguments he convinced himself that he should go on alone
yet behind them there was another and more powerful motive,data/l2arctic/BWC/wav/arctic_b0074.wav,BWC,Chinese,M,yet behind them there was another and most powerful motive
in that case he could not miss them if he used caution,data/l2arctic/BWC/wav/arctic_b0075.wav,BWC,Chinese,M,in that case he will now miss them if he uses caution
before philip could recover him jeannes startled guards were upon him,data/l2arctic/BWC/wav/arctic_b0076.wav,BWC,Chinese,M,before philip could recover him genius starlit guard were upon him
its the nearest refuge,data/l2arctic/BWC/wav/arctic_b0077.wav,BWC,Chinese,M,is the nearest refuge
there was pride and strength the ring of triumph in his voice,data/l2arctic/BWC/wav/arctic_b0078.wav,BWC,Chinese,M,there was price and strength the reign of triumph in his wife
the truth of it set jeanne quivering,data/l2arctic/BWC/wav/arctic_b0079.wav,BWC,Chinese,M,the truth of it says genie quavering
tomorrow it will be strong enough for you to stand upon,data/l2arctic/BWC/wav/arctic_b0080.wav,BWC,Chinese,M,to morrow it will be strong enough for you to stand upon
you were going to leave after you saw me on the rock,data/l2arctic/BWC/wav/arctic_b0081.wav,BWC,Chinese,M,you are going to leave after you saw me on the rock
he bit his tongue and cursed himself at the fresh break,data/l2arctic/BWC/wav/arctic_b0082.wav,BWC,Chinese,M,he bit his tail and crossed himself at a fresh break
in it there was something that was almost tragedy,data/l2arctic/BWC/wav/arctic_b0083.wav,BWC,Chinese,M,in this there was something that was almost tragedy
your face is red with blood,data/l2arctic/BWC/wav/arctic_b0084.wav,BWC,Chinese,M,your face is red with blood
his eyes smiled truth at him as he came up the bank,data/l2arctic/BWC/wav/arctic_b0085.wav,BWC,Chinese,M,he's as smelled trust at him as he came up the bank
he can care for himself,data/l2arctic/BWC/wav/arctic_b0086.wav,BWC,Chinese,M,he can care for himself
they will search for us between their camp and churchill,data/l2arctic/BWC/wav/arctic_b0087.wav,BWC,Chinese,M,will search for us between d'artagnan and churchill
her beautiful hair was done up in shining coils,data/l2arctic/BWC/wav/arctic_b0089.wav,BWC,Chinese,M,her beautiful hair was done up in shining clear
the churchill narrowed and its current became swifter as they progressed,data/l2arctic/BWC/wav/arctic_b0090.wav,BWC,Chinese,M,the churchill narrowed and its current became swifter as their progresses
for a full half minute jeanne looked at him without speaking,data/l2arctic/BWC/wav/arctic_b0091.wav,BWC,Chinese,M,for a full half minute jeannie looked at him without speaking
i want to die in it,data/l2arctic/BWC/wav/arctic_b0092.wav,BWC,Chinese,M,how unto thine in it
darkness hid him from jeanne,data/l2arctic/BWC/wav/arctic_b0093.wav,BWC,Chinese,M,darkness hid him from genie
and yet if she came he had no words to say,data/l2arctic/BWC/wav/arctic_b0094.wav,BWC,Chinese,M,and yet if she came he had no words to say
he heard a sound which brought him quickly into consciousness of day,data/l2arctic/BWC/wav/arctic_b0095.wav,BWC,Chinese,M,he heard a sound which brought him quickly into consciousness of day
within himself he called it no longer his own,data/l2arctic/BWC/wav/arctic_b0096.wav,BWC,Chinese,M,within himself he cared in no longer his awe
besides that noise makes me deaf,data/l2arctic/BWC/wav/arctic_b0097.wav,BWC,Chinese,M,besides the noise makes me death
philip looked back from the crest and saw jeanne leaning over the canoe,data/l2arctic/BWC/wav/arctic_b0098.wav,BWC,Chinese,M,philip looked back from the crest and saw jennie living over the canoe
fifty yards ahead of her were the first of the rocks,data/l2arctic/BWC/wav/arctic_b0099.wav,BWC,Chinese,M,fifty yards ahead of her were the first of the rocks
there was one chance and only one of saving jeanne,data/l2arctic/BWC/wav/arctic_b0100.wav,BWC,Chinese,M,there was one chance and only one of saving jenny
youre a devil for fighting and will surely win,data/l2arctic/BWC/wav/arctic_b0101.wav,BWC,Chinese,M,your devil for fighting and will surely win
ill only be in the way,data/l2arctic/BWC/wav/arctic_b0102.wav,BWC,Chinese,M,our only being the way
he lifted his eyes and a strange cry burst from his lips,data/l2arctic/BWC/wav/arctic_b0103.wav,BWC,Chinese,M,he lifted his eyes and strange cry burst from his lips
shooting pains passed like flashes of electricity through his body,data/l2arctic/BWC/wav/arctic_b0104.wav,BWC,Chinese,M,shooting pans passed like flashes of electricity through his body
for a full minute the two men stared into each others face,data/l2arctic/BWC/wav/arctic_b0106.wav,BWC,Chinese,M,for a full minute the two men started into each other's face
he was sure now of but few things,data/l2arctic/BWC/wav/arctic_b0107.wav,BWC,Chinese,M,he was sure now of but few things
it was a miracle and i owe you my life,data/l2arctic/BWC/wav/arctic_b0108.wav,BWC,Chinese,M,it was the miracle and i own you my life
philip ate lightly of the food which pierre had ready for him,data/l2arctic/BWC/wav/arctic_b0109.wav,BWC,Chinese,M,philip at length of the food which pierre had ready for him
such men believe when they come together,data/l2arctic/BWC/wav/arctic_b0110.wav,BWC,Chinese,M,such men believe when they come together
the journey was continued at dawn,data/l2arctic/BWC/wav/arctic_b0111.wav,BWC,Chinese,M,the journey was continued at dal
jeanne and pierre both gazed toward the great rock,data/l2arctic/BWC/wav/arctic_b0112.wav,BWC,Chinese,M,jenny and pierre both gazed towards the great rock
there was something pathetic in the girls attitude now,data/l2arctic/BWC/wav/arctic_b0113.wav,BWC,Chinese,M,there was something pathetic in the girl's attitude now
he moved his position and the illusion was gone,data/l2arctic/BWC/wav/arctic_b0114.wav,BWC,Chinese,M,he moaned his position and the illusion was gone
for two hours not a word passed between them,data/l2arctic/BWC/wav/arctic_b0115.wav,BWC,Chinese,M,for two hours not a word passed between them
i have hunted along this ridge replied philip,data/l2arctic/BWC/wav/arctic_b0116.wav,BWC,Chinese,M,i have hunted along this rich replied philip
thats thorpes said the young engineer,data/l2arctic/BWC/wav/arctic_b0117.wav,BWC,Chinese,M,as torps said the young engineer
we saw your light and thought you wouldnt mind a call,data/l2arctic/BWC/wav/arctic_b0118.wav,BWC,Chinese,M,i saw your light and through your own mind a car
billinger may arrive in time,data/l2arctic/BWC/wav/arctic_b0119.wav,BWC,Chinese,M,bill insure me arriving time
theres the hitch replied thorpe rolling a cigarette,data/l2arctic/BWC/wav/arctic_b0120.wav,BWC,Chinese,M,durst thy huge reply thorov rolling us secret
i want my men to work by themselves,data/l2arctic/BWC/wav/arctic_b0121.wav,BWC,Chinese,M,i want my men to work bad to themselves
neither could they understand the growing disaffection among thorpes men,data/l2arctic/BWC/wav/arctic_b0123.wav,BWC,Chinese,M,neither could they understand the groveing disaffection among thorpe's men
three weeks passed and in that time thorpe left camp three times,data/l2arctic/BWC/wav/arctic_b0124.wav,BWC,Chinese,M,three weeks passed and at that time dora's love to come three times
it was the third or fourth time that philip had heard macdougall swear,data/l2arctic/BWC/wav/arctic_b0125.wav,BWC,Chinese,M,it was the third or first time that philip had heard macdonald's swear
blood was oozing slowly from the wounded mans right breast,data/l2arctic/BWC/wav/arctic_b0126.wav,BWC,Chinese,M,blood was whizz slowly from the only man's raft breast
he destroyed everything that had belonged to the woman,data/l2arctic/BWC/wav/arctic_b0127.wav,BWC,Chinese,M,he descried everything that had belonged to the woman
philip bent low over pierre,data/l2arctic/BWC/wav/arctic_b0128.wav,BWC,Chinese,M,philip bantalo orpia
did thorpe go to see any one in churchill,data/l2arctic/BWC/wav/arctic_b0129.wav,BWC,Chinese,M,the authority go to see anyway in churchill
he saw the answer in his face,data/l2arctic/BWC/wav/arctic_b0130.wav,BWC,Chinese,M,he saw the answer in his face
thorpe and his men were to destroy this camp and kill you,data/l2arctic/BWC/wav/arctic_b0131.wav,BWC,Chinese,M,sharp and his men were to destroy this camp and kill you
there is no need of further detail now for you can understand,data/l2arctic/BWC/wav/arctic_b0132.wav,BWC,Chinese,M,no need for father detail noll for you can understand
there followed a roar and shook the earth,data/l2arctic/BWC/wav/arctic_b0133.wav,BWC,Chinese,M,followed a roar and shook the earth
blind with rage he darted in,data/l2arctic/BWC/wav/arctic_b0134.wav,BWC,Chinese,M,lined with rage he darted in
in it was the joy of life,data/l2arctic/BWC/wav/arctic_b0135.wav,BWC,Chinese,M,in it was the joy of glass
swiftly his eyes measured the situation,data/l2arctic/BWC/wav/arctic_b0136.wav,BWC,Chinese,M,swiftly his eyes measured the situation
but this little defect did not worry him,data/l2arctic/BWC/wav/arctic_b0137.wav,BWC,Chinese,M,but this little defect did not worry him
and then steadily he began to chew,data/l2arctic/BWC/wav/arctic_b0138.wav,BWC,Chinese,M,and durst that lay he began to chew
they edged nearer and stood shoulder to shoulder facing their world,data/l2arctic/BWC/wav/arctic_b0140.wav,BWC,Chinese,M,they edged nearer and stood shoulder to shoulder facing their world
it was beating and waiting in the ambush of those black pits,data/l2arctic/BWC/wav/arctic_b0141.wav,BWC,Chinese,M,was beating and wetting in the ambush of this black piece
something vastly more thrilling had come into it now,data/l2arctic/BWC/wav/arctic_b0142.wav,BWC,Chinese,M,something vastly more thrilling had come into it now
it took him half an hour to reach the edge of it,data/l2arctic/BWC/wav/arctic_b0143.wav,BWC,Chinese,M,it took him half an hour to reach the edge of it
but there was no longer the mother yearning in his heart,data/l2arctic/BWC/wav/arctic_b0144.wav,BWC,Chinese,M,but there was no longer the matter yelling in his heart
besides had he not whipped the big owl in the forest,data/l2arctic/BWC/wav/arctic_b0145.wav,BWC,Chinese,M,besides had he not wept the big owl in the forest
after all it was simply a mistake in judgment,data/l2arctic/BWC/wav/arctic_b0146.wav,BWC,Chinese,M,after all it was simply a mystic in judgment
had it struck squarely it would have killed him,data/l2arctic/BWC/wav/arctic_b0147.wav,BWC,Chinese,M,had he struck squarely it would have killed him
the indian even poked his stick into the thick ground spruce,data/l2arctic/BWC/wav/arctic_b0148.wav,BWC,Chinese,M,india even poked his stick into the thick grown squirrel
pebbles and dirt flew along with hair and fur,data/l2arctic/BWC/wav/arctic_b0149.wav,BWC,Chinese,M,pebbles and dirt flow along with hair and fur
and he was filled with a strange and foreboding fear,data/l2arctic/BWC/wav/arctic_b0150.wav,BWC,Chinese,M,and he was filling with a strange and foreboding fear
it was steel a fisher trap,data/l2arctic/BWC/wav/arctic_b0151.wav,BWC,Chinese,M,was due a fischer trap
ow a wild dog he growled,data/l2arctic/BWC/wav/arctic_b0152.wav,BWC,Chinese,M,oh a wild dog he growled
he was a pariah a wanderer without a friend or a home,data/l2arctic/BWC/wav/arctic_b0153.wav,BWC,Chinese,M,was a corral a wanderer without a friend or a home
that is the strange part of it,data/l2arctic/BWC/wav/arctic_b0154.wav,BWC,Chinese,M,that is thus strange part of it
his freshly caught furs he flung to the floor,data/l2arctic/BWC/wav/arctic_b0155.wav,BWC,Chinese,M,his freshly cowed furs he flung to the world
in the crib the baby sat up and began to prattle,data/l2arctic/BWC/wav/arctic_b0157.wav,BWC,Chinese,M,in the crept a baby set up and began to prattle
she obeyed shrinking back with the baby in her arms,data/l2arctic/BWC/wav/arctic_b0158.wav,BWC,Chinese,M,she obeyed a shrinking back with the baby in her arms
his teeth shut with a last click,data/l2arctic/BWC/wav/arctic_b0159.wav,BWC,Chinese,M,his teeth shut with a last click
it was over when he made his way through the ring of spectators,data/l2arctic/BWC/wav/arctic_b0160.wav,BWC,Chinese,M,it was over when he made his way through a ring of spectators
in a flash he was on his feet facing him,data/l2arctic/BWC/wav/arctic_b0161.wav,BWC,Chinese,M,in a flash he was on his feet facing him
he thought he saw a shudder pass through the factors shoulders,data/l2arctic/BWC/wav/arctic_b0162.wav,BWC,Chinese,M,he thought he saw a shadow pass through the factor's shoulders
the moon had already begun its westward decline,data/l2arctic/BWC/wav/arctic_b0163.wav,BWC,Chinese,M,the moon had already begun its westward july
they laughed like two happy children,data/l2arctic/BWC/wav/arctic_b0164.wav,BWC,Chinese,M,they laugh'd like two happy children
he pulled and the log crashed down to break his back,data/l2arctic/BWC/wav/arctic_b0165.wav,BWC,Chinese,M,he pulled and the lad crashed down to break his back
fast but endure,data/l2arctic/BWC/wav/arctic_b0166.wav,BWC,Chinese,M,fast but endure
a little before dawn of the day following the fire relief came,data/l2arctic/BWC/wav/arctic_b0167.wav,BWC,Chinese,M,a little before dawn of the day following the fire relief came
the indian felt the worship of her warm in his heart,data/l2arctic/BWC/wav/arctic_b0168.wav,BWC,Chinese,M,india felt the worship of her one in his heart
he drew in a deep breath as he looked at them,data/l2arctic/BWC/wav/arctic_b0169.wav,BWC,Chinese,M,he drew in a deep breath as he looked at them
then he shouted shut up,data/l2arctic/BWC/wav/arctic_b0170.wav,BWC,Chinese,M,then he shouted shut up
he changed his seat for a steamer reclining chair,data/l2arctic/BWC/wav/arctic_b0171.wav,BWC,Chinese,M,he changed his seat for a steamer reclining chair
on the far corner of the compound fence a hawk brooded,data/l2arctic/BWC/wav/arctic_b0172.wav,BWC,Chinese,M,on the far corner of the compound fence a hawk brooder
hatred and murder and lust for revenge they possessed to overflowing,data/l2arctic/BWC/wav/arctic_b0174.wav,BWC,Chinese,M,hazard and murder and last for revenge their processes to overflowing
sheldon glanced at the thermometer,data/l2arctic/BWC/wav/arctic_b0175.wav,BWC,Chinese,M,shouldering glance at the teller meder
ill see to poor hughie,data/l2arctic/BWC/wav/arctic_b0176.wav,BWC,Chinese,M,elsie to perhu e
her gray eyes were flashing and her lips were quivering,data/l2arctic/BWC/wav/arctic_b0177.wav,BWC,Chinese,M,her grey eyes were flashing and her lips were quivering
also i want information,data/l2arctic/BWC/wav/arctic_b0178.wav,BWC,Chinese,M,also i won the information
let them go out and eat with my boys,data/l2arctic/BWC/wav/arctic_b0179.wav,BWC,Chinese,M,let them go out and eat with my boys
i i beg pardon he drawled,data/l2arctic/BWC/wav/arctic_b0180.wav,BWC,Chinese,M,i i beg pardon huge wall
and you preferred a cannibal isle and a cartridge belt,data/l2arctic/BWC/wav/arctic_b0181.wav,BWC,Chinese,M,and you preferred a cannibal's isle and a cottage bell
i was in new york when the crash came,data/l2arctic/BWC/wav/arctic_b0182.wav,BWC,Chinese,M,i was in new york when the crash came
no i did not fall among thieves,data/l2arctic/BWC/wav/arctic_b0183.wav,BWC,Chinese,M,no i did not fall among thieves
such things in her brain were like so many oaths on her lips,data/l2arctic/BWC/wav/arctic_b0184.wav,BWC,Chinese,M,such things in her brand were like so many oaks on her lips
your being wrecked here has been a godsend to me,data/l2arctic/BWC/wav/arctic_b0185.wav,BWC,Chinese,M,your being racked here has been a godsend to me
i cant go elsewhere by your own account,data/l2arctic/BWC/wav/arctic_b0186.wav,BWC,Chinese,M,i can go elsewhere by your own account
her achievements with cocoanuts were a revelation,data/l2arctic/BWC/wav/arctic_b0187.wav,BWC,Chinese,M,her achievements we cocoanuts were a revolution
he glanced down at her helplessly and moistened his lips,data/l2arctic/BWC/wav/arctic_b0188.wav,BWC,Chinese,M,he clips down at his helplessly and moistened his lips
that is what distinguishes all of us from the lower animals,data/l2arctic/BWC/wav/arctic_b0189.wav,BWC,Chinese,M,that is what distinguished all of us from the lowest animals
he also contended that better confidence was established by carrying no weapons,data/l2arctic/BWC/wav/arctic_b0191.wav,BWC,Chinese,M,he also continued that better confidence was established by tiring no weapons
outsiders are allowed five minute speeches the sick man urged,data/l2arctic/BWC/wav/arctic_b0192.wav,BWC,Chinese,M,or ciders are allowed five minutes specious the sequence urged
so was packards finish suicide,data/l2arctic/BWC/wav/arctic_b0193.wav,BWC,Chinese,M,so was packard finished suicide
joan cried with shining eyes,data/l2arctic/BWC/wav/arctic_b0194.wav,BWC,Chinese,M,john cried with shining eyes
nobody knows how the natives got them,data/l2arctic/BWC/wav/arctic_b0195.wav,BWC,Chinese,M,nobody knows how the natives got them
how can you manage all alone mister young,data/l2arctic/BWC/wav/arctic_b0196.wav,BWC,Chinese,M,how can you manage oh alone mister young
the planters are already considering the matter,data/l2arctic/BWC/wav/arctic_b0197.wav,BWC,Chinese,M,planter's already considering the matter
i use great trouble advisedly,data/l2arctic/BWC/wav/arctic_b0198.wav,BWC,Chinese,M,i use great trouble of miserly
dear sir your second victim has fallen on schedule time,data/l2arctic/BWC/wav/arctic_b0199.wav,BWC,Chinese,M,dear sir second victim has fallen on's casual type
we leave the eventuality to time and law,data/l2arctic/BWC/wav/arctic_b0200.wav,BWC,Chinese,M,relieved that eventually to a time of law
i also understand that similar branch organizations have made their appearance in europe,data/l2arctic/BWC/wav/arctic_b0201.wav,BWC,Chinese,M,i also understand that similar branch organizations have made their appearance in europe
society is shaken to its foundations,data/l2arctic/BWC/wav/arctic_b0202.wav,BWC,Chinese,M,society is shaken to its foundations
a month in australia would finish me,data/l2arctic/BWC/wav/arctic_b0203.wav,BWC,Chinese,M,a month ere i'll truly or finish me
down through the perfume weighted air fluttered the snowy fluffs of the cottonwoods,data/l2arctic/BWC/wav/arctic_b0204.wav,BWC,Chinese,M,dull thought the perfume weighted air flattered and snowed flawless of the cautons
you were destroying my life,data/l2arctic/BWC/wav/arctic_b0205.wav,BWC,Chinese,M,your disraying my life
horses and rifles had been her toys camp and trail her nursery,data/l2arctic/BWC/wav/arctic_b0206.wav,BWC,Chinese,M,horses i refts had been her twice camp and trial her nurses
you read the quotations in todays paper,data/l2arctic/BWC/wav/arctic_b0208.wav,BWC,Chinese,M,you rat the quotation into newspaper
hes terribly touchy about his black wards as he calls them,data/l2arctic/BWC/wav/arctic_b0209.wav,BWC,Chinese,M,his terrible touch about his black word as he caught them
whatever he guessed he locked away in the taboo room of naomi,data/l2arctic/BWC/wav/arctic_b0210.wav,BWC,Chinese,M,whatever he cast he locked away in the table room of naomi
this is eighteen eighty,data/l2arctic/BWC/wav/arctic_b0211.wav,BWC,Chinese,M,gaseous aching a d
death is and has been ever since old maui died,data/l2arctic/BWC/wav/arctic_b0212.wav,BWC,Chinese,M,death is and has been ever since old moi died
some boy she laughed acquiescence,data/l2arctic/BWC/wav/arctic_b0213.wav,BWC,Chinese,M,some boy she laughed a quizzance
let us talk it over and find a way out,data/l2arctic/BWC/wav/arctic_b0214.wav,BWC,Chinese,M,let us talk it over and find a way out
its a good property and worth more than that,data/l2arctic/BWC/wav/arctic_b0215.wav,BWC,Chinese,M,is a good property and worth more than that
i wish you were more adaptable joan retorted,data/l2arctic/BWC/wav/arctic_b0216.wav,BWC,Chinese,M,i wish you were more adaptable john retorted
such is my passage engaged on the steamer,data/l2arctic/BWC/wav/arctic_b0217.wav,BWC,Chinese,M,such is my passage engaged on the steamer
the issue was not in doubt,data/l2arctic/BWC/wav/arctic_b0218.wav,BWC,Chinese,M,the issue was not in doubt
well there are better men in hawaii thats all,data/l2arctic/BWC/wav/arctic_b0219.wav,BWC,Chinese,M,well they're a batter may hawaii vessel
harry bancroft dave lied,data/l2arctic/BWC/wav/arctic_b0220.wav,BWC,Chinese,M,harry pencroft gave light
its a yankee joan cried,data/l2arctic/BWC/wav/arctic_b0221.wav,BWC,Chinese,M,is the anchovy and quiet
he was the leader and tudor was his lieutenant,data/l2arctic/BWC/wav/arctic_b0222.wav,BWC,Chinese,M,he was the leader and tutor was his lawyer at
they likewise are disinclined to being eaten,data/l2arctic/BWC/wav/arctic_b0223.wav,BWC,Chinese,M,date likewise are disinclined to bring aid in
the president of the united states was his friend,data/l2arctic/BWC/wav/arctic_b0225.wav,BWC,Chinese,M,president of the united states was his friend
your face was the personification of duplicity,data/l2arctic/BWC/wav/arctic_b0226.wav,BWC,Chinese,M,or face with a personification of duplicity
shorty turned to their employers,data/l2arctic/BWC/wav/arctic_b0227.wav,BWC,Chinese,M,short he tend to his employers
you were engaged,data/l2arctic/BWC/wav/arctic_b0228.wav,BWC,Chinese,M,you are engaged
i saw it all myself and it was splendid,data/l2arctic/BWC/wav/arctic_b0229.wav,BWC,Chinese,M,i saw you all myself and you were splendid
now run along and tell them to hurry,data/l2arctic/BWC/wav/arctic_b0230.wav,BWC,Chinese,M,now run the law and tell them to hurry
whats that grub thief got to do with it,data/l2arctic/BWC/wav/arctic_b0231.wav,BWC,Chinese,M,was the grub chief got to do with it
it was a superb picture,data/l2arctic/BWC/wav/arctic_b0232.wav,BWC,Chinese,M,it was a superb picture
so she said the irate skipper dashed on,data/l2arctic/BWC/wav/arctic_b0233.wav,BWC,Chinese,M,so she sat the eric's bickered dashed
and watch out for wet feet was his parting advice,data/l2arctic/BWC/wav/arctic_b0234.wav,BWC,Chinese,M,and whatchild for wet feet was his parting advice
raoul yelled in order to make himself heard,data/l2arctic/BWC/wav/arctic_b0235.wav,BWC,Chinese,M,rolled out in order to mix himself her
oolong was two hundred and fifty miles from the nearest land,data/l2arctic/BWC/wav/arctic_b0236.wav,BWC,Chinese,M,ulla was two hundred and fifty miles from the nearest land
they just lay off in the bush and plugged away,data/l2arctic/BWC/wav/arctic_b0237.wav,BWC,Chinese,M,they justly off in the bush and plunged away
the very thought of the effort to swim over was nauseating,data/l2arctic/BWC/wav/arctic_b0238.wav,BWC,Chinese,M,very thought of the effort to swim over with enunciating
and there was a dog that barked,data/l2arctic/BWC/wav/arctic_b0239.wav,BWC,Chinese,M,and there was a dog that barked
there are four all low mcoy answered,data/l2arctic/BWC/wav/arctic_b0240.wav,BWC,Chinese,M,down for although my quiet answer
bill lingered contemplating his work with artistic appreciation,data/l2arctic/BWC/wav/arctic_a0561.wav,BWC,Chinese,M,billingard contemplating his work with artistic appreciation
but well just postpone this,data/l2arctic/BWC/wav/arctic_a0578.wav,BWC,Chinese,M,are wages postponed this
he got out by fighting and i through a pretty girl,data/l2arctic/BWC/wav/arctic_b0002.wav,BWC,Chinese,M,he got out by fighting i thought a pretty girl
he made no reply as he waited for whittemore to continue,data/l2arctic/BWC/wav/arctic_b0020.wav,BWC,Chinese,M,he made no reply as he would have forbidden war to continue
philip knew that she was not an indian,data/l2arctic/BWC/wav/arctic_b0037.wav,BWC,Chinese,M,philip knew that she was not an indian
he understood the meaning of the look,data/l2arctic/BWC/wav/arctic_b0054.wav,BWC,Chinese,M,he honors to the many after look
there was no answer from the other side,data/l2arctic/BWC/wav/arctic_b0071.wav,BWC,Chinese,M,there was no answer from the outer side
until i die he exclaimed,data/l2arctic/BWC/wav/arctic_b0088.wav,BWC,Chinese,M,until at thy he exclaimed
i know that you are in charge there and jeanne knows,data/l2arctic/BWC/wav/arctic_b0105.wav,BWC,Chinese,M,and all that you are in charge here are genoese
philip saw macdougall soon after his short talk with thorpe,data/l2arctic/BWC/wav/arctic_b0122.wav,BWC,Chinese,M,philip saw mack dunnot swim after his short talk with sor
