transcription,path_to_audio,speaker_id,native_language,gender,conformer_960_rope_large_transcriptions
we saw your light and thought you wouldnt mind a call,data/l2arctic/SKA/wav/arctic_b0118.wav,SKA,Arabic,F,we saw your light and thought you wasn't to mind a cold o
billinger may arrive in time,data/l2arctic/SKA/wav/arctic_b0119.wav,SKA,Arabic,F,bidding me arrive in time c
theres the hitch replied thorpe rolling a cigarette,data/l2arctic/SKA/wav/arctic_b0120.wav,SKA,Arabic,F,there is a hedge replied throw rolling a cigarette
i want my men to work by themselves,data/l2arctic/SKA/wav/arctic_b0121.wav,SKA,Arabic,F,i want my men to work by themselves
neither could they understand the growing disaffection among thorpes men,data/l2arctic/SKA/wav/arctic_b0123.wav,SKA,Arabic,F,neither could they understand the growing disaffection among ha therobmans we
two weeks passed and in that time thorpe left camp three times,data/l2arctic/SKA/wav/arctic_b0124.wav,SKA,Arabic,F,two weeks past and in that time to have leved camp three times
it was the third or fourth time that philip had heard macdougall swear,data/l2arctic/SKA/wav/arctic_b0125.wav,SKA,Arabic,F,was the third or fourth time that flub had heard mac dougall swear
blood was oozing slowly from the wounded mans right breast,data/l2arctic/SKA/wav/arctic_b0126.wav,SKA,Arabic,F,blood was oozing slowly from te oded man's right breast
he destroyed everything that had belonged to the woman,data/l2arctic/SKA/wav/arctic_b0127.wav,SKA,Arabic,F,he destroyed everything that had belonged to solomon
philip bent low over pierre,data/l2arctic/SKA/wav/arctic_b0128.wav,SKA,Arabic,F,flapient low over beard
did thorpe go to see any one in churchill,data/l2arctic/SKA/wav/arctic_b0129.wav,SKA,Arabic,F,the troop go to see anyone in churchill oer
she saw the answer in his face,data/l2arctic/SKA/wav/arctic_b0130.wav,SKA,Arabic,F,she saw the answer in his face
thorpe and his men were to destroy this camp and kill you,data/l2arctic/SKA/wav/arctic_b0131.wav,SKA,Arabic,F,tru and his men where to to destroy this camp and kill you
there is no need of further detail now for you can understand,data/l2arctic/SKA/wav/arctic_b0132.wav,SKA,Arabic,F,there is no need of further detail now for you can understand  ah
there followed a roar that shook the earth,data/l2arctic/SKA/wav/arctic_b0133.wav,SKA,Arabic,F,there followed a roar that choked the airs
blind with rage he darted in,data/l2arctic/SKA/wav/arctic_b0134.wav,SKA,Arabic,F,blind with rage he darted and
in it was the joy of life,data/l2arctic/SKA/wav/arctic_b0135.wav,SKA,Arabic,F,and it was the joy of life
swiftly his eyes measured the situation,data/l2arctic/SKA/wav/arctic_b0136.wav,SKA,Arabic,F,swiftly his eyes measured the listration
but this little defect did not worry him,data/l2arctic/SKA/wav/arctic_b0137.wav,SKA,Arabic,F,but this little defect did not worry him
and then he steadily to began to chew,data/l2arctic/SKA/wav/arctic_b0138.wav,SKA,Arabic,F,and then hastily to begin to chew
they edged nearer and stood shoulder to shoulder facing their world,data/l2arctic/SKA/wav/arctic_b0140.wav,SKA,Arabic,F,the aged nearer and stood shoulder to shoulder facing the world
it was beating and waiting in the ambush of those black pits,data/l2arctic/SKA/wav/arctic_b0141.wav,SKA,Arabic,F,twas beating and waiting in the ambushes of those black pits
something vastly more thrilling had come into it now,data/l2arctic/SKA/wav/arctic_b0142.wav,SKA,Arabic,F,something vastly more thrilling had come into it now
it took him half an hour to reach the edge of it,data/l2arctic/SKA/wav/arctic_b0143.wav,SKA,Arabic,F,it took him half an hour to reach the edge of it
but there was no longer the mother yearning in his heart,data/l2arctic/SKA/wav/arctic_b0144.wav,SKA,Arabic,F,but there was no longer the mother earning in his heart
besides had he not whipped the big owl in the forest,data/l2arctic/SKA/wav/arctic_b0145.wav,SKA,Arabic,F,besides had he not whipped the big owl in the forest
after all it was simply a mistake in judgment,data/l2arctic/SKA/wav/arctic_b0146.wav,SKA,Arabic,F,after all it was simply a mistake in judgment
had it struck squarely it would have killed him,data/l2arctic/SKA/wav/arctic_b0147.wav,SKA,Arabic,F,had it struck squarely it would have killed him  qic
the indian even poked his stick into the thick ground spruce,data/l2arctic/SKA/wav/arctic_b0148.wav,SKA,Arabic,F,the indian even buge wo his stick into the thick ground spores
pebbles and dirt flew along with hair and fur,data/l2arctic/SKA/wav/arctic_b0149.wav,SKA,Arabic,F,bubbles and dirt flowed along with hair un dhe fair
and he was filled with a strange and foreboding fear,data/l2arctic/SKA/wav/arctic_b0150.wav,SKA,Arabic,F,and he was filled with a strange and forbidding fear
it was steel a fisher trap,data/l2arctic/SKA/wav/arctic_b0151.wav,SKA,Arabic,F,itwas a stian officiar trap
ow a wild dog he growled,data/l2arctic/SKA/wav/arctic_b0152.wav,SKA,Arabic,F,out ow a look he growled
he was a pariah a wanderer without a friend or a home,data/l2arctic/SKA/wav/arctic_b0153.wav,SKA,Arabic,F,was a briar undard without a friend or a home
that is the strange part of it,data/l2arctic/SKA/wav/arctic_b0154.wav,SKA,Arabic,F,that is the strange part of it
his freshly caught furs he flung to the floor,data/l2arctic/SKA/wav/arctic_b0155.wav,SKA,Arabic,F,his frish cutlet first he flungis to the floor
in the crib the baby sat up and began to prattle,data/l2arctic/SKA/wav/arctic_b0157.wav,SKA,Arabic,F,in the crave the baby sat up and began to brattle
she obeyed shrinking back with the baby in her arms,data/l2arctic/SKA/wav/arctic_b0158.wav,SKA,Arabic,F,she obeyed her inkle back with the baby in her arms
his teeth shut with a last click,data/l2arctic/SKA/wav/arctic_b0159.wav,SKA,Arabic,F,his teeth shut with a last click o
it was over when he made his way through the ring of spectators,data/l2arctic/SKA/wav/arctic_b0160.wav,SKA,Arabic,F,was over when he made his way through the ring of spicters
in a flash he was on his feet facing him,data/l2arctic/SKA/wav/arctic_b0161.wav,SKA,Arabic,F,in a flash he was on his feet facing gahem
he thought he saw a shudder pass through the factors shoulders,data/l2arctic/SKA/wav/arctic_b0162.wav,SKA,Arabic,F,he saw he al so a shoulder bet tro the factor's shoulders
the moon had already begun its westward decline,data/l2arctic/SKA/wav/arctic_b0163.wav,SKA,Arabic,F,the moon had already begun its swuaice toward the decline
they laughed like two happy children,data/l2arctic/SKA/wav/arctic_b0164.wav,SKA,Arabic,F,they laughed like two happy childrenwe
he pulled and the log crashed down to break his back,data/l2arctic/SKA/wav/arctic_b0165.wav,SKA,Arabic,F,he bowled and the dog crashed down to prick his back
fast but endure,data/l2arctic/SKA/wav/arctic_b0166.wav,SKA,Arabic,F,fast bat and dude
a little before dawn of the day following the fire relief came,data/l2arctic/SKA/wav/arctic_b0167.wav,SKA,Arabic,F,lited before dawn on the day following the fairyeliaf camp
the indian felt the worship of her warm in his heart,data/l2arctic/SKA/wav/arctic_b0168.wav,SKA,Arabic,F,the engine felt this worship of her warm in his heart  off her
he drew in a deep breath as he looked at them,data/l2arctic/SKA/wav/arctic_b0169.wav,SKA,Arabic,F,he drew in a deep breath as he looked at them
then he shouted shut up,data/l2arctic/SKA/wav/arctic_b0170.wav,SKA,Arabic,F,then he shouted shut upo
he changed his seat for a steamer reclining chair,data/l2arctic/SKA/wav/arctic_b0171.wav,SKA,Arabic,F,he changed his seat for a stream and reclined a chair
on the far corner of the compound fence a hawk brooded,data/l2arctic/SKA/wav/arctic_b0172.wav,SKA,Arabic,F,on the far corner of the compounded fence a hawk brooded  where
hatred and murder and lust for revenge they possessed to overflowing,data/l2arctic/SKA/wav/arctic_b0174.wav,SKA,Arabic,F,hatred and madred and lust for revenge they burst to overflowing
sheldon glanced at the thermometer,data/l2arctic/SKA/wav/arctic_b0175.wav,SKA,Arabic,F,sheldon glanced at the theamoritos
ill see to poor hughie,data/l2arctic/SKA/wav/arctic_b0176.wav,SKA,Arabic,F,i will see to board her gig
her gray eyes were flashing and her lips were quivering,data/l2arctic/SKA/wav/arctic_b0177.wav,SKA,Arabic,F,her gray eyes were flashing and her lips were grilling o
also i want information,data/l2arctic/SKA/wav/arctic_b0178.wav,SKA,Arabic,F,also i want affirmation
let them go out and eat with my boys,data/l2arctic/SKA/wav/arctic_b0179.wav,SKA,Arabic,F,let them go out and eat with my boys
i i beg pardon he drawled,data/l2arctic/SKA/wav/arctic_b0180.wav,SKA,Arabic,F,i i beg your pardon he drawled  o
and you preferred a cannibal isle and a cartridge belt,data/l2arctic/SKA/wav/arctic_b0181.wav,SKA,Arabic,F,and you preferred a cannibal island and cartgi belt
i was in new york when the crash came,data/l2arctic/SKA/wav/arctic_b0182.wav,SKA,Arabic,F,i was in new york when the crash came
no i did not fall among thieves,data/l2arctic/SKA/wav/arctic_b0183.wav,SKA,Arabic,F,no i did not fall among gazizes
such things in her brain were like so many oaths on her lips,data/l2arctic/SKA/wav/arctic_b0184.wav,SKA,Arabic,F,such things in her brain were like so many others on her lips
your being wrecked here has been a godsend to me,data/l2arctic/SKA/wav/arctic_b0185.wav,SKA,Arabic,F,your being ragg here has been a godsend to me
i cant go elsewhere by your own account,data/l2arctic/SKA/wav/arctic_b0186.wav,SKA,Arabic,F,i canot go elsewhere by your own account  or
her achievements with cocoanuts were a revelation,data/l2arctic/SKA/wav/arctic_b0187.wav,SKA,Arabic,F,her achievements was cocoanut were a revelation e
he glanced down at her helplessly and moistened his lips,data/l2arctic/SKA/wav/arctic_b0188.wav,SKA,Arabic,F,he glanced down at her helplesslessly and moistened his lips
that is what distinguishes all of us from the lower animals,data/l2arctic/SKA/wav/arctic_b0189.wav,SKA,Arabic,F,that is what distinguishes all of us from the lower animals
he also contended that better confidence was established by carrying no weapons,data/l2arctic/SKA/wav/arctic_b0191.wav,SKA,Arabic,F,he also contended that better confidence was established by carrying in oll events
outsiders are allowed five minute speeches the sick man urged,data/l2arctic/SKA/wav/arctic_b0192.wav,SKA,Arabic,F,outsiders are allowed five minute speeches the sick man urged
so was packards finish suicide,data/l2arctic/SKA/wav/arctic_b0193.wav,SKA,Arabic,F,so was backard's finished society
joan cried with shining eyes,data/l2arctic/SKA/wav/arctic_b0194.wav,SKA,Arabic,F,joan cried with shining eyes  o
nobody knows how the natives got them,data/l2arctic/SKA/wav/arctic_b0195.wav,SKA,Arabic,F,nobody knows how the natives got them
how can you manage all alone mister young,data/l2arctic/SKA/wav/arctic_b0196.wav,SKA,Arabic,F,how can you manage all alone mister yang
the planters are already considering the matter,data/l2arctic/SKA/wav/arctic_b0197.wav,SKA,Arabic,F,the planters are already considering the matter
i use great trouble advisedly,data/l2arctic/SKA/wav/arctic_b0198.wav,SKA,Arabic,F,i use great trouble adveirsely
dear sir your second victim has fallen on schedule time,data/l2arctic/SKA/wav/arctic_b0199.wav,SKA,Arabic,F,dear sir your second victim has fallen on schedule time
we leave the eventuality to time and law,data/l2arctic/SKA/wav/arctic_b0200.wav,SKA,Arabic,F,we leave the eventuality to time the and law
i also understand that similar branch organizations have made their appearance in europe,data/l2arctic/SKA/wav/arctic_b0201.wav,SKA,Arabic,F,i also understand that similar branch organizations had made their appearance in europe or
society is shaken to its foundations,data/l2arctic/SKA/wav/arctic_b0202.wav,SKA,Arabic,F,society is shaken to its foundations
a month in australia would finish me,data/l2arctic/SKA/wav/arctic_b0203.wav,SKA,Arabic,F,a months in australia would finish me
down through the perfume weighted air fluttered the snowy fluffs of the cottonwoods,data/l2arctic/SKA/wav/arctic_b0204.wav,SKA,Arabic,F,down through the perfume waihted air floated the snowy fluffles of the cottonwoods
you were destroying my life,data/l2arctic/SKA/wav/arctic_b0205.wav,SKA,Arabic,F,yo overdestroying my life
horses and rifles had been her toys camp and trail her nursery,data/l2arctic/SKA/wav/arctic_b0206.wav,SKA,Arabic,F,horses and rifles had been her toys camp and trail her nursery
you read the quotations in todays paper,data/l2arctic/SKA/wav/arctic_b0208.wav,SKA,Arabic,F,you read the quotations in to day's paper
hes terribly touchy about his black wards as he calls them,data/l2arctic/SKA/wav/arctic_b0209.wav,SKA,Arabic,F,he's terribly touched about his black wards as he calls tem
whatever he guessed he locked away in the taboo room of naomi,data/l2arctic/SKA/wav/arctic_b0210.wav,SKA,Arabic,F,whatever he guessed he logged away in the taboo room of namoil  or
this is eighteen eighty,data/l2arctic/SKA/wav/arctic_b0211.wav,SKA,Arabic,F,this is eighteen eighty
death is and has been ever since old maui died,data/l2arctic/SKA/wav/arctic_b0212.wav,SKA,Arabic,F,this is and it has been ever since old mayrer died
some boy she laughed acquiescence,data/l2arctic/SKA/wav/arctic_b0213.wav,SKA,Arabic,F,some boys she loved acquissance
let us talk it over and find a way out,data/l2arctic/SKA/wav/arctic_b0214.wav,SKA,Arabic,F,let us talk it over and find a way out
its a good property and worth more than that,data/l2arctic/SKA/wav/arctic_b0215.wav,SKA,Arabic,F,is a good broberty and worth more than that
i wish you were more adaptable joan retorted,data/l2arctic/SKA/wav/arctic_b0216.wav,SKA,Arabic,F,i wish you were more adaptable joan retorted
such is my passage engaged on the steamer,data/l2arctic/SKA/wav/arctic_b0217.wav,SKA,Arabic,F,such as my passage engaged it on the steamer
the issue was not in doubt,data/l2arctic/SKA/wav/arctic_b0218.wav,SKA,Arabic,F,the issue was not in doubt
well there are better men in hawaii thats all,data/l2arctic/SKA/wav/arctic_b0219.wav,SKA,Arabic,F,will the raw bitter man in howaye that's all
harry bancroft dave lied,data/l2arctic/SKA/wav/arctic_b0220.wav,SKA,Arabic,F,harry pencroft davelight
its a yankee joan cried,data/l2arctic/SKA/wav/arctic_b0221.wav,SKA,Arabic,F,sayanke jean cried
he was the leader and tudor was his lieutenant,data/l2arctic/SKA/wav/arctic_b0222.wav,SKA,Arabic,F,he was the leader and tudor was his leonond
they likewise are disinclined to being eaten,data/l2arctic/SKA/wav/arctic_b0223.wav,SKA,Arabic,F,they likewise are disinclined to beings eaten
the president of the united states was his friend,data/l2arctic/SKA/wav/arctic_b0225.wav,SKA,Arabic,F,the president of the united states was his friend
your face was the personification of duplicity,data/l2arctic/SKA/wav/arctic_b0226.wav,SKA,Arabic,F,your face was the personification of dublicity
shorty turned to their employers,data/l2arctic/SKA/wav/arctic_b0227.wav,SKA,Arabic,F,shortly turned to their employers
you were engaged,data/l2arctic/SKA/wav/arctic_b0228.wav,SKA,Arabic,F,your engaged
i saw it all myself and it was splendid,data/l2arctic/SKA/wav/arctic_b0229.wav,SKA,Arabic,F,i saw it all myself and it was splendid
now run along and tell them to hurry,data/l2arctic/SKA/wav/arctic_b0230.wav,SKA,Arabic,F,now run along and tell them to hurry
whats that grub thief got to do with it,data/l2arctic/SKA/wav/arctic_b0231.wav,SKA,Arabic,F,what's zhat grub thief go to do was at
it was a superb picture,data/l2arctic/SKA/wav/arctic_b0232.wav,SKA,Arabic,F,it was a suber picture
so she said the irate skipper dashed on,data/l2arctic/SKA/wav/arctic_b0233.wav,SKA,Arabic,F,so she saned sir riter kilbert de chaunain a
and watch out for wet feet was his parting advice,data/l2arctic/SKA/wav/arctic_b0234.wav,SKA,Arabic,F,and watch out for wheatfeed was his parting advice
raoul yelled in order to make himself heard,data/l2arctic/SKA/wav/arctic_b0235.wav,SKA,Arabic,F,roll yard in order to make himself heard
oolong was two hundred and fifty miles from the nearest land,data/l2arctic/SKA/wav/arctic_b0236.wav,SKA,Arabic,F,orlong was two hundred and fifty miles from zanirstayl land
they just lay off in the bush and plugged away,data/l2arctic/SKA/wav/arctic_b0237.wav,SKA,Arabic,F,they just lay off in the bush and blugged away
the very thought of the effort to swim over was nauseating,data/l2arctic/SKA/wav/arctic_b0238.wav,SKA,Arabic,F,the very thought of the effort to swim over was nesiating
and there was a dog that barked,data/l2arctic/SKA/wav/arctic_b0239.wav,SKA,Arabic,F,and there was a dog that barked
there are four all low mcoy answered,data/l2arctic/SKA/wav/arctic_b0240.wav,SKA,Arabic,F,there are forl all low maquay answered
bill lingered contemplating his work with artistic appreciation,data/l2arctic/SKA/wav/arctic_a0561.wav,SKA,Arabic,F,belengrod contemplating his work with artistic appreciation  so
but well just postpone this,data/l2arctic/SKA/wav/arctic_a0578.wav,SKA,Arabic,F,but we will just postpone this
you got out by fighting and i through a pretty girl,data/l2arctic/SKA/wav/arctic_b0002.wav,SKA,Arabic,F,yougot out by fighting and i show a bitty giar
he made no reply as he waited for whittemore to continue,data/l2arctic/SKA/wav/arctic_b0020.wav,SKA,Arabic,F,he made no reply as he waited for whitmore to continue owever
philip knew that he was not an indian,data/l2arctic/SKA/wav/arctic_b0037.wav,SKA,Arabic,F,philip knows that he was not an engine  o
he understood the meaning of the look,data/l2arctic/SKA/wav/arctic_b0054.wav,SKA,Arabic,F,he understood the meaning of the look
there was no answer from the other side,data/l2arctic/SKA/wav/arctic_b0071.wav,SKA,Arabic,F,there was no answer from the other side
until i die he exclaimed,data/l2arctic/SKA/wav/arctic_b0088.wav,SKA,Arabic,F,until i die he exclaimed o
i know that you are in charge there and jeanne knows,data/l2arctic/SKA/wav/arctic_b0105.wav,SKA,Arabic,F,i knows that you are in charge there and jinny knows
philip saw macdougall soon after his short talk with thorpe,data/l2arctic/SKA/wav/arctic_b0122.wav,SKA,Arabic,F,philips a'mac donald so after his short talk with frow
together they ate the rabbit,data/l2arctic/SKA/wav/arctic_b0139.wav,SKA,Arabic,F,togizer the atherab
for that reason le beau had chosen him to fight the big fight,data/l2arctic/SKA/wav/arctic_b0156.wav,SKA,Arabic,F,for that reason labod had chosen him to fight the big fight
to these he gave castor oil,data/l2arctic/SKA/wav/arctic_b0173.wav,SKA,Arabic,F,to these he gaveth castellight l
idealism led him to philosophic anarchy and his family threw him off,data/l2arctic/SKA/wav/arctic_b0190.wav,SKA,Arabic,F,idealism led him to philosophic anarchy and his families throw him off
im as good as a man she urged,data/l2arctic/SKA/wav/arctic_b0207.wav,SKA,Arabic,F,am as good as a man she urged
but to culture the revolution thus far had exhausted the junta,data/l2arctic/SKA/wav/arctic_b0224.wav,SKA,Arabic,F,but tokalacher the revolutions thus far had exhausted toujonta
the women they carried away with them to the big valley,data/l2arctic/SKA/wav/arctic_b0241.wav,SKA,Arabic,F,the women they carry away with them to the big valley
you fired me out of your house in short,data/l2arctic/SKA/wav/arctic_b0258.wav,SKA,Arabic,F,you fired me out of your house in short  o
but i did not enjoy it long,data/l2arctic/SKA/wav/arctic_b0275.wav,SKA,Arabic,F,but i did not enjoyit long
the fire men wore animal skins around their waists and across their shoulders,data/l2arctic/SKA/wav/arctic_b0292.wav,SKA,Arabic,F,firemen wear animal skins around their waists and across their shoulders
nor was elam harnish an exception,data/l2arctic/SKA/wav/arctic_b0309.wav,SKA,Arabic,F,nor was allam harnish an exception
our mister howison will call upon you at your hotel,data/l2arctic/SKA/wav/arctic_b0326.wav,SKA,Arabic,F,our mister hawson will call upon you at your hotel
but how are you going to do it,data/l2arctic/SKA/wav/arctic_b0343.wav,SKA,Arabic,F,but how he winked at it
he may desire to escape pain or to enjoy pleasure,data/l2arctic/SKA/wav/arctic_b0413.wav,SKA,Arabic,F,he may desire to escape being or to enjoy pleasure
the japanese understood as we could never school ourselves or hope to understand,data/l2arctic/SKA/wav/arctic_b0242.wav,SKA,Arabic,F,the japanese understood as we could never school ourselves or hope to understand
they had been on the same lay as ourselves,data/l2arctic/SKA/wav/arctic_b0243.wav,SKA,Arabic,F,they had been on the same lay as ourselves
you are positively soulless he said savagely,data/l2arctic/SKA/wav/arctic_b0244.wav,SKA,Arabic,F,you are positively soulless he said savagely
harrison is still my chauffeur,data/l2arctic/SKA/wav/arctic_b0245.wav,SKA,Arabic,F,harrison's ansistand my chauffeur
the boy grew and prospered,data/l2arctic/SKA/wav/arctic_b0246.wav,SKA,Arabic,F,the boygrow and brospit
he wanted to give the finish to this foe already so far gone,data/l2arctic/SKA/wav/arctic_b0247.wav,SKA,Arabic,F,he wanted to give the finish to a zestful already so far gone
exciting times are the lot of the fish patrol,data/l2arctic/SKA/wav/arctic_b0248.wav,SKA,Arabic,F,exciting times are the lot of the fish patrol
i know they are my oysters,data/l2arctic/SKA/wav/arctic_b0249.wav,SKA,Arabic,F,i know they are my oysters
by this time charley was as enraged as the greek,data/l2arctic/SKA/wav/arctic_b0250.wav,SKA,Arabic,F,by this time charley was as enraged as the greek
they must have been swept away by the chaotic currents,data/l2arctic/SKA/wav/arctic_b0251.wav,SKA,Arabic,F,they must have been swept away by the acuic currents
it resembled tea less than lager beer resembles champagne,data/l2arctic/SKA/wav/arctic_b0252.wav,SKA,Arabic,F,it resembles the tele then legarbeard resembles thi chambin
the very opposite is true they are discouraged vagabonds,data/l2arctic/SKA/wav/arctic_b0253.wav,SKA,Arabic,F,the very opposite is true they are the discoraged vagabonds
at the same time spears and arrows began to fall among the invaders,data/l2arctic/SKA/wav/arctic_b0254.wav,SKA,Arabic,F,at the same time spears and arrows began to fall among the invaders
then again tudor had such an irritating way about him,data/l2arctic/SKA/wav/arctic_b0255.wav,SKA,Arabic,F,then again tuder had such an rritating way about him
outwardly he maintained a calm and smiling aspect,data/l2arctic/SKA/wav/arctic_b0256.wav,SKA,Arabic,F,awold hardly himaintain a kalmsmelling aspect
tudor surveyed him with withering disgust,data/l2arctic/SKA/wav/arctic_b0257.wav,SKA,Arabic,F,toother survey him with withering disgust
her mouth opened but instead of speaking she drew a long sigh,data/l2arctic/SKA/wav/arctic_b0259.wav,SKA,Arabic,F,her mouth opened but instead of speaking he drew a long sigh
its worth eight dollars,data/l2arctic/SKA/wav/arctic_b0260.wav,SKA,Arabic,F,terty eight dollars
and he did hurt my arm,data/l2arctic/SKA/wav/arctic_b0261.wav,SKA,Arabic,F,and hit hid that hurt my hart
saxons onto her job,data/l2arctic/SKA/wav/arctic_b0262.wav,SKA,Arabic,F,fags on on to her job
only once did i confide the strangeness of it all to another,data/l2arctic/SKA/wav/arctic_b0263.wav,SKA,Arabic,F,only once did i confide the strangest of it all to another
but this time it was saxon who rebelled,data/l2arctic/SKA/wav/arctic_b0264.wav,SKA,Arabic,F,but this time it was saxon hollybeld
i was not to cry out in the face of fear,data/l2arctic/SKA/wav/arctic_b0265.wav,SKA,Arabic,F,i was not to cry out in the face of fear
and now put yourself in my place for a moment,data/l2arctic/SKA/wav/arctic_b0266.wav,SKA,Arabic,F,and now put yourself in my place for a moment
the boy threw back his head with pride,data/l2arctic/SKA/wav/arctic_b0267.wav,SKA,Arabic,F,the boy thrown back his head was bright a
saxon nodded and the boy frowned,data/l2arctic/SKA/wav/arctic_b0268.wav,SKA,Arabic,F,sexo nodded and the boy frowned
why not like any railroad station or ferry depot,data/l2arctic/SKA/wav/arctic_b0269.wav,SKA,Arabic,F,why not like any railroad station or fiearg debot
could throw stones with our feet,data/l2arctic/SKA/wav/arctic_b0270.wav,SKA,Arabic,F,catro stones with our feet
it was put together in a casual helter skelter sort of way,data/l2arctic/SKA/wav/arctic_b0271.wav,SKA,Arabic,F,was brought together in a casual helter skelter store to avoid
these were merely stout sticks an inch or so in diameter,data/l2arctic/SKA/wav/arctic_b0272.wav,SKA,Arabic,F,these were merely stout staks an inch or so in diameter
then it was that a strange thing happened,data/l2arctic/SKA/wav/arctic_b0273.wav,SKA,Arabic,F,then it was that a strange thing happened
from the source of light a harsh voice said,data/l2arctic/SKA/wav/arctic_b0274.wav,SKA,Arabic,F,from the source of light a harsh voice said
we were now good friends,data/l2arctic/SKA/wav/arctic_b0276.wav,SKA,Arabic,F,wwere now good friends
two of the folk were already up,data/l2arctic/SKA/wav/arctic_b0277.wav,SKA,Arabic,F,of the foresquare or the jap
now animals do not like mockery,data/l2arctic/SKA/wav/arctic_b0278.wav,SKA,Arabic,F,now animals do not like mockery
he gave one last snarl and slid from view among the trees,data/l2arctic/SKA/wav/arctic_b0279.wav,SKA,Arabic,F,hegave one last snarl and slid from view among the trees
again the girls applauded and missus hall cried,data/l2arctic/SKA/wav/arctic_b0280.wav,SKA,Arabic,F,again the girls applauded and missus halls cried
just the same id sooner be myself than have book indigestion,data/l2arctic/SKA/wav/arctic_b0281.wav,SKA,Arabic,F,justiz a same i'd sooner be myself than have book in digisthion
some of the smaller veins had doubtless been ruptured,data/l2arctic/SKA/wav/arctic_b0282.wav,SKA,Arabic,F,some of the smaller veins had doubtless been ruptured
but we were without this momentum,data/l2arctic/SKA/wav/arctic_b0283.wav,SKA,Arabic,F,but we were without this momentum
there was one difficulty however,data/l2arctic/SKA/wav/arctic_b0284.wav,SKA,Arabic,F,there was one difficulty however
the hyena proceeded to dine,data/l2arctic/SKA/wav/arctic_b0285.wav,SKA,Arabic,F,diana proceeded to dine
the time was considered auspicious,data/l2arctic/SKA/wav/arctic_b0286.wav,SKA,Arabic,F,the time most considered auspicious r
or have they already devised one,data/l2arctic/SKA/wav/arctic_b0287.wav,SKA,Arabic,F,or have the already devised one r
we would not spend another such night,data/l2arctic/SKA/wav/arctic_b0288.wav,SKA,Arabic,F,would not spend another such time
at first his progress was slow and erratic,data/l2arctic/SKA/wav/arctic_b0289.wav,SKA,Arabic,F,at first his progress was slow and erratic
he placed his paw on one and its movements were accelerated,data/l2arctic/SKA/wav/arctic_b0290.wav,SKA,Arabic,F,he blaced his bull on one and that movement swaded accelerated
the awe of man rushed over him again,data/l2arctic/SKA/wav/arctic_b0291.wav,SKA,Arabic,F,the old man rushed over him again
between him and all domestic animals there must be no hostilities,data/l2arctic/SKA/wav/arctic_b0293.wav,SKA,Arabic,F,between him and all domestic animals there must be no hostilitis e
for a much longer time lop ear and i remained and watched,data/l2arctic/SKA/wav/arctic_b0294.wav,SKA,Arabic,F,for a much longer time lop here and i remind and watch it  o
all right sir replied jock with great regret,data/l2arctic/SKA/wav/arctic_b0295.wav,SKA,Arabic,F,all right sir replied jok with great regret
at times i wondered where sir archibald got his style,data/l2arctic/SKA/wav/arctic_b0296.wav,SKA,Arabic,F,at times i wondered where sir arsteblod got his style
why should a fellow throw up the sponge after the first round,data/l2arctic/SKA/wav/arctic_b0297.wav,SKA,Arabic,F,why shouldn a fellow throw up thesponge after the first round
his hand shot out and clutched crooked leg by the neck,data/l2arctic/SKA/wav/arctic_b0298.wav,SKA,Arabic,F,his hand shot out and the cruchel krowled a lig byzarnik
miss brodies smile was slightly sarcastic,data/l2arctic/SKA/wav/arctic_b0299.wav,SKA,Arabic,F,miss bloddy's smile was slightly sarcastic
does the old boy often go off at half cock that way,data/l2arctic/SKA/wav/arctic_b0300.wav,SKA,Arabic,F,does the old buroy often go off at half cook that way
a flying arrow passed between us,data/l2arctic/SKA/wav/arctic_b0301.wav,SKA,Arabic,F,lying an arrow bites between us
i pulled suddenly with all my might,data/l2arctic/SKA/wav/arctic_b0302.wav,SKA,Arabic,F,i bawled suddenly with all my might
here we allow our solicitors to look after our legal work,data/l2arctic/SKA/wav/arctic_b0303.wav,SKA,Arabic,F,here we allow our solicitors to look after our legal work
his previous wives have never lived long enough to bear him children,data/l2arctic/SKA/wav/arctic_b0304.wav,SKA,Arabic,F,his braviest wives have niver lived long enough to bear ham children wer
it was our river emerging like ourselves from the great swamp,data/l2arctic/SKA/wav/arctic_b0305.wav,SKA,Arabic,F,twas our river emerging like ourselves from tha great swamp
cameron looked at his hands with their long sinewy fingers,data/l2arctic/SKA/wav/arctic_b0306.wav,SKA,Arabic,F,camera locged at his hands with her long sinewy fingers
we got few vegetables and fruits and became fish eaters,data/l2arctic/SKA/wav/arctic_b0307.wav,SKA,Arabic,F,wgot few vegetables and fruits and became fish eaters
we never made another migration,data/l2arctic/SKA/wav/arctic_b0308.wav,SKA,Arabic,F,we never made another migration
a little treatment massage with some help from the doctor,data/l2arctic/SKA/wav/arctic_b0310.wav,SKA,Arabic,F,a little treatment o massage with some help from the doctor
the twenty ninth very foggy,data/l2arctic/SKA/wav/arctic_b0311.wav,SKA,Arabic,F,twenty ninth very foggy
dig in youre sure good was daylights answer,data/l2arctic/SKA/wav/arctic_b0312.wav,SKA,Arabic,F,degain your sure good was delight's answer
the apron string loomed near he and he shied like an unbroken colt,data/l2arctic/SKA/wav/arctic_b0313.wav,SKA,Arabic,F,the aprown strean loamed near he and his sheet like an broken cloth
he had been born with this endowment,data/l2arctic/SKA/wav/arctic_b0314.wav,SKA,Arabic,F,he had been born with this andimentah
