transcription,path_to_audio,speaker_id,native_language,gender,wav2vec2_large_transcriptions
the apron string loomed near and he shied like an unbroken colt,data/l2arctic/LXC/wav/arctic_b0313.wav,LXC,Chinese,F,la epron string loomed near and e hea shet like a unbroken cop
he had been born with this endowment,data/l2arctic/LXC/wav/arctic_b0314.wav,LXC,Chinese,F,he had been born with his indulment
and this was their sole conversation throughout the meal,data/l2arctic/LXC/wav/arctic_b0315.wav,LXC,Chinese,F,and least was ther a soul conversations or utter mail
though the aurora still flamed another day had begun,data/l2arctic/LXC/wav/arctic_b0316.wav,LXC,Chinese,F,though the aurera still flamed a narra day had begun
he did not believe in the burning of daylight for such a luxury,data/l2arctic/LXC/wav/arctic_b0317.wav,LXC,Chinese,F,he did not believe in the burning of a daylight for such a luxury
again he had done the big thing,data/l2arctic/LXC/wav/arctic_b0318.wav,LXC,Chinese,F,again he had done the big sing
daylight was tired profoundly tired,data/l2arctic/LXC/wav/arctic_b0319.wav,LXC,Chinese,F,daylight was tired profoundly tired
the regret in his voice was provocative of a second burst of laughter,data/l2arctic/LXC/wav/arctic_b0320.wav,LXC,Chinese,F,the regret in his voice were provocative of a second breast of laghter
instead he arrived on the night of the second day,data/l2arctic/LXC/wav/arctic_b0321.wav,LXC,Chinese,F,instead he arrived on the night of the second day
their supply of grub was gone,data/l2arctic/LXC/wav/arctic_b0322.wav,LXC,Chinese,F,the supply of grab was gong
crickets began to chirp and more geese and ducks flew overhead,data/l2arctic/LXC/wav/arctic_b0323.wav,LXC,Chinese,F,creaks began to chirp and the moregeese and the tacks flew overhead
not till the twentieth of may did the river break,data/l2arctic/LXC/wav/arctic_b0324.wav,LXC,Chinese,F,nartier the twentiet of mai dide ryver bracg
it was a gigantic inadequacy,data/l2arctic/LXC/wav/arctic_b0325.wav,LXC,Chinese,F,it was a gigantic inediquacy
he had been so easy,data/l2arctic/LXC/wav/arctic_b0327.wav,LXC,Chinese,F,he had been so easy
change chairs daylight commanded,data/l2arctic/LXC/wav/arctic_b0328.wav,LXC,Chinese,F,chincers daylight commondid
id sooner have my chips back,data/l2arctic/LXC/wav/arctic_b0329.wav,LXC,Chinese,F,i'de sooner have my chips back
they only had a little thirty thousand dollar fire,data/l2arctic/LXC/wav/arctic_b0330.wav,LXC,Chinese,F,they only had a little thirty thousand dollars fell
his partners had starved and died on the stewart,data/l2arctic/LXC/wav/arctic_b0331.wav,LXC,Chinese,F,his patners had stabbed and a tied onles duerd
as to how she dressed he had no ideas at all,data/l2arctic/LXC/wav/arctic_b0332.wav,LXC,Chinese,F,as to how she jessed he had no ideas at all
it does was her audacious answer,data/l2arctic/LXC/wav/arctic_b0333.wav,LXC,Chinese,F,atas was her ordectured answer
oh its just a novel a love story,data/l2arctic/LXC/wav/arctic_b0334.wav,LXC,Chinese,F,oh it's just a novel a love story
whoever lived on the ranch did that,data/l2arctic/LXC/wav/arctic_b0335.wav,LXC,Chinese,F,whoever lived only rench did deat
how old are you mother,data/l2arctic/LXC/wav/arctic_b0336.wav,LXC,Chinese,F,how old are you mother
here he got a fresh thrill,data/l2arctic/LXC/wav/arctic_b0337.wav,LXC,Chinese,F,here he got afresh serere
it was unobtrusive yet it was there,data/l2arctic/LXC/wav/arctic_b0338.wav,LXC,Chinese,F,it was unnobtuosive yet it was there
well ill be plumb gosh darned,data/l2arctic/LXC/wav/arctic_b0339.wav,LXC,Chinese,F,will aube plam gastant
these quick little joys of hers were sources of joy to him,data/l2arctic/LXC/wav/arctic_b0340.wav,LXC,Chinese,F,thes quick little joys of hers were a source of joy to him
i play that choice wide open to win,data/l2arctic/LXC/wav/arctic_b0341.wav,LXC,Chinese,F,a plat led choice wite open toing
each improvement makes the value of everything else pump up,data/l2arctic/LXC/wav/arctic_b0342.wav,LXC,Chinese,F,each emprovement makes the value of everything else pump act
lots of men take women buggy riding,data/l2arctic/LXC/wav/arctic_b0344.wav,LXC,Chinese,F,lot of men take wormen piggy riding
daylight made no answer and the door closed behind him,data/l2arctic/LXC/wav/arctic_b0345.wav,LXC,Chinese,F,daylight make no answer and ra door closed behind him
theres not an iota of truth in it,data/l2arctic/LXC/wav/arctic_b0346.wav,LXC,Chinese,F,there's nottang auter of chuse in eit
but ever his gaze returned to that crouched venus on the piano,data/l2arctic/LXC/wav/arctic_b0347.wav,LXC,Chinese,F,but ever his gazes returned to tha crunched weriness on the piano
would you be satisfied with that one hundredth part of me,data/l2arctic/LXC/wav/arctic_b0348.wav,LXC,Chinese,F,would you be satisfied with that wang huntris pat of me
in such a tumbling of values was no time to sell,data/l2arctic/LXC/wav/arctic_b0349.wav,LXC,Chinese,F,in such a crumbling of wellos was no time to sail
stand off butcher and baker and all the rest,data/l2arctic/LXC/wav/arctic_b0350.wav,LXC,Chinese,F,stand of byter and baker and all the best
matthewson who is this bookkeeper rogers,data/l2arctic/LXC/wav/arctic_b0351.wav,LXC,Chinese,F,meshusen huisly's book keeper rogerss
now just what do you want to know,data/l2arctic/LXC/wav/arctic_b0352.wav,LXC,Chinese,F,now just what you want to know
i want to know how all this is possible,data/l2arctic/LXC/wav/arctic_b0353.wav,LXC,Chinese,F,i want to know how all this is possible
its that much junk,data/l2arctic/LXC/wav/arctic_b0354.wav,LXC,Chinese,F,aids that march junk
there was proper division of labor in the work they individually performed,data/l2arctic/LXC/wav/arctic_b0355.wav,LXC,Chinese,F,there was proper divasion of labor in the work lay individually performed
he loved to play chinese lottery,data/l2arctic/LXC/wav/arctic_b0356.wav,LXC,Chinese,F,he loved to play chinese lottery
the law of club and fang,data/l2arctic/LXC/wav/arctic_b0357.wav,LXC,Chinese,F,a law of cab and a fon
the temperature dropped to fifty below zero and remained there the whole trip,data/l2arctic/LXC/wav/arctic_b0358.wav,LXC,Chinese,F,tha temperature dopped fifty below zero and reminded the earl hoche
and as never before he was ready to obey,data/l2arctic/LXC/wav/arctic_b0359.wav,LXC,Chinese,F,an as never before he was ready to obey
there are the canals of china and the yangtse river,data/l2arctic/LXC/wav/arctic_b0361.wav,LXC,Chinese,F,there are the kennels of china and e l youngs river
we threaten to be of the one mind before the voyage is completed,data/l2arctic/LXC/wav/arctic_b0362.wav,LXC,Chinese,F,we threaten to be of lemon mind before the voyage is complicated
she was built primarily to sail,data/l2arctic/LXC/wav/arctic_b0363.wav,LXC,Chinese,F,sea wors built primary to sail
in the bohemian club of san francisco there are some crack sailors,data/l2arctic/LXC/wav/arctic_b0364.wav,LXC,Chinese,F,inle bohemien clap of san francisco there are some crag sailors
my age in years is twenty two,data/l2arctic/LXC/wav/arctic_b0365.wav,LXC,Chinese,F,may age in years is twenty two
i forgot how easily i had taught myself from the printed page,data/l2arctic/LXC/wav/arctic_b0366.wav,LXC,Chinese,F,i forgot how easily i had pied my self alon a prainted pitch
any average young fellow can teach himself in a week,data/l2arctic/LXC/wav/arctic_b0367.wav,LXC,Chinese,F,endy everage young fellow can teach himself in a week
please do not think that i already know it all,data/l2arctic/LXC/wav/arctic_b0368.wav,LXC,Chinese,F,please do nothink bhut i already niw it all
you see we were teaching ourselves,data/l2arctic/LXC/wav/arctic_b0369.wav,LXC,Chinese,F,you say we were teaching our septs
and now behold the perversity of things,data/l2arctic/LXC/wav/arctic_b0370.wav,LXC,Chinese,F,and now beholder perversity of things
yield yourself to the waters that are ripping and tearing at you,data/l2arctic/LXC/wav/arctic_b0371.wav,LXC,Chinese,F,yield yourself to the waters that are reaping and the teering at you
mister mcveigh told me about him,data/l2arctic/LXC/wav/arctic_b0372.wav,LXC,Chinese,F,mister magwing told me about him
unlike joshua he stood in no need of divine assistance,data/l2arctic/LXC/wav/arctic_b0373.wav,LXC,Chinese,F,unlike josha he stood in no need of diving assistance
to say the least captain cook was a rather thorough going empiricist,data/l2arctic/LXC/wav/arctic_b0374.wav,LXC,Chinese,F,tosileliste captain cook was a rather sorrough going imperious ceast
man could not conquer them,data/l2arctic/LXC/wav/arctic_b0375.wav,LXC,Chinese,F,men could not conquer them
thought i and a worthy fool he proved,data/l2arctic/LXC/wav/arctic_b0376.wav,LXC,Chinese,F,sought eye and the vosy for he proved
i like to speculate upon the glorious future of man,data/l2arctic/LXC/wav/arctic_b0378.wav,LXC,Chinese,F,i like to speculate upon the glorious future of men
christmas is an easy problem compared with a polynesian giving feast,data/l2arctic/LXC/wav/arctic_b0379.wav,LXC,Chinese,F,chrisomers is an easy probrum compared with a palynesium giving feast
he had peeled off his shirt and was wildly waving it,data/l2arctic/LXC/wav/arctic_b0380.wav,LXC,Chinese,F,he had peered off his shirt and was widely weaving e
and how would we ever find ourselves,data/l2arctic/LXC/wav/arctic_b0381.wav,LXC,Chinese,F,and how would we ever found ourselves
i defy any man to get a solomon island sore in california,data/l2arctic/LXC/wav/arctic_b0382.wav,LXC,Chinese,F,i defy any man to get a solomon island saw in california
a bush chief had died a natural death,data/l2arctic/LXC/wav/arctic_b0383.wav,LXC,Chinese,F,a bush chief had died unnatural desk
the skippers and na ka tas gymnastics served as a translation without words,data/l2arctic/LXC/wav/arctic_b0384.wav,LXC,Chinese,F,lasqipers and the nacnacatas gymnastic served as a translation without words
last night he showed all the symptoms of coming down with pneumonia,data/l2arctic/LXC/wav/arctic_b0385.wav,LXC,Chinese,F,last night he showed all a syptoms of comidan ris neumonia
my idea was that he would have more influence over the natives,data/l2arctic/LXC/wav/arctic_b0386.wav,LXC,Chinese,F,my idea was that he would have more influence over the natives
it is merely the simple superlative,data/l2arctic/LXC/wav/arctic_b0387.wav,LXC,Chinese,F,it is merely the simple super lief
i made no more overtures,data/l2arctic/LXC/wav/arctic_b0388.wav,LXC,Chinese,F,amit no more overturist
among my minor afflictions i may mention a new and mysterious one,data/l2arctic/LXC/wav/arctic_b0389.wav,LXC,Chinese,F,among my miner aflocations i may mention a new and mysterious one
the voyage was our idea of a good time,data/l2arctic/LXC/wav/arctic_b0390.wav,LXC,Chinese,F,the voyage was our idea of a good time
at sea tuesday march seventeen nineteen zero eight,data/l2arctic/LXC/wav/arctic_b0391.wav,LXC,Chinese,F,f tuesday march sevty nineteen er eight
yes sir he answered with cheerful alacrity,data/l2arctic/LXC/wav/arctic_b0392.wav,LXC,Chinese,F,yes sir he answered with cheerful elacrity
i was still weak from my prolonged immersion,data/l2arctic/LXC/wav/arctic_b0393.wav,LXC,Chinese,F,i was still weak from my prolonged emmertion
i was beneath the water suffocating and drowning,data/l2arctic/LXC/wav/arctic_b0395.wav,LXC,Chinese,F,i was beneath the water suffocating and the joiing
the pain from my hurt knee was agonizing,data/l2arctic/LXC/wav/arctic_b0396.wav,LXC,Chinese,F,the painfrom my hadnee was agonizing
the hunters were still arguing and roaring like some semi human amphibious breed,data/l2arctic/LXC/wav/arctic_b0397.wav,LXC,Chinese,F,the hunters were still aguing an the roring like some semihuman anphibious bred
i have been robbed sir i amended,data/l2arctic/LXC/wav/arctic_b0398.wav,LXC,Chinese,F,i have been robbed sir i omended
you were looking squeamish this afternoon he began,data/l2arctic/LXC/wav/arctic_b0399.wav,LXC,Chinese,F,you ware looking sucreme mish this afternoon he begin
how could i answer the question on the spur of the moment,data/l2arctic/LXC/wav/arctic_b0400.wav,LXC,Chinese,F,how could i answer crashing onless sbur of lamomon
i learned it myself in english ships,data/l2arctic/LXC/wav/arctic_b0401.wav,LXC,Chinese,F,i learn it as myself in english ships
an altruistic act is an act performed for the welfare of others,data/l2arctic/LXC/wav/arctic_b0402.wav,LXC,Chinese,F,an artuistic ect is an ect performed for the walfare of others
knowing him i review the old scandinavian myths with clearer understanding,data/l2arctic/LXC/wav/arctic_b0403.wav,LXC,Chinese,F,knowing him i revealed the old scannavian mis wis caler understanding
yes and no sir was the slow reply,data/l2arctic/LXC/wav/arctic_b0404.wav,LXC,Chinese,F,yes and a no sir was the slow reply
and each year something happened and i did not go,data/l2arctic/LXC/wav/arctic_b0405.wav,LXC,Chinese,F,an etriosumsing heaben and i did not go
how in hell did he know it was you in the dark,data/l2arctic/LXC/wav/arctic_b0406.wav,LXC,Chinese,F,how in here did he know it was your in the tack
of course much grumbling went on and little outbursts were continually occurring,data/l2arctic/LXC/wav/arctic_b0407.wav,LXC,Chinese,F,of cross much grumbling went on and the little outbursts were continually occurring
you have all the advantage,data/l2arctic/LXC/wav/arctic_b0408.wav,LXC,Chinese,F,you have all the advantage
the dirk mentioned by wolf larsen rested in its sheath on my hip,data/l2arctic/LXC/wav/arctic_b0409.wav,LXC,Chinese,F,the tirk mentioned by the wolf lasen rested in its shes on my heap
have you ever earned a dollar by your own labour,data/l2arctic/LXC/wav/arctic_b0410.wav,LXC,Chinese,F,have you ever earned a dollar by your own laborer
ah it was sweet in my ears,data/l2arctic/LXC/wav/arctic_b0412.wav,LXC,Chinese,F,ah it was sweet in my ears
he may desire to escape pain or to enjoy pleasure,data/l2arctic/LXC/wav/arctic_b0413.wav,LXC,Chinese,F,he may desire to escape pain or to enjoy pleasure
it was impossible to hoist sail and claw off that shore,data/l2arctic/LXC/wav/arctic_b0414.wav,LXC,Chinese,F,it was impossible to horse the sail and a claw of tat shaw
there was nothing for us but the wide raw ocean,data/l2arctic/LXC/wav/arctic_b0415.wav,LXC,Chinese,F,there was nothing for us bato white raw ocean
i arose obediently and went down the beach,data/l2arctic/LXC/wav/arctic_b0416.wav,LXC,Chinese,F,i arose obediently and went down a beach
the next thing to watch out for is bed sores,data/l2arctic/LXC/wav/arctic_b0417.wav,LXC,Chinese,F,the next thing to watch out for is bed sauce
at that moment i got the impression that she was willowy,data/l2arctic/LXC/wav/arctic_b0418.wav,LXC,Chinese,F,at tha moment i got a impression lest she was willily
your fathers fifth command he nodded,data/l2arctic/LXC/wav/arctic_b0419.wav,LXC,Chinese,F,your fathers thiefts common he noweded
on occasion on this traverse the cape verde islands are raised,data/l2arctic/LXC/wav/arctic_b0420.wav,LXC,Chinese,F,on occasion on this traverse la catword islands irist
she is essentially the life giving life conserving female of the species,data/l2arctic/LXC/wav/arctic_b0421.wav,LXC,Chinese,F,she is essentially the lifegiving life conserving female of low species
this was when the explosion occurred,data/l2arctic/LXC/wav/arctic_b0422.wav,LXC,Chinese,F,this was when a exploation occurred
also at regular intervals he would mutter,data/l2arctic/LXC/wav/arctic_b0423.wav,LXC,Chinese,F,also at regular intervals he would matter
its a very tenable hypothesis and will bear looking into,data/l2arctic/LXC/wav/arctic_b0424.wav,LXC,Chinese,F,it's a very tenable hapathis and wi'll bere looking into
there were orange green gold green and a copper green,data/l2arctic/LXC/wav/arctic_b0425.wav,LXC,Chinese,F,there were orange green gold green and a cop green
the gabriel voice of the samurai rang out,data/l2arctic/LXC/wav/arctic_b0426.wav,LXC,Chinese,F,lug gabrio voice of la samurai rang out
the sunsets grow more bizarre and spectacular off this coast of the argentine,data/l2arctic/LXC/wav/arctic_b0427.wav,LXC,Chinese,F,the sunsets grow more bizzer and the spectacular of his coasts of the ajentine
and the eurasian chinese englishman bowed himself away,data/l2arctic/LXC/wav/arctic_b0429.wav,LXC,Chinese,F,and athe eratian chinese englishman bowed himself away
they were babbling and chattering all together,data/l2arctic/LXC/wav/arctic_b0430.wav,LXC,Chinese,F,they were baubling ender troudering all together
too much he told me with ominous rolling head,data/l2arctic/LXC/wav/arctic_b0431.wav,LXC,Chinese,F,too much he told me wi ominous rowing ahead
he is a candidate rising from the serf class to our class,data/l2arctic/LXC/wav/arctic_b0432.wav,LXC,Chinese,F,heis a candidate wrising from the silvcrass to a or cress
we are cooking on the coal stove and on the oil burners,data/l2arctic/LXC/wav/arctic_b0433.wav,LXC,Chinese,F,we are coaking on a coald stove and on oil burnus
the steward has just tendered me a respectful bit of advice,data/l2arctic/LXC/wav/arctic_b0434.wav,LXC,Chinese,F,le steward has just attendered me a respectful bit of advice
well did they eat,data/l2arctic/LXC/wav/arctic_b0435.wav,LXC,Chinese,F,well did they eat
famine had been my great ally,data/l2arctic/LXC/wav/arctic_b0436.wav,LXC,Chinese,F,famming had been myguit elic
nowhere in the north is the soil so prolific,data/l2arctic/LXC/wav/arctic_b0437.wav,LXC,Chinese,F,nowhere inglanas is la soi so prolific
they ran the canoe in and climbed the high earth bank,data/l2arctic/LXC/wav/arctic_b0438.wav,LXC,Chinese,F,lay rena kano ing and a climbed at a high earth bank
the land exchanged its austere robes for the garb of a smiling wanton,data/l2arctic/LXC/wav/arctic_b0439.wav,LXC,Chinese,F,the land exchanged is as de robs for a gab of a smaling wanton
there were stir and bustle new faces and fresh facts,data/l2arctic/LXC/wav/arctic_b0440.wav,LXC,Chinese,F,there was still and a pastol new faces and a fresh vext
and there was ethel baird whom also you must remember,data/l2arctic/LXC/wav/arctic_b0441.wav,LXC,Chinese,F,and there was edo bout whom also you must remember
he had become a man very early in life,data/l2arctic/LXC/wav/arctic_b0442.wav,LXC,Chinese,F,he had become a man very early in life
i did not think you would be so early,data/l2arctic/LXC/wav/arctic_b0443.wav,LXC,Chinese,F,i did not think you would be so early
he did not know what went on in the minds of his superiors,data/l2arctic/LXC/wav/arctic_b0444.wav,LXC,Chinese,F,he did not know what went on in the mind of his superiors
some one had thrust a large sheath knife into his hand,data/l2arctic/LXC/wav/arctic_b0446.wav,LXC,Chinese,F,some one had charsed a large sheese knife into his hand
obrien emitted a shriek that sank swiftly to a gurgling sob,data/l2arctic/LXC/wav/arctic_b0447.wav,LXC,Chinese,F,obring imitted a sheek lass snank swiftly to a jergling sob
sandel would never become a world champion,data/l2arctic/LXC/wav/arctic_b0448.wav,LXC,Chinese,F,cendor would never become a word champion
also she wouldnt walk,data/l2arctic/LXC/wav/arctic_b0449.wav,LXC,Chinese,F,as though she wouldn't work
to my dearest and always appreciated friend i submit myself,data/l2arctic/LXC/wav/arctic_b0450.wav,LXC,Chinese,F,to my dearest and always appreciated friend i submit myself
you used to joy ride like the very devil,data/l2arctic/LXC/wav/arctic_b0451.wav,LXC,Chinese,F,you use to to arite like a laveried duel
they saw each other for the first time in boston,data/l2arctic/LXC/wav/arctic_b0452.wav,LXC,Chinese,F,they saw each other for a paser time in boston
isaac ford the austere soldier of the lord the old hypocrite,data/l2arctic/LXC/wav/arctic_b0453.wav,LXC,Chinese,F,i sec forth la oste soldier of lhe lord la old hab crit
eighteen he added,data/l2arctic/LXC/wav/arctic_b0454.wav,LXC,Chinese,F,eighteen he added
his reward should have been peace and repose,data/l2arctic/LXC/wav/arctic_b0455.wav,LXC,Chinese,F,his revord should have been pierce and the repose
he was an amphibian and a mountaineer,data/l2arctic/LXC/wav/arctic_b0456.wav,LXC,Chinese,F,he was an amphybian and a maltaineer
it was sanctification and salvation,data/l2arctic/LXC/wav/arctic_b0457.wav,LXC,Chinese,F,it was sanctification and the salvation
the history of the eighteenth century is written ernest prompted,data/l2arctic/LXC/wav/arctic_b0458.wav,LXC,Chinese,F,the history of the eighteenth century is written earns the propted
they are not biologists nor sociologists,data/l2arctic/LXC/wav/arctic_b0459.wav,LXC,Chinese,F,they are not biologists nor sociologists
the more his opponents grew excited the more ernest deliberately excited them,data/l2arctic/LXC/wav/arctic_b0460.wav,LXC,Chinese,F,la mont his obnons grew excited la mot earnest deliberately excited them
by virtue of that power we shall remain in power,data/l2arctic/LXC/wav/arctic_b0461.wav,LXC,Chinese,F,by virtues of their power we shall remain in power
take my advice and accept the vacation,data/l2arctic/LXC/wav/arctic_b0463.wav,LXC,Chinese,F,take my advice and a setrvocasion
i could not agree with ernest,data/l2arctic/LXC/wav/arctic_b0464.wav,LXC,Chinese,F,i could not agree with earnest
but such divergence of opinion would constitute no menace to society,data/l2arctic/LXC/wav/arctic_b0465.wav,LXC,Chinese,F,but such divergence of opinion would constitute no minness to society
it is dog eat dog and you ate them up,data/l2arctic/LXC/wav/arctic_b0466.wav,LXC,Chinese,F,it is dog it dog and you at them up
lets run them for ourselves,data/l2arctic/LXC/wav/arctic_b0467.wav,LXC,Chinese,F,let's wrung them for ourselves
it was introduced by representative dick of ohio,data/l2arctic/LXC/wav/arctic_b0468.wav,LXC,Chinese,F,it was introduced by the representative dick of ohio
very few people knew of the existence of this law,data/l2arctic/LXC/wav/arctic_b0469.wav,LXC,Chinese,F,very few people know of the existence of this law
the very thing ernest agreed,data/l2arctic/LXC/wav/arctic_b0470.wav,LXC,Chinese,F,lhe verything earnest greed
also a fellow senator chauncey depew said,data/l2arctic/LXC/wav/arctic_b0471.wav,LXC,Chinese,F,also a fellow's senator chansi dipusete
ernest saw in the affair the most sinister import,data/l2arctic/LXC/wav/arctic_b0472.wav,LXC,Chinese,F,rinster saw in a fail an monstless senies to import
then there was the campaign,data/l2arctic/LXC/wav/arctic_b0473.wav,LXC,Chinese,F,then they allways like camping
he was manifestly distressed by my coming,data/l2arctic/LXC/wav/arctic_b0474.wav,LXC,Chinese,F,he was manifestly detested by my coming
not a wheel moved in his empire,data/l2arctic/LXC/wav/arctic_b0475.wav,LXC,Chinese,F,not a wale moved in his impire
the reorganization of these countries took the form of revolution,data/l2arctic/LXC/wav/arctic_b0476.wav,LXC,Chinese,F,the reorganization of these ahountries took re form of revolution
youre going in for grab sharing,data/l2arctic/LXC/wav/arctic_b0477.wav,LXC,Chinese,F,you are goiing for grab's jherry
the oligarchy will encourage such ambition and the consequent competition,data/l2arctic/LXC/wav/arctic_b0478.wav,LXC,Chinese,F,the oligature will encurge a such ambition and a consequent competition
without discussion it was the agents provocateurs who caused the peasant revolt,data/l2arctic/LXC/wav/arctic_b0480.wav,LXC,Chinese,F,without disgussion it was the agent's provocators who cost e peasant revolt
the task we set ourselves was threefold,data/l2arctic/LXC/wav/arctic_b0481.wav,LXC,Chinese,F,le tesqe mes tat ourselves was threefold
many other similar disconcerting omissions will be noticed in the manuscript,data/l2arctic/LXC/wav/arctic_b0482.wav,LXC,Chinese,F,many other similar disconcerting omissions will be noticed in a manuscript
the flower of the artistic and intellectual world were revolutionists,data/l2arctic/LXC/wav/arctic_b0483.wav,LXC,Chinese,F,the flower of the artistic and the intellectual were were revolutionists
this the iron heel foresaw and laid its schemes accordingly,data/l2arctic/LXC/wav/arctic_b0484.wav,LXC,Chinese,F,list its aaron here forsaw and elate its schemes accordingly
the mob came on but it could not advance,data/l2arctic/LXC/wav/arctic_b0485.wav,LXC,Chinese,F,la mob came on but it could not advance
but why continue the tirade for tirade it was,data/l2arctic/LXC/wav/arctic_b0486.wav,LXC,Chinese,F,but wy continue le tyri for tirid it worsh
after all superfluous flesh is gone what is left is stringy and resistant,data/l2arctic/LXC/wav/arctic_b0487.wav,LXC,Chinese,F,at all superfluour flesh is gone what is left extremely and the resistent
beyond refusing to sell us food they left us to ourselves,data/l2arctic/LXC/wav/arctic_b0488.wav,LXC,Chinese,F,beyond revealing to seras fur ley left as to our zipts
he was a merry monarch especially so for an asiatic,data/l2arctic/LXC/wav/arctic_b0489.wav,LXC,Chinese,F,he was a merry monarch especially so for a astik
what an excited whispering and conferring took place,data/l2arctic/LXC/wav/arctic_b0490.wav,LXC,Chinese,F,what an anxieted whispering and a confering took place
jacob brinker who was his road mate brought the news,data/l2arctic/LXC/wav/arctic_b0491.wav,LXC,Chinese,F,jacob brinker who was his road mate brought the nuls
thus he turned the tenets and jargon of psychology back on me,data/l2arctic/LXC/wav/arctic_b0492.wav,LXC,Chinese,F,thus ket under the tenats an the dragon of psychology bet on me
you yellow giant thing of the frost,data/l2arctic/LXC/wav/arctic_b0493.wav,LXC,Chinese,F,you yello jinting of the frost
never so strange a prophet came up to jerusalem,data/l2arctic/LXC/wav/arctic_b0494.wav,LXC,Chinese,F,never so strange a prophet came up to jerusalem
we who have endured so much surely can endure a little more,data/l2arctic/LXC/wav/arctic_b0495.wav,LXC,Chinese,F,we who have endured so much early can endure a little more
one great drawback to farming in california is our long dry summer,data/l2arctic/LXC/wav/arctic_b0497.wav,LXC,Chinese,F,one great drawback to fami in california is aua long dry summer
i remembered the red wine of the italian rancho and shuddered inwardly,data/l2arctic/LXC/wav/arctic_b0498.wav,LXC,Chinese,F,i remember the ratwine of the italian ranke and the shuttered inwardly
i said and dismissed the matter as not worth thinking about,data/l2arctic/LXC/wav/arctic_b0499.wav,LXC,Chinese,F,i said and the dismister matter as not worthing shinking bout
then came my boy code,data/l2arctic/LXC/wav/arctic_b0500.wav,LXC,Chinese,F,then came my boycoat
and wherever i ranged the way lay along alcohol drenched roads,data/l2arctic/LXC/wav/arctic_b0501.wav,LXC,Chinese,F,and where ever i ranged the way lay along elkhot jange or rows
and as we hurried up town joe goose explained,data/l2arctic/LXC/wav/arctic_b0502.wav,LXC,Chinese,F,end as v harrit abton joe gos is blain
the scents of strange vegetation blew off the tropic land,data/l2arctic/LXC/wav/arctic_b0503.wav,LXC,Chinese,F,le scenes of stringe vegetation blue of le chapic len
the life there was healthful and athletic but too juvenile,data/l2arctic/LXC/wav/arctic_b0504.wav,LXC,Chinese,F,the life there was hailsful and asthetic but too juvilie
how valiantly i went at it that first day,data/l2arctic/LXC/wav/arctic_b0505.wav,LXC,Chinese,F,how vaolently i went at hit lat first day
it would help to tide me along until i got steady employment,data/l2arctic/LXC/wav/arctic_b0506.wav,LXC,Chinese,F,it would help to tide me along until i got steady employment
did i possess too much vitality,data/l2arctic/LXC/wav/arctic_b0507.wav,LXC,Chinese,F,did i possess too much futility
in his anxiety and solicitude and love they did not count,data/l2arctic/LXC/wav/arctic_b0508.wav,LXC,Chinese,F,in his anxiety and the solicitu and the love lay did not come
he had fulfilled his duty and paid properly,data/l2arctic/LXC/wav/arctic_b0509.wav,LXC,Chinese,F,he had fulfilled his duty and paid properly
he knew what taboos he was violating,data/l2arctic/LXC/wav/arctic_b0510.wav,LXC,Chinese,F,he knew what tebbles he was violating
do you value your hide,data/l2arctic/LXC/wav/arctic_b0511.wav,LXC,Chinese,F,do you value you hide
you should have seen them when they heard me spitting chinook,data/l2arctic/LXC/wav/arctic_b0512.wav,LXC,Chinese,F,you should have seen them when they heard me speating ching nook
the women they carried away with them to the big valley,data/l2arctic/LXC/wav/arctic_b0241.wav,LXC,Chinese,F,the woman they carried away with them to the big valley
you fired me out of your house in short,data/l2arctic/LXC/wav/arctic_b0258.wav,LXC,Chinese,F,you fired me out of your house in shot
but i did not enjoy it long,data/l2arctic/LXC/wav/arctic_b0275.wav,LXC,Chinese,F,but i did not enjoy it long
the fire men wore animal skins around their waists and across their shoulders,data/l2arctic/LXC/wav/arctic_b0292.wav,LXC,Chinese,F,the filemen whirl animal skins around their waists and the cross their shoulders
nor was elam harnish an exception,data/l2arctic/LXC/wav/arctic_b0309.wav,LXC,Chinese,F,nor was the elem hanish only exception
our mister howison will call upon you at your hotel,data/l2arctic/LXC/wav/arctic_b0326.wav,LXC,Chinese,F,our mister hoyson will call upon you at your hotel
but how are you going to do it,data/l2arctic/LXC/wav/arctic_b0343.wav,LXC,Chinese,F,bah how are you going to do it
this state of mind comes of an undue prominence of the ego,data/l2arctic/LXC/wav/arctic_b0360.wav,LXC,Chinese,F,lis state of mind keems of an undual prominence of legu
a scarlet loincloth completed his costume,data/l2arctic/LXC/wav/arctic_b0377.wav,LXC,Chinese,F,uh scarlet loing clotes completed his costume
the boy hesitated then mastered his temper,data/l2arctic/LXC/wav/arctic_b0394.wav,LXC,Chinese,F,the boy his duty then mastered his temper
he gave no reason but his motive was obvious enough,data/l2arctic/LXC/wav/arctic_b0411.wav,LXC,Chinese,F,he gave no reason but his motive was oblvious enough
the history of our westward faring race is written in it,data/l2arctic/LXC/wav/arctic_b0428.wav,LXC,Chinese,F,the history of our westword faring race is writing in iat
mops sir eagerly answered the sailor at the wheel,data/l2arctic/LXC/wav/arctic_b0445.wav,LXC,Chinese,F,maps ser eagerly and serdela sale atrebill
one guess will do ernest retorted,data/l2arctic/LXC/wav/arctic_b0462.wav,LXC,Chinese,F,one guess we to earnest retorted
