transcription,path_to_audio,speaker_id,native_language,gender,conformer_100_rope_large_transcriptions
his outstretched arm dropped to his side and he paused,data/l2arctic/BWC/wav/arctic_a0475.wav,BWC,Chinese,M,his outstretched arm dropped to his side and his paused
wada louis and the steward are servants of asiatic breed,data/l2arctic/BWC/wav/arctic_a0477.wav,BWC,Chinese,M,jada louis and the steward a sovard of asiatic breed
also she has forbidden them smoking their pipes in the after room,data/l2arctic/BWC/wav/arctic_a0478.wav,BWC,Chinese,M,also he had forbidden them smoking their pipes in the after room
i tried to read george moore last night and was dreadfully bored,data/l2arctic/BWC/wav/arctic_a0479.wav,BWC,Chinese,M,i tried to read dward's morng last night and was drofhtily bored
tom spink has a harpoon,data/l2arctic/BWC/wav/arctic_a0480.wav,BWC,Chinese,M,tom sping has a harpoon
nimrod replied with a slight manifestation of sensitiveness,data/l2arctic/BWC/wav/arctic_a0481.wav,BWC,Chinese,M,niemort replied with a slyly manifestation of sensitiveness
and their chief virtue lies in that they will never wear out,data/l2arctic/BWC/wav/arctic_a0482.wav,BWC,Chinese,M,and their chief virtue lies in that they will never wear out
beyond dispute corry hutchinson had married mabel holmes,data/l2arctic/BWC/wav/arctic_a0483.wav,BWC,Chinese,M,beyond dispute cowrey hutchison had married mabel homroese
no sir ee,data/l2arctic/BWC/wav/arctic_a0484.wav,BWC,Chinese,M,no sorr ee
each insult added to the value of the claim,data/l2arctic/BWC/wav/arctic_a0485.wav,BWC,Chinese,M,eugene saw added to the value of the claim her
for the rest he was a mere automaton,data/l2arctic/BWC/wav/arctic_a0486.wav,BWC,Chinese,M,for the rest he was a mere automaton
the river bared its bosom and snorting steamboats challenged the wilderness,data/l2arctic/BWC/wav/arctic_a0487.wav,BWC,Chinese,M,the river berd lis boden a nort steamboat challenging the wilderness
their love burned with increasing brightness,data/l2arctic/BWC/wav/arctic_a0488.wav,BWC,Chinese,M,their love burned with increasing brightness
they were artists not biologists,data/l2arctic/BWC/wav/arctic_a0489.wav,BWC,Chinese,M,thery were artists not biologists
both johnny and his mother shuffled their feet as they walked,data/l2arctic/BWC/wav/arctic_a0490.wav,BWC,Chinese,M,posa johnnie and his moder shuffled their feet as they walked
and as in denial of guilt the one legged boy replied,data/l2arctic/BWC/wav/arctic_a0491.wav,BWC,Chinese,M,and as in denied of guilt the well legged boy replied
burnt out like the crater of a volcano,data/l2arctic/BWC/wav/arctic_a0492.wav,BWC,Chinese,M,burnd out like the crater off a volcano
obrien took off his coat and bared his right arm,data/l2arctic/BWC/wav/arctic_a0494.wav,BWC,Chinese,M,obain took off his coat and bared his right arm
he bore no grudges and had few enemies,data/l2arctic/BWC/wav/arctic_a0495.wav,BWC,Chinese,M,he bore no graduates and had few enemies
and tom king patiently endured,data/l2arctic/BWC/wav/arctic_a0496.wav,BWC,Chinese,M,and tom kin patiently endured
king took every advantage he knew,data/l2arctic/BWC/wav/arctic_a0497.wav,BWC,Chinese,M,king took our advantages he knew
the lines were now very taut,data/l2arctic/BWC/wav/arctic_a0498.wav,BWC,Chinese,M,the line were not very taul
and right there i saw and knew it all,data/l2arctic/BWC/wav/arctic_a0499.wav,BWC,Chinese,M,and ride there as sal a new ito
who the devil gave it to you to be judge and jury,data/l2arctic/BWC/wav/arctic_a0500.wav,BWC,Chinese,M,who the devil gave it to you to be charge and jury
youre joking me sir the other managed to articulate,data/l2arctic/BWC/wav/arctic_a0501.wav,BWC,Chinese,M,you are choking me sir the other managed to articulate r
anything unusual or abnormal was sufficient to send a fellow to molokai,data/l2arctic/BWC/wav/arctic_a0502.wav,BWC,Chinese,M,anything ayural or abnormal was sufficient to send a feoor to monarkhit o
his beady black eyes saw bargains where other men saw bankruptcy,data/l2arctic/BWC/wav/arctic_a0503.wav,BWC,Chinese,M,he beady black eyes saw brankney's where other men saw bankruptcy
he was an athlete and a giant,data/l2arctic/BWC/wav/arctic_a0504.wav,BWC,Chinese,M,he was an athlete and a giant
we fished sharks on niihau together,data/l2arctic/BWC/wav/arctic_a0505.wav,BWC,Chinese,M,we fished chark on neyhow together
the claudine was leaving next morning for honolulu,data/l2arctic/BWC/wav/arctic_a0506.wav,BWC,Chinese,M,tocodin was leaving next morning for honoloolo
in short my joyous individualism was dominated by the orthodox bourgeois ethics,data/l2arctic/BWC/wav/arctic_a0507.wav,BWC,Chinese,M,in short my child's individualism was dominated by the orthodox bourjoas athlectics
soon shall it be thrust back from off prostrate humanity,data/l2arctic/BWC/wav/arctic_a0508.wav,BWC,Chinese,M,soon shall it be thrust back from off prostrated humanity
yet in accordance with ernests test of truth it worked,data/l2arctic/BWC/wav/arctic_a0509.wav,BWC,Chinese,M,yet in accordance with athnes tas of truth it worked
there is more behind this than a mere university ideal,data/l2arctic/BWC/wav/arctic_a0511.wav,BWC,Chinese,M,there's more behind this than a mere university ideal
no its a palace wherein there are many servants,data/l2arctic/BWC/wav/arctic_a0512.wav,BWC,Chinese,M,no it's a palace wherein there are manistrances
we must give ourselves and not our money alone,data/l2arctic/BWC/wav/arctic_a0513.wav,BWC,Chinese,M,we must give ourselves and not our money alone t
we are consumed in our own flesh pots,data/l2arctic/BWC/wav/arctic_a0514.wav,BWC,Chinese,M,we are consumed in our own flashed pots
but here amongst ourselves let us speak out,data/l2arctic/BWC/wav/arctic_a0515.wav,BWC,Chinese,M,but here among us our self let us speak out
also there was awe in their faces,data/l2arctic/BWC/wav/arctic_a0516.wav,BWC,Chinese,M,also there were ae in their faces
out of abstractions ernest had conjured a vision and made them see it,data/l2arctic/BWC/wav/arctic_a0517.wav,BWC,Chinese,M,out of abstractions ernest had conchuined a visian and made them seed
illuminating oil was becoming all profit,data/l2arctic/BWC/wav/arctic_a0518.wav,BWC,Chinese,M,illuminating ayot was becoming a prophet en
such an act was in direct violation of the laws of the land,data/l2arctic/BWC/wav/arctic_a0519.wav,BWC,Chinese,M,such an act was in direction violation of the laws of the land
he was fond of quoting a fragment from a certain poem,data/l2arctic/BWC/wav/arctic_a0520.wav,BWC,Chinese,M,who was fond of quoting a fragment from tha certain poin
without them he could not run his empire,data/l2arctic/BWC/wav/arctic_a0521.wav,BWC,Chinese,M,without them he could no rakhs empire her
for such countries nothing remained but reorganization,data/l2arctic/BWC/wav/arctic_a0522.wav,BWC,Chinese,M,for such countries nothing remained but reorganization
they could not continue their method of producing surpluses,data/l2arctic/BWC/wav/arctic_a0523.wav,BWC,Chinese,M,they could not continue their method of producing surpluses
at once would be instituted a dozen cooperative commonwealth states,data/l2arctic/BWC/wav/arctic_a0524.wav,BWC,Chinese,M,at once wild be instituted a dozen corporated common oath states
the oligarchy wanted violence and it set its agents provocateurs to work,data/l2arctic/BWC/wav/arctic_a0525.wav,BWC,Chinese,M,the oligarchy wanted violence and it seit its agents provogatives to work
nowhere did the raw earth appear,data/l2arctic/BWC/wav/arctic_a0526.wav,BWC,Chinese,M,nowhere did the raw earth appear
men who endure it call it living death,data/l2arctic/BWC/wav/arctic_a0528.wav,BWC,Chinese,M,mehu enduring coelaving death
as i say he had tapped the message very rapidly,data/l2arctic/BWC/wav/arctic_a0529.wav,BWC,Chinese,M,as sas say he had tapped the message very rapidly
ask him i laughed then turned to pasquini,data/l2arctic/BWC/wav/arctic_a0530.wav,BWC,Chinese,M,askhim i laughed and turned to paskuni
in what bucolic school of fence he had been taught was beyond imagining,data/l2arctic/BWC/wav/arctic_a0531.wav,BWC,Chinese,M,in what bekustlick school office he had been taught was beyond imagining
may drought destroy your crops,data/l2arctic/BWC/wav/arctic_a0532.wav,BWC,Chinese,M,may jod destroy your crops
dunham can your boy go along with jesse,data/l2arctic/BWC/wav/arctic_a0533.wav,BWC,Chinese,M,dunum kayu by go alow with jasye r
but johannes could and did,data/l2arctic/BWC/wav/arctic_a0534.wav,BWC,Chinese,M,b joyning us could and did
a new preacher and a new doctrine come to jerusalem,data/l2arctic/BWC/wav/arctic_a0535.wav,BWC,Chinese,M,a new patron and a new doctrine come too jossily
he would destroy all things that are fixed,data/l2arctic/BWC/wav/arctic_a0536.wav,BWC,Chinese,M,he would destroy all things that are fixed
he was an enthusiast and a desert dweller,data/l2arctic/BWC/wav/arctic_a0537.wav,BWC,Chinese,M,he was an enthusiastic and a desert do whiler
what pascal glimpsed with the vision of a seer i have lived,data/l2arctic/BWC/wav/arctic_a0538.wav,BWC,Chinese,M,what poussent gleams with a vision of a seer i have lived
i should like to engage just for one whole life in that,data/l2arctic/BWC/wav/arctic_a0539.wav,BWC,Chinese,M,i should like to engage just for one whole life in that
yea so are all the lesser animals of today clean,data/l2arctic/BWC/wav/arctic_a0540.wav,BWC,Chinese,M,yes so are all the laisure animals of to day clean
the warden with a quart of champagne,data/l2arctic/BWC/wav/arctic_a0541.wav,BWC,Chinese,M,te wardon with a quarter of champions
without a doubt some of them have dinner engagements,data/l2arctic/BWC/wav/arctic_a0542.wav,BWC,Chinese,M,without a doubt some of them had dinner engagements
i had been born with no organic chemical predisposition toward alcohol,data/l2arctic/BWC/wav/arctic_a0543.wav,BWC,Chinese,M,i had been born with no organic chemical predisposition towards alkahol
the italian rancho was a bachelor establishment,data/l2arctic/BWC/wav/arctic_a0545.wav,BWC,Chinese,M,the italian rancho was a bachelor establishment
i lost my balance and pitched head foremost into the ooze,data/l2arctic/BWC/wav/arctic_a0546.wav,BWC,Chinese,M,i lost my balance and pitched head foremost into the oose
men like joe goose dated existence from drunk to drunk,data/l2arctic/BWC/wav/arctic_a0547.wav,BWC,Chinese,M,molacto goose dated existence from junk to junk and
also churches and preachers i had never known,data/l2arctic/BWC/wav/arctic_a0548.wav,BWC,Chinese,M,also churches and preachers i had never known
do you know that we weigh every pound of coal we burn,data/l2arctic/BWC/wav/arctic_a0549.wav,BWC,Chinese,M,do you know that we weight our re pound of coal we burn
this also became part of the daily schedule,data/l2arctic/BWC/wav/arctic_a0550.wav,BWC,Chinese,M,days also became part of that delayed scadule
all an appearance can know is mirage,data/l2arctic/BWC/wav/arctic_a0551.wav,BWC,Chinese,M,olnanmpurions canoul is mirage
yet he dreams he is immortal i argue feebly,data/l2arctic/BWC/wav/arctic_a0552.wav,BWC,Chinese,M,yet he dreams he is immortal i argue feebly
im writing these lines in honolulu hawaii,data/l2arctic/BWC/wav/arctic_a0553.wav,BWC,Chinese,M,and writing these lies in honaloolu howii
jack london waikiki beach honolulu oahu,data/l2arctic/BWC/wav/arctic_a0554.wav,BWC,Chinese,M,jack lender why kicke beach honaloolou hoa
jerry was so secure in his nook that he did not roll away,data/l2arctic/BWC/wav/arctic_a0555.wav,BWC,Chinese,M,charry was so secure in his nook that he did not row away n
why hes bought forty pounds of goods from you already,data/l2arctic/BWC/wav/arctic_a0556.wav,BWC,Chinese,M,why he's bout forty pounds of goods from your already
the last refugee had passed,data/l2arctic/BWC/wav/arctic_a0557.wav,BWC,Chinese,M,the last refogee had passed
and the foundation stone of service in his case was obedience,data/l2arctic/BWC/wav/arctic_a0558.wav,BWC,Chinese,M,and the foundation stone of service in his case was obedience
peace be unto you and grace before the lord,data/l2arctic/BWC/wav/arctic_a0559.wav,BWC,Chinese,M,peace be unto you and grace before the lord
his mouth opened words shaped vainly on his lips,data/l2arctic/BWC/wav/arctic_a0560.wav,BWC,Chinese,M,his mouth open words shipped vanily on his lip
they are not regular oyster pirates nicholas continued,data/l2arctic/BWC/wav/arctic_a0289.wav,BWC,Chinese,M,there are no regular oyster pirus nico continued
he was pressing beyond the limits of his vocabulary,data/l2arctic/BWC/wav/arctic_a0306.wav,BWC,Chinese,M,he had pressing beyond the limit of his vocabulary
he considered the victory already his and stepped forward to the meat,data/l2arctic/BWC/wav/arctic_a0323.wav,BWC,Chinese,M,he considered the victory already his and stepped forward to the meat
it was like the beating of hoofs,data/l2arctic/BWC/wav/arctic_a0340.wav,BWC,Chinese,M,it was like the beating of hoofs
a month passed by and bonanza creek remained quiet,data/l2arctic/BWC/wav/arctic_a0357.wav,BWC,Chinese,M,a month passed by and the benanza queek remained quiet
but life is worth more than cash she argued,data/l2arctic/BWC/wav/arctic_a0374.wav,BWC,Chinese,M,but life is worth more than cash she argued
but he reconciled himself to it by an act of faith,data/l2arctic/BWC/wav/arctic_a0391.wav,BWC,Chinese,M,but she reconsolled himself to it by an act of faith
the eldorado emptied its occupants into the street to see the test,data/l2arctic/BWC/wav/arctic_a0408.wav,BWC,Chinese,M,tholdorado emptied his occupanes into the street to see the test
otherwise no restriction is put upon their seafaring,data/l2arctic/BWC/wav/arctic_a0425.wav,BWC,Chinese,M,otherwise no restriction is put upon their seuphery or
you live on an income which your father earned,data/l2arctic/BWC/wav/arctic_a0442.wav,BWC,Chinese,M,you leave on an income we shall farther earn
theres too much of the schoolboy in me,data/l2arctic/BWC/wav/arctic_a0459.wav,BWC,Chinese,M,there's too much of the school boy i mi
at this moment i felt a stir at my shoulder,data/l2arctic/BWC/wav/arctic_a0476.wav,BWC,Chinese,M,at this moment i felt a stir at my shoulder
the boy obrien was specially maltreated,data/l2arctic/BWC/wav/arctic_a0493.wav,BWC,Chinese,M,the bois of brain was specially mal treated
much more ernest told them of themselves and of his disillusionment,data/l2arctic/BWC/wav/arctic_a0510.wav,BWC,Chinese,M,much more ernest told him of himselves and of his disillusionment
the lush vegetation of that sheltered spot make a natural shield,data/l2arctic/BWC/wav/arctic_a0527.wav,BWC,Chinese,M,the los vidnattion of the sheltered spot make a national shield
what the flaming,data/l2arctic/BWC/wav/arctic_a0562.wav,BWC,Chinese,M,what a flaming
missus mcfees jaws brought together with a snap,data/l2arctic/BWC/wav/arctic_a0563.wav,BWC,Chinese,M,missus macfill's jaws brought together with a snap
then it is as i said womble announced with finality,data/l2arctic/BWC/wav/arctic_a0564.wav,BWC,Chinese,M,than it is is assesad umbo announced with finality
with them were indians also three other men,data/l2arctic/BWC/wav/arctic_a0565.wav,BWC,Chinese,M,with them were indians also three ottermen
dennins hands were released long enough for him to sign the document,data/l2arctic/BWC/wav/arctic_a0566.wav,BWC,Chinese,M,donnah's hands were released there long enough for him to sign the document  e
now irvine was a man of impulse a poet,data/l2arctic/BWC/wav/arctic_a0567.wav,BWC,Chinese,M,now ieron was a man auphin paus a poet
he was just bursting with joy joy over what,data/l2arctic/BWC/wav/arctic_a0568.wav,BWC,Chinese,M,he was just busting with joy joy over what
at lake linderman i had one canoe very good peterborough canoe,data/l2arctic/BWC/wav/arctic_a0569.wav,BWC,Chinese,M,at lake linerman i had one canoe very good peter brought canoet
behind him lay the thousand years long road across all siberia and russia,data/l2arctic/BWC/wav/arctic_a0570.wav,BWC,Chinese,M,behind him lay dist thousand years a long road across all cyberia and russia
he had forgotten to build a fire and thaw out,data/l2arctic/BWC/wav/arctic_a0571.wav,BWC,Chinese,M,he had forgotten to build a fire a sold out
i never saw anything like her in my life,data/l2arctic/BWC/wav/arctic_a0572.wav,BWC,Chinese,M,and never saw anything like her in my lifer
there was no law on the yukon save what they made for themselves,data/l2arctic/BWC/wav/arctic_a0573.wav,BWC,Chinese,M,there was no law on the yukons save what they made for themselves
good business man curly obrien was saying,data/l2arctic/BWC/wav/arctic_a0574.wav,BWC,Chinese,M,good menesthma curly obriant was saved
there werent any missions and he was the man to know,data/l2arctic/BWC/wav/arctic_a0575.wav,BWC,Chinese,M,there weren't animations and he was a man to know
and the big persian knew of his existence before he did of hers,data/l2arctic/BWC/wav/arctic_a0576.wav,BWC,Chinese,M,and the big persian knew of his existence before he did of her
once the jews harp began emitting its barbaric rhythms michael was helpless,data/l2arctic/BWC/wav/arctic_a0577.wav,BWC,Chinese,M,whilst derchu's harp began emiting his barbaic rhythms michaa was helpless
there was the emma louisa,data/l2arctic/BWC/wav/arctic_a0579.wav,BWC,Chinese,M,there was the ammalusa nd
this is my fifth voyage,data/l2arctic/BWC/wav/arctic_a0580.wav,BWC,Chinese,M,this is my fifth voyage
it was the proposition that started the big idea in daughtrys mind,data/l2arctic/BWC/wav/arctic_a0581.wav,BWC,Chinese,M,it was a proposition that started a big idea in dum she's mind t
daughtry elaborated on the counting trick by bringing cocky along,data/l2arctic/BWC/wav/arctic_a0582.wav,BWC,Chinese,M,doctrine elaborated on the counting cheek by bringing cockney aloft
enjoy it he did but principally for stewards sake,data/l2arctic/BWC/wav/arctic_a0583.wav,BWC,Chinese,M,and dry he did but principally for h stward sake
i have long noted your thirst unquenchable,data/l2arctic/BWC/wav/arctic_a0584.wav,BWC,Chinese,M,i had long noted your thors unquantable
wonder if hes a lion dog charles suggested,data/l2arctic/BWC/wav/arctic_a0585.wav,BWC,Chinese,M,wonder if he's a lion doubt changers suggestad
we dont see ourselves as foolish,data/l2arctic/BWC/wav/arctic_a0586.wav,BWC,Chinese,M,we don't see ourselves as foolish
he had comparatively no advantages at first,data/l2arctic/BWC/wav/arctic_a0587.wav,BWC,Chinese,M,he had comparatively no advantageous at first
he had proved it today with his amateurish and sophomoric productions,data/l2arctic/BWC/wav/arctic_a0588.wav,BWC,Chinese,M,he had proved it to day with his amateuris a sophormic productions
i was sick once typhoid,data/l2arctic/BWC/wav/arctic_a0589.wav,BWC,Chinese,M,i would seek whence tiphoid
in a way he is my protege,data/l2arctic/BWC/wav/arctic_a0590.wav,BWC,Chinese,M,in a way he is my protage
we are both children together,data/l2arctic/BWC/wav/arctic_a0591.wav,BWC,Chinese,M,we arghet both choldren together
its only his indigestion i find fault with,data/l2arctic/BWC/wav/arctic_a0592.wav,BWC,Chinese,M,it's only his indigestion i found fault with
shed make a good wife for the cashier,data/l2arctic/BWC/wav/arctic_a0593.wav,BWC,Chinese,M,she made a good life for the cashier
gad do i remember it,data/l2arctic/BWC/wav/arctic_b0001.wav,BWC,Chinese,M,cat do i remember it
i can see that knife now,data/l2arctic/BWC/wav/arctic_b0003.wav,BWC,Chinese,M,i ka see den knife no
when i cant see beauty in woman i want to die,data/l2arctic/BWC/wav/arctic_b0004.wav,BWC,Chinese,M,when i cans see beauty illumined at one to die rr
his slim fingers closed like steel about philips,data/l2arctic/BWC/wav/arctic_b0005.wav,BWC,Chinese,M,he scommed fingers colds like stew abot philips
he seized gregson by the arm and led him to the door,data/l2arctic/BWC/wav/arctic_b0006.wav,BWC,Chinese,M,he says grigson by the arm i lag him to the door
hear the indian dogs wailing down at churchill,data/l2arctic/BWC/wav/arctic_b0007.wav,BWC,Chinese,M,hear the indian dogs whilling dung at churchill
burke himself had criticized it because of the smile,data/l2arctic/BWC/wav/arctic_b0008.wav,BWC,Chinese,M,berg himself had criticised it because of the smile
id say there was going to be a glorious scrap,data/l2arctic/BWC/wav/arctic_b0009.wav,BWC,Chinese,M,at said there was going to be a glorious scratch
he turned the map to gregson pointing with his finger,data/l2arctic/BWC/wav/arctic_b0010.wav,BWC,Chinese,M,he turn'd the map to grapes them pointing with his finger
his eyes never took themselves for an instant from his companions face,data/l2arctic/BWC/wav/arctic_b0011.wav,BWC,Chinese,M,his eyes never took themselves for a instant from his companion's face
something that whittemore had not yet said thrilled him,data/l2arctic/BWC/wav/arctic_b0012.wav,BWC,Chinese,M,something thou wist more had not yet said through thee here
whitefish gregson whitefish and trout,data/l2arctic/BWC/wav/arctic_b0014.wav,BWC,Chinese,M,whitfish gregxson wandfish and throh
they robbed me a few years later,data/l2arctic/BWC/wav/arctic_b0015.wav,BWC,Chinese,M,they robbed me a few years later
he chuckled as he pulled out his pipe and began filling it,data/l2arctic/BWC/wav/arctic_b0016.wav,BWC,Chinese,M,he chuckled as he pulled out his pap and began filling it
everything was working smoothly better than i had expected,data/l2arctic/BWC/wav/arctic_b0017.wav,BWC,Chinese,M,everything was walking smoothly better than i had expected
i was completely lost in my work,data/l2arctic/BWC/wav/arctic_b0018.wav,BWC,Chinese,M,iwas completely lost in my work
his slim hands gripped the edges of the table,data/l2arctic/BWC/wav/arctic_b0019.wav,BWC,Chinese,M,his slim hands gripped the edgees of the table
philip dropped back into his chair,data/l2arctic/BWC/wav/arctic_b0021.wav,BWC,Chinese,M,philip dropped back into his chair
if i was out of the game it would be easily made,data/l2arctic/BWC/wav/arctic_b0022.wav,BWC,Chinese,M,if i was out of the game it would be easily made
macdougall my engineer believes it,data/l2arctic/BWC/wav/arctic_b0023.wav,BWC,Chinese,M,mic daugo my engineer blu cid
it is growing every day every hour,data/l2arctic/BWC/wav/arctic_b0024.wav,BWC,Chinese,M,it is growing our day our hour
now you understand,data/l2arctic/BWC/wav/arctic_b0025.wav,BWC,Chinese,M,now you understand
you have associated with some of these men,data/l2arctic/BWC/wav/arctic_b0026.wav,BWC,Chinese,M,you have associated it with some of these men
theres no chivalry no quarter shown in this fight,data/l2arctic/BWC/wav/arctic_b0027.wav,BWC,Chinese,M,there's no showelry no quarter short in this fight er
lord fitzhugh was the key to the whole situation,data/l2arctic/BWC/wav/arctic_b0028.wav,BWC,Chinese,M,lord fizsu with the key to the whole situation
all operations have been carried on from montreal and toronto,data/l2arctic/BWC/wav/arctic_b0029.wav,BWC,Chinese,M,al operations have been carried on from monchile and torontoto
gregson held a lighted match until it burnt his fingertips,data/l2arctic/BWC/wav/arctic_b0030.wav,BWC,Chinese,M,graks an hold a latin match until is burned his finger tips
gregson had seated himself under the lamp and was sharpening a pencil,data/l2arctic/BWC/wav/arctic_b0031.wav,BWC,Chinese,M,gregxson had seated himself under the lamp and was sharpening a pencil
he caught himself with a jerk,data/l2arctic/BWC/wav/arctic_b0032.wav,BWC,Chinese,M,he caught himself with a jerk
how does your wager look now,data/l2arctic/BWC/wav/arctic_b0033.wav,BWC,Chinese,M,how does your weaver look now
he confessed that the sketch had startled him,data/l2arctic/BWC/wav/arctic_b0034.wav,BWC,Chinese,M,he confessed that the skatch had stolen him
after all the picture was only a resemblance,data/l2arctic/BWC/wav/arctic_b0035.wav,BWC,Chinese,M,after all the picture was only a resemblance
he wondered too where roscoe was,data/l2arctic/BWC/wav/arctic_b0036.wav,BWC,Chinese,M,he wandered too where rosco was
in her haste to get away she had forgotten these things,data/l2arctic/BWC/wav/arctic_b0038.wav,BWC,Chinese,M,in her hastening to get away she had forgotten these things
philip took a step toward gregson half determined to awaken him,data/l2arctic/BWC/wav/arctic_b0039.wav,BWC,Chinese,M,philip to hisdap towards grigxson half determined to a waken him
the thought set his blood tingling,data/l2arctic/BWC/wav/arctic_b0040.wav,BWC,Chinese,M,the thawsidt his blood tinkling w
but if pierre didnt return until tomorrow,data/l2arctic/BWC/wav/arctic_b0041.wav,BWC,Chinese,M,but if pure didn't return until to morrow
ten minutes had not elapsed since he had dropped the handkerchief,data/l2arctic/BWC/wav/arctic_b0042.wav,BWC,Chinese,M,ten minutes had not elapsed since he had dropped the handkerchief
it wont be for sale,data/l2arctic/BWC/wav/arctic_b0043.wav,BWC,Chinese,M,iwon't be for sale
for a few moments he ate in silence,data/l2arctic/BWC/wav/arctic_b0044.wav,BWC,Chinese,M,for few moments he ate in silence
philip didnt pursue the subject,data/l2arctic/BWC/wav/arctic_b0045.wav,BWC,Chinese,M,philip diden pursued the subject
philip produced a couple of cigars and took a chair opposite him,data/l2arctic/BWC/wav/arctic_b0046.wav,BWC,Chinese,M,philip produced a cup of chiegar and took a chair opposite him
suppose you saw me at work through the window,data/l2arctic/BWC/wav/arctic_b0047.wav,BWC,Chinese,M,suppose you saw me at work through the window
he looked like one who had passed through an uncomfortable hour or two,data/l2arctic/BWC/wav/arctic_b0048.wav,BWC,Chinese,M,he looked at one who had passed through an uncomfortable hour or two
there was nothing more except a large ink blot under the words,data/l2arctic/BWC/wav/arctic_b0049.wav,BWC,Chinese,M,there was nothing more except a large ink boat under the words
all this day gregson remained in the cabin,data/l2arctic/BWC/wav/arctic_b0050.wav,BWC,Chinese,M,all this day gragson remained in the cabint
the sixth day he spent in the cabin with gregson,data/l2arctic/BWC/wav/arctic_b0051.wav,BWC,Chinese,M,the sixth day he spent in the cabin with grexon
the flush was gone from her face,data/l2arctic/BWC/wav/arctic_b0052.wav,BWC,Chinese,M,the flash was gone from her face
that was why i am am rattled he laughed,data/l2arctic/BWC/wav/arctic_b0053.wav,BWC,Chinese,M,that was why i am and right oled he laughed
she was even more beautiful than when i saw her before,data/l2arctic/BWC/wav/arctic_b0055.wav,BWC,Chinese,M,she was even more beautiful than when i saw her before
i will give a thousand if you produce her retorted gregson,data/l2arctic/BWC/wav/arctic_b0056.wav,BWC,Chinese,M,i will give a thousand if you produce her retorted grixson
they have won popular sentiment through the newspapers,data/l2arctic/BWC/wav/arctic_b0057.wav,BWC,Chinese,M,deyhow win popular sentiment through the newspapers
we must achieve our own salvation,data/l2arctic/BWC/wav/arctic_b0058.wav,BWC,Chinese,M,we must achieve our own salvation
in moments of mental energy philip was restless,data/l2arctic/BWC/wav/arctic_b0059.wav,BWC,Chinese,M,in moments of mental energy philip was restless
he would keep his faith with gregson for the promised day or two,data/l2arctic/BWC/wav/arctic_b0060.wav,BWC,Chinese,M,he won't keep his faith with graxza for the promised day or two
sometime about it seemed to fascinate him to challenge his presence,data/l2arctic/BWC/wav/arctic_b0061.wav,BWC,Chinese,M,some time about it seemed to fascinate him to challenge his presence
now it was missing from the wall,data/l2arctic/BWC/wav/arctic_b0062.wav,BWC,Chinese,M,now it was missing from the wall
he boiled himself some coffee and sat down to wait,data/l2arctic/BWC/wav/arctic_b0063.wav,BWC,Chinese,M,he borwed himself some coffee and sate down to wait
im going down there with you and im going to fight,data/l2arctic/BWC/wav/arctic_b0064.wav,BWC,Chinese,M,i'm going down there with you and i'm going to fight
now have you got anything to say against me mister philip,data/l2arctic/BWC/wav/arctic_b0065.wav,BWC,Chinese,M,now have you got anything to say against me mister philip
if i meet her again i shall apologize said eileen,data/l2arctic/BWC/wav/arctic_b0066.wav,BWC,Chinese,M,if i meet her again i shall apologize said aleen
below him the shadow was broken into a pool of rippling starlight,data/l2arctic/BWC/wav/arctic_b0067.wav,BWC,Chinese,M,below him the shadow was broken into a pole of rappling starlight
only the chance sound had led him to observe them,data/l2arctic/BWC/wav/arctic_b0068.wav,BWC,Chinese,M,only that chance sound had led him to observe them
could the incident have anything to do with jeanne and pierre,data/l2arctic/BWC/wav/arctic_b0069.wav,BWC,Chinese,M,could the incident have anything to do with jeniand pierre
there was no chance to fire without hitting him,data/l2arctic/BWC/wav/arctic_b0070.wav,BWC,Chinese,M,there was no chance to fire without hitting him
then he hastened on as pierre had guided him,data/l2arctic/BWC/wav/arctic_b0072.wav,BWC,Chinese,M,than he hast in dung as piura hath gotten him
with these arguments he convinced himself that he should go on alone,data/l2arctic/BWC/wav/arctic_b0073.wav,BWC,Chinese,M,with these arguments he convinced himself that he should go on alone
yet behind them there was another and more powerful motive,data/l2arctic/BWC/wav/arctic_b0074.wav,BWC,Chinese,M,yet behind them there was another and most powerful motive
in that case he could not miss them if he used caution,data/l2arctic/BWC/wav/arctic_b0075.wav,BWC,Chinese,M,in that case he would no miss them if he used caution
before philip could recover him jeannes startled guards were upon him,data/l2arctic/BWC/wav/arctic_b0076.wav,BWC,Chinese,M,before philip could recover him janne's starlit guard were upon him
its the nearest refuge,data/l2arctic/BWC/wav/arctic_b0077.wav,BWC,Chinese,M,is the nearest rafit
there was pride and strength the ring of triumph in his voice,data/l2arctic/BWC/wav/arctic_b0078.wav,BWC,Chinese,M,there was prize and strength the ring of triumph in his wife
the truth of it set jeanne quivering,data/l2arctic/BWC/wav/arctic_b0079.wav,BWC,Chinese,M,ter truths alfrid says jennie cravering
tomorrow it will be strong enough for you to stand upon,data/l2arctic/BWC/wav/arctic_b0080.wav,BWC,Chinese,M,to morrow it will be strong enough for you to stand upon
you were going to leave after you saw me on the rock,data/l2arctic/BWC/wav/arctic_b0081.wav,BWC,Chinese,M,you were going to leave after you saw me on the rock
he bit his tongue and cursed himself at the fresh break,data/l2arctic/BWC/wav/arctic_b0082.wav,BWC,Chinese,M,he bit his tongue and crust himself at a fresh break
