transcription,path_to_audio,speaker_id,native_language,gender,whisper_base_transcriptions
in the bohemian club of san francisco there are some crack sailors,data/l2arctic/BWC/wav/arctic_b0364.wav,BWC,Chinese,M,"in the behind me club of san francisco, there are some crack sores."
my age in years is twenty two,data/l2arctic/BWC/wav/arctic_b0365.wav,BWC,Chinese,M,my age in years is 22.
i forgot how easily i had taught myself from the printed page,data/l2arctic/BWC/wav/arctic_b0366.wav,BWC,Chinese,M,i forgot how easily i had taught myself from the printed page.
any average young fellow can teach himself in a week,data/l2arctic/BWC/wav/arctic_b0367.wav,BWC,Chinese,M,any average young fellow can teach himself in the week.
please do not think that i already know it all,data/l2arctic/BWC/wav/arctic_b0368.wav,BWC,Chinese,M,please do not think that i already know it all.
you see we were teaching ourselves,data/l2arctic/BWC/wav/arctic_b0369.wav,BWC,Chinese,M,you'll see we are teaching ourselves.
and now behold the perversity of things,data/l2arctic/BWC/wav/arctic_b0370.wav,BWC,Chinese,M,and now be held the pre-versity of things.
yield yourself to the waters that are ripping and tearing at you,data/l2arctic/BWC/wav/arctic_b0371.wav,BWC,Chinese,M,yield yourself to the workers that are replying and tearing at you.
mister mcveigh told me about him,data/l2arctic/BWC/wav/arctic_b0372.wav,BWC,Chinese,M,mr. mcwade told me about him.
unlike joshua he stood in no need of divine assistance,data/l2arctic/BWC/wav/arctic_b0373.wav,BWC,Chinese,M,electro shoa is stood in the no need of division assisted.
to say the least captain cook was a rather thorough going empiricist,data/l2arctic/BWC/wav/arctic_b0374.wav,BWC,Chinese,M,to see the least captain cook was the rather a sort of going emperorist.
man could not conquer them,data/l2arctic/BWC/wav/arctic_b0375.wav,BWC,Chinese,M,man could not concur then.
thought i and a worthy fool he proved,data/l2arctic/BWC/wav/arctic_b0376.wav,BWC,Chinese,M,so i and a worthy fool he proved.
a scarlet loincloth,data/l2arctic/BWC/wav/arctic_b0377.wav,BWC,Chinese,M,and scarlett lincoos.
christmas is an easy problem compared with a polynesian giving feast,data/l2arctic/BWC/wav/arctic_b0379.wav,BWC,Chinese,M,christmas is a easy problem compared with a polonism giving fees.
he had peeled off his shirt and was wildly waving it,data/l2arctic/BWC/wav/arctic_b0380.wav,BWC,Chinese,M,he had peeled off his shirt and was well-living it.
and how would we find ourselves,data/l2arctic/BWC/wav/arctic_b0381.wav,BWC,Chinese,M,and how we find ourselves.
i defy any man to get a solomon island sore in california,data/l2arctic/BWC/wav/arctic_b0382.wav,BWC,Chinese,M,i'd different anime to get a song island score in california.
a bush chief had died a natural death,data/l2arctic/BWC/wav/arctic_b0383.wav,BWC,Chinese,M,a bush chief had died a natural death.
the skippers and na ka tas gymnastics served as a translation without words,data/l2arctic/BWC/wav/arctic_b0384.wav,BWC,Chinese,M,as keepers and katas gymnastic served as a translation with our words.
last night he showed all the symptoms of coming down with pneumonia,data/l2arctic/BWC/wav/arctic_b0385.wav,BWC,Chinese,M,last night he showed all the symptoms of coming down with pneumonia.
my idea was that he would have more influence over the natives,data/l2arctic/BWC/wav/arctic_b0386.wav,BWC,Chinese,M,my deal with that you have more influence over the natives.
its merely the simple superlative,data/l2arctic/BWC/wav/arctic_b0387.wav,BWC,Chinese,M,is merely the simple super tip.
i made no more overtures,data/l2arctic/BWC/wav/arctic_b0388.wav,BWC,Chinese,M,i may know more over choose.
among my minor afflictions i may mention a new mysterious one,data/l2arctic/BWC/wav/arctic_b0389.wav,BWC,Chinese,M,"among my minor affections, i made mention a new miss ruse 1."
the voyage was our idea of a good time,data/l2arctic/BWC/wav/arctic_b0390.wav,BWC,Chinese,M,the voyage was our idea of a good time.
at sea tuesday march seventeenth nineteen o eight,data/l2arctic/BWC/wav/arctic_b0391.wav,BWC,Chinese,M,"se 2c march 17, 1908"
yes sir he answered with cheerful alacrity,data/l2arctic/BWC/wav/arctic_b0392.wav,BWC,Chinese,M,"yes sir, he answered with cheerful laiquity."
i was still weak from my prolonged immersion,data/l2arctic/BWC/wav/arctic_b0393.wav,BWC,Chinese,M,i was too weak from my prolonged immersion.
the boy hesitated then mastered his temper,data/l2arctic/BWC/wav/arctic_b0394.wav,BWC,Chinese,M,"the boy has a tatee, then mastered his temper."
the pain from my hurt knee was agonizing,data/l2arctic/BWC/wav/arctic_b0396.wav,BWC,Chinese,M,the pain from my her knee was agonizing.
the hunters were still arguing and roaring like some semi human amphibious breed,data/l2arctic/BWC/wav/arctic_b0397.wav,BWC,Chinese,M,the hunters were still arguing and roaring like some semi-human amphibian spread.
i have been robbed sir i amended,data/l2arctic/BWC/wav/arctic_b0398.wav,BWC,Chinese,M,"i have been robbed sir, i have demanded."
you were looking squeamish this afternoon he began,data/l2arctic/BWC/wav/arctic_b0399.wav,BWC,Chinese,M,"you are looking squishment this afternoon, i hope you can."
how could i answer the question on the spur of the moment,data/l2arctic/BWC/wav/arctic_b0400.wav,BWC,Chinese,M,how could i answer the question on the spare of the moment?
i learned it myself in english ships,data/l2arctic/BWC/wav/arctic_b0401.wav,BWC,Chinese,M,i learned it myself in english ships.
an altruistic act is an act performed for the welfare of others,data/l2arctic/BWC/wav/arctic_b0402.wav,BWC,Chinese,M,autistic act is an act of performance for the welfare of others.
knowing him i review the old scandinavian myths with clearer understanding,data/l2arctic/BWC/wav/arctic_b0403.wav,BWC,Chinese,M,"knowing him, i review the old scan you made with clear understanding."
yes and no sir was the slow reply,data/l2arctic/BWC/wav/arctic_b0404.wav,BWC,Chinese,M,"yes, and no sir with the slow reply."
and each year something happened and i did not go,data/l2arctic/BWC/wav/arctic_b0405.wav,BWC,Chinese,M,and each year something happened i did not know.
how in hell did he know it was you in the dark,data/l2arctic/BWC/wav/arctic_b0406.wav,BWC,Chinese,M,how in hell did he know it was you're in the dark?
of course much grumbling went on and little outbursts were continually occurring,data/l2arctic/BWC/wav/arctic_b0407.wav,BWC,Chinese,M,"of course, much grumbling went on and later our breasts were continually occurring."
you have all the advantage,data/l2arctic/BWC/wav/arctic_b0408.wav,BWC,Chinese,M,you have all the advantages.
the dirk mentioned by wolf larsen rested in its sheath on my hip,data/l2arctic/BWC/wav/arctic_b0409.wav,BWC,Chinese,M,the third mention by wolf larsen rested in his sheath on my hip.
have you ever earned a dollar by your own labour,data/l2arctic/BWC/wav/arctic_b0410.wav,BWC,Chinese,M,have you ever earned a dollar by your own labor?
he gave no reason but his motive was obvious enough,data/l2arctic/BWC/wav/arctic_b0411.wav,BWC,Chinese,M,he gave no reason but his motive was obvious enough.
he may desire to escape pain or to enjoy pleasure,data/l2arctic/BWC/wav/arctic_b0413.wav,BWC,Chinese,M,he may desire to escape pain or to enjoy pleasure.
it was impossible to hoist sail and claw off that shore,data/l2arctic/BWC/wav/arctic_b0414.wav,BWC,Chinese,M,it was impossible to hoist sale and claw off that shore.
there was nothing for us but the wide raw ocean,data/l2arctic/BWC/wav/arctic_b0415.wav,BWC,Chinese,M,there was nothing for us but the white raw ocean.
i arose obediently and went down the beach,data/l2arctic/BWC/wav/arctic_b0416.wav,BWC,Chinese,M,i'll also be dancing and went down the beach.
the next thing to watch out for is bed sores,data/l2arctic/BWC/wav/arctic_b0417.wav,BWC,Chinese,M,and the next thing to wash out for is best source.
at that moment i got the impression that she was willowy,data/l2arctic/BWC/wav/arctic_b0418.wav,BWC,Chinese,M,"at that moment, i got the impression that he was rotary."
your fathers fifth command he nodded,data/l2arctic/BWC/wav/arctic_b0419.wav,BWC,Chinese,M,your father fifth command he nodded.
on occasion on this traverse the cape verde islands are raised,data/l2arctic/BWC/wav/arctic_b0420.wav,BWC,Chinese,M,"on occasion of this traverse, the cable varied islands are raised."
she is essentially the life giving life conserving female of the species,data/l2arctic/BWC/wav/arctic_b0421.wav,BWC,Chinese,M,"she is eventually a life-giving, life-conserving female of the species."
this was when the explosion occurred,data/l2arctic/BWC/wav/arctic_b0422.wav,BWC,Chinese,M,this was when the explosion occurred.
also at regular intervals he would mutter,data/l2arctic/BWC/wav/arctic_b0423.wav,BWC,Chinese,M,also a regular intervals he will matter.
it is a very tenable hypothesis and will bear looking into,data/l2arctic/BWC/wav/arctic_b0424.wav,BWC,Chinese,M,it is a very tangible hypothesis and we'll be looking into.
there were orange green gold green and a copper green,data/l2arctic/BWC/wav/arctic_b0425.wav,BWC,Chinese,M,"there were orange, green, gold, green, and copper, green."
the gabriel voice of the samurai rang out,data/l2arctic/BWC/wav/arctic_b0426.wav,BWC,Chinese,M,the gabriel voice of samuel right now.
the sunsets grow more bizarre and spectacular off this coast of the argentine,data/l2arctic/BWC/wav/arctic_b0427.wav,BWC,Chinese,M,the sand sands grew more bizarre and spectacular of this coach of the argentine.
the history of our westward faring race is written in it,data/l2arctic/BWC/wav/arctic_b0428.wav,BWC,Chinese,M,the israel-fawal westia farming race is rising in it.
they were babbling and chattering all together,data/l2arctic/BWC/wav/arctic_b0430.wav,BWC,Chinese,M,they were bubbling and chattering all together.
too much he told me with ominous rolling head,data/l2arctic/BWC/wav/arctic_b0431.wav,BWC,Chinese,M,too much he told me with ominous rolling hat.
he is a candidate rising from the serf class to our class,data/l2arctic/BWC/wav/arctic_b0432.wav,BWC,Chinese,M,"he is a candidate, resin from the surf class to our class."
we are cooking on the coal stove and on the oil burners,data/l2arctic/BWC/wav/arctic_b0433.wav,BWC,Chinese,M,we are cooking on the cold stove and on the oil burners.
the steward has just tendered me a respectful bit of advice,data/l2arctic/BWC/wav/arctic_b0434.wav,BWC,Chinese,M,this sword has just tendered me a respectful speed of advice.
well did they eat,data/l2arctic/BWC/wav/arctic_b0435.wav,BWC,Chinese,M,"well, did they eat?"
famine had been my great ally,data/l2arctic/BWC/wav/arctic_b0436.wav,BWC,Chinese,M,fama happy my great eyeliner.!!!!!
nowhere in the north is the soil so prolific,data/l2arctic/BWC/wav/arctic_b0437.wav,BWC,Chinese,M,nowhere in the north is the solid and so prolific.!!!!!
they ran the canoe in and climbed the high earth bank,data/l2arctic/BWC/wav/arctic_b0438.wav,BWC,Chinese,M,they run the canoe in and climb the high earth bank.!!!!!
the land exchanged its austere robes for the garb of a smiling wanton,data/l2arctic/BWC/wav/arctic_b0439.wav,BWC,Chinese,M,the land exchanges oyster robs for the ground of a smelling mountain.!!!!!
there were stir and bustle new faces and fresh facts,data/l2arctic/BWC/wav/arctic_b0440.wav,BWC,Chinese,M,"doors, door and bustle, new faces and fresh facts.!!!!!"
and there was ethel baird whom also you must remember,data/l2arctic/BWC/wav/arctic_b0441.wav,BWC,Chinese,M,and there was ashopere who also you must remember.!!!!!
he had become a man very early in life,data/l2arctic/BWC/wav/arctic_b0442.wav,BWC,Chinese,M,he had become a man very early in life.!!!!!
i did not think you would be so early,data/l2arctic/BWC/wav/arctic_b0443.wav,BWC,Chinese,M,i did not think you'd be sorely.!!!!!
he did not know what went on in the minds of his superiors,data/l2arctic/BWC/wav/arctic_b0444.wav,BWC,Chinese,M,he did not know what went on in the minds of his spirits.!!!!!
mops sir eagerly answered the sailor at the wheel,data/l2arctic/BWC/wav/arctic_b0445.wav,BWC,Chinese,M,mob sir eagerly answered the sealer on the wheel.!!!!!
obrien emitted a shriek that sank swiftly to a gurgling sob,data/l2arctic/BWC/wav/arctic_b0447.wav,BWC,Chinese,M,brian admitted a shrink and sank swiftly to a grumbling stop.!!!!!
sandel would never become a world champion,data/l2arctic/BWC/wav/arctic_b0448.wav,BWC,Chinese,M,santa will never become a world champion.!!!!!
also she wouldnt walk,data/l2arctic/BWC/wav/arctic_b0449.wav,BWC,Chinese,M,"also, she wouldn't walk.!!!!!"
to my dearest and always appreciated friend i submit myself,data/l2arctic/BWC/wav/arctic_b0450.wav,BWC,Chinese,M,to my dearest and always appreciated my friend as a mean myself.!!!!!
you used to joy ride like the very devil,data/l2arctic/BWC/wav/arctic_b0451.wav,BWC,Chinese,M,you use to draw your right leg very table.!!!!!
they saw each other for the first time in boston,data/l2arctic/BWC/wav/arctic_b0452.wav,BWC,Chinese,M,to show each other for the first time in boston.!!!!!
isaac ford the austere soldier of the lord the old hypocrite,data/l2arctic/BWC/wav/arctic_b0453.wav,BWC,Chinese,M,"i think for all stakeholders of the lord, the old hypothermic.!!!!!"
eighteen he added,data/l2arctic/BWC/wav/arctic_b0454.wav,BWC,Chinese,M,h.e.n.e.e.!!!!!
his reward should have been peace and repose,data/l2arctic/BWC/wav/arctic_b0455.wav,BWC,Chinese,M,his reward should have been pieces and report.!!!!!
he was an amphibian and a mountaineer,data/l2arctic/BWC/wav/arctic_b0456.wav,BWC,Chinese,M,he was a phobia and a mountaineer.!!!!!
it was sanctification and salvation,data/l2arctic/BWC/wav/arctic_b0457.wav,BWC,Chinese,M,"it will sanctification, salvation.!!!!!"
the history of the eighteenth century is written ernest prompted,data/l2arctic/BWC/wav/arctic_b0458.wav,BWC,Chinese,M,the history of 18th century is written ernest propt.!!!!!
they are not biologists nor sociologists,data/l2arctic/BWC/wav/arctic_b0459.wav,BWC,Chinese,M,there are no biologists nor sociologists.!!!!!
the more his opponents grew excited the more ernest deliberately excited them,data/l2arctic/BWC/wav/arctic_b0460.wav,BWC,Chinese,M,"the more his opponents grow excited, the more earnest deliberately excited them.!!!!!"
by virtue of that power we shall remain in power,data/l2arctic/BWC/wav/arctic_b0461.wav,BWC,Chinese,M,"by virtue of that power, we shall remain in power.!!!!!"
one guess will do ernest retorted,data/l2arctic/BWC/wav/arctic_b0462.wav,BWC,Chinese,M,one gas will do earnest retarded.!!!!!
i could not agree with ernest,data/l2arctic/BWC/wav/arctic_b0464.wav,BWC,Chinese,M,i could not agree with ernest.!!!!!
but such divergence of opinion would constitute no menace to society,data/l2arctic/BWC/wav/arctic_b0465.wav,BWC,Chinese,M,but such divergence of opinion will consist of no minus to society.!!!!!
it is dog eat dog and you ate them up,data/l2arctic/BWC/wav/arctic_b0466.wav,BWC,Chinese,M,it is dog 8 talk and you ate them up!!!!!
let us run them for ourselves,data/l2arctic/BWC/wav/arctic_b0467.wav,BWC,Chinese,M,let us random for ourselves.!!!!!
it was introduced by representative dick of ohio,data/l2arctic/BWC/wav/arctic_b0468.wav,BWC,Chinese,M,it was introduced by represented to dekal for a higher.!!!!!
very few people knew of the existence of this law,data/l2arctic/BWC/wav/arctic_b0469.wav,BWC,Chinese,M,very few people knew of resistance of this law.!!!!!
the very thing ernest agreed,data/l2arctic/BWC/wav/arctic_b0470.wav,BWC,Chinese,M,the very thing ernest agreed.
also a fellow senator chauncey depew said,data/l2arctic/BWC/wav/arctic_b0471.wav,BWC,Chinese,M,also a fatal sun and her chang-c dps set.
ernest saw in the affair the most sinister import,data/l2arctic/BWC/wav/arctic_b0472.wav,BWC,Chinese,M,ernest saw in the fair the most sinister import.
then there was the campaign,data/l2arctic/BWC/wav/arctic_b0473.wav,BWC,Chinese,M,then there was the campaign.
he was manifestly distressed by my coming,data/l2arctic/BWC/wav/arctic_b0474.wav,BWC,Chinese,M,he was manifestally distressed by my coming.
not a wheel moved in his empire,data/l2arctic/BWC/wav/arctic_b0475.wav,BWC,Chinese,M,nata will move in his empire.
the reorganization of these countries took the form of revolution,data/l2arctic/BWC/wav/arctic_b0476.wav,BWC,Chinese,M,the reorganization of these countries took the form of revolution.
youre going in for grab sharing,data/l2arctic/BWC/wav/arctic_b0477.wav,BWC,Chinese,M,you are going for grab sherry.
the oligarchy will encourage such ambition and the consequent competition,data/l2arctic/BWC/wav/arctic_b0478.wav,BWC,Chinese,M,the only hierarchy will encourage such ambition and conception competition.
violation of this law was made a high misdemeanor and punished accordingly,data/l2arctic/BWC/wav/arctic_b0479.wav,BWC,Chinese,M,violation of this law was made a high misdemeanor and punished accordingly.
the task we set ourselves was threefold,data/l2arctic/BWC/wav/arctic_b0481.wav,BWC,Chinese,M,the task we set ourselves was threefold.
many other similar disconcerting omissions will be noticed in the manuscript,data/l2arctic/BWC/wav/arctic_b0482.wav,BWC,Chinese,M,many other similar disconcerting omission will be noticed in the manual script.
the flower of the artistic and intellectual world were revolutionists,data/l2arctic/BWC/wav/arctic_b0483.wav,BWC,Chinese,M,the flower of the artistic and the intellectual world world revolutionist.
this the iron heel foresaw and laid its schemes accordingly,data/l2arctic/BWC/wav/arctic_b0484.wav,BWC,Chinese,M,this is the iron heel for the sole and lead is skims accordingly.
the mob came on but it could not advance,data/l2arctic/BWC/wav/arctic_b0485.wav,BWC,Chinese,M,the mob came out but it could not have been.
but why continue the tirade for tirade it was,data/l2arctic/BWC/wav/arctic_b0486.wav,BWC,Chinese,M,but why continue to tarry it for tarry it was?
after all superfluous flesh is gone what is left is stringy and resistant,data/l2arctic/BWC/wav/arctic_b0487.wav,BWC,Chinese,M,"after all, superfluous flash is gone, what is left is jingy and resistant."
beyond refusing to sell us food they left us to ourselves,data/l2arctic/BWC/wav/arctic_b0488.wav,BWC,Chinese,M,"be unrefused into self-suffering, they left us to ourselves."
he was a merry monarch especially so for an asiatic,data/l2arctic/BWC/wav/arctic_b0489.wav,BWC,Chinese,M,"he was a merrick monarch, especially so far, azealic."
what an excited whispering and conferring took place,data/l2arctic/BWC/wav/arctic_b0490.wav,BWC,Chinese,M,what an exciting whispering and comforting took place.
jacob brinker who was his road mate brought the news,data/l2arctic/BWC/wav/arctic_b0491.wav,BWC,Chinese,M,"jk brinker, who was his role-made broad news."
thus he turned the tenets and jargon of psychology back on me,data/l2arctic/BWC/wav/arctic_b0492.wav,BWC,Chinese,M,thus he turned the tenants and jenkins of psychology back on me.
you yellow giant thing of the frost,data/l2arctic/BWC/wav/arctic_b0493.wav,BWC,Chinese,M,you yellow giant thing of the frost.
never so strange a prophet came up to jerusalem,data/l2arctic/BWC/wav/arctic_b0494.wav,BWC,Chinese,M,"nevertheless, those stranger profit came up that jossalum."
we who have endured so much surely can endure a little more,data/l2arctic/BWC/wav/arctic_b0495.wav,BWC,Chinese,M,we who had enjoyed so much surely can enjoy a little more.
i have seen myself that one man contemplated by pascals philosophic eye,data/l2arctic/BWC/wav/arctic_b0496.wav,BWC,Chinese,M,i have myself that women contemplated by pascal's dollar figure.
i remembered the red wine of the italian rancho and shuddered inwardly,data/l2arctic/BWC/wav/arctic_b0498.wav,BWC,Chinese,M,and remembered the right one of italian ritual and sadly inwardly.
i said and dismissed the matter as not worth thinking about,data/l2arctic/BWC/wav/arctic_b0499.wav,BWC,Chinese,M,i said that this means that the matter has no worth thinking about.
then came my boy code,data/l2arctic/BWC/wav/arctic_b0500.wav,BWC,Chinese,M,then came my boy code.
and wherever i ranged the way lay along alcohol drenched roads,data/l2arctic/BWC/wav/arctic_b0501.wav,BWC,Chinese,M,"and wherever i range the row, we along alcohol range the rows."
and as we hurried up town joe goose explained,data/l2arctic/BWC/wav/arctic_b0502.wav,BWC,Chinese,M,"and as we hurried up town, john goose explained."
the scents of strange vegetation blew off the tropic land,data/l2arctic/BWC/wav/arctic_b0503.wav,BWC,Chinese,M,the sense of stringed vegetation below the tropic
the life there was healthful and athletic but too juvenile,data/l2arctic/BWC/wav/arctic_b0504.wav,BWC,Chinese,M,the life there was helpful and athletic but too trivial.!
how valiantly i went at it that first day,data/l2arctic/BWC/wav/arctic_b0505.wav,BWC,Chinese,M,how relentlessly i went as it that first day.!
it would help to tide me along until i got steady employment,data/l2arctic/BWC/wav/arctic_b0506.wav,BWC,Chinese,M,it will help to tighten me along until i got daily employment.!
did i possess too much vitality,data/l2arctic/BWC/wav/arctic_b0507.wav,BWC,Chinese,M,did i post that too much for tyler lee?!
in his anxiety and solicitude and love they did not count,data/l2arctic/BWC/wav/arctic_b0508.wav,BWC,Chinese,M,"in his anxiety, i saw a tube i loved, they did not come.!"
he had fulfilled his duty and paid properly,data/l2arctic/BWC/wav/arctic_b0509.wav,BWC,Chinese,M,he had fulfilled his duty and paid properly.!
he knew what taboos he was violating,data/l2arctic/BWC/wav/arctic_b0510.wav,BWC,Chinese,M,he knew what tabo's he was violating.!
do you value your hide,data/l2arctic/BWC/wav/arctic_b0511.wav,BWC,Chinese,M,do you value your height?!
you should have seen them when they heard me spitting chinook,data/l2arctic/BWC/wav/arctic_b0512.wav,BWC,Chinese,M,you should have seen them when they heard me spilling chumul.!
he plodded on for half an hour when the hallucination arose again,data/l2arctic/BWC/wav/arctic_b0513.wav,BWC,Chinese,M,he plot on for half an hour with the hallucination arousal gain.!
the women they carried away with them to the big valley,data/l2arctic/BWC/wav/arctic_b0241.wav,BWC,Chinese,M,do men they carry the way with them to a big rally?!
you fired me out of your house in short,data/l2arctic/BWC/wav/arctic_b0258.wav,BWC,Chinese,M,you fired me out of your house in short.!
but i did not enjoy it long,data/l2arctic/BWC/wav/arctic_b0275.wav,BWC,Chinese,M,but i did not enjoy a lot.!
the fire men wore animal skins around their waists and across their shoulders,data/l2arctic/BWC/wav/arctic_b0292.wav,BWC,Chinese,M,the firemen roll animals skin around their waist and across their shoulders.!
nor was elam harnish an exception,data/l2arctic/BWC/wav/arctic_b0309.wav,BWC,Chinese,M,"no, it's an harness and exception.!"
our mister howison will call upon you at your hotel,data/l2arctic/BWC/wav/arctic_b0326.wav,BWC,Chinese,M,our mr. hawa's will call upon you at your hotel.!
but how are you going to do it,data/l2arctic/BWC/wav/arctic_b0343.wav,BWC,Chinese,M,by how are you going to do it?!
there are the canals of china and the yangtse river,data/l2arctic/BWC/wav/arctic_b0361.wav,BWC,Chinese,M,there are the canals of china and the yangtze river.!
i like to speculate upon the glorious future of man,data/l2arctic/BWC/wav/arctic_b0378.wav,BWC,Chinese,M,i like to spank you to the pandaglorious future of me.!
i was beneath the water suffocating and drowning,data/l2arctic/BWC/wav/arctic_b0395.wav,BWC,Chinese,M,i was beneath the water suffocating and drowning.!
ah it was sweet in my ears,data/l2arctic/BWC/wav/arctic_b0412.wav,BWC,Chinese,M,it was sweet in my ears.!
and the eurasian chinese englishman bowed himself away,data/l2arctic/BWC/wav/arctic_b0429.wav,BWC,Chinese,M,and the e-russian chinese englishman brought himself away.!
some one had thrust a large sheath knife into his hand,data/l2arctic/BWC/wav/arctic_b0446.wav,BWC,Chinese,M,someone had thrust a large sheet knife into his hand.!
take my advice and accept the vacation,data/l2arctic/BWC/wav/arctic_b0463.wav,BWC,Chinese,M,take my advice and accept the vacation.!
without discussion it was the agents provocateurs who caused the peasant revolt,data/l2arctic/BWC/wav/arctic_b0480.wav,BWC,Chinese,M,"without discussion, it was the agent's productors who caused the present revolt.!"
one great drawback to farming in california is our long dry summer,data/l2arctic/BWC/wav/arctic_b0497.wav,BWC,Chinese,M,one great drawback to fermi in california is our long drive summer.!
tomorrow or next day it might be gone,data/l2arctic/BWC/wav/arctic_b0514.wav,BWC,Chinese,M,tomorrow or next day it might be gone.!
you can take a vacation on pay,data/l2arctic/BWC/wav/arctic_a0272.wav,BWC,Chinese,M,you can take a vacation on pay.!
he may anticipate the day of his death,data/l2arctic/BWC/wav/arctic_a0544.wav,BWC,Chinese,M,he may anticipate the day of his death.!
but to culture the revolution thus far had exhausted the junta,data/l2arctic/BWC/wav/arctic_b0224.wav,BWC,Chinese,M,but to culture the revolution thus far had exhausted the junta.!
but already he had composed himself,data/l2arctic/BWC/wav/arctic_b0515.wav,BWC,Chinese,M,but already he had composed himself.!
zilla relaxed her sour mouth long enough to sigh her satisfaction,data/l2arctic/BWC/wav/arctic_b0516.wav,BWC,Chinese,M,jila relax her soul month alone enough to sign her satisfaction.!
eggshell is not good to eat,data/l2arctic/BWC/wav/arctic_b0517.wav,BWC,Chinese,M,actual is not good to eat.
but there was also talk of witchcraft in the village,data/l2arctic/BWC/wav/arctic_b0518.wav,BWC,Chinese,M,but there was also a talk of witchcraft in the village.
yea i will tell thee,data/l2arctic/BWC/wav/arctic_b0519.wav,BWC,Chinese,M,"yeah, i'll tell thee."
hans hurled himself upon the prostrate man striking madly with his fists,data/l2arctic/BWC/wav/arctic_b0520.wav,BWC,Chinese,M,"hans hurled himself upon the prostratement, striking mali with his fist."
and he thought of oona and of her words,data/l2arctic/BWC/wav/arctic_b0521.wav,BWC,Chinese,M,and he thought of oana and of her world.
nor would it thaw out his hands and feet,data/l2arctic/BWC/wav/arctic_b0522.wav,BWC,Chinese,M,nor would they thought of his hands and feet.
the russian music player the count was her obedient slave,data/l2arctic/BWC/wav/arctic_b0523.wav,BWC,Chinese,M,the russian music player that count was her obedient slave.
so far as flags were concerned they were beyond all jurisdiction,data/l2arctic/BWC/wav/arctic_b0524.wav,BWC,Chinese,M,"so far as flags were concerned, they were beyond all julius ditions."
new idea he volunteered brand new idea,data/l2arctic/BWC/wav/arctic_b0525.wav,BWC,Chinese,M,"new idea he volunteered, brand new idea."
thirty pounds said the captain with finality,data/l2arctic/BWC/wav/arctic_b0526.wav,BWC,Chinese,M,30 pounds that i kept with fanatically.
the very idea of it was preposterous,data/l2arctic/BWC/wav/arctic_b0527.wav,BWC,Chinese,M,the very idea of the was pre-pastures.
captain doanes orders were swiftly obeyed,data/l2arctic/BWC/wav/arctic_b0528.wav,BWC,Chinese,M,"the captain, those orders were swiftly to obeyed."
come on del mar challenged,data/l2arctic/BWC/wav/arctic_b0529.wav,BWC,Chinese,M,"come on, don't mind challenge"
he had a big chimpanzee that was a winner,data/l2arctic/BWC/wav/arctic_b0530.wav,BWC,Chinese,M,he had a big chimpanzee that was a winner.
im sure it must have been some adventure,data/l2arctic/BWC/wav/arctic_b0531.wav,BWC,Chinese,M,i'm sure you must have been some adventure.
that longfellow chap most likely had written countless books of poetry,data/l2arctic/BWC/wav/arctic_b0532.wav,BWC,Chinese,M,the lung fellow cha most likely had writing countless books of poetry.
his abnormal power of vision made abstractions take on concrete form,data/l2arctic/BWC/wav/arctic_b0533.wav,BWC,Chinese,M,his normal power of vision made abstractions take a concrete form.
ill tell you the librarian said with a brightening face,data/l2arctic/BWC/wav/arctic_b0534.wav,BWC,Chinese,M,i'll tell you the library set with brightening face.
he read his fragments aloud,data/l2arctic/BWC/wav/arctic_b0535.wav,BWC,Chinese,M,he write his fragments aloud.
typhoid did i tell you,data/l2arctic/BWC/wav/arctic_b0536.wav,BWC,Chinese,M,"time for it, did i tell you?"
but she had become an automaton,data/l2arctic/BWC/wav/arctic_b0537.wav,BWC,Chinese,M,but she had become an automaton.
at the best they were necessary accessories,data/l2arctic/BWC/wav/arctic_b0538.wav,BWC,Chinese,M,"at the past, there were necessary accessories."
you were making them talk shop ruth charged him,data/l2arctic/BWC/wav/arctic_b0539.wav,BWC,Chinese,M,you're making them talk shop ruth charged him.
author of the danger trail philip steels etc,data/l2arctic/LXC/wav/arctic_a0001.wav,LXC,Chinese,F,"on the off-ladengered shelf, the lip stills et cetera."
not at this particular case tom apologized whittemore,data/l2arctic/LXC/wav/arctic_a0002.wav,LXC,Chinese,F,not at least particular case term apologized white more.
for the twentieth time that evening the two men shook hands,data/l2arctic/LXC/wav/arctic_a0003.wav,LXC,Chinese,F,for the 20th time that evening like two men's shock hands.
lord but im glad to see you again phil,data/l2arctic/LXC/wav/arctic_a0004.wav,LXC,Chinese,F,"lord, but i'm glad to see you again for you."
will we ever forget it,data/l2arctic/LXC/wav/arctic_a0005.wav,LXC,Chinese,F,will we ever forget it?
god bless em i hope ill go on seeing them forever,data/l2arctic/LXC/wav/arctic_a0006.wav,LXC,Chinese,F,"god bless, i hope i will go and see them forever."
and you always want to see it in the superlative degree,data/l2arctic/LXC/wav/arctic_a0007.wav,LXC,Chinese,F,and you always want to see it in the super lightest degree.
gad your letter came just in time,data/l2arctic/LXC/wav/arctic_a0008.wav,LXC,Chinese,F,"god, your letter came just in time."
he turned sharply and faced gregson across the table,data/l2arctic/LXC/wav/arctic_a0009.wav,LXC,Chinese,F,"he turned sharply and fasted, grass on across the table."
im playing a single hand in what looks like a losing game,data/l2arctic/LXC/wav/arctic_a0010.wav,LXC,Chinese,F,i'm playing a single hand in world look class losing game.!
