transcription,path_to_audio,speaker_id,native_language,gender,wav2vec2_base_transcriptions
he heard a sound which brought him quickly into consciousness of day,data/l2arctic/ZHAA/wav/arctic_b0095.wav,ZHAA,Arabic,F,he heard the sound which brought him quickly into consciousness of day
within himself he called it no longer his own,data/l2arctic/ZHAA/wav/arctic_b0096.wav,ZHAA,Arabic,F,within himself he called it no linger his own
besides that noise makes me deaf,data/l2arctic/ZHAA/wav/arctic_b0097.wav,ZHAA,Arabic,F,besides that noise makes me deaf
philip looked back from the crest and saw jeanne leaning over the canoe,data/l2arctic/ZHAA/wav/arctic_b0098.wav,ZHAA,Arabic,F,philip looked back from the crest and so gean leaning over the canoe
fifty yards ahead of her were the first of the rocks,data/l2arctic/ZHAA/wav/arctic_b0099.wav,ZHAA,Arabic,F,fifty yards ahead of her were the first of the rocks
there was one chance and only one of saving jeanne,data/l2arctic/ZHAA/wav/arctic_b0100.wav,ZHAA,Arabic,F,there was one chance an only one of safing jean
youre a devil for fighting and will surely win,data/l2arctic/ZHAA/wav/arctic_b0101.wav,ZHAA,Arabic,F,you are a devil for fighting and will surely win
ill only be in the way,data/l2arctic/ZHAA/wav/arctic_b0102.wav,ZHAA,Arabic,F,i'll only p in the way
he lifted his eyes and a strange cry burst from his lips,data/l2arctic/ZHAA/wav/arctic_b0103.wav,ZHAA,Arabic,F,he lifted his eyes and a strange cry burst from his lips
i know that you are in charge there and jeanne knows,data/l2arctic/ZHAA/wav/arctic_b0105.wav,ZHAA,Arabic,F,i know that you are in charge there an jeane knows
for a full minute the two men stared into each others face,data/l2arctic/ZHAA/wav/arctic_b0106.wav,ZHAA,Arabic,F,for a full minute the two men stared into each other's face
he was sure now of but few things,data/l2arctic/ZHAA/wav/arctic_b0107.wav,ZHAA,Arabic,F,he was sure now of but few things
it was a miracle and i owe you my life,data/l2arctic/ZHAA/wav/arctic_b0108.wav,ZHAA,Arabic,F,it was a miracle and i owe you my life
philip ate lightly of the food which pierre had ready for him,data/l2arctic/ZHAA/wav/arctic_b0109.wav,ZHAA,Arabic,F,philip ate slightly of the foude which bierre had ready for him
such men believe when they come together,data/l2arctic/ZHAA/wav/arctic_b0110.wav,ZHAA,Arabic,F,such men believe when they come together
the journey was continued at dawn,data/l2arctic/ZHAA/wav/arctic_b0111.wav,ZHAA,Arabic,F,the journey was continued adone
jeanne and pierre both gazed toward the great rock,data/l2arctic/ZHAA/wav/arctic_b0112.wav,ZHAA,Arabic,F,jean and pier both geese toward the great rock
there was something pathetic in the girls attitude now,data/l2arctic/ZHAA/wav/arctic_b0113.wav,ZHAA,Arabic,F,there was something pathetic in the girl's attitude now
he moved his position and the illusion was gone,data/l2arctic/ZHAA/wav/arctic_b0114.wav,ZHAA,Arabic,F,he moved his position and the illusion was gun
for two hours not a word passed between them,data/l2arctic/ZHAA/wav/arctic_b0115.wav,ZHAA,Arabic,F,for two hours not a word passed between them
i have hunted along this ridge replied philip,data/l2arctic/ZHAA/wav/arctic_b0116.wav,ZHAA,Arabic,F,i have hunted along this wretch replied philip
thats thorpes said the young engineer,data/l2arctic/ZHAA/wav/arctic_b0117.wav,ZHAA,Arabic,F,that's thorpe said the yank engineer
we saw your light and thought you wouldnt mind a call,data/l2arctic/ZHAA/wav/arctic_b0118.wav,ZHAA,Arabic,F,we sow youre light and thought you wouldn't mind a call
billinger may arrive in time,data/l2arctic/ZHAA/wav/arctic_b0119.wav,ZHAA,Arabic,F,blinger may arrive in time
theres the hitch replied thorpe rolling a cigarette,data/l2arctic/ZHAA/wav/arctic_b0120.wav,ZHAA,Arabic,F,there's the hitch replythorp rolling a zigert
philip saw macdougall soon after his short talk with thorpe,data/l2arctic/ZHAA/wav/arctic_b0122.wav,ZHAA,Arabic,F,philip so macdyll soon after his short tak with thorpe
neither could they understand the growing disaffection among thorpes men,data/l2arctic/ZHAA/wav/arctic_b0123.wav,ZHAA,Arabic,F,neither could they understand the growing disaffiction among thorbesmen
two weeks passed and in that time thorpe left camp three times,data/l2arctic/ZHAA/wav/arctic_b0124.wav,ZHAA,Arabic,F,two weeks bast and in that time thorpe lift camp three times
it was the third or fourth time that philip had heard macdougall swear,data/l2arctic/ZHAA/wav/arctic_b0125.wav,ZHAA,Arabic,F,it was the third or fourth time that philip had heard macdell swear
blood was oozing slowly from the wounded mans right breast,data/l2arctic/ZHAA/wav/arctic_b0126.wav,ZHAA,Arabic,F,blot was oozing slowly from the wonted man rite breast
he destroyed everything that had belonged to the woman,data/l2arctic/ZHAA/wav/arctic_b0127.wav,ZHAA,Arabic,F,he destroy everything thout hast belonged to the women
philip bent low over pierre,data/l2arctic/ZHAA/wav/arctic_b0128.wav,ZHAA,Arabic,F,philip pintlow overbeer
did thorpe go to see any one in churchill,data/l2arctic/ZHAA/wav/arctic_b0129.wav,ZHAA,Arabic,F,did thorpe go to see anyone in churchhill
she saw the answer in his face,data/l2arctic/ZHAA/wav/arctic_b0130.wav,ZHAA,Arabic,F,she sow the answer in his face
thorpe and his men were to destroy this camp and kill you,data/l2arctic/ZHAA/wav/arctic_b0131.wav,ZHAA,Arabic,F,tharm and his men were to destroy this camp and kill you
there is no need of further detail now for you can understand,data/l2arctic/ZHAA/wav/arctic_b0132.wav,ZHAA,Arabic,F,there is no need for further detail now for you can understand
there followed a roar that shook the earth,data/l2arctic/ZHAA/wav/arctic_b0133.wav,ZHAA,Arabic,F,there followed orover that shock the earth
blind with rage he darted in,data/l2arctic/ZHAA/wav/arctic_b0134.wav,ZHAA,Arabic,F,blind with rage he darted in
in it was the joy of life,data/l2arctic/ZHAA/wav/arctic_b0135.wav,ZHAA,Arabic,F,in it was the joy of life
swiftly his eyes measured the situation,data/l2arctic/ZHAA/wav/arctic_b0136.wav,ZHAA,Arabic,F,swiftly his eyes meature the situation
but this little defect did not worry him,data/l2arctic/ZHAA/wav/arctic_b0137.wav,ZHAA,Arabic,F,but this little defect did not worry him
together they ate the rabbit,data/l2arctic/ZHAA/wav/arctic_b0139.wav,ZHAA,Arabic,F,together they aid the rabbit
they edged nearer and stood shoulder to shoulder facing their world,data/l2arctic/ZHAA/wav/arctic_b0140.wav,ZHAA,Arabic,F,the itched neer and stood shoulder to shoulder facing the word
it was beating and waiting in the ambush of those black pits,data/l2arctic/ZHAA/wav/arctic_b0141.wav,ZHAA,Arabic,F,it was beating and waiting in the ambish of those plack pits
something vastly more thrilling had come into it now,data/l2arctic/ZHAA/wav/arctic_b0142.wav,ZHAA,Arabic,F,something vastly more thrilling had come into it now
it took him half an hour to reach the edge of it,data/l2arctic/ZHAA/wav/arctic_b0143.wav,ZHAA,Arabic,F,it took him half an hour to reach the edge of it
but there was no longer the mother yearning in his heart,data/l2arctic/ZHAA/wav/arctic_b0144.wav,ZHAA,Arabic,F,but there was no longer the mother eunich in his heart
besides had he not whipped the big owl in the forest,data/l2arctic/ZHAA/wav/arctic_b0145.wav,ZHAA,Arabic,F,besides had he not twhipped the big owl in the forest
after all it was simply a mistake in judgment,data/l2arctic/ZHAA/wav/arctic_b0146.wav,ZHAA,Arabic,F,after all it was simply a mistake in judgment
had it struck squarely it would have killed him,data/l2arctic/ZHAA/wav/arctic_b0147.wav,ZHAA,Arabic,F,had it struck squarely it would have killed him
the indian even poked his stick into the thick ground spruce,data/l2arctic/ZHAA/wav/arctic_b0148.wav,ZHAA,Arabic,F,the indian even borked his steck into the thick ground spoose
pebbles and dirt flew along with hair and fur,data/l2arctic/ZHAA/wav/arctic_b0149.wav,ZHAA,Arabic,F,pippls and dirt flew along with her and far
and he was filled with a strange and foreboding fear,data/l2arctic/ZHAA/wav/arctic_b0150.wav,ZHAA,Arabic,F,and he was folld with strange and forbidding fear
it was steel a fisher trap,data/l2arctic/ZHAA/wav/arctic_b0151.wav,ZHAA,Arabic,F,it was a steel a fisher trap
ow a wild dog he growled,data/l2arctic/ZHAA/wav/arctic_b0152.wav,ZHAA,Arabic,F,oh a wild dyke he growled
he was a pariah a wanderer without a friend or a home,data/l2arctic/ZHAA/wav/arctic_b0153.wav,ZHAA,Arabic,F,he was a pariah a wanderer without a friend or a home
that is the strange part of it,data/l2arctic/ZHAA/wav/arctic_b0154.wav,ZHAA,Arabic,F,that is the strange part of it
for that reason le beau had chosen him to fight the big fight,data/l2arctic/ZHAA/wav/arctic_b0156.wav,ZHAA,Arabic,F,for that reason lee poo had chosen him to fight the big fight
in the crib the baby sat up and began to prattle,data/l2arctic/ZHAA/wav/arctic_b0157.wav,ZHAA,Arabic,F,in the crib the baby sat up and began to prattle
she obeyed shrinking back with the baby in her arms,data/l2arctic/ZHAA/wav/arctic_b0158.wav,ZHAA,Arabic,F,she awate shrinking back with the baby in her arms
his teeth shut with a last click,data/l2arctic/ZHAA/wav/arctic_b0159.wav,ZHAA,Arabic,F,his teeth shot with ta last click
it was over when he made his way through the ring of spectators,data/l2arctic/ZHAA/wav/arctic_b0160.wav,ZHAA,Arabic,F,it was over when he made his way through the rank of spictactors
in a flash he was on his feet facing him,data/l2arctic/ZHAA/wav/arctic_b0161.wav,ZHAA,Arabic,F,in a flash he was on his feet facing him
he thought he saw a shudder pass through the factors shoulders,data/l2arctic/ZHAA/wav/arctic_b0162.wav,ZHAA,Arabic,F,he thought he saw a shudder pass through the factor's shoulders
the moon had already begun its westward decline,data/l2arctic/ZHAA/wav/arctic_b0163.wav,ZHAA,Arabic,F,the moon had already begun its wissworbed decline
they laughed like two happy children,data/l2arctic/ZHAA/wav/arctic_b0164.wav,ZHAA,Arabic,F,they laughed like two happy children
he pulled and the log crashed down to break his back,data/l2arctic/ZHAA/wav/arctic_b0165.wav,ZHAA,Arabic,F,he bult and the light crushed down to break his back
fast but endure,data/l2arctic/ZHAA/wav/arctic_b0166.wav,ZHAA,Arabic,F,fast but endure
a little before dawn of the day following the fire relief came,data/l2arctic/ZHAA/wav/arctic_b0167.wav,ZHAA,Arabic,F,ull before down of the day following the fir of relief came
the indian felt the worship of her warm in his heart,data/l2arctic/ZHAA/wav/arctic_b0168.wav,ZHAA,Arabic,F,the indian fold the worship of her warm in his heart
he drew in a deep breath as he looked at them,data/l2arctic/ZHAA/wav/arctic_b0169.wav,ZHAA,Arabic,F,he drew in a deep breath as he locked at them
then he shouted shut up,data/l2arctic/ZHAA/wav/arctic_b0170.wav,ZHAA,Arabic,F,then he shot it shut up
he changed his seat for a steamer reclining chair,data/l2arctic/ZHAA/wav/arctic_b0171.wav,ZHAA,Arabic,F,he changed his seat for a steamer reclining chair
to these he gave castor oil,data/l2arctic/ZHAA/wav/arctic_b0173.wav,ZHAA,Arabic,F,to these he gave caster oil
hatred and murder and lust for revenge they possessed to overflowing,data/l2arctic/ZHAA/wav/arctic_b0174.wav,ZHAA,Arabic,F,hated and murder and lost for revenge they possessed to overflowing
sheldon glanced at the thermometer,data/l2arctic/ZHAA/wav/arctic_b0175.wav,ZHAA,Arabic,F,childen glanced at the thermomir
ill see to poor hughie,data/l2arctic/ZHAA/wav/arctic_b0176.wav,ZHAA,Arabic,F,i will see to bor hui
her gray eyes were flashing and her lips were quivering,data/l2arctic/ZHAA/wav/arctic_b0177.wav,ZHAA,Arabic,F,her grey eyes were flashing and her lips were quivering
also i want information,data/l2arctic/ZHAA/wav/arctic_b0178.wav,ZHAA,Arabic,F,also i want infommation
let them go out and eat with my boys,data/l2arctic/ZHAA/wav/arctic_b0179.wav,ZHAA,Arabic,F,let them go out and eat with my poise
i i beg pardon he drawled,data/l2arctic/ZHAA/wav/arctic_b0180.wav,ZHAA,Arabic,F,i i beg pardon he drowled
and you preferred a cannibal isle and a cartridge belt,data/l2arctic/ZHAA/wav/arctic_b0181.wav,ZHAA,Arabic,F,and you preferred a cannibal isle and a cartridge built
i was in new york when the crash came,data/l2arctic/ZHAA/wav/arctic_b0182.wav,ZHAA,Arabic,F,i was in york when the krash came
no i did not fall among thieves,data/l2arctic/ZHAA/wav/arctic_b0183.wav,ZHAA,Arabic,F,no i did not fall among thies
such things in her brain were like so many oaths on her lips,data/l2arctic/ZHAA/wav/arctic_b0184.wav,ZHAA,Arabic,F,such things in her brain were like so many oaths on her lips
your being wrecked here has been a godsend to me,data/l2arctic/ZHAA/wav/arctic_b0185.wav,ZHAA,Arabic,F,your being crecked here has been a gotcent to me
i cant go elsewhere by your own account,data/l2arctic/ZHAA/wav/arctic_b0186.wav,ZHAA,Arabic,F,i can't go elsewhere by your own account
her achievements with cocoanuts were a revelation,data/l2arctic/ZHAA/wav/arctic_b0187.wav,ZHAA,Arabic,F,her achievements with coccoa nuts were a revelation
he glanced down at her helplessly and moistened his lips,data/l2arctic/ZHAA/wav/arctic_b0188.wav,ZHAA,Arabic,F,he glanced down at her helplessly and moistened his lips
idealism led him to philosophic anarchy and his family threw him off,data/l2arctic/ZHAA/wav/arctic_b0190.wav,ZHAA,Arabic,F,idolis litim to philosophic anarchy and his family threw him off
he also contended that better confidence was established by carrying no weapons,data/l2arctic/ZHAA/wav/arctic_b0191.wav,ZHAA,Arabic,F,he also contended that better confidence was established by carrying no weapons
outsiders are allowed five minute speeches the sick man urged,data/l2arctic/ZHAA/wav/arctic_b0192.wav,ZHAA,Arabic,F,outsiders are allowed five minute speeches the sick man urged
so was packards finish suicide,data/l2arctic/ZHAA/wav/arctic_b0193.wav,ZHAA,Arabic,F,so was backards finish suicite
joan cried with shining eyes,data/l2arctic/ZHAA/wav/arctic_b0194.wav,ZHAA,Arabic,F,jon kride with shinink ice
nobody knows how the natives got them,data/l2arctic/ZHAA/wav/arctic_b0195.wav,ZHAA,Arabic,F,nobody knows how the netrifs got them
how can you manage all alone mister young,data/l2arctic/ZHAA/wav/arctic_b0196.wav,ZHAA,Arabic,F,how can you manage all alone mister yank
the planters are already considering the matter,data/l2arctic/ZHAA/wav/arctic_b0197.wav,ZHAA,Arabic,F,the blanters are already considering the matter
i use great trouble advisedly,data/l2arctic/ZHAA/wav/arctic_b0198.wav,ZHAA,Arabic,F,a ise great trouble advisedly
dear sir your second victim has fallen on schedule time,data/l2arctic/ZHAA/wav/arctic_b0199.wav,ZHAA,Arabic,F,dersir your second victim has fallen on schasual time
we leave the eventuality to time and law,data/l2arctic/ZHAA/wav/arctic_b0200.wav,ZHAA,Arabic,F,we leave the effintuality to time alo
i also understand that similar branch organizations have made their appearance in europe,data/l2arctic/ZHAA/wav/arctic_b0201.wav,ZHAA,Arabic,F,i also understand that similar pranch organizations have made their appearance in europe
society is shaken to its foundations,data/l2arctic/ZHAA/wav/arctic_b0202.wav,ZHAA,Arabic,F,society is shaken to its foundations
a month in australia would finish me,data/l2arctic/ZHAA/wav/arctic_b0203.wav,ZHAA,Arabic,F,a month in australia would finish me
down through the perfume weighted air fluttered the snowy fluffs of the cottonwoods,data/l2arctic/ZHAA/wav/arctic_b0204.wav,ZHAA,Arabic,F,down through the perfume weighted air fluttered the snowy flofts of the cottonwoots
you were destroying my life,data/l2arctic/ZHAA/wav/arctic_b0205.wav,ZHAA,Arabic,F,you are destroying my life
im as good as a man she urged,data/l2arctic/ZHAA/wav/arctic_b0207.wav,ZHAA,Arabic,F,i'm as good as a man she urged
you read the quotations in todays paper,data/l2arctic/ZHAA/wav/arctic_b0208.wav,ZHAA,Arabic,F,you read the cretaceans into day's paper
hes terribly touchy about his black wards as he calls them,data/l2arctic/ZHAA/wav/arctic_b0209.wav,ZHAA,Arabic,F,hisorably touchy about his plackewords as he calls them
whatever he guessed he locked away in the taboo room of naomi,data/l2arctic/ZHAA/wav/arctic_b0210.wav,ZHAA,Arabic,F,wherever he guessed he locked away in the tapoo room of naumi
this is eighteen eighty,data/l2arctic/ZHAA/wav/arctic_b0211.wav,ZHAA,Arabic,F,this is eighteen eighty
death is and has been ever since old maui died,data/l2arctic/ZHAA/wav/arctic_b0212.wav,ZHAA,Arabic,F,death is and has peen ever since old may died
some boy she laughed acquiescence,data/l2arctic/ZHAA/wav/arctic_b0213.wav,ZHAA,Arabic,F,some boy she laughed at aquizius
let us talk it over and find a way out,data/l2arctic/ZHAA/wav/arctic_b0214.wav,ZHAA,Arabic,F,let us soak it over and find a way out
it is a good property and worth more than that,data/l2arctic/ZHAA/wav/arctic_b0215.wav,ZHAA,Arabic,F,it is a good property and worth more than that
i wish you were more adaptable joan retorted,data/l2arctic/ZHAA/wav/arctic_b0216.wav,ZHAA,Arabic,F,i wish you were more adaptable jaund retorted
such is my passage engaged on the steamer,data/l2arctic/ZHAA/wav/arctic_b0217.wav,ZHAA,Arabic,F,such is by passage engage on the steamer
the issue was not in doubt,data/l2arctic/ZHAA/wav/arctic_b0218.wav,ZHAA,Arabic,F,the issue was not in doubt
well there are better men in hawaii thats all,data/l2arctic/ZHAA/wav/arctic_b0219.wav,ZHAA,Arabic,F,well there are better men in how i that's all
harry bancroft dave lied,data/l2arctic/ZHAA/wav/arctic_b0220.wav,ZHAA,Arabic,F,harry bancroft day flight
its a yankee joan cried,data/l2arctic/ZHAA/wav/arctic_b0221.wav,ZHAA,Arabic,F,it's i in keep john crit
he was the leader and tudor was his lieutenant,data/l2arctic/ZHAA/wav/arctic_b0222.wav,ZHAA,Arabic,F,he was the leader and tudor was his lieutenant
but to culture the revolution thus far had exhausted the junta,data/l2arctic/ZHAA/wav/arctic_b0224.wav,ZHAA,Arabic,F,but to culture the revolution thus far had exhausted the canta
the president of the united states was his friend,data/l2arctic/ZHAA/wav/arctic_b0225.wav,ZHAA,Arabic,F,the present of the united state was his friend
your face was the personification of duplicity,data/l2arctic/ZHAA/wav/arctic_b0226.wav,ZHAA,Arabic,F,your face was the personification of duplicity
shorty turned to their employers,data/l2arctic/ZHAA/wav/arctic_b0227.wav,ZHAA,Arabic,F,shortly turn to their employers
you were engaged,data/l2arctic/ZHAA/wav/arctic_b0228.wav,ZHAA,Arabic,F,you were engaged
i saw it all myself and it was splendid,data/l2arctic/ZHAA/wav/arctic_b0229.wav,ZHAA,Arabic,F,i sew it myself and it was splendid
now run along and tell them to hurry,data/l2arctic/ZHAA/wav/arctic_b0230.wav,ZHAA,Arabic,F,now run a lunk and till them to hig
whats that grub thief got to do with it,data/l2arctic/ZHAA/wav/arctic_b0231.wav,ZHAA,Arabic,F,what's that grub thief got to do with it
it was a superb picture,data/l2arctic/ZHAA/wav/arctic_b0232.wav,ZHAA,Arabic,F,it was a superb picture
so she said the irate skipper dashed on,data/l2arctic/ZHAA/wav/arctic_b0233.wav,ZHAA,Arabic,F,so she said the irit skibber dashed on
and watch out for wet feet was his parting advice,data/l2arctic/ZHAA/wav/arctic_b0234.wav,ZHAA,Arabic,F,and watch out for wet feet was his parting advice
raoul yelled in order to make himself heard,data/l2arctic/ZHAA/wav/arctic_b0235.wav,ZHAA,Arabic,F,rouel yelt in order to make himself hert
oolong was two hundred and fifty miles from the nearest land,data/l2arctic/ZHAA/wav/arctic_b0236.wav,ZHAA,Arabic,F,olong was two hundred and fifty miles from the nearestland
they just lay off in the bush and plugged away,data/l2arctic/ZHAA/wav/arctic_b0237.wav,ZHAA,Arabic,F,they just lay off in the bush and plucked away
the very thought of the effort to swim over was nauseating,data/l2arctic/ZHAA/wav/arctic_b0238.wav,ZHAA,Arabic,F,the very thoat of the effort to swim over was nauseating
and there was a dog that barked,data/l2arctic/ZHAA/wav/arctic_b0239.wav,ZHAA,Arabic,F,and there was a dog that barked
bill lingered contemplating his work with artistic appreciation,data/l2arctic/ZHAA/wav/arctic_a0561.wav,ZHAA,Arabic,F,bell lingered contemplating his work with artistic appreciation
but well just postpone this,data/l2arctic/ZHAA/wav/arctic_a0578.wav,ZHAA,Arabic,F,but will just pospon this
you got out by fighting and i through a pretty girl,data/l2arctic/ZHAA/wav/arctic_b0002.wav,ZHAA,Arabic,F,you got out by fighting and i through a prettiger
his slim hands gripped the edges of the table,data/l2arctic/ZHAA/wav/arctic_b0019.wav,ZHAA,Arabic,F,his a slim hounds gribed the edges of the table
he wondered too where roscoe was,data/l2arctic/ZHAA/wav/arctic_b0036.wav,ZHAA,Arabic,F,he wondered too where rascal was
that is why i am am rattled he laughed,data/l2arctic/ZHAA/wav/arctic_b0053.wav,ZHAA,Arabic,F,that is why i am i am ruttled he left
there was no chance to fire without hitting him,data/l2arctic/ZHAA/wav/arctic_b0070.wav,ZHAA,Arabic,F,there was no chance to fire without hitting him
they will search for us between their camp and churchill,data/l2arctic/ZHAA/wav/arctic_b0087.wav,ZHAA,Arabic,F,they will search for us between their camp and churchill
shooting pains passed like flashes of electricity through his body,data/l2arctic/ZHAA/wav/arctic_b0104.wav,ZHAA,Arabic,F,shooting pas past the light flashes of electricity through his body
i want my men to work by themselves,data/l2arctic/ZHAA/wav/arctic_b0121.wav,ZHAA,Arabic,F,i want my men to work by themselves
and then steadily he began to chew,data/l2arctic/ZHAA/wav/arctic_b0138.wav,ZHAA,Arabic,F,and then steadily he began to chew
his freshly caught furs he flung to the floor,data/l2arctic/ZHAA/wav/arctic_b0155.wav,ZHAA,Arabic,F,his offricialy coat furs he flank to the floor
on the far corner of the compound fence a hawk brooded,data/l2arctic/ZHAA/wav/arctic_b0172.wav,ZHAA,Arabic,F,on the far corner of the compound fence ehowk proded
that is what distinguishes all of us from the lower animals,data/l2arctic/ZHAA/wav/arctic_b0189.wav,ZHAA,Arabic,F,that is what distinguishes all of us from the lower animals
horses and rifles had been her toys camp and trail her nursery,data/l2arctic/ZHAA/wav/arctic_b0206.wav,ZHAA,Arabic,F,horses and rifles had been hair toys camp and trail her nursery
the women they carried away with them to the big valley,data/l2arctic/ZHAA/wav/arctic_b0241.wav,ZHAA,Arabic,F,the woman they curried away with them to the big valley
the japanese understood as we could never school ourselves or hope to understand,data/l2arctic/ZHAA/wav/arctic_b0242.wav,ZHAA,Arabic,F,the jabanese understood as we could never school ourselves or hope to understand
they had been on the same lay as ourselves,data/l2arctic/ZHAA/wav/arctic_b0243.wav,ZHAA,Arabic,F,they had been on the same day as ourselves
you are positively soulless he said savagely,data/l2arctic/ZHAA/wav/arctic_b0244.wav,ZHAA,Arabic,F,you are positively solless he said savagely
harrison is still my chauffeur,data/l2arctic/ZHAA/wav/arctic_b0245.wav,ZHAA,Arabic,F,ah harsen is still my chauffeur
the boy grew and prospered,data/l2arctic/ZHAA/wav/arctic_b0246.wav,ZHAA,Arabic,F,the boy grew and prospert
he wanted to give the finish to this foe already so far gone,data/l2arctic/ZHAA/wav/arctic_b0247.wav,ZHAA,Arabic,F,he wanted to give the finish to this phil already so far gone
exciting times are the lot of the fish patrol,data/l2arctic/ZHAA/wav/arctic_b0248.wav,ZHAA,Arabic,F,exciting times are the lot of the fish patrol
i know they are my oysters,data/l2arctic/ZHAA/wav/arctic_b0249.wav,ZHAA,Arabic,F,i know they are my oysters
by this time charley was as enraged as the greek,data/l2arctic/ZHAA/wav/arctic_b0250.wav,ZHAA,Arabic,F,by this time tolly was as enraged as the creek
they must have been swept away by the chaotic currents,data/l2arctic/ZHAA/wav/arctic_b0251.wav,ZHAA,Arabic,F,they must have been swippet away by the caidi currents
it resembled tea less than lager beer resembles champagne,data/l2arctic/ZHAA/wav/arctic_b0252.wav,ZHAA,Arabic,F,it resemble ta less than larger peerr resembles champagn
the very opposite is true they are discouraged vagabonds,data/l2arctic/ZHAA/wav/arctic_b0253.wav,ZHAA,Arabic,F,a the very opposite is true they are discouraged vagapands
at the same time spears and arrows began to fall among the invaders,data/l2arctic/ZHAA/wav/arctic_b0254.wav,ZHAA,Arabic,F,at the same time spurs and ours began to fall among the invaders
then again tudor had such an irritating way about him,data/l2arctic/ZHAA/wav/arctic_b0255.wav,ZHAA,Arabic,F,then again tother has such an irritating way about him
outwardly he maintained a calm and smiling aspect,data/l2arctic/ZHAA/wav/arctic_b0256.wav,ZHAA,Arabic,F,outwardly he maintain a calm and smiling aspect
you fired me out of your house in short,data/l2arctic/ZHAA/wav/arctic_b0258.wav,ZHAA,Arabic,F,you fired me out of your house in short
her mouth opened but instead of speaking she drew a long sigh,data/l2arctic/ZHAA/wav/arctic_b0259.wav,ZHAA,Arabic,F,her mouth uppened but instead of speaking she drew alongside
its worth eight dollars,data/l2arctic/ZHAA/wav/arctic_b0260.wav,ZHAA,Arabic,F,it's worth eight dollars
and he did hurt my arm,data/l2arctic/ZHAA/wav/arctic_b0261.wav,ZHAA,Arabic,F,and he did her to my arm
saxons onto her job,data/l2arctic/ZHAA/wav/arctic_b0262.wav,ZHAA,Arabic,F,saxons and to hera job
only once did i confide the strangeness of it all to another,data/l2arctic/ZHAA/wav/arctic_b0263.wav,ZHAA,Arabic,F,all i once did i convide the strangeness of it all to another
but this time it was saxon who rebelled,data/l2arctic/ZHAA/wav/arctic_b0264.wav,ZHAA,Arabic,F,but this time it was saxon who rebolt
i was not to cry out in the face of fear,data/l2arctic/ZHAA/wav/arctic_b0265.wav,ZHAA,Arabic,F,i was not to cry out in the face of fear
and now put yourself in my place for a moment,data/l2arctic/ZHAA/wav/arctic_b0266.wav,ZHAA,Arabic,F,and now put yourself in my place for a moment
the boy threw back his head with pride,data/l2arctic/ZHAA/wav/arctic_b0267.wav,ZHAA,Arabic,F,the boy threw back his head with bright
saxon nodded and the boy frowned,data/l2arctic/ZHAA/wav/arctic_b0268.wav,ZHAA,Arabic,F,saxon nodded and the boy frowned
why not like any railroad station or ferry depot,data/l2arctic/ZHAA/wav/arctic_b0269.wav,ZHAA,Arabic,F,why not like any railroad station or feri dubut
we could throw stones with our feet,data/l2arctic/ZHAA/wav/arctic_b0270.wav,ZHAA,Arabic,F,we could throw stones with our feet
it was put together in a casual helter skelter sort of way,data/l2arctic/ZHAA/wav/arctic_b0271.wav,ZHAA,Arabic,F,it was put together in a casual hilter skilter sort of a way
these were merely stout sticks an inch or so in diameter,data/l2arctic/ZHAA/wav/arctic_b0272.wav,ZHAA,Arabic,F,these were merly tout sticks an inch or so in demure
then it was that a strange thing happened,data/l2arctic/ZHAA/wav/arctic_b0273.wav,ZHAA,Arabic,F,then it was thout a strange thing happened
but i did not enjoy it long,data/l2arctic/ZHAA/wav/arctic_b0275.wav,ZHAA,Arabic,F,but i did not enjoy it linke
we were now good friends,data/l2arctic/ZHAA/wav/arctic_b0276.wav,ZHAA,Arabic,F,we were now good friends
two of the folk were already up,data/l2arctic/ZHAA/wav/arctic_b0277.wav,ZHAA,Arabic,F,two of the folk weare already up
now animals do not like mockery,data/l2arctic/ZHAA/wav/arctic_b0278.wav,ZHAA,Arabic,F,now enimals do not like mockery
he gave one last snarl and slid from view among the trees,data/l2arctic/ZHAA/wav/arctic_b0279.wav,ZHAA,Arabic,F,he gave malas snowl and slid from view among the trees
again the girls applauded and missus hall cried,data/l2arctic/ZHAA/wav/arctic_b0280.wav,ZHAA,Arabic,F,aga the girls a ploated and missus hole criet
just the same id sooner be myself than have book indigestion,data/l2arctic/ZHAA/wav/arctic_b0281.wav,ZHAA,Arabic,F,just the same i would sooner be myself than half book in digestion
some of the smaller veins had doubtless been ruptured,data/l2arctic/ZHAA/wav/arctic_b0282.wav,ZHAA,Arabic,F,some of the smaller venys had doubtless been ruptured
but we were without this momentum,data/l2arctic/ZHAA/wav/arctic_b0283.wav,ZHAA,Arabic,F,but we are without this momentum
there was one difficulty however,data/l2arctic/ZHAA/wav/arctic_b0284.wav,ZHAA,Arabic,F,there was one difficulty however
the hyena proceeded to dine,data/l2arctic/ZHAA/wav/arctic_b0285.wav,ZHAA,Arabic,F,the hayanaut proceeded to dine
the time was considered auspicious,data/l2arctic/ZHAA/wav/arctic_b0286.wav,ZHAA,Arabic,F,the time was considered auspicious
or have they already devised one,data/l2arctic/ZHAA/wav/arctic_b0287.wav,ZHAA,Arabic,F,or have they oderly deficed one
we would not spend another such night,data/l2arctic/ZHAA/wav/arctic_b0288.wav,ZHAA,Arabic,F,we would not spend another such night
