transcription,path_to_audio,speaker_id,native_language,gender,sewd_tiny_transcriptions
he considered the victory already his and stepped forward to the meat,data/l2arctic/SKA/wav/arctic_a0323.wav,SKA,Arabic,F,he considered thi seffectory oragy his and staved forward to she mit
it was like the beating of hoofs,data/l2arctic/SKA/wav/arctic_a0340.wav,SKA,Arabic,F,tus like a be thing of hopese
a month passed by and bonanza creek remained quiet,data/l2arctic/SKA/wav/arctic_a0357.wav,SKA,Arabic,F,temonspassed by and wonanzicly remined a quiet
but lifes worth more than cash she argued,data/l2arctic/SKA/wav/arctic_a0374.wav,SKA,Arabic,F,but lifes worse more than cass she added ut
but he reconciled himself to it by an act of faith,data/l2arctic/SKA/wav/arctic_a0391.wav,SKA,Arabic,F,but hedicol sand hem set for to it by an act of face
the eldorado emptied its occupants into the street to see the test,data/l2arctic/SKA/wav/arctic_a0408.wav,SKA,Arabic,F,zeerada ammitted its ocarentus into the stree to seaz of thist
otherwise no restriction is put upon their seafaring,data/l2arctic/SKA/wav/arctic_a0425.wav,SKA,Arabic,F,athewise noistictions is but up on ther's sefing
you live on an income which your father earned,data/l2arctic/SKA/wav/arctic_a0442.wav,SKA,Arabic,F,live on an income which you father innt
theres too much of the schoolboy in me,data/l2arctic/SKA/wav/arctic_a0459.wav,SKA,Arabic,F,this too much of the schoolby in me
at this moment i felt a stir at my shoulder,data/l2arctic/SKA/wav/arctic_a0476.wav,SKA,Arabic,F,at this moment i felt as steir at my shoulderd
the boy obrien was specially maltreated,data/l2arctic/SKA/wav/arctic_a0493.wav,SKA,Arabic,F,the boy oprline was spicially multerated
much more ernest told them of themselves and of his disillusionment,data/l2arctic/SKA/wav/arctic_a0510.wav,SKA,Arabic,F,much more airness to told them of some sedvaus and of his disillugment
the lush vegetation of that sheltered spot make a natural shield,data/l2arctic/SKA/wav/arctic_a0527.wav,SKA,Arabic,F,the last visididisians of that shelteros bod make anatroll's shield
what the flaming,data/l2arctic/SKA/wav/arctic_a0562.wav,SKA,Arabic,F,will the clamink
missus mcfees jaws brought together with a snap,data/l2arctic/SKA/wav/arctic_a0563.wav,SKA,Arabic,F,missus mephis jo as brote to gizza was a snap
then it is as i said womble announced with finality,data/l2arctic/SKA/wav/arctic_a0564.wav,SKA,Arabic,F,then it is eyes i said wobill an knows it was fine ority
with them were indians also three other men,data/l2arctic/SKA/wav/arctic_a0565.wav,SKA,Arabic,F,with them with angents oljesty azar th men
dennins hands were released long enough for him to sign the document,data/l2arctic/SKA/wav/arctic_a0566.wav,SKA,Arabic,F,then his handes were leased along enough for ham to sign the decament
now irvine was a man of impulse a poet,data/l2arctic/SKA/wav/arctic_a0567.wav,SKA,Arabic,F,now iteven was a man of embutisson aboot
he was just bursting with joy joy over what,data/l2arctic/SKA/wav/arctic_a0568.wav,SKA,Arabic,F,he was just persin goos joy joy overwat
at lake linderman i had one canoe very good peterborough canoe,data/l2arctic/SKA/wav/arctic_a0569.wav,SKA,Arabic,F,at lake lenderbo i had one cannon very good bitter brow canno
behind him lay the thousand years long road across all siberia and russia,data/l2arctic/SKA/wav/arctic_a0570.wav,SKA,Arabic,F,behind him ladhe thousand years long grod across the old saburi and drishia
he had forgotten to build a fire and thaw out,data/l2arctic/SKA/wav/arctic_a0571.wav,SKA,Arabic,F,he had forgivei ta ble a fire and desooved
i never saw anything like her in my life,data/l2arctic/SKA/wav/arctic_a0572.wav,SKA,Arabic,F,i never stoo anything dail ie care in my wife
there was no law on the yukon save what they made for themselves,data/l2arctic/SKA/wav/arctic_a0573.wav,SKA,Arabic,F,there was no low on the you castive what they made for sempsovice
good business man curly obrien was saying,data/l2arctic/SKA/wav/arctic_a0574.wav,SKA,Arabic,F,good business manteorally obraono sank
there werent any missions and he was the man to know,data/l2arctic/SKA/wav/arctic_a0575.wav,SKA,Arabic,F,the walant imissions and he was the man to know
and the big persian knew of his existence before he did of hers,data/l2arctic/SKA/wav/arctic_a0576.wav,SKA,Arabic,F,and the big bisiond know of his existence before he did of harst
once the jews harp began emitting its barbaric rhythms michael was helpless,data/l2arctic/SKA/wav/arctic_a0577.wav,SKA,Arabic,F,once zejo harby begin imitting ith bardbicarism's mechal was heablessless
there was the emma louisa,data/l2arctic/SKA/wav/arctic_a0579.wav,SKA,Arabic,F,sit was the emandrisa
this is my fifth voyage,data/l2arctic/SKA/wav/arctic_a0580.wav,SKA,Arabic,F,zis my fifs voyge
it was this proposition that started the big idea in daughtrys mind,data/l2arctic/SKA/wav/arctic_a0581.wav,SKA,Arabic,F,it was his proposition that sturted at the big idea of the tersmind
daughtry elaborated on the counting trick by bringing cocky along,data/l2arctic/SKA/wav/arctic_a0582.wav,SKA,Arabic,F,the tree abilted on h accounting gitricuby bring a hokilang
enjoy it he did but principally for stewards sake,data/l2arctic/SKA/wav/arctic_a0583.wav,SKA,Arabic,F,joy it he did but princflly forst yo it sake
i have long noted your thirst unquenchable,data/l2arctic/SKA/wav/arctic_a0584.wav,SKA,Arabic,F,i have long lottted gorge thrit uncutcchable
wonder if hes a lion dog charles suggested,data/l2arctic/SKA/wav/arctic_a0585.wav,SKA,Arabic,F,wonder if hes lindot the charlis suggested
we dont see ourselves as foolish,data/l2arctic/SKA/wav/arctic_a0586.wav,SKA,Arabic,F,we don't see oursilves as folish
he had comparatively no advantages at first,data/l2arctic/SKA/wav/arctic_a0587.wav,SKA,Arabic,F,he had come brittaly no avench at first
he had proved it today with his amateurish and sophomoric productions,data/l2arctic/SKA/wav/arctic_a0588.wav,SKA,Arabic,F,he had broted it to day with his amtura and so femeric productions
i was sick once typhoid,data/l2arctic/SKA/wav/arctic_a0589.wav,SKA,Arabic,F,i will take won'e diforit
in a way he is my protege,data/l2arctic/SKA/wav/arctic_a0590.wav,SKA,Arabic,F,in away heis my bootage
we are both children together,data/l2arctic/SKA/wav/arctic_a0591.wav,SKA,Arabic,F,i bus it childrn to giz it
its only his indigestion i find fault with,data/l2arctic/SKA/wav/arctic_a0592.wav,SKA,Arabic,F,so only his indisdan i found faltois
shed make a good wife for the cashier,data/l2arctic/SKA/wav/arctic_a0593.wav,SKA,Arabic,F,sheh'd made that good wy for tikasheer
gad do i remember it,data/l2arctic/SKA/wav/arctic_b0001.wav,SKA,Arabic,F,gad didom an bread
i can see that knife now,data/l2arctic/SKA/wav/arctic_b0003.wav,SKA,Arabic,F,i can sees at knife now
when i cant see beauty in woman i want to die,data/l2arctic/SKA/wav/arctic_b0004.wav,SKA,Arabic,F,when i can see bitty in woman i want to die
his slim fingers closed like steel about philips,data/l2arctic/SKA/wav/arctic_b0005.wav,SKA,Arabic,F,he lent fingers closed like til about slips
he seized gregson by the arm and led him to the door,data/l2arctic/SKA/wav/arctic_b0006.wav,SKA,Arabic,F,he seized gracksom by the arm and led him to the door
hear the indian dogs wailing down at churchill,data/l2arctic/SKA/wav/arctic_b0007.wav,SKA,Arabic,F,here the ingen dugs wilin gi thou an at churchil
burke himself had criticized it because of the smile,data/l2arctic/SKA/wav/arctic_b0008.wav,SKA,Arabic,F,breg himself had crecized it because of the smile
id say there was going to be a glorious scrap,data/l2arctic/SKA/wav/arctic_b0009.wav,SKA,Arabic,F,i say there was gling to be graes as cap
he turned the map to gregson pointing with his finger,data/l2arctic/SKA/wav/arctic_b0010.wav,SKA,Arabic,F,he torlned them at to grake some bitin gers his fanger
his eyes never took themselves for an instant from his companions face,data/l2arctic/SKA/wav/arctic_b0011.wav,SKA,Arabic,F,his eyes never toogs himselvace for anistant from his comblintion's face
something that whittemore had not yet said thrilled him,data/l2arctic/SKA/wav/arctic_b0012.wav,SKA,Arabic,F,somethings that withrom had notiet said thros an hap
whitefish gregson whitefish and trout,data/l2arctic/SKA/wav/arctic_b0014.wav,SKA,Arabic,F,white fist glason witefish antrot
they robbed me a few years later,data/l2arctic/SKA/wav/arctic_b0015.wav,SKA,Arabic,F,they loved me afew years alihte
he chuckled as he pulled out his pipe and began filling it,data/l2arctic/SKA/wav/arctic_b0016.wav,SKA,Arabic,F,he chuckled as he pulled out his pife and begin felanget
everything was working smoothly better than i had expected,data/l2arctic/SKA/wav/arctic_b0017.wav,SKA,Arabic,F,everythank was walking smothly withers than i had expected
i was completely lost in my work,data/l2arctic/SKA/wav/arctic_b0018.wav,SKA,Arabic,F,i was comblecy lost in my work
his slim hands gripped the edges of the table,data/l2arctic/SKA/wav/arctic_b0019.wav,SKA,Arabic,F,his slame handes gaved his ages was at table
philip dropped back into his chair,data/l2arctic/SKA/wav/arctic_b0021.wav,SKA,Arabic,F,philib droved back into his chair
if i was out of the game it would be easily made,data/l2arctic/SKA/wav/arctic_b0022.wav,SKA,Arabic,F,if i was out of the game it wold be easily made
macdougall my engineer believes it,data/l2arctic/SKA/wav/arctic_b0023.wav,SKA,Arabic,F,magdagle my ingineer blieves ett
it is growing every day every hour,data/l2arctic/SKA/wav/arctic_b0024.wav,SKA,Arabic,F,dis grawing evidey of the ouve
now you understand,data/l2arctic/SKA/wav/arctic_b0025.wav,SKA,Arabic,F,now ye understand
you have associated with some of these men,data/l2arctic/SKA/wav/arctic_b0026.wav,SKA,Arabic,F,you have associated with some of thease men
and theres no chivalry no quarter shown in this fight,data/l2arctic/SKA/wav/arctic_b0027.wav,SKA,Arabic,F,and ththere is no siverly no quirte of shone ins is fight
lord fitzhugh is the key to the whole situation,data/l2arctic/SKA/wav/arctic_b0028.wav,SKA,Arabic,F,lordfizel is the huki to the whole sitration
all operations have been carried on from montreal and toronto,data/l2arctic/SKA/wav/arctic_b0029.wav,SKA,Arabic,F,ol obration had been curred on from montra and the tront
gregson held a lighted match until it burnt his fingerprints,data/l2arctic/SKA/wav/arctic_b0030.wav,SKA,Arabic,F,bixon held at lighted metch until it burnass his finger rinte
gregson had seated himself under the lamp and he was sharpening a pencil,data/l2arctic/SKA/wav/arctic_b0031.wav,SKA,Arabic,F,grixon hadesseed himself and the zlamb and he was charping gevensi
he caught himself with a jerk,data/l2arctic/SKA/wav/arctic_b0032.wav,SKA,Arabic,F,becolled himself with a sherk
how does your wager look now,data/l2arctic/SKA/wav/arctic_b0033.wav,SKA,Arabic,F,how does your vage floocnam
he confessed that the sketch had startled him,data/l2arctic/SKA/wav/arctic_b0034.wav,SKA,Arabic,F,he compessed that his esketche had distarted him
after all the picture was only a resemblance,data/l2arctic/SKA/wav/arctic_b0035.wav,SKA,Arabic,F,after all debictuas only asemblus
he wondered too where roscoe was,data/l2arctic/SKA/wav/arctic_b0036.wav,SKA,Arabic,F,he wonder to where what rusco was
in her haste to get away she had forgotten these things,data/l2arctic/SKA/wav/arctic_b0038.wav,SKA,Arabic,F,and had hissed to get away she had for getten zes sanks
philip took a step toward gregson half determined to awaken him,data/l2arctic/SKA/wav/arctic_b0039.wav,SKA,Arabic,F,phillip took a step toward the gaks om have to tremind to awokan him
the thought set his blood tingling,data/l2arctic/SKA/wav/arctic_b0040.wav,SKA,Arabic,F,the sort at has blod dengling
but if pierre did not return until tomorrow,data/l2arctic/SKA/wav/arctic_b0041.wav,SKA,Arabic,F,but if ber did not retirn ten to morrow
ten minutes had not elapsed since he had dropped the handkerchief,data/l2arctic/SKA/wav/arctic_b0042.wav,SKA,Arabic,F,tenmes had not elipt since he had trobeza hankechief
it wont be for sale,data/l2arctic/SKA/wav/arctic_b0043.wav,SKA,Arabic,F,it wan't be for sail
for a few moments he ate in silence,data/l2arctic/SKA/wav/arctic_b0044.wav,SKA,Arabic,F,for a few moments he ate then silence
philip did not pursue the subject,data/l2arctic/SKA/wav/arctic_b0045.wav,SKA,Arabic,F,pilib did not perceuse this object
philip produced a couple of cigars and took a chair opposite him,data/l2arctic/SKA/wav/arctic_b0046.wav,SKA,Arabic,F,philla brigs a couble of segrets and took a cheer tobsit him
suppose you saw me at work through the window,data/l2arctic/SKA/wav/arctic_b0047.wav,SKA,Arabic,F,supbose you so me atwork srozoen
he looked like one who had passed through an uncomfortable hour or two,data/l2arctic/SKA/wav/arctic_b0048.wav,SKA,Arabic,F,he looked like one who had best so an unconferntable out of two
there was nothing more except a large ink blot under the words,data/l2arctic/SKA/wav/arctic_b0049.wav,SKA,Arabic,F,there was nothing more except a larch anqplot under the words
all this day gregson remained in the cabin,data/l2arctic/SKA/wav/arctic_b0050.wav,SKA,Arabic,F,all this day gas onemend on the cabin
the sixth day he spent in the cabin with gregson,data/l2arctic/SKA/wav/arctic_b0051.wav,SKA,Arabic,F,the sixiday hayspent in the cabin was gexon
the flush was gone from her face,data/l2arctic/SKA/wav/arctic_b0052.wav,SKA,Arabic,F,the flesh was gune from her face
that is why i am am rattled he laughed,data/l2arctic/SKA/wav/arctic_b0053.wav,SKA,Arabic,F,that is why am am relat he loved
she was even more beautiful than when i saw her before,data/l2arctic/SKA/wav/arctic_b0055.wav,SKA,Arabic,F,she was even more bitiful than when i sow here before
ill give a thousand if you produce her retorted gregson,data/l2arctic/SKA/wav/arctic_b0056.wav,SKA,Arabic,F,ill give a thousand if you produce har litle the gason
they have won popular sentiment through the newspapers,data/l2arctic/SKA/wav/arctic_b0057.wav,SKA,Arabic,F,they have born bobiersintments rozen ewspapers
we must achieve our own salvation,data/l2arctic/SKA/wav/arctic_b0058.wav,SKA,Arabic,F,we must achive our own salvation
in moments of mental energy philip was restless,data/l2arctic/SKA/wav/arctic_b0059.wav,SKA,Arabic,F,an moments of mental energy flabasistous
he would keep his faith with gregson for the promised day or two,data/l2arctic/SKA/wav/arctic_b0060.wav,SKA,Arabic,F,he would give his face with grakes on frol tha bromis dey or to
something about it seemed to fascinate him to challenge his presence,data/l2arctic/SKA/wav/arctic_b0061.wav,SKA,Arabic,F,something ilut it seems professing it him to change his prinses
now it was missing from the wall,data/l2arctic/SKA/wav/arctic_b0062.wav,SKA,Arabic,F,now it was missing te fronzawog
he boiled himself some coffee and sat down to wait,data/l2arctic/SKA/wav/arctic_b0063.wav,SKA,Arabic,F,he boiled himself same coffee and said down to wait
im going down there with you and im going to fight,data/l2arctic/SKA/wav/arctic_b0064.wav,SKA,Arabic,F,i'm ging down there with you and i'm ging od fight
now have you got anything to say against me mister philip,data/l2arctic/SKA/wav/arctic_b0065.wav,SKA,Arabic,F,now have you goot anything t say against me mister fullip
if i meet her again i shall apologize said eileen,data/l2arctic/SKA/wav/arctic_b0066.wav,SKA,Arabic,F,if i meed him again i shall upprotise tip alane
below him the shadow was broken into a pool of rippling starlight,data/l2arctic/SKA/wav/arctic_b0067.wav,SKA,Arabic,F,blew ham the shado was broken into apool of ribbllings toit
only the chance sound had led him to observe them,data/l2arctic/SKA/wav/arctic_b0068.wav,SKA,Arabic,F,only the chance found te had led him to observis him
could the incident have anything to do with jeanne and pierre,data/l2arctic/SKA/wav/arctic_b0069.wav,SKA,Arabic,F,cous the instant have anything lousine and ber
there was no chance to fire without hitting him,data/l2arctic/SKA/wav/arctic_b0070.wav,SKA,Arabic,F,there was no chance to fie without hiddeng gam
then he hastened on as pierre had guided him,data/l2arctic/SKA/wav/arctic_b0072.wav,SKA,Arabic,F,then he hasted own as appear had guided him
with these arguments he convinced himself that he should go on alone,data/l2arctic/SKA/wav/arctic_b0073.wav,SKA,Arabic,F,with this arguments he convised himself as that he should go aton alon
yet behind them there was another and more powerful motive,data/l2arctic/SKA/wav/arctic_b0074.wav,SKA,Arabic,F,yet behind them sit was another and mort boutful macive
in that case he could not miss them if he used caution,data/l2arctic/SKA/wav/arctic_b0075.wav,SKA,Arabic,F,in that case he could not mids them if he used the cusion
before philip could recover himself jeannes startled guards were upon him,data/l2arctic/SKA/wav/arctic_b0076.wav,SKA,Arabic,F,before feli could recover himself jni started the guardes where he upon him
it is the nearest refuge,data/l2arctic/SKA/wav/arctic_b0077.wav,SKA,Arabic,F,it is the needest to doffage
there was pride and strength the ring of triumph in his voice,data/l2arctic/SKA/wav/arctic_b0078.wav,SKA,Arabic,F,sit was bright and the steens dang of dramp in his fice
the truth of it set jeanne quivering,data/l2arctic/SKA/wav/arctic_b0079.wav,SKA,Arabic,F,zatruse of it said gini quivering
tomorrow it will be strong enough for you to stand upon,data/l2arctic/SKA/wav/arctic_b0080.wav,SKA,Arabic,F,to morrow it will be strong enough for you to stand up one
you were going to leave after you saw me on the rock,data/l2arctic/SKA/wav/arctic_b0081.wav,SKA,Arabic,F,you are going to leave after you sow me on the ruck
he bit his tongue and cursed himself at this fresh break,data/l2arctic/SKA/wav/arctic_b0082.wav,SKA,Arabic,F,he bid his stunk and crused himself at his frenchbak
in it there was something that was almost tragedy,data/l2arctic/SKA/wav/arctic_b0083.wav,SKA,Arabic,F,in it tit was something that was unmos to thregig
your face is red with blood,data/l2arctic/SKA/wav/arctic_b0084.wav,SKA,Arabic,F,your faziser it was blant
her eyes smiled truth at him as he came up the bank,data/l2arctic/SKA/wav/arctic_b0085.wav,SKA,Arabic,F,his eyes miled uss at him has he came up the bank
he can care for himself,data/l2arctic/SKA/wav/arctic_b0086.wav,SKA,Arabic,F,he can care fom himself
they will search for us between their camp and churchill,data/l2arctic/SKA/wav/arctic_b0087.wav,SKA,Arabic,F,they were fish fort ous between their camp and churchil
her beautiful hair was done up in shining coils,data/l2arctic/SKA/wav/arctic_b0089.wav,SKA,Arabic,F,hebbit of the head was dune up and chinang quise
the churchill narrowed and its current became swifter as they progressed,data/l2arctic/SKA/wav/arctic_b0090.wav,SKA,Arabic,F,tha churcel cnowred and its occurn t bank him swiffer as they brogised
for a full half minute jeanne looked at him without speaking,data/l2arctic/SKA/wav/arctic_b0091.wav,SKA,Arabic,F,for the foll halve manude ginie looked at him withoutit speaking
i want to die in it,data/l2arctic/SKA/wav/arctic_b0092.wav,SKA,Arabic,F,i wanted a bin it
darkness hid him from jeanne,data/l2arctic/SKA/wav/arctic_b0093.wav,SKA,Arabic,F,dorkani's head ham from geni
and yet if she came he had no words to say,data/l2arctic/SKA/wav/arctic_b0094.wav,SKA,Arabic,F,and dit if she cam he had no wordes to say
he heard a sound which brought him quickly into consciousness of day,data/l2arctic/SKA/wav/arctic_b0095.wav,SKA,Arabic,F,he heard a thound which prote him quickly into conscious of day
within himself he called it no longer his own,data/l2arctic/SKA/wav/arctic_b0096.wav,SKA,Arabic,F,within himself he called it no longer his on
besides that noise makes me deaf,data/l2arctic/SKA/wav/arctic_b0097.wav,SKA,Arabic,F,besides s at mies makes me death
philip looked back from the crest and saw jeanne leaning over the canoe,data/l2arctic/SKA/wav/arctic_b0098.wav,SKA,Arabic,F,fleb looked back from zachrist and the sogeni linend over the cenel
fifty yards ahead of her were the first of the rocks,data/l2arctic/SKA/wav/arctic_b0099.wav,SKA,Arabic,F,fifty yearted a head of hard where the first ozirox
there was one chance and only one of saving jeanne,data/l2arctic/SKA/wav/arctic_b0100.wav,SKA,Arabic,F,thete was one a chance and only one of saving gginie
youre a devil for fighting and will surely win,data/l2arctic/SKA/wav/arctic_b0101.wav,SKA,Arabic,F,your adeil of fihting and will surly in
ill only be on the way,data/l2arctic/SKA/wav/arctic_b0102.wav,SKA,Arabic,F,i only beyon the way
he lifted his eyes and a strange cry burst from his lips,data/l2arctic/SKA/wav/arctic_b0103.wav,SKA,Arabic,F,he lifted his eyes and a strengh club prussed from his lips
shooting pains passed like flashes of electricity through his body,data/l2arctic/SKA/wav/arctic_b0104.wav,SKA,Arabic,F,should in gebance best like feshes of ictilicitys trow his botty
for a full minute the two men stared into each others face,data/l2arctic/SKA/wav/arctic_b0106.wav,SKA,Arabic,F,for the follminute the two men stirred into each other's face
he was sure now of but few things,data/l2arctic/SKA/wav/arctic_b0107.wav,SKA,Arabic,F,he was sured now of but feu thingks
it was a miracle and i owe you my life,data/l2arctic/SKA/wav/arctic_b0108.wav,SKA,Arabic,F,twas a myrricle and i ow you my life
philip ate lightly of the food which pierre had ready for him,data/l2arctic/SKA/wav/arctic_b0109.wav,SKA,Arabic,F,fidibate lightly of the food which bar had ready for him
such men believe when they come together,data/l2arctic/SKA/wav/arctic_b0110.wav,SKA,Arabic,F,such man believe when they cantogizer
the journey was continued at dawn,data/l2arctic/SKA/wav/arctic_b0111.wav,SKA,Arabic,F,the gorney was containued at dan
jeanne and pierre both gazed toward the great rock,data/l2arctic/SKA/wav/arctic_b0112.wav,SKA,Arabic,F,zing and bier bosgized to a vegy crock
there was something pathetic in the girls attitude now,data/l2arctic/SKA/wav/arctic_b0113.wav,SKA,Arabic,F,there was sonething abachitic in the gies at the jud now
he moved his position and the illusion was gone,data/l2arctic/SKA/wav/arctic_b0114.wav,SKA,Arabic,F,he moved his position and his inresenos gon
for two hours not a word passed between them,data/l2arctic/SKA/wav/arctic_b0115.wav,SKA,Arabic,F,for two ours not a word bes bedweens hem
i have hunted along this ridge replied philip,data/l2arctic/SKA/wav/arctic_b0116.wav,SKA,Arabic,F,i have handed along zisridge replied hilip
thats thorpes said the young engineer,data/l2arctic/SKA/wav/arctic_b0117.wav,SKA,Arabic,F,shats sores said zza ang in ginier
we saw your light and thought you wouldnt mind a call,data/l2arctic/SKA/wav/arctic_b0118.wav,SKA,Arabic,F,we so youre light and soats you wuldn't tmind a cold
billinger may arrive in time,data/l2arctic/SKA/wav/arctic_b0119.wav,SKA,Arabic,F,billinge may arrive and time
theres the hitch replied thorpe rolling a cigarette,data/l2arctic/SKA/wav/arctic_b0120.wav,SKA,Arabic,F,theris a hedch hoblythrow rolling guessagoot
i want my men to work by themselves,data/l2arctic/SKA/wav/arctic_b0121.wav,SKA,Arabic,F,i wanto my man to watcobize and chalvers
neither could they understand the growing disaffection among thorpes men,data/l2arctic/SKA/wav/arctic_b0123.wav,SKA,Arabic,F,neither good they understand ta go in this affiction among thes theal of mens
two weeks passed and in that time thorpe left camp three times,data/l2arctic/SKA/wav/arctic_b0124.wav,SKA,Arabic,F,to expesst and in zatim to lift cam three times
it was the third or fourth time that philip had heard macdougall swear,data/l2arctic/SKA/wav/arctic_b0125.wav,SKA,Arabic,F,tas the third or first time that flub had heard madagls rar
blood was oozing slowly from the wounded mans right breast,data/l2arctic/SKA/wav/arctic_b0126.wav,SKA,Arabic,F,blood was osing git slowly from zod admanse torit bressed
he destroyed everything that had belonged to the woman,data/l2arctic/SKA/wav/arctic_b0127.wav,SKA,Arabic,F,it is tolate everything that had begone dezelament
philip bent low over pierre,data/l2arctic/SKA/wav/arctic_b0128.wav,SKA,Arabic,F,slapi an tlow overbeard
did thorpe go to see any one in churchill,data/l2arctic/SKA/wav/arctic_b0129.wav,SKA,Arabic,F,did droob go to see anyone in churcel
she saw the answer in his face,data/l2arctic/SKA/wav/arctic_b0130.wav,SKA,Arabic,F,she tew the answer in his face
thorpe and his men were to destroy this camp and kill you,data/l2arctic/SKA/wav/arctic_b0131.wav,SKA,Arabic,F,truwe and his men were to to distrases camp and kalio
there is no need of further detail now for you can understand,data/l2arctic/SKA/wav/arctic_b0132.wav,SKA,Arabic,F,there is no need to further ditel now for you can understand
there followed a roar that shook the earth,data/l2arctic/SKA/wav/arctic_b0133.wav,SKA,Arabic,F,they forward award that choke theirs
blind with rage he darted in,data/l2arctic/SKA/wav/arctic_b0134.wav,SKA,Arabic,F,blind with rach he dartened in
in it was the joy of life,data/l2arctic/SKA/wav/arctic_b0135.wav,SKA,Arabic,F,in it was the joy of life
swiftly his eyes measured the situation,data/l2arctic/SKA/wav/arctic_b0136.wav,SKA,Arabic,F,sweeftly his eyes measure dhesistration
but this little defect did not worry him,data/l2arctic/SKA/wav/arctic_b0137.wav,SKA,Arabic,F,but thislittle theffect did not wary han
and then he steadily to began to chew,data/l2arctic/SKA/wav/arctic_b0138.wav,SKA,Arabic,F,and then histead leako began to choe
they edged nearer and stood shoulder to shoulder facing their world,data/l2arctic/SKA/wav/arctic_b0140.wav,SKA,Arabic,F,the aged nerer and thestood chol ther to sho the facing therearit
it was beating and waiting in the ambush of those black pits,data/l2arctic/SKA/wav/arctic_b0141.wav,SKA,Arabic,F,tose beating and waiting in the ambitious of those blackfits
something vastly more thrilling had come into it now,data/l2arctic/SKA/wav/arctic_b0142.wav,SKA,Arabic,F,somsing vustly more thrilling the had come into it now
it took him half an hour to reach the edge of it,data/l2arctic/SKA/wav/arctic_b0143.wav,SKA,Arabic,F,it took him half an hour to reach the edge of it
but there was no longer the mother yearning in his heart,data/l2arctic/SKA/wav/arctic_b0144.wav,SKA,Arabic,F,but there was no longer the mother yeaning in his heart
besides had he not whipped the big owl in the forest,data/l2arctic/SKA/wav/arctic_b0145.wav,SKA,Arabic,F,besides had he notwate diza big iwill en zhe frist
after all it was simply a mistake in judgment,data/l2arctic/SKA/wav/arctic_b0146.wav,SKA,Arabic,F,after all it was sambly a mistakin judgment
had it struck squarely it would have killed him,data/l2arctic/SKA/wav/arctic_b0147.wav,SKA,Arabic,F,hav in struct squaly it would halve killed him
the indian even poked his stick into the thick ground spruce,data/l2arctic/SKA/wav/arctic_b0148.wav,SKA,Arabic,F,the indian even both to his thick into the thick grownd is pose
pebbles and dirt flew along with hair and fur,data/l2arctic/SKA/wav/arctic_b0149.wav,SKA,Arabic,F,bubbles and dirthfload alon goos heared on the fair
and he was filled with a strange and foreboding fear,data/l2arctic/SKA/wav/arctic_b0150.wav,SKA,Arabic,F,and he was fell to the trange andforbidding fear
it was steel a fisher trap,data/l2arctic/SKA/wav/arctic_b0151.wav,SKA,Arabic,F,itwas a sthian af ficior trap
ow a wild dog he growled,data/l2arctic/SKA/wav/arctic_b0152.wav,SKA,Arabic,F,out our and look higrod
he was a pariah a wanderer without a friend or a home,data/l2arctic/SKA/wav/arctic_b0153.wav,SKA,Arabic,F,he was a bride under dithout  frend o  home
that is the strange part of it,data/l2arctic/SKA/wav/arctic_b0154.wav,SKA,Arabic,F,thit is a strange part of it
his freshly caught furs he flung to the floor,data/l2arctic/SKA/wav/arctic_b0155.wav,SKA,Arabic,F,his flish cutly first he flungs to the floud
in the crib the baby sat up and began to prattle,data/l2arctic/SKA/wav/arctic_b0157.wav,SKA,Arabic,F,in the crave with  revy sit up and the began to brattle
she obeyed shrinking back with the baby in her arms,data/l2arctic/SKA/wav/arctic_b0158.wav,SKA,Arabic,F,she obeyed o ranket back with the baby in her harms
his teeth shut with a last click,data/l2arctic/SKA/wav/arctic_b0159.wav,SKA,Arabic,F,his ti shot was a last tlake
it was over when he made his way through the ring of spectators,data/l2arctic/SKA/wav/arctic_b0160.wav,SKA,Arabic,F,tos over when he made his ways for hthrink of spicters
in a flash he was on his feet facing him,data/l2arctic/SKA/wav/arctic_b0161.wav,SKA,Arabic,F,in a flesh he was on his feet facing dham
he thought he saw a shudder pass through the factors shoulders,data/l2arctic/SKA/wav/arctic_b0162.wav,SKA,Arabic,F,he saw he will sa i shall the bast throw the fect or shelders
the moon had already begun its westward decline,data/l2arctic/SKA/wav/arctic_b0163.wav,SKA,Arabic,F,the one had ote to begun its swas toward the kimd
they laughed like two happy children,data/l2arctic/SKA/wav/arctic_b0164.wav,SKA,Arabic,F,the laughet like to happi et a children
he pulled and the log crashed down to break his back,data/l2arctic/SKA/wav/arctic_b0165.wav,SKA,Arabic,F,he bolled and the doke crage down to preak his back
fast but endure,data/l2arctic/SKA/wav/arctic_b0166.wav,SKA,Arabic,F,fost bet enjewed
a little before dawn of the day following the fire relief came,data/l2arctic/SKA/wav/arctic_b0167.wav,SKA,Arabic,F,letted before down of the dape fling zefairy vifcin
the indian felt the worship of her warm in his heart,data/l2arctic/SKA/wav/arctic_b0168.wav,SKA,Arabic,F,the engant felt the doorship of herd warm in his heart
he drew in a deep breath as he looked at them,data/l2arctic/SKA/wav/arctic_b0169.wav,SKA,Arabic,F,he drew in ta dip breast as he looked at headem
then he shouted shut up,data/l2arctic/SKA/wav/arctic_b0170.wav,SKA,Arabic,F,then he shout a chet off
he changed his seat for a steamer reclining chair,data/l2arctic/SKA/wav/arctic_b0171.wav,SKA,Arabic,F,he chengued his seat for a streama recina chair
