transcription,path_to_audio,speaker_id,native_language,gender,whisper_large_transcriptions
quick was the disappointment in his face yet smiling was the acquiescence,data/l2arctic/LXC/wav/arctic_a0429.wav,LXC,Chinese,F,"quick was the disappointment in his face, yet smiling was the acquiescing.!"
nevertheless we found ourselves once more in the high seat of abundance,data/l2arctic/LXC/wav/arctic_a0430.wav,LXC,Chinese,F,"nevertheless, we found ourselves once more in a high seat of abundance.!"
wada and na ka ta were in a bit of a funk,data/l2arctic/LXC/wav/arctic_a0431.wav,LXC,Chinese,F,wad and nakata were in a bit of funk.!
the boy at the wheel lost his head,data/l2arctic/LXC/wav/arctic_a0432.wav,LXC,Chinese,F,the boy at the wheel lose his head!
to her the bridge was tambo which is the native for taboo,data/l2arctic/LXC/wav/arctic_a0433.wav,LXC,Chinese,F,to her the bridge was temple which is native for temple!
a half a case of tobacco was worth three pounds,data/l2arctic/LXC/wav/arctic_a0434.wav,LXC,Chinese,F,a half a case of tobacco was worth 3 pounds.!
what do you mean by this outrageous conduct,data/l2arctic/LXC/wav/arctic_a0435.wav,LXC,Chinese,F,what do you mean by this? are check-ins conduct?!
but martin smiled a superior smile,data/l2arctic/LXC/wav/arctic_a0436.wav,LXC,Chinese,F,but martin smelled a superior smell.!!
by that answer my professional medical prestige stood or fell,data/l2arctic/LXC/wav/arctic_a0437.wav,LXC,Chinese,F,"by that answer, my professional medical prestige stood afield.!!"
at sea monday march sixteenth nineteen eight,data/l2arctic/LXC/wav/arctic_a0438.wav,LXC,Chinese,F,"at sea monday, march 16, 1908.!!"
at sea wednesday march eighteenth nineteen zero eight,data/l2arctic/LXC/wav/arctic_a0439.wav,LXC,Chinese,F,"at sea wednesday march 18, 1908.!!"
yes sir i corrected,data/l2arctic/LXC/wav/arctic_a0440.wav,LXC,Chinese,F,"yes, sir. i correct it.!!"
violent life and athletic sports had never appealed to me,data/l2arctic/LXC/wav/arctic_a0441.wav,LXC,Chinese,F,violent life and athletic sports had never appeared to me.!!
he was worth nothing to the world,data/l2arctic/LXC/wav/arctic_a0443.wav,LXC,Chinese,F,he was worth nothing to the world.!!
then you dont believe in altruism,data/l2arctic/LXC/wav/arctic_a0444.wav,LXC,Chinese,F,then you don't believe in l2z.!!
the creative joy i murmured,data/l2arctic/LXC/wav/arctic_a0445.wav,LXC,Chinese,F,the creative joy i moment.
he deluged me overwhelmed me with argument,data/l2arctic/LXC/wav/arctic_a0446.wav,LXC,Chinese,F,he delighted me overwhelmingly with his argument.
ah it is growing dark and darker,data/l2arctic/LXC/wav/arctic_a0447.wav,LXC,Chinese,F,is growing darker and darker.
i was hump cabin boy on the schooner ghost,data/l2arctic/LXC/wav/arctic_a0448.wav,LXC,Chinese,F,"i was humped, came in blind on the school nurse ghost."
a sinewy hand dripping with water was clutching the rail,data/l2arctic/LXC/wav/arctic_a0449.wav,LXC,Chinese,F,a silly hand dripping with water was clutching the rail.
no man ate of the seal meat or the oil,data/l2arctic/LXC/wav/arctic_a0450.wav,LXC,Chinese,F,no matter of the seal meat or the eel
i noticed blood spouting from kerfoot left hand,data/l2arctic/LXC/wav/arctic_a0451.wav,LXC,Chinese,F,i noticed blood spouting from curlfruit's left hand.
three oilers and a fourth engineer was his greeting,data/l2arctic/LXC/wav/arctic_a0452.wav,LXC,Chinese,F,three audience and a fourth engineer was his greeting.
eighteen hundred he calculated,data/l2arctic/LXC/wav/arctic_a0453.wav,LXC,Chinese,F,"1800, he calculated.!!!"
the sharp voice of wolf larsen aroused me,data/l2arctic/LXC/wav/arctic_a0454.wav,LXC,Chinese,F,the sharp voice of walsh larson aroused me.!!!
i obeyed and a minute or two later they stood before him,data/l2arctic/LXC/wav/arctic_a0455.wav,LXC,Chinese,F,i obeyed and a minute or two later they stood before him.!!!
but it wont continue she said with easy confidence,data/l2arctic/LXC/wav/arctic_a0456.wav,LXC,Chinese,F,"but it won't continue,"" she said with easy confidence.!!!"
what i saw i couldnt at first believe,data/l2arctic/LXC/wav/arctic_a0457.wav,LXC,Chinese,F,what i thought i couldn't at first believe.!!!
the stout wood was crushed like an eggshell,data/l2arctic/LXC/wav/arctic_a0458.wav,LXC,Chinese,F,the stalled wood was crushed like an eggshell.!!!
i had forgotten their existence,data/l2arctic/LXC/wav/arctic_a0460.wav,LXC,Chinese,F,i had forgotten their existence.!!!
ah we were very close together in that moment,data/l2arctic/LXC/wav/arctic_a0461.wav,LXC,Chinese,F,we were very close together in that moment.!!!
but she swung obediently on her heel into the wind,data/l2arctic/LXC/wav/arctic_a0462.wav,LXC,Chinese,F,but she swung obediently on her heel into the wind.
they are his tongue by which he makes his knowledge articulate,data/l2arctic/LXC/wav/arctic_a0463.wav,LXC,Chinese,F,they are his tone by which he makes his knowledge articulate.
between the rush of the cascades streaks of rust showed everywhere,data/l2arctic/LXC/wav/arctic_a0464.wav,LXC,Chinese,F,"between the rush of the cassie case, streaks of rust showed every real."
he will never do a tap of work the whole voyage,data/l2arctic/LXC/wav/arctic_a0465.wav,LXC,Chinese,F,he will never do a type of work the whole voyage.
captain west may be a samurai but he is also human,data/l2arctic/LXC/wav/arctic_a0466.wav,LXC,Chinese,F,"captain west may be a samurai, but he's also humor."
and so early in the voyage too,data/l2arctic/LXC/wav/arctic_a0467.wav,LXC,Chinese,F,and so early in the voyage too.
in the matter of curry she is a sheer genius,data/l2arctic/LXC/wav/arctic_a0468.wav,LXC,Chinese,F,in the meta of keresh is a sheer genius.
the eastern heavens were equally spectacular,data/l2arctic/LXC/wav/arctic_a0469.wav,LXC,Chinese,F,the eastern heavens were equally spectacular.
he spat it out like so much venom,data/l2arctic/LXC/wav/arctic_a0470.wav,LXC,Chinese,F,he spat it out like so much venom.
i saw mister pike nod his head grimly and sarcastically,data/l2arctic/LXC/wav/arctic_a0471.wav,LXC,Chinese,F,i saw mr. pike nod his head grimly and sarcastically.
he is too keenly intelligent too sharply sensitive successfully to endure,data/l2arctic/LXC/wav/arctic_a0472.wav,LXC,Chinese,F,"he is too keenly intelligent, too sharply sensitive, successfully to endure."
the night was calm and snowy,data/l2arctic/LXC/wav/arctic_a0473.wav,LXC,Chinese,F,the night was calm and snowy.
i sailed third mate in the little vampire before you were born,data/l2arctic/LXC/wav/arctic_a0474.wav,LXC,Chinese,F,i still thought made in the little vampire before you were born.
his outstretched arm dropped to his side and he paused,data/l2arctic/LXC/wav/arctic_a0475.wav,LXC,Chinese,F,his outstretched arm dropped to his side and he paused.
wada louis and the steward are servants of asiatic breed,data/l2arctic/LXC/wav/arctic_a0477.wav,LXC,Chinese,F,walter louis and the steward are servants of antithetic bread.
also she has forbidden them smoking their pipes in the after room,data/l2arctic/LXC/wav/arctic_a0478.wav,LXC,Chinese,F,"also, she has forbidden them smoking their pipes in the afternoon."
i tried to read george moore last night and was dreadfully bored,data/l2arctic/LXC/wav/arctic_a0479.wav,LXC,Chinese,F,i tried to read george moore last night and was dreadfully bored.!
tom spink has a harpoon,data/l2arctic/LXC/wav/arctic_a0480.wav,LXC,Chinese,F,tom spink has a harpoon.!
nimrod replied with a slight manifestation of sensitiveness,data/l2arctic/LXC/wav/arctic_a0481.wav,LXC,Chinese,F,nemo replied with a slight manifestation of sensitiveness.!
and their chief virtue lies in that they will never wear out,data/l2arctic/LXC/wav/arctic_a0482.wav,LXC,Chinese,F,and they achieve virtual lives in that they will never wear out.!
beyond dispute corry hutchinson had married mabel holmes,data/l2arctic/LXC/wav/arctic_a0483.wav,LXC,Chinese,F,"beyond dispute, corey hutchinson had married mabel holmes.!"
no sir,data/l2arctic/LXC/wav/arctic_a0484.wav,LXC,Chinese,F,"no, sir.!"
each insult added to the value of the claim,data/l2arctic/LXC/wav/arctic_a0485.wav,LXC,Chinese,F,each insult added to the value of the claim.!
for the rest he was a mere automaton,data/l2arctic/LXC/wav/arctic_a0486.wav,LXC,Chinese,F,"for the rest, he was a male automaton.!"
the river bared its bosom and snorting steamboats challenged the wilderness,data/l2arctic/LXC/wav/arctic_a0487.wav,LXC,Chinese,F,the rival built its bosom and the snorting steamboat challenged the wideness.
their love burned with increasing brightness,data/l2arctic/LXC/wav/arctic_a0488.wav,LXC,Chinese,F,their love burned with increasing brightness.
they were artists not biologists,data/l2arctic/LXC/wav/arctic_a0489.wav,LXC,Chinese,F,"they were artists, not biologists."
both johnny and his mother shuffled their feet as they walked,data/l2arctic/LXC/wav/arctic_a0490.wav,LXC,Chinese,F,both john and his mother shuffled their feet as they worked.
and as in denial of guilt the one legged boy replied,data/l2arctic/LXC/wav/arctic_a0491.wav,LXC,Chinese,F,"and as in daniel of gilt, the one-legged boy replied,"
burnt out like the crater of a volcano,data/l2arctic/LXC/wav/arctic_a0492.wav,LXC,Chinese,F,burn out like a crater of a volcano.
obrien took off his coat and bared his right arm,data/l2arctic/LXC/wav/arctic_a0494.wav,LXC,Chinese,F,au brin took off his coat and built his right arm.
he bore no grudges and had few enemies,data/l2arctic/LXC/wav/arctic_a0495.wav,LXC,Chinese,F,he bore no grudge and had few enemies.
and tom king patiently endured,data/l2arctic/LXC/wav/arctic_a0496.wav,LXC,Chinese,F,and tom king patiently endured.!!!
king took every advantage he knew,data/l2arctic/LXC/wav/arctic_a0497.wav,LXC,Chinese,F,king took every advantage he knew.!!!
the lines were now very taut,data/l2arctic/LXC/wav/arctic_a0498.wav,LXC,Chinese,F,the dyes were now very taut.!!!
and right there i saw and knew it all,data/l2arctic/LXC/wav/arctic_a0499.wav,LXC,Chinese,F,and right there i saw and know it all!!!
who the devil gave it to you to be judge and jury,data/l2arctic/LXC/wav/arctic_a0500.wav,LXC,Chinese,F,who the devil gave it to you to be judge and a jury?!!!
youre joking me sir the other managed to articulate,data/l2arctic/LXC/wav/arctic_a0501.wav,LXC,Chinese,F,"you are joking me, sir, that i'll manage to articulate.!!!"
anything unusual or abnormal was sufficient to send a fellow to molokai,data/l2arctic/LXC/wav/arctic_a0502.wav,LXC,Chinese,F,anything unusual or abnormal was sufficient to send the fellow to molokai.!!!
his beady black eyes saw bargains where other men saw bankruptcy,data/l2arctic/LXC/wav/arctic_a0503.wav,LXC,Chinese,F,his batty black eyes saw bargains while other men saw bankruptcy.!!!
he was an athlete and a giant,data/l2arctic/LXC/wav/arctic_a0504.wav,LXC,Chinese,F,he was an athlete and a giant.!!!
we fished sharks on niihau together,data/l2arctic/LXC/wav/arctic_a0505.wav,LXC,Chinese,F,we fished sharks on nihao together.!!!
the claudine was leaving next morning for honolulu,data/l2arctic/LXC/wav/arctic_a0506.wav,LXC,Chinese,F,the cladding was leaving next morning for honolulu.!!!
in short my joyous individualism was dominated by the orthodox bourgeois ethics,data/l2arctic/LXC/wav/arctic_a0507.wav,LXC,Chinese,F,"in short, my choice in division was donated by the orthodox bourgeois ethics.!!!"
soon shall it be thrust back from off prostrate humanity,data/l2arctic/LXC/wav/arctic_a0508.wav,LXC,Chinese,F,soon shall it be thrust back from off prostrate humanity.!!!
yet in accordance with ernests test of truth it worked,data/l2arctic/LXC/wav/arctic_a0509.wav,LXC,Chinese,F,"yet in accordance with ernest's test of truth, it worked.!!!"
there is more behind this than a mere university ideal,data/l2arctic/LXC/wav/arctic_a0511.wav,LXC,Chinese,F,there's more behind this than a mere university idol.!!!
no it is a palace wherein there are many servants,data/l2arctic/LXC/wav/arctic_a0512.wav,LXC,Chinese,F,"no, it's a palace wherein there are many servants.!!!"
we must give ourselves and not our money alone,data/l2arctic/LXC/wav/arctic_a0513.wav,LXC,Chinese,F,we must give ourselves and not our money alone.
we are consumed in our own flesh pots,data/l2arctic/LXC/wav/arctic_a0514.wav,LXC,Chinese,F,we are consuming our own flesh parts.
but here amongst ourselves let us speak out,data/l2arctic/LXC/wav/arctic_a0515.wav,LXC,Chinese,F,but here amongst ourselves let us speak out.
also there was awe in their faces,data/l2arctic/LXC/wav/arctic_a0516.wav,LXC,Chinese,F,"also, there was an awl in their faces."
out of abstractions ernest had conjured a vision and made them see it,data/l2arctic/LXC/wav/arctic_a0517.wav,LXC,Chinese,F,"out of abstraction, ernst had conjured a vision and made them see it."
illuminating oil was becoming all profit,data/l2arctic/LXC/wav/arctic_a0518.wav,LXC,Chinese,F,illuminating oil was becoming all-profit.
such an act was in direct violation of the laws of the land,data/l2arctic/LXC/wav/arctic_a0519.wav,LXC,Chinese,F,such an act was in direct violation of the laws of the land.
he was fond of quoting a fragment from a certain poem,data/l2arctic/LXC/wav/arctic_a0520.wav,LXC,Chinese,F,he was fond of quoting a fragment from a certain poem.
without them he could not run his empire,data/l2arctic/LXC/wav/arctic_a0521.wav,LXC,Chinese,F,"without them, he could not run his empire.!!"
for such countries nothing remained but reorganization,data/l2arctic/LXC/wav/arctic_a0522.wav,LXC,Chinese,F,"for such countries, nothing remains but reorganization.!!"
they could not continue their method of producing surpluses,data/l2arctic/LXC/wav/arctic_a0523.wav,LXC,Chinese,F,they could not continue their method of producing surpluses.!!
at once would be instituted a dozen cooperative commonwealth states,data/l2arctic/LXC/wav/arctic_a0524.wav,LXC,Chinese,F,at once would be instituted a dozen cooperative commonwealth states.!!
the oligarchy wanted violence and it set its agents provocateurs to work,data/l2arctic/LXC/wav/arctic_a0525.wav,LXC,Chinese,F,"the oligarchy wanted violence and it set its agents, provocateurs, to work.!!"
nowhere did the raw earth appear,data/l2arctic/LXC/wav/arctic_a0526.wav,LXC,Chinese,F,nowhere did the raw earth appear.!!
men who endure it call it living death,data/l2arctic/LXC/wav/arctic_a0528.wav,LXC,Chinese,F,men who endure it call it living death.!!
as i say he had tapped the message very rapidly,data/l2arctic/LXC/wav/arctic_a0529.wav,LXC,Chinese,F,"as i see, he had tapped the message very rapidly.!!"
ask him i laughed then turned to pasquini,data/l2arctic/LXC/wav/arctic_a0530.wav,LXC,Chinese,F,"ask him i loved, then turn to pass quickly."
in what bucolic school of fence he had been taught was beyond imagining,data/l2arctic/LXC/wav/arctic_a0531.wav,LXC,Chinese,F,in what bukolic's school of fence he had been taught was beyond imagining.
may drought destroy your crops,data/l2arctic/LXC/wav/arctic_a0532.wav,LXC,Chinese,F,may draw destroy your crops
dunham can your boy go along with jesse,data/l2arctic/LXC/wav/arctic_a0533.wav,LXC,Chinese,F,"dohan, can your boy go along with jessie?"
but johannes could and did,data/l2arctic/LXC/wav/arctic_a0534.wav,LXC,Chinese,F,but johans could and did.
a new preacher and a new doctrine come to jerusalem,data/l2arctic/LXC/wav/arctic_a0535.wav,LXC,Chinese,F,a new pressure and a new doctrine came to jerusalem.
he would destroy all things that are fixed,data/l2arctic/LXC/wav/arctic_a0536.wav,LXC,Chinese,F,he would destroy all things that i fix.
he was an enthusiast and a desert dweller,data/l2arctic/LXC/wav/arctic_a0537.wav,LXC,Chinese,F,he was an enthusiast and a dancer-doula.
what pascal glimpsed with the vision of a seer i have lived,data/l2arctic/LXC/wav/arctic_a0538.wav,LXC,Chinese,F,"what pascal glimpsed with a vision of a seal, i have lived."
i should like to engage just for one whole life in that,data/l2arctic/LXC/wav/arctic_a0539.wav,LXC,Chinese,F,i should like to engage just for one whole life in that.
yea so are all the lesser animals of today clean,data/l2arctic/LXC/wav/arctic_a0540.wav,LXC,Chinese,F,"yeah, so are all the leather animals of today clean."
the warden with a quart of champagne,data/l2arctic/LXC/wav/arctic_a0541.wav,LXC,Chinese,F,the warden with a coat of champagne
without a doubt some of them have dinner engagements,data/l2arctic/LXC/wav/arctic_a0542.wav,LXC,Chinese,F,"without a doubt, some of them have dinner engagements."
i had been born with no organic chemical predisposition toward alcohol,data/l2arctic/LXC/wav/arctic_a0543.wav,LXC,Chinese,F,i had been born with no organic chemical predisposition toward alcohol.
the italian rancho was a bachelor establishment,data/l2arctic/LXC/wav/arctic_a0545.wav,LXC,Chinese,F,the italian ranko was a bachelor establishment.
i lost my balance and pitched head foremost into the ooze,data/l2arctic/LXC/wav/arctic_a0546.wav,LXC,Chinese,F,i lost my balance and pitched head foremost into the woods.
men like joe goose dated existence from drunk to drunk,data/l2arctic/LXC/wav/arctic_a0547.wav,LXC,Chinese,F,men like zhou gu's dated existence from zhang to zhang.!
also churches and preachers i had never known,data/l2arctic/LXC/wav/arctic_a0548.wav,LXC,Chinese,F,"also, churches and the preachers i had never known.!"
do you know that we weigh every pound of coal we burn,data/l2arctic/LXC/wav/arctic_a0549.wav,LXC,Chinese,F,do you know that we wait every point of cold we born?!
this also became part of the daily schedule,data/l2arctic/LXC/wav/arctic_a0550.wav,LXC,Chinese,F,this also became part of the daily schedule.!
all an appearance can know is mirage,data/l2arctic/LXC/wav/arctic_a0551.wav,LXC,Chinese,F,or an appearance can know it's marriage?!
yet he dreams he is immortal i argue feebly,data/l2arctic/LXC/wav/arctic_a0552.wav,LXC,Chinese,F,"yet he dreams he's immortal, i argued feebly.!"
im writing these lines in honolulu hawaii,data/l2arctic/LXC/wav/arctic_a0553.wav,LXC,Chinese,F,"i'm writing these lines in honolulu, hawaii.!"
jack london waikiki beach honolulu oahu,data/l2arctic/LXC/wav/arctic_a0554.wav,LXC,Chinese,F,"jack london, wacky key beach, honolulu, oahu.!"
jerry was so secure in his nook that he did not roll away,data/l2arctic/LXC/wav/arctic_a0555.wav,LXC,Chinese,F,jerry was so secure in his snog that he did not roll away.!!!!
why hes bought forty pounds of goods from you already,data/l2arctic/LXC/wav/arctic_a0556.wav,LXC,Chinese,F,why he's brought 14 pounds of goods from you already?!!!!
the last refugee had passed,data/l2arctic/LXC/wav/arctic_a0557.wav,LXC,Chinese,F,the last refugee had passed.!!!!
and the foundation stone of service in his case was obedience,data/l2arctic/LXC/wav/arctic_a0558.wav,LXC,Chinese,F,and the foundation stone of service in his case was obedience.!!!!
peace be unto you and grace before the lord,data/l2arctic/LXC/wav/arctic_a0559.wav,LXC,Chinese,F,"psb, you told you and grace before the lord.!!!!"
his mouth opened words shaped vainly on his lips,data/l2arctic/LXC/wav/arctic_a0560.wav,LXC,Chinese,F,"his mouth open, words dripped vainly on his lips.!!!!"
they are not regular oyster pirates nicholas continued,data/l2arctic/LXC/wav/arctic_a0289.wav,LXC,Chinese,F,they are not regular oyster pirates. nichols continued.!!!!
he was pressing beyond the limits of his vocabulary,data/l2arctic/LXC/wav/arctic_a0306.wav,LXC,Chinese,F,he was pressing beyond the limits of his vocabulary.!!!!
he considered the victory already his and stepped forward to the meat,data/l2arctic/LXC/wav/arctic_a0323.wav,LXC,Chinese,F,he considered the victory already his and stepped forward to the mid.
it was like the beating of hoofs,data/l2arctic/LXC/wav/arctic_a0340.wav,LXC,Chinese,F,it was like the beating of hooves.
a month passed by and bonanza creek remained quiet,data/l2arctic/LXC/wav/arctic_a0357.wav,LXC,Chinese,F,a month passed by and the bone nether grid remained quiet.
but lifes worth more than cash she argued,data/l2arctic/LXC/wav/arctic_a0374.wav,LXC,Chinese,F,"but life's worth more than cash,"" she argued."
but he reconciled himself to it by an act of faith,data/l2arctic/LXC/wav/arctic_a0391.wav,LXC,Chinese,F,but he reconciled himself to it by an act of faith.
the eldorado emptied its occupants into the street to see the test,data/l2arctic/LXC/wav/arctic_a0408.wav,LXC,Chinese,F,the elderly door emptied its occupants into the street to see the test.
otherwise no restriction is put upon their seafaring,data/l2arctic/LXC/wav/arctic_a0425.wav,LXC,Chinese,F,otherwise no restriction is put upon their sip bearing.
you live on an income which your father earned,data/l2arctic/LXC/wav/arctic_a0442.wav,LXC,Chinese,F,you live on an income which your father earned.
theres too much of the schoolboy in me,data/l2arctic/LXC/wav/arctic_a0459.wav,LXC,Chinese,F,there is too much of the schoolboy in me.!!!!!
at this moment i felt a stir at my shoulder,data/l2arctic/LXC/wav/arctic_a0476.wav,LXC,Chinese,F,"at this moment, i felt a still at my shoulder!!!!!"
the boy obrien was specially maltreated,data/l2arctic/LXC/wav/arctic_a0493.wav,LXC,Chinese,F,the boy or brain was specially more cheating.!!!!!
much more ernest told them of themselves and of his disillusionment,data/l2arctic/LXC/wav/arctic_a0510.wav,LXC,Chinese,F,much more understood him of themselves and of his disillusionment.!!!!!
the lush vegetation of that sheltered spot make a natural shield,data/l2arctic/LXC/wav/arctic_a0527.wav,LXC,Chinese,F,the lush vegetation of the sheltered spoke make a natural shade.!!!!!
what the flaming,data/l2arctic/LXC/wav/arctic_a0562.wav,LXC,Chinese,F,water flaming!!!!!
missus mcfees jaws brought together with a snap,data/l2arctic/LXC/wav/arctic_a0563.wav,LXC,Chinese,F,mr. mcphee's drawer is brought together with a snap.!!!!!
then it is as i said womble announced with finality,data/l2arctic/LXC/wav/arctic_a0564.wav,LXC,Chinese,F,"then it is as i said, womble announced with finality.!!!!!"
with them were indians also three other men,data/l2arctic/LXC/wav/arctic_a0565.wav,LXC,Chinese,F,"with them were indians, although three other men."
dennins hands were released long enough for him to sign the document,data/l2arctic/LXC/wav/arctic_a0566.wav,LXC,Chinese,F,danny's hands were released long enough for him to sign the document.
now irvine was a man of impulse a poet,data/l2arctic/LXC/wav/arctic_a0567.wav,LXC,Chinese,F,"now, ari was the man of impa's appoint."
he was just bursting with joy joy over what,data/l2arctic/LXC/wav/arctic_a0568.wav,LXC,Chinese,F,"he was just bursting with joy, joy over that."
at lake linderman i had one canoe very good peterborough canoe,data/l2arctic/LXC/wav/arctic_a0569.wav,LXC,Chinese,F,"at lake lindemann, i had one canoe, very good peter borough canoe."
behind him lay the thousand years long road across all siberia and russia,data/l2arctic/LXC/wav/arctic_a0570.wav,LXC,Chinese,F,behind him lay a thousand years long road across all siberia and russia.
he had forgotten to build a fire and thaw out,data/l2arctic/LXC/wav/arctic_a0571.wav,LXC,Chinese,F,he had forgotten to build a fire and a thaw out.
i never saw anything like her in my life,data/l2arctic/LXC/wav/arctic_a0572.wav,LXC,Chinese,F,i never saw anything like her in my life.
there was no law on the yukon save what they made for themselves,data/l2arctic/LXC/wav/arctic_a0573.wav,LXC,Chinese,F,"there was no law or law, you all can save what they made for themselves."
good business man curly obrien was saying,data/l2arctic/LXC/wav/arctic_a0574.wav,LXC,Chinese,F,"good businessman, kali, old brain was saying."
there werent any missions and he was the man to know,data/l2arctic/LXC/wav/arctic_a0575.wav,LXC,Chinese,F,they want any missions and he was the main to know.
and the big persian knew of his existence before he did of hers,data/l2arctic/LXC/wav/arctic_a0576.wav,LXC,Chinese,F,and the big persian know of his existence before he did of hers.
once the jews harp began emitting its barbaric rhythms michael was helpless,data/l2arctic/LXC/wav/arctic_a0577.wav,LXC,Chinese,F,"once the jews had begun emitting its barbaric rhythms, michael was helpless."
there was the emma louisa,data/l2arctic/LXC/wav/arctic_a0579.wav,LXC,Chinese,F,there was the emma louisa.
this is my fifth voyage,data/l2arctic/LXC/wav/arctic_a0580.wav,LXC,Chinese,F,this is my fifth voyage.
it was this proposition that started the big idea in daughtrys mind,data/l2arctic/LXC/wav/arctic_a0581.wav,LXC,Chinese,F,it was this proposition that started a big idea in dostoyevsky's mind.
daughtry elaborated on the counting trick by bringing cocky along,data/l2arctic/LXC/wav/arctic_a0582.wav,LXC,Chinese,F,don't try to elaborate on the counting trick by bringing koki alone.!!
enjoy it he did but principally for stewards sake,data/l2arctic/LXC/wav/arctic_a0583.wav,LXC,Chinese,F,"enjoy it he did, but principally for stuart's sake.!!"
i have long noted your thirst unquenchable,data/l2arctic/LXC/wav/arctic_a0584.wav,LXC,Chinese,F,i had long noted your third on-queen cable.!!
wonder if hes a lion dog charles suggested,data/l2arctic/LXC/wav/arctic_a0585.wav,LXC,Chinese,F,wonder if he's a line dog? charlotte suggested.!!
we dont see ourselves as foolish,data/l2arctic/LXC/wav/arctic_a0586.wav,LXC,Chinese,F,we don't see ourselves as foolish.!!
he had comparatively no advantages at first,data/l2arctic/LXC/wav/arctic_a0587.wav,LXC,Chinese,F,he had comparatively no advantages at first.!!
he had proved it today with his amateurish and sophomoric productions,data/l2arctic/LXC/wav/arctic_a0588.wav,LXC,Chinese,F,he had proved it today with his amateurish and sophomoric productions.!!
i was sick once typhoid,data/l2arctic/LXC/wav/arctic_a0589.wav,LXC,Chinese,F,i was sick once. time for it.!!
in a way he is my protege,data/l2arctic/LXC/wav/arctic_a0590.wav,LXC,Chinese,F,"in a way, he is my protege."
we are both children together,data/l2arctic/LXC/wav/arctic_a0591.wav,LXC,Chinese,F,we are both children together.
its only his indigestion i find fault with,data/l2arctic/LXC/wav/arctic_a0592.wav,LXC,Chinese,F,it's only his indigestion i found fault with.
shed make a good wife for the cashier,data/l2arctic/LXC/wav/arctic_a0593.wav,LXC,Chinese,F,she make good wine for the casual.
gad do i remember it,data/l2arctic/LXC/wav/arctic_b0001.wav,LXC,Chinese,F,"gad, do i remember it?"
i can see that knife now,data/l2arctic/LXC/wav/arctic_b0003.wav,LXC,Chinese,F,i can see that knife now.
when i cant see beauty in woman i want to die,data/l2arctic/LXC/wav/arctic_b0004.wav,LXC,Chinese,F,"when i can't see beauty in women, i want to die."
his slim fingers closed like steel about philips,data/l2arctic/LXC/wav/arctic_b0005.wav,LXC,Chinese,F,his slim fingers close like steel above philip's.
he seized gregson by the arm and led him to the door,data/l2arctic/LXC/wav/arctic_b0006.wav,LXC,Chinese,F,he seized gregson by the arm and led him to the door.
hear the indian dogs wailing down at churchill,data/l2arctic/LXC/wav/arctic_b0007.wav,LXC,Chinese,F,here the indian dogs waiting down at churchill.
burke himself had criticized it because of the smile,data/l2arctic/LXC/wav/arctic_b0008.wav,LXC,Chinese,F,but burke himself had criticized it because of the smile.
id say there was going to be a glorious scrap,data/l2arctic/LXC/wav/arctic_b0009.wav,LXC,Chinese,F,i'd say there's going to be a glorious scrap.
he turned the map to gregson pointing with his finger,data/l2arctic/LXC/wav/arctic_b0010.wav,LXC,Chinese,F,"he turned the map to gregson, pointing with his finger."
his eyes never took themselves for an instant from his companions face,data/l2arctic/LXC/wav/arctic_b0011.wav,LXC,Chinese,F,his eyes never took themselves for an instant from his companion's face.
something that whittemore had not yet said thrilled him,data/l2arctic/LXC/wav/arctic_b0012.wav,LXC,Chinese,F,something that whitamore had not yet sight thrilled him.
whitefish gregson whitefish and trout,data/l2arctic/LXC/wav/arctic_b0014.wav,LXC,Chinese,F,"white fish, grexon, white fish and strut."
they robbed me a few years later,data/l2arctic/LXC/wav/arctic_b0015.wav,LXC,Chinese,F,they robbed me a few years later.!
he chuckled as he pulled out his pipe and began filling it,data/l2arctic/LXC/wav/arctic_b0016.wav,LXC,Chinese,F,he chucked as he pulled out his pipe and began filling it.!
everything was working smoothly better than i had expected,data/l2arctic/LXC/wav/arctic_b0017.wav,LXC,Chinese,F,"everything was working smoothly, better than i had expected.!"
i was completely lost in my work,data/l2arctic/LXC/wav/arctic_b0018.wav,LXC,Chinese,F,i was completely lost in my work.!
his slim hands gripped the edges of the table,data/l2arctic/LXC/wav/arctic_b0019.wav,LXC,Chinese,F,his slim hands grip the edges of the table.!
philip dropped back into his chair,data/l2arctic/LXC/wav/arctic_b0021.wav,LXC,Chinese,F,philip dropped back into his trap.!
if i was out of the game it would be easily made,data/l2arctic/LXC/wav/arctic_b0022.wav,LXC,Chinese,F,"if i was out of the game, it would be easily made.!"
macdougall my engineer believes it,data/l2arctic/LXC/wav/arctic_b0023.wav,LXC,Chinese,F,"mcdonald's, my engineer believes it.!"
it is growing every day every hour,data/l2arctic/LXC/wav/arctic_b0024.wav,LXC,Chinese,F,it is growing every day every hour
now you understand,data/l2arctic/LXC/wav/arctic_b0025.wav,LXC,Chinese,F,now you understand.
you have associated with some of these men,data/l2arctic/LXC/wav/arctic_b0026.wav,LXC,Chinese,F,you have associated with some of these men.
and theres no chivalry no quarter shown in this fight,data/l2arctic/LXC/wav/arctic_b0027.wav,LXC,Chinese,F,"and there is no chivalry, no quarter strong in this fight."
lord fitzhugh is the key to the whole situation,data/l2arctic/LXC/wav/arctic_b0028.wav,LXC,Chinese,F,lot fix sock is the key to the whole situation.
