transcription,path_to_audio,speaker_id,native_language,gender,wavlm_large_transcriptions
the president of the united states was his friend,data/l2arctic/TXHC/wav/arctic_b0225.wav,TXHC,Chinese,M,the president of the united states was his frind
your face was the personification of duplicity,data/l2arctic/TXHC/wav/arctic_b0226.wav,TXHC,Chinese,M,youare faced with a personification of duplicity
shorty turned to their employers,data/l2arctic/TXHC/wav/arctic_b0227.wav,TXHC,Chinese,M,shorty turned to their employers
you were engaged,data/l2arctic/TXHC/wav/arctic_b0228.wav,TXHC,Chinese,M,you were engaged
i saw it all myself and it was splendid,data/l2arctic/TXHC/wav/arctic_b0229.wav,TXHC,Chinese,M,i saw i oall myself and it was splendid
now run along and tell them to hurry,data/l2arctic/TXHC/wav/arctic_b0230.wav,TXHC,Chinese,M,now rong along and the toden to hary
whats that grub thief got to do with it,data/l2arctic/TXHC/wav/arctic_b0231.wav,TXHC,Chinese,M,whats that grobsheef got to do with it
it was a superb picture,data/l2arctic/TXHC/wav/arctic_b0232.wav,TXHC,Chinese,M,it was a superb picture
so she said the irate skipper dashed on,data/l2arctic/TXHC/wav/arctic_b0233.wav,TXHC,Chinese,M,so she sat the irate scipper dashed on
and watch out for wet feet was his parting advice,data/l2arctic/TXHC/wav/arctic_b0234.wav,TXHC,Chinese,M,and watch out for what feet wish his parting arwice
raoul yelled in order to make himself heard,data/l2arctic/TXHC/wav/arctic_b0235.wav,TXHC,Chinese,M,rool yealded in order to make himself heard
oolong was two hundred and fifty miles from the nearest land,data/l2arctic/TXHC/wav/arctic_b0236.wav,TXHC,Chinese,M,who long was two huundrerd and fifty miles from the nearest lin
they just lay off in the bush and plugged away,data/l2arctic/TXHC/wav/arctic_b0237.wav,TXHC,Chinese,M,they just layo in the bush and  pluck ta way
the very thought of the effort to swim over was nauseating,data/l2arctic/TXHC/wav/arctic_b0238.wav,TXHC,Chinese,M,the wiry sault of the affort to swim over was nauiating
and there was a dog that barked,data/l2arctic/TXHC/wav/arctic_b0239.wav,TXHC,Chinese,M,and there was a dog that barked
bill lingered contemplating his work with artistic appreciation,data/l2arctic/TXHC/wav/arctic_a0561.wav,TXHC,Chinese,M,bul lingered contemplating his work with artistic appreciation
but well just postpone this,data/l2arctic/TXHC/wav/arctic_a0578.wav,TXHC,Chinese,M,but we e just a post pon this
you got out by fighting and i through a pretty girl,data/l2arctic/TXHC/wav/arctic_b0002.wav,TXHC,Chinese,M,yo gote out by fighting and i sthroug a pretty girl
his slim hands gripped the edges of the table,data/l2arctic/TXHC/wav/arctic_b0019.wav,TXHC,Chinese,M,his sleen hands gripped  the ages of the table
he wondered too where roscoe was,data/l2arctic/TXHC/wav/arctic_b0036.wav,TXHC,Chinese,M,he wondered too where rascal was
that is why i am am rattled he laughed,data/l2arctic/TXHC/wav/arctic_b0053.wav,TXHC,Chinese,M,that is wy i am am ratttled he lughed
there was no chance to fire without hitting him,data/l2arctic/TXHC/wav/arctic_b0070.wav,TXHC,Chinese,M,there was no chance to fire wisout a hitin him
they will search for us between their camp and churchill,data/l2arctic/TXHC/wav/arctic_b0087.wav,TXHC,Chinese,M,they will search fos betwen their camp and the churchil
shooting pains passed like flashes of electricity through his body,data/l2arctic/TXHC/wav/arctic_b0104.wav,TXHC,Chinese,M,shooting pains passed like flaches of electricity through his body
i want my men to work by themselves,data/l2arctic/TXHC/wav/arctic_b0121.wav,TXHC,Chinese,M,i want my men to work by themselves
and then steadily he began to chew,data/l2arctic/TXHC/wav/arctic_b0138.wav,TXHC,Chinese,M,and then steadily he began to thue
his freshly caught furs he flung to the floor,data/l2arctic/TXHC/wav/arctic_b0155.wav,TXHC,Chinese,M,his freshly caught firs he flown to the floor
on the far corner of the compound fence a hawk brooded,data/l2arctic/TXHC/wav/arctic_b0172.wav,TXHC,Chinese,M,on the far corner of the compond fence a hawk broodied
that is what distinguishes all of us from the lower animals,data/l2arctic/TXHC/wav/arctic_b0189.wav,TXHC,Chinese,M,thattyis what dixtinguishes all of us from the lower animos
horses and rifles had been her toys camp and trail her nursery,data/l2arctic/TXHC/wav/arctic_b0206.wav,TXHC,Chinese,M,horses and e rifles hadto ben her toys camp on e twail anursery
the women they carried away with them to the big valley,data/l2arctic/TXHC/wav/arctic_b0241.wav,TXHC,Chinese,M,the woman they carred away wi ten to the big wale
the japanese understood as we could never school ourselves or hope to understand,data/l2arctic/TXHC/wav/arctic_b0242.wav,TXHC,Chinese,M,the japanese understood that we could never school ourrselves or hope to understand
they had been on the same lay as ourselves,data/l2arctic/TXHC/wav/arctic_b0243.wav,TXHC,Chinese,M,they had being on the same lay as oorselves
you are positively soulless he said savagely,data/l2arctic/TXHC/wav/arctic_b0244.wav,TXHC,Chinese,M,you are positively solless he said savagely
harrison is still my chauffeur,data/l2arctic/TXHC/wav/arctic_b0245.wav,TXHC,Chinese,M,harisein is stil my chaffer
the boy grew and prospered,data/l2arctic/TXHC/wav/arctic_b0246.wav,TXHC,Chinese,M,the boy grew and t prospered
he wanted to give the finish to this foe already so far gone,data/l2arctic/TXHC/wav/arctic_b0247.wav,TXHC,Chinese,M,he wanted to give the finish to his fol already so far gone
exciting times are the lot of the fish patrol,data/l2arctic/TXHC/wav/arctic_b0248.wav,TXHC,Chinese,M,exciting times at the lot of the fish pacrol
i know they are my oysters,data/l2arctic/TXHC/wav/arctic_b0249.wav,TXHC,Chinese,M,i know they are my oysters
by this time charley was as enraged as the greek,data/l2arctic/TXHC/wav/arctic_b0250.wav,TXHC,Chinese,M,by this time charle was as enraged as the greek
they must have been swept away by the chaotic currents,data/l2arctic/TXHC/wav/arctic_b0251.wav,TXHC,Chinese,M,they must have being swept away by their chaotic occurrenc
it resembled tea less than lager beer resembles champagne,data/l2arctic/TXHC/wav/arctic_b0252.wav,TXHC,Chinese,M,it resembled ta lassen lager beer resembles champane
the very opposite is true they are discouraged vagabonds,data/l2arctic/TXHC/wav/arctic_b0253.wav,TXHC,Chinese,M,the wery opposite is true they are discorraged of vagarbonds
at the same time spears and arrows began to fall among the invaders,data/l2arctic/TXHC/wav/arctic_b0254.wav,TXHC,Chinese,M,at the same time sbears and arrows began to fall amon the invaders
then again tudor had such an irritating way about him,data/l2arctic/TXHC/wav/arctic_b0255.wav,TXHC,Chinese,M,then again tulor had such an irritating way about him
outwardly he maintained a calm and smiling aspect,data/l2arctic/TXHC/wav/arctic_b0256.wav,TXHC,Chinese,M,ahtwrdlay he maintained a cong and smiling aspect
you fired me out of your house in short,data/l2arctic/TXHC/wav/arctic_b0258.wav,TXHC,Chinese,M,you fired a me all of your house in short
her mouth opened but instead of speaking she drew a long sigh,data/l2arctic/TXHC/wav/arctic_b0259.wav,TXHC,Chinese,M,her mouthe opened but instad of speaking she drew a long sigh
its worth eight dollars,data/l2arctic/TXHC/wav/arctic_b0260.wav,TXHC,Chinese,M,is worsth eight dollars
and he did hurt my arm,data/l2arctic/TXHC/wav/arctic_b0261.wav,TXHC,Chinese,M,an he did her  my arm
saxons onto her job,data/l2arctic/TXHC/wav/arctic_b0262.wav,TXHC,Chinese,M,sexsons onto her job
only once did i confide the strangeness of it all to another,data/l2arctic/TXHC/wav/arctic_b0263.wav,TXHC,Chinese,M,only once did i confide the strangeness of it all to another
but this time it was saxon who rebelled,data/l2arctic/TXHC/wav/arctic_b0264.wav,TXHC,Chinese,M,but this time t was saxon who rebowed
i was not to cry out in the face of fear,data/l2arctic/TXHC/wav/arctic_b0265.wav,TXHC,Chinese,M,i was now to cry out in the face of fear
and now put yourself in my place for a moment,data/l2arctic/TXHC/wav/arctic_b0266.wav,TXHC,Chinese,M,and now put yourself in my place for a moment
the boy threw back his head with pride,data/l2arctic/TXHC/wav/arctic_b0267.wav,TXHC,Chinese,M,the boy sthrew back his head with pride
saxon nodded and the boy frowned,data/l2arctic/TXHC/wav/arctic_b0268.wav,TXHC,Chinese,M,sax noded and the boy frowned
why not like any railroad station or ferry depot,data/l2arctic/TXHC/wav/arctic_b0269.wav,TXHC,Chinese,M,why not like any reilrod station or firy depo
we could throw stones with our feet,data/l2arctic/TXHC/wav/arctic_b0270.wav,TXHC,Chinese,M,we could sthrow stones with our feet
it was put together in a casual helter skelter sort of way,data/l2arctic/TXHC/wav/arctic_b0271.wav,TXHC,Chinese,M,it was put together in a carow hoter scatter sort of way
these were merely stout sticks an inch or so in diameter,data/l2arctic/TXHC/wav/arctic_b0272.wav,TXHC,Chinese,M,these were merly stout stiks an inch or so in diameter
then it was that a strange thing happened,data/l2arctic/TXHC/wav/arctic_b0273.wav,TXHC,Chinese,M,then il was that a strange thing happened
but i did not enjoy it long,data/l2arctic/TXHC/wav/arctic_b0275.wav,TXHC,Chinese,M,but i did not enjoy it along
we were now good friends,data/l2arctic/TXHC/wav/arctic_b0276.wav,TXHC,Chinese,M,we were now good friends
two of the folk were already up,data/l2arctic/TXHC/wav/arctic_b0277.wav,TXHC,Chinese,M,two of the folk were already up
now animals do not like mockery,data/l2arctic/TXHC/wav/arctic_b0278.wav,TXHC,Chinese,M,now animos do not like mokery
he gave one last snarl and slid from view among the trees,data/l2arctic/TXHC/wav/arctic_b0279.wav,TXHC,Chinese,M,he give one laus now and slit from view among the trees
again the girls applauded and missus hall cried,data/l2arctic/TXHC/wav/arctic_b0280.wav,TXHC,Chinese,M,again the girls applaouded and t missus hall cried
just the same id sooner be myself than have book indigestion,data/l2arctic/TXHC/wav/arctic_b0281.wav,TXHC,Chinese,M,just the same id d sonner be myself than hae a book in digestion
some of the smaller veins had doubtless been ruptured,data/l2arctic/TXHC/wav/arctic_b0282.wav,TXHC,Chinese,M,some of the smaller vens had thoughtless been raptured
but we were without this momentum,data/l2arctic/TXHC/wav/arctic_b0283.wav,TXHC,Chinese,M,but we were weisoued this momenton
there was one difficulty however,data/l2arctic/TXHC/wav/arctic_b0284.wav,TXHC,Chinese,M,there was one difficulty however
the hyena proceeded to dine,data/l2arctic/TXHC/wav/arctic_b0285.wav,TXHC,Chinese,M,the haina proceeded to dine
the time was considered auspicious,data/l2arctic/TXHC/wav/arctic_b0286.wav,TXHC,Chinese,M,the time was considered aspecious
or have they already devised one,data/l2arctic/TXHC/wav/arctic_b0287.wav,TXHC,Chinese,M,or have they already devised one
we would not spend another such night,data/l2arctic/TXHC/wav/arctic_b0288.wav,TXHC,Chinese,M,we would no spend another such night
at first his progress was slow and erratic,data/l2arctic/TXHC/wav/arctic_b0289.wav,TXHC,Chinese,M,at first his progress was slow and ratic
he placed his paw on one and its movements were accelerated,data/l2arctic/TXHC/wav/arctic_b0290.wav,TXHC,Chinese,M,hei placed his poam on and its movements were accelaerated
the fire men wore animal skins around their waists and across their shoulders,data/l2arctic/TXHC/wav/arctic_b0292.wav,TXHC,Chinese,M,the firemen wow animo skings around their wists and  across their shoulders
between him and all domestic animals there must be no hostilities,data/l2arctic/TXHC/wav/arctic_b0293.wav,TXHC,Chinese,M,between hin and e altomastic animal there must be no hostilities
for a much longer time lop ear and i remained and watched,data/l2arctic/TXHC/wav/arctic_b0294.wav,TXHC,Chinese,M,for much longer time lopear and i remained an watchd
all right sir replied jock with great regret,data/l2arctic/TXHC/wav/arctic_b0295.wav,TXHC,Chinese,M,arisa replied the jak with great regret
at times i wondered where sir archibald got his style,data/l2arctic/TXHC/wav/arctic_b0296.wav,TXHC,Chinese,M,at times i wondered where sir archibold got his t
why should a fellow throw up the sponge after the first round,data/l2arctic/TXHC/wav/arctic_b0297.wav,TXHC,Chinese,M,why should a fellow sthrow up thie sponch after the first rong
his hand shot out and clutched crooked leg by the neck,data/l2arctic/TXHC/wav/arctic_b0298.wav,TXHC,Chinese,M,his hand shot out and clutched crookd the lag by the neck
miss brodies smile was slightly sarcastic,data/l2arctic/TXHC/wav/arctic_b0299.wav,TXHC,Chinese,M,miss brodis smile was slatlige sarcastic
does the old boy often go off at half cock that way,data/l2arctic/TXHC/wav/arctic_b0300.wav,TXHC,Chinese,M,dos the oder boy often go off at half crock that way
a flying arrow passed between us,data/l2arctic/TXHC/wav/arctic_b0301.wav,TXHC,Chinese,M,a flying narrow passed between us
i pulled suddenly with all my might,data/l2arctic/TXHC/wav/arctic_b0302.wav,TXHC,Chinese,M,i puled suddenly with all my might
here we allow our solicitors to look after our legal work,data/l2arctic/TXHC/wav/arctic_b0303.wav,TXHC,Chinese,M,here we allow our solisitors to look after our legal work
his previous wives had never lived long enough to bear him children,data/l2arctic/TXHC/wav/arctic_b0304.wav,TXHC,Chinese,M,his previous wife had never lived long enough to bear hin children
it was our river emerging like ourselves from the great swamp,data/l2arctic/TXHC/wav/arctic_b0305.wav,TXHC,Chinese,M,it was oer reiever emerging like our selves from the great swamp
cameron looked at his hands with their long sinewy fingers,data/l2arctic/TXHC/wav/arctic_b0306.wav,TXHC,Chinese,M,cameran looked at his hands with their long senory fingers
we got few vegetables and fruits and became fish eaters,data/l2arctic/TXHC/wav/arctic_b0307.wav,TXHC,Chinese,M,we got a few vegetabls and fruits and became fish eaters
nor was elam harnish an exception,data/l2arctic/TXHC/wav/arctic_b0309.wav,TXHC,Chinese,M,nor was ilen honish an exception
a little treatment massage with some help from the doctor,data/l2arctic/TXHC/wav/arctic_b0310.wav,TXHC,Chinese,M,a lettere treitment mersarge with some hell from the doctor
the twenty ninth very foggy,data/l2arctic/TXHC/wav/arctic_b0311.wav,TXHC,Chinese,M,the twenty nite wary foggy
dig in youre sure good was daylights answer,data/l2arctic/TXHC/wav/arctic_b0312.wav,TXHC,Chinese,M,tagin youre sure good was daylights answer
the apron string loomed near and he shied like an unbroken colt,data/l2arctic/TXHC/wav/arctic_b0313.wav,TXHC,Chinese,M,apron strin loomed near and he shied like an unbroken colt
he had been born with this endowment,data/l2arctic/TXHC/wav/arctic_b0314.wav,TXHC,Chinese,M,he had o been born with this indolment
and this was their sole conversation throughout the meal,data/l2arctic/TXHC/wav/arctic_b0315.wav,TXHC,Chinese,M,and this was their sole conversation throughout the meal
though the aurora still flamed another day had begun,data/l2arctic/TXHC/wav/arctic_b0316.wav,TXHC,Chinese,M,though the uraura stil flamed another day had begon
he did not believe in the burning of daylight for such a luxury,data/l2arctic/TXHC/wav/arctic_b0317.wav,TXHC,Chinese,M,i did not believe in the burning of dayligh for such a luxury
again he had done the big thing,data/l2arctic/TXHC/wav/arctic_b0318.wav,TXHC,Chinese,M,again he et dong the big sang
daylight was tired profoundly tired,data/l2arctic/TXHC/wav/arctic_b0319.wav,TXHC,Chinese,M,daylit was tired profoundely tired
the regret in his voice was provocative of a second burst of laughter,data/l2arctic/TXHC/wav/arctic_b0320.wav,TXHC,Chinese,M,the regret in his voice was provoctive of a second burst of laughter
instead he arrived on the night of the second day,data/l2arctic/TXHC/wav/arctic_b0321.wav,TXHC,Chinese,M,instead he arrived on the night of the second day
their supply of grub was gone,data/l2arctic/TXHC/wav/arctic_b0322.wav,TXHC,Chinese,M,their supply of groab was gong
crickets began to chirp and more geese and ducks flew overhead,data/l2arctic/TXHC/wav/arctic_b0323.wav,TXHC,Chinese,M,quickets began to chirp and the mo geese and ducks flew overhead
not till the twentieth of may did the river break,data/l2arctic/TXHC/wav/arctic_b0324.wav,TXHC,Chinese,M,not till the twentiet of may did the river break
our mister howison will call upon you at your hotel,data/l2arctic/TXHC/wav/arctic_b0326.wav,TXHC,Chinese,M,ouur mister hoisen will call upon you at the hotel
he had been so easy,data/l2arctic/TXHC/wav/arctic_b0327.wav,TXHC,Chinese,M,he had been so easy
change chairs daylight commanded,data/l2arctic/TXHC/wav/arctic_b0328.wav,TXHC,Chinese,M,chen chairs dayligt commanded
id sooner have my chips back,data/l2arctic/TXHC/wav/arctic_b0329.wav,TXHC,Chinese,M,i soiner have my chieps back
they only had a little thirty thousand dollar fire,data/l2arctic/TXHC/wav/arctic_b0330.wav,TXHC,Chinese,M,they only had alelo sthirty stousand dollr fie
his partners had starved and died on the stewart,data/l2arctic/TXHC/wav/arctic_b0331.wav,TXHC,Chinese,M,his padners had starved and died on the steward
as to how she dressed he had no ideas at all,data/l2arctic/TXHC/wav/arctic_b0332.wav,TXHC,Chinese,M,as to how she dressed he had no idears at all
it does was her audacious answer,data/l2arctic/TXHC/wav/arctic_b0333.wav,TXHC,Chinese,M,eldes was her audicious answer
oh its just a novel a love story,data/l2arctic/TXHC/wav/arctic_b0334.wav,TXHC,Chinese,M,o its just a novel a love story
whoever lived on the ranch did that,data/l2arctic/TXHC/wav/arctic_b0335.wav,TXHC,Chinese,M,who ever lived on the ranch did that
how old are you mother,data/l2arctic/TXHC/wav/arctic_b0336.wav,TXHC,Chinese,M,how old are you mother
here he got a fresh thrill,data/l2arctic/TXHC/wav/arctic_b0337.wav,TXHC,Chinese,M,here he got a frsh thriel
it was unobtrusive yet it was there,data/l2arctic/TXHC/wav/arctic_b0338.wav,TXHC,Chinese,M,it was un obtrusive yet it was there
well ill be plumb gosh darned,data/l2arctic/TXHC/wav/arctic_b0339.wav,TXHC,Chinese,M,wel ill be plum gos darnd
these quick little joys of hers were sources of joy to him,data/l2arctic/TXHC/wav/arctic_b0340.wav,TXHC,Chinese,M,these quick litl joys of hers were sources of joy to him
i play that choice wide open to win,data/l2arctic/TXHC/wav/arctic_b0341.wav,TXHC,Chinese,M,a play that choice widopend win
but how are you going to do it,data/l2arctic/TXHC/wav/arctic_b0343.wav,TXHC,Chinese,M,but how ar you going to do itt
lots of men take women buggy riding,data/l2arctic/TXHC/wav/arctic_b0344.wav,TXHC,Chinese,M,lots o men take women barky riding
daylight made no answer and the door closed behind him,data/l2arctic/TXHC/wav/arctic_b0345.wav,TXHC,Chinese,M,aylac made no answer and he door closed behind him
theres not an iota of truth in it,data/l2arctic/TXHC/wav/arctic_b0346.wav,TXHC,Chinese,M,there was knowlen iyota fa chuse innet
but ever his gaze returned to that crouched venus on the piano,data/l2arctic/TXHC/wav/arctic_b0347.wav,TXHC,Chinese,M,bever his gase returnedinto that acroched te venus on the piano
would you be satisfied with that one hundredth part of me,data/l2arctic/TXHC/wav/arctic_b0348.wav,TXHC,Chinese,M,would you be satisfied with that oone hundredth part of me
in such a tumbling of values was no time to sell,data/l2arctic/TXHC/wav/arctic_b0349.wav,TXHC,Chinese,M,in such a tumbling of valus was no time to sail
stand off butcher and baker and all the rest,data/l2arctic/TXHC/wav/arctic_b0350.wav,TXHC,Chinese,M,stand o buocher and  baker and all the rest
matthewson whos this bookkeeper rogers,data/l2arctic/TXHC/wav/arctic_b0351.wav,TXHC,Chinese,M,masusom whoos this book keeper rogers
now just what do you want to know,data/l2arctic/TXHC/wav/arctic_b0352.wav,TXHC,Chinese,M,now just what do you want to know
i want to know how all this is possible,data/l2arctic/TXHC/wav/arctic_b0353.wav,TXHC,Chinese,M,i want to know how all this is possible
its that much junk,data/l2arctic/TXHC/wav/arctic_b0354.wav,TXHC,Chinese,M,is sat much junk
there was proper division of labor in the work they individually performed,data/l2arctic/TXHC/wav/arctic_b0355.wav,TXHC,Chinese,M,there was proper division of labor in work they individually performed
he loved to play chinese lottery,data/l2arctic/TXHC/wav/arctic_b0356.wav,TXHC,Chinese,M,he loved to play chinese lottery
the law of club and fang,data/l2arctic/TXHC/wav/arctic_b0357.wav,TXHC,Chinese,M,a lov clobb an fan
the temperature dropped to fifty below zero and remained there the whole trip,data/l2arctic/TXHC/wav/arctic_b0358.wav,TXHC,Chinese,M,the temperatur dropped  to fifty below the aro and the remaind there he whole thip
this state of mind comes of an undue prominence of the ego,data/l2arctic/TXHC/wav/arctic_b0360.wav,TXHC,Chinese,M,thi state of mand comes from an undue prominence of the eago
there are the canals of china and the yangtse river,data/l2arctic/TXHC/wav/arctic_b0361.wav,TXHC,Chinese,M,there are the canos of china under the young sil river
we threaten to be of the one mind before the voyage is completed,data/l2arctic/TXHC/wav/arctic_b0362.wav,TXHC,Chinese,M,we stregnten to be of the wam mind before the warage is completed
she was built primarily to sail,data/l2arctic/TXHC/wav/arctic_b0363.wav,TXHC,Chinese,M,she was bilt primarily to sail
in the bohemian club of san francisco there are some crack sailors,data/l2arctic/TXHC/wav/arctic_b0364.wav,TXHC,Chinese,M,in the bohemiaan club of san francisco there are some crack sailors
my age in years is twenty two,data/l2arctic/TXHC/wav/arctic_b0365.wav,TXHC,Chinese,M,my age in years is twenty two
i forgot how easily i had taught myself from the printed page,data/l2arctic/TXHC/wav/arctic_b0366.wav,TXHC,Chinese,M,i forgot how easily i had tught myself from the printed page
any average young fellow can teach himself in a week,data/l2arctic/TXHC/wav/arctic_b0367.wav,TXHC,Chinese,M,any average young fellow can teach himself in a week
please do not think that i already know it all,data/l2arctic/TXHC/wav/arctic_b0368.wav,TXHC,Chinese,M,prease do not think that ialready know it all
you see we were teaching ourselves,data/l2arctic/TXHC/wav/arctic_b0369.wav,TXHC,Chinese,M,you see we were teaching ourselves
and now behold the perversity of things,data/l2arctic/TXHC/wav/arctic_b0370.wav,TXHC,Chinese,M,and now behold the peerversity of shings
yield yourself to the waters that are ripping and tearing at you,data/l2arctic/TXHC/wav/arctic_b0371.wav,TXHC,Chinese,M,ye d yourselv to the warters that are ripping and e terroring a you
mister mcveigh told me about him,data/l2arctic/TXHC/wav/arctic_b0372.wav,TXHC,Chinese,M,mister macuay told me about him
unlike joshua he stood in no need of divine assistance,data/l2arctic/TXHC/wav/arctic_b0373.wav,TXHC,Chinese,M,unlik joshea he stood i no need of divine assistance
to say the least captain cook was a rather thorough going empiricist,data/l2arctic/TXHC/wav/arctic_b0374.wav,TXHC,Chinese,M,to say the least captain cook was  rather sorrow going emperiocist
man could not conquer them,data/l2arctic/TXHC/wav/arctic_b0375.wav,TXHC,Chinese,M,man could not conquer then
a scarlet loincloth completed his costume,data/l2arctic/TXHC/wav/arctic_b0377.wav,TXHC,Chinese,M,a scarlat lin clos completed his costume
i like to speculate upon the glorious future of man,data/l2arctic/TXHC/wav/arctic_b0378.wav,TXHC,Chinese,M,i licked to speculate upon the glorious future ol man
christmas is an easy problem compared with a polynesian giving feast,data/l2arctic/TXHC/wav/arctic_b0379.wav,TXHC,Chinese,M,quistmus is a neethy problem compared with e polinesian gibing fist
he had peeled off his shirt and was wildly waving it,data/l2arctic/TXHC/wav/arctic_b0380.wav,TXHC,Chinese,M,he had a pealed of his shirt and was wildlay waving it
and how would we ever find ourselves,data/l2arctic/TXHC/wav/arctic_b0381.wav,TXHC,Chinese,M,and how would we ever find ourer so
i defy any man to get a solomon island sore in california,data/l2arctic/TXHC/wav/arctic_b0382.wav,TXHC,Chinese,M,i defy any man to get a soloman iland as sor in califonia
a bush chief had died a natural death,data/l2arctic/TXHC/wav/arctic_b0383.wav,TXHC,Chinese,M,a bush chief had died a natural deth
the skippers and na ka tas gymnastics served as a translation without words,data/l2arctic/TXHC/wav/arctic_b0384.wav,TXHC,Chinese,M,the skippers and te naqats te gemestics served as a translation without words
last night he showed all the symptoms of coming down with pneumonia,data/l2arctic/TXHC/wav/arctic_b0385.wav,TXHC,Chinese,M,last night he shoed all the symptans of coming down with nemonia
my idea was that he would have more influence over the natives,data/l2arctic/TXHC/wav/arctic_b0386.wav,TXHC,Chinese,M,myidear was that he would have more inflluence over the natives
it is merely the simple superlative,data/l2arctic/TXHC/wav/arctic_b0387.wav,TXHC,Chinese,M,eis merely the simploe superlitive
i made no more overtures,data/l2arctic/TXHC/wav/arctic_b0388.wav,TXHC,Chinese,M,i made no more overtures
among my minor afflictions i may mention a new and mysterious one,data/l2arctic/TXHC/wav/arctic_b0389.wav,TXHC,Chinese,M,among my miner afflictions i may mention a new and mysterious one
the voyage was our idea of a good time,data/l2arctic/TXHC/wav/arctic_b0390.wav,TXHC,Chinese,M,the waryage was our idear of a good tine
at sea tuesday march seventeenth nineteen o eight,data/l2arctic/TXHC/wav/arctic_b0391.wav,TXHC,Chinese,M,at sea tuesday march seventeenth nineteen o ightt
yes sir he answered with cheerful alacrity,data/l2arctic/TXHC/wav/arctic_b0392.wav,TXHC,Chinese,M,yes sir he answered wih cheerful alacrity
the boy hesitated then mastered his temper,data/l2arctic/TXHC/wav/arctic_b0394.wav,TXHC,Chinese,M,the boy hesitated then mastered his temper
i was beneath the water suffocating and drowning,data/l2arctic/TXHC/wav/arctic_b0395.wav,TXHC,Chinese,M,i was beneath the water suffocating and adrowning
the pain from my hurt knee was agonizing,data/l2arctic/TXHC/wav/arctic_b0396.wav,TXHC,Chinese,M,the pain from my hurt knee was agonizing
the hunters were still arguing and roaring like some semi human amphibious breed,data/l2arctic/TXHC/wav/arctic_b0397.wav,TXHC,Chinese,M,the hanters were still arguing and roaring like some simi human anphbios breed
i have been robbed sir i amended,data/l2arctic/TXHC/wav/arctic_b0398.wav,TXHC,Chinese,M,i have been robbed sir i ammended
you were looking squeamish this afternoon he began,data/l2arctic/TXHC/wav/arctic_b0399.wav,TXHC,Chinese,M,you were looking skurimish this afternoon he began
how could i answer the question on the spur of the moment,data/l2arctic/TXHC/wav/arctic_b0400.wav,TXHC,Chinese,M,how could i answer the question on the spur of the moment
i learned it myself in english ships,data/l2arctic/TXHC/wav/arctic_b0401.wav,TXHC,Chinese,M,i learnted myself ing english ships
an altruistic act is an act performed for the welfare of others,data/l2arctic/TXHC/wav/arctic_b0402.wav,TXHC,Chinese,M,an alturistic act is an act performed for the welfare of others
knowing him i review the old scandinavian myths with clearer understanding,data/l2arctic/TXHC/wav/arctic_b0403.wav,TXHC,Chinese,M,knowinghan i reveled the old scandinavian mist with clear understanding
yes and no sir was the slow reply,data/l2arctic/TXHC/wav/arctic_b0404.wav,TXHC,Chinese,M,yes and no sir was he slow reply
and each year something happened and i did not go,data/l2arctic/TXHC/wav/arctic_b0405.wav,TXHC,Chinese,M,and each year something happened and i did not go
how in hell did he know it was you in the dark,data/l2arctic/TXHC/wav/arctic_b0406.wav,TXHC,Chinese,M,how and how did he know it was you in the dark
of course much grumbling went on and little outbursts were continually occurring,data/l2arctic/TXHC/wav/arctic_b0407.wav,TXHC,Chinese,M,of course much grumbly went  on and n litle ut bursts were continualy occurring
you have all the advantage,data/l2arctic/TXHC/wav/arctic_b0408.wav,TXHC,Chinese,M,you have all the advantage
the dirk mentioned by wolf larsen rested in its sheath on my hip,data/l2arctic/TXHC/wav/arctic_b0409.wav,TXHC,Chinese,M,the turc ommention by wof larson rested in its sheese on my heap
he gave no reason but his motive was obvious enough,data/l2arctic/TXHC/wav/arctic_b0411.wav,TXHC,Chinese,M,hel give no reason but his moley was obvious enough
ah it was sweet in my ears,data/l2arctic/TXHC/wav/arctic_b0412.wav,TXHC,Chinese,M,ah it was sweet in my ears
he may desire to escape pain or to enjoy pleasure,data/l2arctic/TXHC/wav/arctic_b0413.wav,TXHC,Chinese,M,he may desire to escape pain or to enjoy pleasur
it was impossible to hoist sail and claw off that shore,data/l2arctic/TXHC/wav/arctic_b0414.wav,TXHC,Chinese,M,it was impossible to hoist sail and claw off that shore
there was nothing for us but the wide raw ocean,data/l2arctic/TXHC/wav/arctic_b0415.wav,TXHC,Chinese,M,there was nothing for us but the wide roal ocean
i arose obediently and went down the beach,data/l2arctic/TXHC/wav/arctic_b0416.wav,TXHC,Chinese,M,i arrose obediently and went down the beach
the next thing to watch out for is bed sores,data/l2arctic/TXHC/wav/arctic_b0417.wav,TXHC,Chinese,M,the next thing to watch out for is bad sorce
at that moment i got the impression that she was willowy,data/l2arctic/TXHC/wav/arctic_b0418.wav,TXHC,Chinese,M,at that moment i got the impression that she was willowy
your fathers fifth command he nodded,data/l2arctic/TXHC/wav/arctic_b0419.wav,TXHC,Chinese,M,your fathers fift command he nodded
on occasion on this traverse the cape verde islands are raised,data/l2arctic/TXHC/wav/arctic_b0420.wav,TXHC,Chinese,M,ollocasion on this traivers the cape verdey islands are raised
she is essentially the life giving life conserving female of the species,data/l2arctic/TXHC/wav/arctic_b0421.wav,TXHC,Chinese,M,she is essentially the life giving life conserving female of the species
