transcription,path_to_audio,speaker_id,native_language,gender,sew_large_transcriptions
she turned in at the hotel,data/l2arctic/LXC/wav/arctic_a0036.wav,LXC,Chinese,F,she turned in at her hotel
i was the only one who remained sitting,data/l2arctic/LXC/wav/arctic_a0037.wav,LXC,Chinese,F,i was the only one who remained sitting
well have to watch our chances,data/l2arctic/LXC/wav/arctic_a0038.wav,LXC,Chinese,F,we will have to watch our chances
the ship should be in within a week or ten days,data/l2arctic/LXC/wav/arctic_a0039.wav,LXC,Chinese,F,the ship should be in whizzing a week or ten days
i suppose you wonder why she is coming up here,data/l2arctic/LXC/wav/arctic_a0040.wav,LXC,Chinese,F,i suppose you'll wonder why she's coming up here
meanwhile ill go out to breathe a spell,data/l2arctic/LXC/wav/arctic_a0041.wav,LXC,Chinese,F,meanwhile i will go out to brest us bill
how could he explain his possession of the sketch,data/l2arctic/LXC/wav/arctic_a0042.wav,LXC,Chinese,F,how could he explain his possessions of the sketch
it seemed nearer to him since he had seen and talked with gregson,data/l2arctic/LXC/wav/arctic_a0043.wav,LXC,Chinese,F,it seemed nearer to him since he had seen an attacked miss grexon
her own betrayal of herself was like tonic to philip,data/l2arctic/LXC/wav/arctic_a0044.wav,LXC,Chinese,F,her own betrayal of herself was like tonic to philip
he moved away as quietly as he had come,data/l2arctic/LXC/wav/arctic_a0045.wav,LXC,Chinese,F,he moved away as quietly as he had come
the girl faced him her eyes shining with sudden fear,data/l2arctic/LXC/wav/arctic_a0046.wav,LXC,Chinese,F,the girl faced him her eyes shining with sudden fear
close beside him gleamed the white fangs of the wolf dog,data/l2arctic/LXC/wav/arctic_a0047.wav,LXC,Chinese,F,close beside him gleamed the white fence of the wolf dog
he looked at the handkerchief more closely,data/l2arctic/LXC/wav/arctic_a0048.wav,LXC,Chinese,F,he looked at her hand kerchief more closely
gregson was asleep when he reentered the cabin,data/l2arctic/LXC/wav/arctic_a0049.wav,LXC,Chinese,F,gradgrind was asleep when he re entered the cabin
in spite of their absurdity the words affected philip curiously,data/l2arctic/LXC/wav/arctic_a0050.wav,LXC,Chinese,F,in spite of their absurd tailor was a fact philip's curiosity
it was a curious coincidence,data/l2arctic/LXC/wav/arctic_a0052.wav,LXC,Chinese,F,it was a curious cold incidence
suddenly his fingers closed tightly over the handkerchief,data/l2arctic/LXC/wav/arctic_a0053.wav,LXC,Chinese,F,suddenly his fingers closed tightly over a handkerchief
there was nothing on the rock,data/l2arctic/LXC/wav/arctic_a0054.wav,LXC,Chinese,F,there was nothing on the rock
philip stood undecided his ears strained to catch the slightest sound,data/l2arctic/LXC/wav/arctic_a0055.wav,LXC,Chinese,F,philip stood undecided his airs strained to catch the slightest song
pearces little eyes were fixed on him shrewdly,data/l2arctic/LXC/wav/arctic_a0056.wav,LXC,Chinese,F,pierced little eyes were fixed on him shrewdly
i have no idea replied philip,data/l2arctic/LXC/wav/arctic_a0057.wav,LXC,Chinese,F,i have no idea a replied villiers
i came for information more out of curiosity than anything else,data/l2arctic/LXC/wav/arctic_a0058.wav,LXC,Chinese,F,i came for information more out of curious to their anything else
his immaculate appearance was gone,data/l2arctic/LXC/wav/arctic_a0059.wav,LXC,Chinese,F,he's immaculate appearance was gone
anyway no one saw her like that,data/l2arctic/LXC/wav/arctic_a0060.wav,LXC,Chinese,F,anyway no one saw her like that
philip snatched at the letter which gregson held out to him,data/l2arctic/LXC/wav/arctic_a0061.wav,LXC,Chinese,F,philip snatched at her letter which graxton held out to him
the men stared into each others face,data/l2arctic/LXC/wav/arctic_a0062.wav,LXC,Chinese,F,the men stared into each other's face
yes it was a man who asked a stranger,data/l2arctic/LXC/wav/arctic_a0063.wav,LXC,Chinese,F,yes it was the man who asked us ginger
the fourth and fifth days passed without any developments,data/l2arctic/LXC/wav/arctic_a0064.wav,LXC,Chinese,F,the fourth and the fifth days passed without any developments
they closed now until his fingers were like cords of steel,data/l2arctic/LXC/wav/arctic_a0065.wav,LXC,Chinese,F,that caused the knot until his fingers were like cords of steel
he saw jeanne falter for a moment,data/l2arctic/LXC/wav/arctic_a0066.wav,LXC,Chinese,F,he saw jane thought of for a moment
surely i will excuse you she cried,data/l2arctic/LXC/wav/arctic_a0067.wav,LXC,Chinese,F,surely i will excuse you she cried
from that moment his friendship for belize turns to hatred and jealousy,data/l2arctic/LXC/wav/arctic_a0017.wav,LXC,Chinese,F,from that moment his friendship for valleys turns to hatchet and the jealousy
men of seldens stamp dont stop at women and children,data/l2arctic/LXC/wav/arctic_a0034.wav,LXC,Chinese,F,may offset the stampedom stop at wormer and the children
the lace was of a delicate ivory color faintly tinted with yellow,data/l2arctic/LXC/wav/arctic_a0051.wav,LXC,Chinese,F,the lace was of a delicate ivory collar faintly tinted with yellow
in a flash philip followed its direction,data/l2arctic/LXC/wav/arctic_a0068.wav,LXC,Chinese,F,in a flash philip followed its direction
a trickle of fresh blood ran over his face,data/l2arctic/LXC/wav/arctic_a0085.wav,LXC,Chinese,F,a cheek of fresh blood ran over his face
he will follow us soon,data/l2arctic/LXC/wav/arctic_a0102.wav,LXC,Chinese,F,he will follow us to
jeanne was turning the bow shoreward,data/l2arctic/LXC/wav/arctic_a0119.wav,LXC,Chinese,F,jean was turning laboriously forward
about him everywhere were the evidences of luxury and of age,data/l2arctic/LXC/wav/arctic_a0136.wav,LXC,Chinese,F,about him every real were the evidences of luxury and of age
macdougall tapped his forehead suspiciously with a stubby forefinger,data/l2arctic/LXC/wav/arctic_a0153.wav,LXC,Chinese,F,macdago tapped his forehead says picturesquely with a stoppy forefinger
there was none of the joy of meeting in his face,data/l2arctic/LXC/wav/arctic_a0170.wav,LXC,Chinese,F,there was no after joy of meeting his face
ahead of them they saw a glimmer of sunshine,data/l2arctic/LXC/wav/arctic_a0187.wav,LXC,Chinese,F,ahead of them they saw a glimmer of sunshine
the wolf dog thrust his gaunt muzzle toward him,data/l2arctic/LXC/wav/arctic_a0204.wav,LXC,Chinese,F,the wolf dog thrust his count mildly toward he
i dont know why youre here at all,data/l2arctic/LXC/wav/arctic_a0221.wav,LXC,Chinese,F,i don't know where you are here at all
it happened to him at the gallina society in oakland one afternoon,data/l2arctic/LXC/wav/arctic_a0238.wav,LXC,Chinese,F,it haven't to him at all a galleonna's society in auld languing afternoon
you wont die of malnutrition be sure of that,data/l2arctic/LXC/wav/arctic_a0255.wav,LXC,Chinese,F,you won't die of monyotration be sure of that
it was his intention to return to eileen and her father,data/l2arctic/LXC/wav/arctic_a0069.wav,LXC,Chinese,F,it was his intention to return to orleans and her father
he would first hunt up gregson and begin his work there,data/l2arctic/LXC/wav/arctic_a0070.wav,LXC,Chinese,F,he would the first hunt up graxen and begin his work there
what was the object of your little sensation,data/l2arctic/LXC/wav/arctic_a0071.wav,LXC,Chinese,F,what was the object of your little sensation
but who was eileens double,data/l2arctic/LXC/wav/arctic_a0072.wav,LXC,Chinese,F,but who was ali baba
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/LXC/wav/arctic_a0073.wav,LXC,Chinese,F,the promoter's eyes were heavy with little puffy backs under them
and now down there eileen was waiting for him,data/l2arctic/LXC/wav/arctic_a0074.wav,LXC,Chinese,F,and now down there aling was waiting for him
there has been a change she interrupted him,data/l2arctic/LXC/wav/arctic_a0075.wav,LXC,Chinese,F,there has been a change she interrupted he
the gray eyes faltered the flush deepened,data/l2arctic/LXC/wav/arctic_a0076.wav,LXC,Chinese,F,gray eyes faltered their flash deepened
it is the fire partly she said,data/l2arctic/LXC/wav/arctic_a0077.wav,LXC,Chinese,F,it is the vile part of it she said
then at supper he tried to fathom her,data/l2arctic/LXC/wav/arctic_a0078.wav,LXC,Chinese,F,then at supper he tried to fathom her
it was a large canoe,data/l2arctic/LXC/wav/arctic_a0079.wav,LXC,Chinese,F,it was a large canoe
what if jeanne failed him,data/l2arctic/LXC/wav/arctic_a0080.wav,LXC,Chinese,F,what if jane failed him
what if she did not come to the rock,data/l2arctic/LXC/wav/arctic_a0081.wav,LXC,Chinese,F,what if she didn't come to a rock
his face was streaming with blood,data/l2arctic/LXC/wav/arctic_a0082.wav,LXC,Chinese,F,his face was dreaming with black
a shadow was creeping over pierres eyes,data/l2arctic/LXC/wav/arctic_a0083.wav,LXC,Chinese,F,a shadow was creeping over pierre's eyes
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/LXC/wav/arctic_a0084.wav,LXC,Chinese,F,cigars lay had he uttered a name when pierre's closing eyes shot open
death had come with terrible suddenness,data/l2arctic/LXC/wav/arctic_a0086.wav,LXC,Chinese,F,death had come with terrible suddenness
philip bent lower and stared into the face of the dead man,data/l2arctic/LXC/wav/arctic_a0087.wav,LXC,Chinese,F,philip bent lower and the still into the face of the dead man
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/LXC/wav/arctic_a0088.wav,LXC,Chinese,F,he made sure that the maxim was loaded and they resumed his paddling
the night glow was treacherous to shoot by,data/l2arctic/LXC/wav/arctic_a0089.wav,LXC,Chinese,F,the night girl was chatterers to shoppy
the singing voice approached rapidly,data/l2arctic/LXC/wav/arctic_a0090.wav,LXC,Chinese,F,the singing was a part to the rapidity
his blood grew hot with rage at the thought,data/l2arctic/LXC/wav/arctic_a0091.wav,LXC,Chinese,F,his breath grew hot with rage at rostopchin
he went down in midstream searching the shadows of both shores,data/l2arctic/LXC/wav/arctic_a0092.wav,LXC,Chinese,F,he went on eating misdreamed searching the shadows of both jaws
for a full minute he crouched and listened,data/l2arctic/LXC/wav/arctic_a0093.wav,LXC,Chinese,F,for of forming it he crouched and listened
he had barely entered this when he saw the glow of a fire,data/l2arctic/LXC/wav/arctic_a0094.wav,LXC,Chinese,F,he had barely entered the lease when he saw the glow of a fire
a big canvas tent was the first thing to come within his vision,data/l2arctic/LXC/wav/arctic_a0095.wav,LXC,Chinese,F,a big canvas tent was the first scene to come within his vision
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/LXC/wav/arctic_a0096.wav,LXC,Chinese,F,perhaps she had already met her fate a little deeper in the forest
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/LXC/wav/arctic_a0097.wav,LXC,Chinese,F,then you can arrange yourself comfortably among these laps innable
shall i carry you,data/l2arctic/LXC/wav/arctic_a0098.wav,LXC,Chinese,F,shall i carry you
a maddening joy pounded in his brain,data/l2arctic/LXC/wav/arctic_a0099.wav,LXC,Chinese,F,a mending joy pondered in his brain
you must sleep he urged,data/l2arctic/LXC/wav/arctic_a0100.wav,LXC,Chinese,F,you must sleep he urged
you you would not keep the truth from me,data/l2arctic/LXC/wav/arctic_a0101.wav,LXC,Chinese,F,you would not keep a choose from me
but there came no promise from the bow of the canoe,data/l2arctic/LXC/wav/arctic_a0103.wav,LXC,Chinese,F,by there came no promised formidable of the canoe
she was sleeping under his protection as sweetly as a child,data/l2arctic/LXC/wav/arctic_a0104.wav,LXC,Chinese,F,she was leaping under his protection as weakly as a tribe
only it is so wonderful so almost impossible to believe,data/l2arctic/LXC/wav/arctic_a0105.wav,LXC,Chinese,F,only it is so wonderful so almost impossible to believe
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/LXC/wav/arctic_a0106.wav,LXC,Chinese,F,the emotion which she had suppressed the breast forced now in her choking sob
if you only could know how i thank you,data/l2arctic/LXC/wav/arctic_a0107.wav,LXC,Chinese,F,if you're only going to know how i thank you
he waded into the edge of the water and began scrubbing himself,data/l2arctic/LXC/wav/arctic_a0108.wav,LXC,Chinese,F,he waded into the edge of water and began scrubbing himself
do you know that you are shaking my confidence in you,data/l2arctic/LXC/wav/arctic_a0109.wav,LXC,Chinese,F,do know that you are shaking my confidence in you
much replied jeanne as tersely,data/l2arctic/LXC/wav/arctic_a0110.wav,LXC,Chinese,F,much replied the genie as tersely
instead he joined her and they ate like two hungry children,data/l2arctic/LXC/wav/arctic_a0111.wav,LXC,Chinese,F,instead he joined her and they lay at legs to hungry children
he was wounded in the arm,data/l2arctic/LXC/wav/arctic_a0112.wav,LXC,Chinese,F,he was wounded in the arm
i suppose you picked that lingo up among the indians,data/l2arctic/LXC/wav/arctic_a0113.wav,LXC,Chinese,F,i suppose you'll pick lad lingo up among india
her words sent a strange chill through philip,data/l2arctic/LXC/wav/arctic_a0114.wav,LXC,Chinese,F,homer's scented string chills so fully
he had no excuse for the feelings which were aroused in him,data/l2arctic/LXC/wav/arctic_a0115.wav,LXC,Chinese,F,he had no excuse for the feelings which were arousing him
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/LXC/wav/arctic_a0116.wav,LXC,Chinese,F,was eating round the loose of those who were striving to walk his owing
she added with genuine sympathy in her face and voice,data/l2arctic/LXC/wav/arctic_a0117.wav,LXC,Chinese,F,she added with strenuous sympathy in her face and voice
pierre obeys me when we are together,data/l2arctic/LXC/wav/arctic_a0118.wav,LXC,Chinese,F,pierre obeys me when we are together
my right foot feels like that of a chinese debutante,data/l2arctic/LXC/wav/arctic_a0120.wav,LXC,Chinese,F,my right foot feels like that of a chinese depot tent
they ate dinner at the fifth and rested for two hours,data/l2arctic/LXC/wav/arctic_a0121.wav,LXC,Chinese,F,lay at dinner at her fifth and the rest of the for two hours
two years ago i gave up civilization for this,data/l2arctic/LXC/wav/arctic_a0122.wav,LXC,Chinese,F,two years ago i give up civilization for liz
she had died from cold and starvation,data/l2arctic/LXC/wav/arctic_a0123.wav,LXC,Chinese,F,she had died from cold and starvation
it was jeanne singing softly over beyond the rocks,data/l2arctic/LXC/wav/arctic_a0124.wav,LXC,Chinese,F,it was june seeing softly over beyond the rocks
he was determined now to maintain a more certain hold upon himself,data/l2arctic/LXC/wav/arctic_a0125.wav,LXC,Chinese,F,he was determined now to maintain a more certain hold upon himself
each day she became a more vital part of him,data/l2arctic/LXC/wav/arctic_a0126.wav,LXC,Chinese,F,each day she became a more vital part of he
it was a temptation but he resisted it,data/l2arctic/LXC/wav/arctic_a0127.wav,LXC,Chinese,F,it was a temptation but he resisted it
this one hope was destroyed as quickly as it was born,data/l2arctic/LXC/wav/arctic_a0128.wav,LXC,Chinese,F,this one hope was destroyed as quickly as it was born
her face was against his breast,data/l2arctic/LXC/wav/arctic_a0129.wav,LXC,Chinese,F,her face was against his breast
she was his now forever,data/l2arctic/LXC/wav/arctic_a0130.wav,LXC,Chinese,F,she was heedless not forever
providence had delivered him through the maelstrom,data/l2arctic/LXC/wav/arctic_a0131.wav,LXC,Chinese,F,providence had delivered him through the males john
a cry of joy burst from philips lips,data/l2arctic/LXC/wav/arctic_a0132.wav,LXC,Chinese,F,a cry of joy burst from philip's lips
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/LXC/wav/arctic_a0133.wav,LXC,Chinese,F,philip began to feel that he had foolishly overestimated his distress
he obeyed the pressure of her hand,data/l2arctic/LXC/wav/arctic_a0134.wav,LXC,Chinese,F,he obeyed the pressure of her hand
i am going to surprise father and you will go with pierre,data/l2arctic/LXC/wav/arctic_a0135.wav,LXC,Chinese,F,i'm going to surprise father and you will go his peer
then he stepped back with a low cry of pleasure,data/l2arctic/LXC/wav/arctic_a0137.wav,LXC,Chinese,F,then he stepped back with a low cry of pleasure
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/LXC/wav/arctic_a0138.wav,LXC,Chinese,F,in the picture he saw each moment a greater resemblance to jane
he told himself that as he washed himself and groomed his disheveled clothes,data/l2arctic/LXC/wav/arctic_a0139.wav,LXC,Chinese,F,he told him civilly as he watched himself and groomed his gist shaved clothes
accept a fathers blessing and with it this,data/l2arctic/LXC/wav/arctic_a0140.wav,LXC,Chinese,F,except a father's blessing and always eat lice
it seems like a strange pointing of the hand of god,data/l2arctic/LXC/wav/arctic_a0141.wav,LXC,Chinese,F,it seems like a strange pointing of the hand of god
such things had occurred before he told philip,data/l2arctic/LXC/wav/arctic_a0142.wav,LXC,Chinese,F,such scenes had occurred before he thought fitly
ah i had forgotten he exclaimed,data/l2arctic/LXC/wav/arctic_a0143.wav,LXC,Chinese,F,ah i had forgotten he exclaimed
but there was something even more startling than this resemblance,data/l2arctic/LXC/wav/arctic_a0144.wav,LXC,Chinese,F,but there was something even more startling than this resemblance
i have to be careful of them as they tear very easily,data/l2arctic/LXC/wav/arctic_a0145.wav,LXC,Chinese,F,after being careful of them as they tear very easily
of course this is uninteresting she continued,data/l2arctic/LXC/wav/arctic_a0146.wav,LXC,Chinese,F,of course lizzie's own interest in she continued
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/LXC/wav/arctic_a0147.wav,LXC,Chinese,F,a moment before he was intoxicated by a joy that was almost a madness
now these things had been struck dead within him,data/l2arctic/LXC/wav/arctic_a0148.wav,LXC,Chinese,F,now these scenes had been struck dead we seen them
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/LXC/wav/arctic_a0149.wav,LXC,Chinese,F,for instant he saw pure jaw like a silhouette against the sky
goodbye pierre he shouted,data/l2arctic/LXC/wav/arctic_a0150.wav,LXC,Chinese,F,good bye pure he shouted
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/LXC/wav/arctic_a0151.wav,LXC,Chinese,F,and the macdarga was beyond her chill weighs three weeks to spare
philip thrust himself against it and entered,data/l2arctic/LXC/wav/arctic_a0152.wav,LXC,Chinese,F,philip trusted himself against it and entered
he was smooth shaven and his hair and eyes were black,data/l2arctic/LXC/wav/arctic_a0154.wav,LXC,Chinese,F,he was smooth shaven and his hair and eyes were black
wont you draw up gentlemen,data/l2arctic/LXC/wav/arctic_a0155.wav,LXC,Chinese,F,won't you dry up gentlemen
a strange fire burned in his eyes when thorpe turned,data/l2arctic/LXC/wav/arctic_a0156.wav,LXC,Chinese,F,a strange fowl burned in his eyes when saw breton
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/LXC/wav/arctic_a0157.wav,LXC,Chinese,F,he had worn sheep her as dent might have washed him beaches
does that look good,data/l2arctic/LXC/wav/arctic_a0158.wav,LXC,Chinese,F,as lead to a good
they look as though he had been drumming a piano all his life,data/l2arctic/LXC/wav/arctic_a0159.wav,LXC,Chinese,F,lay looked as though he had been charming a piano all his life
you want to go over and see his gang throw dirt,data/l2arctic/LXC/wav/arctic_a0160.wav,LXC,Chinese,F,you want to go over and see his gun through that
take away their foreman and they wouldnt be worth their grub,data/l2arctic/LXC/wav/arctic_a0161.wav,LXC,Chinese,F,take away their foremen and they wouldn't be worse their grab
that is the sub foreman explained thorpe,data/l2arctic/LXC/wav/arctic_a0162.wav,LXC,Chinese,F,let his lass up forment is brandreth's song
philip made no effort to follow,data/l2arctic/LXC/wav/arctic_a0163.wav,LXC,Chinese,F,philip made no effort to follow
he came first a year ago and revealed himself to jeanne,data/l2arctic/LXC/wav/arctic_a0164.wav,LXC,Chinese,F,he came first a year ago and that revealed himself to jean
they are to attack your camp tomorrow night,data/l2arctic/LXC/wav/arctic_a0165.wav,LXC,Chinese,F,they are to attack york came to morrow night
two days ago jeanne learned where her fathers men were hiding,data/l2arctic/LXC/wav/arctic_a0166.wav,LXC,Chinese,F,two days ago jane found the way her father's men were hiding
i was near the cabin and saw you,data/l2arctic/LXC/wav/arctic_a0167.wav,LXC,Chinese,F,i was near the camping and the sawing
a low bush whipped him in the face and left no sting,data/l2arctic/LXC/wav/arctic_a0168.wav,LXC,Chinese,F,a low bush waved him in the face and the left nose theme
suddenly jeanne stopped for an instant,data/l2arctic/LXC/wav/arctic_a0169.wav,LXC,Chinese,F,suddenly she stopped for a instant
and when you come back in a few days bring eileen,data/l2arctic/LXC/wav/arctic_a0171.wav,LXC,Chinese,F,and when you come back in your field days bring alleyne
gregson had left the outer door slightly ajar,data/l2arctic/LXC/wav/arctic_a0172.wav,LXC,Chinese,F,grexen had left out her dolls slightly ajar
the date was nearly eighteen years old,data/l2arctic/LXC/wav/arctic_a0173.wav,LXC,Chinese,F,the date was nearly eighty years old
they were the presage of storm,data/l2arctic/LXC/wav/arctic_a0174.wav,LXC,Chinese,F,there was a passage of storm
down there the earth was already swelling with life,data/l2arctic/LXC/wav/arctic_a0175.wav,LXC,Chinese,F,down the others was already swerving with life
for the first time in his life he was yearning for a scrap,data/l2arctic/LXC/wav/arctic_a0176.wav,LXC,Chinese,F,for the first time in his life he was yearning for a scrap
she had been thoroughly and efficiently mauled,data/l2arctic/LXC/wav/arctic_a0177.wav,LXC,Chinese,F,she had been thoroughly and efficiently moored
every bone in her aged body seemed broken or dislocated,data/l2arctic/LXC/wav/arctic_a0178.wav,LXC,Chinese,F,everybody in her aged body seemed the broken or dislocated
tomorrow im going after that bear he said,data/l2arctic/LXC/wav/arctic_a0179.wav,LXC,Chinese,F,to morrow i am going after that beale he said
if not lets say our prayers and go to bed,data/l2arctic/LXC/wav/arctic_a0180.wav,LXC,Chinese,F,if not let's see our prayers and the goot bed
so cheer up and give us your paw,data/l2arctic/LXC/wav/arctic_a0181.wav,LXC,Chinese,F,so cheer up and give us your poll
this time he didnt yap for mercy,data/l2arctic/LXC/wav/arctic_a0182.wav,LXC,Chinese,F,this time he didn't get up for mercy
and the air was growing chilly,data/l2arctic/LXC/wav/arctic_a0183.wav,LXC,Chinese,F,and the air was growing chilly
dont you see im chewing this thing in two,data/l2arctic/LXC/wav/arctic_a0184.wav,LXC,Chinese,F,don't you see i'm true in this inn too
the questions may have come vaguely in his mind,data/l2arctic/LXC/wav/arctic_a0185.wav,LXC,Chinese,F,the questions may have come gradually in his mind
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/LXC/wav/arctic_a0186.wav,LXC,Chinese,F,like a flash he launched himself into a figured mess of the hall
two gigantic owls were tearing at the carcass,data/l2arctic/LXC/wav/arctic_a0188.wav,LXC,Chinese,F,to giovannikov's war hearing at naupactus
the big eyed clucking moose birds were most annoying,data/l2arctic/LXC/wav/arctic_a0189.wav,LXC,Chinese,F,like big eyed clacky moose birds or most annoying
next to them the canada jays were most persistent,data/l2arctic/LXC/wav/arctic_a0190.wav,LXC,Chinese,F,next to them lacana the joys wore a most persistent
for a time the exciting thrill of his adventure was gone,data/l2arctic/LXC/wav/arctic_a0191.wav,LXC,Chinese,F,for a time like sighting the rear of his adventure was gone
he didnt rush in,data/l2arctic/LXC/wav/arctic_a0192.wav,LXC,Chinese,F,he didn't rush in
it was edged with ice,data/l2arctic/LXC/wav/arctic_a0193.wav,LXC,Chinese,F,it was edged with eyes
he drank of the water cautiously,data/l2arctic/LXC/wav/arctic_a0194.wav,LXC,Chinese,F,he drank of the water cautiously
but a strange thing happened,data/l2arctic/LXC/wav/arctic_a0195.wav,LXC,Chinese,F,but a strange thing happened
he began to follow the footprints of the dog,data/l2arctic/LXC/wav/arctic_a0196.wav,LXC,Chinese,F,he began to follow the footprints of letharg
such a dog the wise driver kills or turns loose,data/l2arctic/LXC/wav/arctic_a0197.wav,LXC,Chinese,F,such a duckler wise driver kills or tends to lose
sometimes her dreams were filled with visions,data/l2arctic/LXC/wav/arctic_a0198.wav,LXC,Chinese,F,sometimes her dreams were filled with visions
thus had the raw wilderness prepared him for this day,data/l2arctic/LXC/wav/arctic_a0199.wav,LXC,Chinese,F,thus had a law widened its prepared him for this day
he leapt again and the club caught him once more,data/l2arctic/LXC/wav/arctic_a0200.wav,LXC,Chinese,F,he leaped again and the crab caught him once more
he cried and swung the club wildly,data/l2arctic/LXC/wav/arctic_a0201.wav,LXC,Chinese,F,he cried and as one looked up widely
she turned fearing that jacques might see what was in her face,data/l2arctic/LXC/wav/arctic_a0202.wav,LXC,Chinese,F,she turned fearing that jack might see what was in her face
they were following the shore of a lake,data/l2arctic/LXC/wav/arctic_a0203.wav,LXC,Chinese,F,they were following the shore of a lake
from now on were pals,data/l2arctic/LXC/wav/arctic_a0205.wav,LXC,Chinese,F,from now only i pause
he says he bought him of jacques le beau,data/l2arctic/LXC/wav/arctic_a0206.wav,LXC,Chinese,F,he says he brought him of jack liverpool
how much was it,data/l2arctic/LXC/wav/arctic_a0207.wav,LXC,Chinese,F,how much was he
youth had come back to her freed from the yoke of oppression,data/l2arctic/LXC/wav/arctic_a0208.wav,LXC,Chinese,F,youths had come back to her freed from the yoke of oppression
it was not a large lake and almost round,data/l2arctic/LXC/wav/arctic_a0209.wav,LXC,Chinese,F,it was not a large lake and almost wrong
its diameter was not more than two hundred yards,data/l2arctic/LXC/wav/arctic_a0210.wav,LXC,Chinese,F,its diameter was not more than two hundred yards
it drowned all sound that brute agony and death may have made,data/l2arctic/LXC/wav/arctic_a0211.wav,LXC,Chinese,F,it joined all sounds like brute agony and death may have made
fresh cases still able to walk they clustered about the spokesman,data/l2arctic/LXC/wav/arctic_a0212.wav,LXC,Chinese,F,fresh cases still able to walk lay clustered about as books may
between him and the beach was the cane grass fence of the compound,data/l2arctic/LXC/wav/arctic_a0213.wav,LXC,Chinese,F,between him and the beach was the king's glass face of the cumber
besides he was paid one case of tobacco per head,data/l2arctic/LXC/wav/arctic_a0214.wav,LXC,Chinese,F,besides he was paid one case of tobacco per head
they die out of spite,data/l2arctic/LXC/wav/arctic_a0215.wav,LXC,Chinese,F,lay died out of spite
the other felt a sudden wave of irritation rush through him,data/l2arctic/LXC/wav/arctic_a0216.wav,LXC,Chinese,F,the other filled a sudden wave of irritation rushed through him
oppressive as the heat had been it was now even more oppressive,data/l2arctic/LXC/wav/arctic_a0217.wav,LXC,Chinese,F,oppressive as the heat had been and was now even more oppressive
the ringing of the big bell aroused him,data/l2arctic/LXC/wav/arctic_a0218.wav,LXC,Chinese,F,lorraine of the big bear asked him
at first he puzzled over something untoward he was sure had happened,data/l2arctic/LXC/wav/arctic_a0219.wav,LXC,Chinese,F,first he puzzled over something on towards what he was sure had happened
a dead man is of no use on a plantation,data/l2arctic/LXC/wav/arctic_a0220.wav,LXC,Chinese,F,a dead man is of no use on a platination
what part of the united states is your home,data/l2arctic/LXC/wav/arctic_a0222.wav,LXC,Chinese,F,what part of the united states is your home
my im almost homesick for it already,data/l2arctic/LXC/wav/arctic_a0223.wav,LXC,Chinese,F,mind and almost homesick for it already
she nodded and her eyes grew soft and moist,data/l2arctic/LXC/wav/arctic_a0224.wav,LXC,Chinese,F,she nodded and though her eyes grew soft and moist
i was brought up the way most girls in hawaii are brought up,data/l2arctic/LXC/wav/arctic_a0225.wav,LXC,Chinese,F,i was brought up the way most girls in horai are brought up
that came before my a b cs,data/l2arctic/LXC/wav/arctic_a0226.wav,LXC,Chinese,F,there came before my a b c
it was the same way with our revolvers and rifles,data/l2arctic/LXC/wav/arctic_a0227.wav,LXC,Chinese,F,it was the same way with our revolvers and the rifles
but it contributed to the smash,data/l2arctic/LXC/wav/arctic_a0228.wav,LXC,Chinese,F,but it contributed to his mesh
the last one i knew was an overseer,data/l2arctic/LXC/wav/arctic_a0229.wav,LXC,Chinese,F,that last one i knew was young overseer
do you know any good land around here,data/l2arctic/LXC/wav/arctic_a0230.wav,LXC,Chinese,F,do now any good land around here
the resident commissioner is away in australia,data/l2arctic/LXC/wav/arctic_a0231.wav,LXC,Chinese,F,the resident commissioner is away in australia
i cannot follow you she said,data/l2arctic/LXC/wav/arctic_a0232.wav,LXC,Chinese,F,i cannot follow you she said
i never allow what cant be changed to annoy me,data/l2arctic/LXC/wav/arctic_a0233.wav,LXC,Chinese,F,and never allow what can be changed to annoy me
why the average review is more nauseating than cod liver oil,data/l2arctic/LXC/wav/arctic_a0234.wav,LXC,Chinese,F,why the average rivulet is more nausating than cold labor oil
his voice was passionately rebellious,data/l2arctic/LXC/wav/arctic_a0235.wav,LXC,Chinese,F,his voice was passionately rebellious
dont you see i hate you,data/l2arctic/LXC/wav/arctic_a0236.wav,LXC,Chinese,F,don't you see i hate you
so hughie and i did the managing ourselves,data/l2arctic/LXC/wav/arctic_a0237.wav,LXC,Chinese,F,so huck and i did a managing of ourselves
