transcription,path_to_audio,speaker_id,native_language,gender,whisper_medium_transcriptions
to my surprise he began to show actual enthusiasm in my favor,data/l2arctic/YBAA/wav/arctic_a0027.wav,YBAA,Arabic,M,"to my surprise, he began to show actual enthusiasm in my favor."
robbery bribery fraud,data/l2arctic/YBAA/wav/arctic_a0028.wav,YBAA,Arabic,M,"robbery, bribery, fraud"
their forces were already moving into the north country,data/l2arctic/YBAA/wav/arctic_a0029.wav,YBAA,Arabic,M,their forces were already moving into the north country.
i had faith in them,data/l2arctic/YBAA/wav/arctic_a0030.wav,YBAA,Arabic,M,i had faith in them.
they were three hundred yards apart,data/l2arctic/YBAA/wav/arctic_a0031.wav,YBAA,Arabic,M,they were 300 yards apart.
since then some mysterious force has been fighting us at every step,data/l2arctic/YBAA/wav/arctic_a0032.wav,YBAA,Arabic,M,"since then, some mysterious force has been fighting us at every step."
he unfolded a long typewritten letter and handed it to gregson,data/l2arctic/YBAA/wav/arctic_a0033.wav,YBAA,Arabic,M,he unfolded a long thai-britain letter and handed it to gregson.
he stopped and philip nodded at the horrified question in his eyes,data/l2arctic/YBAA/wav/arctic_a0035.wav,YBAA,Arabic,M,he stopped and philip nodded at the horrified question in his eyes.
she turned in at the hotel,data/l2arctic/YBAA/wav/arctic_a0036.wav,YBAA,Arabic,M,she turned in at the hotel.
i was the only one who remained sitting,data/l2arctic/YBAA/wav/arctic_a0037.wav,YBAA,Arabic,M,i was the only one who remained sitting.
well have to watch our chances,data/l2arctic/YBAA/wav/arctic_a0038.wav,YBAA,Arabic,M,we'll have to watch our chances.
the ship should be in within a week or ten days,data/l2arctic/YBAA/wav/arctic_a0039.wav,YBAA,Arabic,M,the ship should be in within a week or 10 days.
i suppose you wonder why she is coming up here,data/l2arctic/YBAA/wav/arctic_a0040.wav,YBAA,Arabic,M,i suppose you wonder why she's coming up here.
meanwhile ill go out to breathe a spell,data/l2arctic/YBAA/wav/arctic_a0041.wav,YBAA,Arabic,M,"meanwhile, i'll go out to breathe a spill."
how could he explain his possession of the sketch,data/l2arctic/YBAA/wav/arctic_a0042.wav,YBAA,Arabic,M,how could he explain his position of the sketch?
it seemed nearer to him since he had seen and talked with gregson,data/l2arctic/YBAA/wav/arctic_a0043.wav,YBAA,Arabic,M,it seemed nearer to him since he had seen and talked with gregson.
her own betrayal of herself was like tonic to philip,data/l2arctic/YBAA/wav/arctic_a0044.wav,YBAA,Arabic,M,her own material of herself was like tonic to philip.!
he moved away as quietly as he had come,data/l2arctic/YBAA/wav/arctic_a0045.wav,YBAA,Arabic,M,he moved away as quietly as he had come.!
the girl faced him her eyes shining with sudden fear,data/l2arctic/YBAA/wav/arctic_a0046.wav,YBAA,Arabic,M,"the girl faced him, her eyes shining with sudden fear.!"
close beside him gleamed the white fangs of the wolf dog,data/l2arctic/YBAA/wav/arctic_a0047.wav,YBAA,Arabic,M,close beside him gleamed the white fangs of the wolf dog.!
he looked at the handkerchief more closely,data/l2arctic/YBAA/wav/arctic_a0048.wav,YBAA,Arabic,M,he looked at the handkerchief more closely.!
gregson was asleep when he reentered the cabin,data/l2arctic/YBAA/wav/arctic_a0049.wav,YBAA,Arabic,M,gregson was asleep when he re-entered the cabin.!
in spite of their absurdity the words affected philip curiously,data/l2arctic/YBAA/wav/arctic_a0050.wav,YBAA,Arabic,M,"in spite of their absurdity, the words affected philip curiously.!"
it was a curious coincidence,data/l2arctic/YBAA/wav/arctic_a0052.wav,YBAA,Arabic,M,it was a curious coincidence.!
suddenly his fingers closed tightly over the handkerchief,data/l2arctic/YBAA/wav/arctic_a0053.wav,YBAA,Arabic,M,"suddenly, his fingers closed tightly over the handkerchief.!"
there was nothing on the rock,data/l2arctic/YBAA/wav/arctic_a0054.wav,YBAA,Arabic,M,there was nothing on the rock.!
philip stood undecided his ears strained to catch the slightest sound,data/l2arctic/YBAA/wav/arctic_a0055.wav,YBAA,Arabic,M,philip stood and decided his ears strained to catch this lightest sound.!
pearces little eyes were fixed on him shrewdly,data/l2arctic/YBAA/wav/arctic_a0056.wav,YBAA,Arabic,M,pierce's little eyes were fixed on him shrewdly.!
i have no idea replied philip,data/l2arctic/YBAA/wav/arctic_a0057.wav,YBAA,Arabic,M,i have no idea replied philip.!
i came for information more out of curiosity than anything else,data/l2arctic/YBAA/wav/arctic_a0058.wav,YBAA,Arabic,M,i came for information more out of curiosity than anything else.!
his immaculate appearance was gone,data/l2arctic/YBAA/wav/arctic_a0059.wav,YBAA,Arabic,M,his immaculate appearance was gone.!
anyway no one saw her like that,data/l2arctic/YBAA/wav/arctic_a0060.wav,YBAA,Arabic,M,"anyway, no one saw her like that.!"
philip snatched at the letter which gregson held out to him,data/l2arctic/YBAA/wav/arctic_a0061.wav,YBAA,Arabic,M,philip snatched at the litter which gregson held out to him.
the men stared into each others face,data/l2arctic/YBAA/wav/arctic_a0062.wav,YBAA,Arabic,M,the men stared into each other's faces.
yes it was a man who asked a stranger,data/l2arctic/YBAA/wav/arctic_a0063.wav,YBAA,Arabic,M,"yes, it was a man who asked a stranger."
the fourth and fifth days passed without any developments,data/l2arctic/YBAA/wav/arctic_a0064.wav,YBAA,Arabic,M,the fourth and fifth days passed without any developments.
they closed now until his fingers were like cords of steel,data/l2arctic/YBAA/wav/arctic_a0065.wav,YBAA,Arabic,M,they closed now until his fingers were like cords of steel.
he saw jeanne falter for a moment,data/l2arctic/YBAA/wav/arctic_a0066.wav,YBAA,Arabic,M,he saw jaina felter for a moment.
surely i will excuse you she cried,data/l2arctic/YBAA/wav/arctic_a0067.wav,YBAA,Arabic,M,"surely i will excuse you, she cried."
from that moment his friendship for belize turns to hatred and jealousy,data/l2arctic/YBAA/wav/arctic_a0017.wav,YBAA,Arabic,M,from that moment his friendship for pills turned to hatred and jealousy.
men of seldens stamp dont stop at women and children,data/l2arctic/YBAA/wav/arctic_a0034.wav,YBAA,Arabic,M,men of silden's stamp don't stop at women and children.
the lace was of a delicate ivory color faintly tinted with yellow,data/l2arctic/YBAA/wav/arctic_a0051.wav,YBAA,Arabic,M,"the lace was of a delicate ivory color, faintly tinted with yellow"
in a flash philip followed its direction,data/l2arctic/YBAA/wav/arctic_a0068.wav,YBAA,Arabic,M,"in a flash, philip followed its direction."
a trickle of fresh blood ran over his face,data/l2arctic/YBAA/wav/arctic_a0085.wav,YBAA,Arabic,M,a trickle of fresh blood ran over his face.
but there came no promise from the bow of the canoe,data/l2arctic/YBAA/wav/arctic_a0103.wav,YBAA,Arabic,M,but there came no promise from the bow of the canoe.
my right foot feels like of a chinese debutante,data/l2arctic/YBAA/wav/arctic_a0120.wav,YBAA,Arabic,M,my right foot feels like of a chinese debutant.
then he stepped back with a low cry of pleasure,data/l2arctic/YBAA/wav/arctic_a0137.wav,YBAA,Arabic,M,then he stepped back with a low cry of pleasure.
he was smooth shaven and his hair and eyes were black,data/l2arctic/YBAA/wav/arctic_a0154.wav,YBAA,Arabic,M,"he was smooth-shaven, and his hair and eyes were black."
and when you come back in a few days bring eileen,data/l2arctic/YBAA/wav/arctic_a0171.wav,YBAA,Arabic,M,and when you come back in a few days bring a lean.
two gigantic owls were tearing at the carcass,data/l2arctic/YBAA/wav/arctic_a0188.wav,YBAA,Arabic,M,two gigantic owls were tearing at the carcass.
from now on were pals,data/l2arctic/YBAA/wav/arctic_a0205.wav,YBAA,Arabic,M,"from now on, we are poles."
what part of the united states is your home,data/l2arctic/YBAA/wav/arctic_a0222.wav,YBAA,Arabic,M,what part of the united states is your home?
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/YBAA/wav/arctic_a0239.wav,YBAA,Arabic,M,he cried in such genuine dismay that she broke into a hearty laughter.
see the length of the body and that elongated neck,data/l2arctic/YBAA/wav/arctic_a0256.wav,YBAA,Arabic,M,see the length of the body and that elongated neck.
it was his intention to return to eileen and her father,data/l2arctic/YBAA/wav/arctic_a0069.wav,YBAA,Arabic,M,it was his intention to return to elin and her father.
he would first hunt up gregson and begin his work there,data/l2arctic/YBAA/wav/arctic_a0070.wav,YBAA,Arabic,M,he would first hunt up gryxon and begin his work there.
what was the object of your little sensation,data/l2arctic/YBAA/wav/arctic_a0071.wav,YBAA,Arabic,M,what was the object of your little sensation.
but who was eileens double,data/l2arctic/YBAA/wav/arctic_a0072.wav,YBAA,Arabic,M,but who was eileen's double?
the promoters eyes were heavy with little puffy bags under them,data/l2arctic/YBAA/wav/arctic_a0073.wav,YBAA,Arabic,M,the promoter's eyes were heavy with little puffy bags under them.
and now down there eileen was waiting for him,data/l2arctic/YBAA/wav/arctic_a0074.wav,YBAA,Arabic,M,"and now down there, elaine was waiting for him."
there has been a change she interrupted him,data/l2arctic/YBAA/wav/arctic_a0075.wav,YBAA,Arabic,M,there has been a change. she interrupted him.
the gray eyes faltered the flush deepened,data/l2arctic/YBAA/wav/arctic_a0076.wav,YBAA,Arabic,M,"as the grey eyes faltered, the flush deepened."
it is the fire partly she said,data/l2arctic/YBAA/wav/arctic_a0077.wav,YBAA,Arabic,M,"it is the fire, partly she said."
then and at supper he tried to fathom her,data/l2arctic/YBAA/wav/arctic_a0078.wav,YBAA,Arabic,M,"then, and at supper, he tried to fathom her."
it was a large canoe,data/l2arctic/YBAA/wav/arctic_a0079.wav,YBAA,Arabic,M,it was a large canoe.
what if jeanne failed him,data/l2arctic/YBAA/wav/arctic_a0080.wav,YBAA,Arabic,M,what if gina failed him?
what if she did not come to the rock,data/l2arctic/YBAA/wav/arctic_a0081.wav,YBAA,Arabic,M,what if she did not come to the rock?
his face was streaming with blood,data/l2arctic/YBAA/wav/arctic_a0082.wav,YBAA,Arabic,M,his face was streaming with blood.
a shadow was creeping over pierres eyes,data/l2arctic/YBAA/wav/arctic_a0083.wav,YBAA,Arabic,M,a shadow was creeping over perry's eyes.
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/YBAA/wav/arctic_a0084.wav,YBAA,Arabic,M,scarcely had he uttered the name when percy's closing eyes shot open.
death had come with terrible suddenness,data/l2arctic/YBAA/wav/arctic_a0086.wav,YBAA,Arabic,M,death had come with terrible sadness.
philip bent lower and stared into the face of the dead man,data/l2arctic/YBAA/wav/arctic_a0087.wav,YBAA,Arabic,M,philip bent lower and stared into the face of the dead man.
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/YBAA/wav/arctic_a0088.wav,YBAA,Arabic,M,he made sure that the magazine was loaded and resumed his bedeling.
the night glow was treacherous to shoot by,data/l2arctic/YBAA/wav/arctic_a0089.wav,YBAA,Arabic,M,the night glow was treacherous to shoot by.
the singing voice approached rapidly,data/l2arctic/YBAA/wav/arctic_a0090.wav,YBAA,Arabic,M,the singing voice approached rapidly.
his blood grew hot with rage at the thought,data/l2arctic/YBAA/wav/arctic_a0091.wav,YBAA,Arabic,M,his blood grew hot with rage at the thought.
he went down in midstream searching the shadows of both shores,data/l2arctic/YBAA/wav/arctic_a0092.wav,YBAA,Arabic,M,he went down in midstream searching the shadows of both shores.
for a full minute he crouched and listened,data/l2arctic/YBAA/wav/arctic_a0093.wav,YBAA,Arabic,M,"for a full minute, he crouched and listened."
a big canvas tent was the first thing to come within his vision,data/l2arctic/YBAA/wav/arctic_a0095.wav,YBAA,Arabic,M,a big canvas tent was the first thing to come within his vision.
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/YBAA/wav/arctic_a0096.wav,YBAA,Arabic,M,perhaps she had already met her fate a little deeper in the forest.
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/YBAA/wav/arctic_a0097.wav,YBAA,Arabic,M,then you can arrange yourself comfortably among these ropes and the pole.!
shall i carry you,data/l2arctic/YBAA/wav/arctic_a0098.wav,YBAA,Arabic,M,shall i carry you?!
a maddening joy pounded in his brain,data/l2arctic/YBAA/wav/arctic_a0099.wav,YBAA,Arabic,M,a maddening joy pounded in his brain.!
you must sleep he urged,data/l2arctic/YBAA/wav/arctic_a0100.wav,YBAA,Arabic,M,"you must sleep, he irked.!"
you you would not keep the truth from me,data/l2arctic/YBAA/wav/arctic_a0101.wav,YBAA,Arabic,M,"you, you would not keep the truth from me.!"
he will follow us soon,data/l2arctic/YBAA/wav/arctic_a0102.wav,YBAA,Arabic,M,he will follow us soon.!
she was sleeping under his protection as sweetly as a child,data/l2arctic/YBAA/wav/arctic_a0104.wav,YBAA,Arabic,M,she was living under his protection as sweetly as a child.!
only it is so wonderful so almost impossible to believe,data/l2arctic/YBAA/wav/arctic_a0105.wav,YBAA,Arabic,M,"only it's so wonderful, so almost impossible to believe.!"
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/YBAA/wav/arctic_a0106.wav,YBAA,Arabic,M,the emotion which she had suppressed burst forth now in a choking soap.!
if you only could know how i thank you,data/l2arctic/YBAA/wav/arctic_a0107.wav,YBAA,Arabic,M,if you only could know how i thank you.!
he waded into the edge of the water and began scrubbing himself,data/l2arctic/YBAA/wav/arctic_a0108.wav,YBAA,Arabic,M,he waded into the edge of the water and began scrubbing himself.!
do you know that you are shaking my confidence in you,data/l2arctic/YBAA/wav/arctic_a0109.wav,YBAA,Arabic,M,do you know that you are shaking my confidence in you?!
much replied jeanne as tersely,data/l2arctic/YBAA/wav/arctic_a0110.wav,YBAA,Arabic,M,much replied jane as tearfully.!
instead he joined her and they ate like two hungry children,data/l2arctic/YBAA/wav/arctic_a0111.wav,YBAA,Arabic,M,"instead, he joined here and they ate like two hungry children.!"
he was wounded in the arm,data/l2arctic/YBAA/wav/arctic_a0112.wav,YBAA,Arabic,M,he was wounded in the arm.!
i suppose you picked that lingo up among the indians,data/l2arctic/YBAA/wav/arctic_a0113.wav,YBAA,Arabic,M,i suppose you picked that lingo up among the indians.!
her words sent a strange chill through philip,data/l2arctic/YBAA/wav/arctic_a0114.wav,YBAA,Arabic,M,her words sent a strange chill through philip.
he had no excuse for the feelings which were aroused in him,data/l2arctic/YBAA/wav/arctic_a0115.wav,YBAA,Arabic,M,he had no excuse for the feelings which were aroused in him.
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/YBAA/wav/arctic_a0116.wav,YBAA,Arabic,M,was it the rendezvous of those who were striving to work in his ruin?
she added with genuine sympathy in her face and voice,data/l2arctic/YBAA/wav/arctic_a0117.wav,YBAA,Arabic,M,she added with genuine sympathy in her face and voice.
pierre obeys me when we are together,data/l2arctic/YBAA/wav/arctic_a0118.wav,YBAA,Arabic,M,perry opays me when we are together.
jeanne was turning the bow shoreward,data/l2arctic/YBAA/wav/arctic_a0119.wav,YBAA,Arabic,M,jane was turning the paw shortward.
they ate dinner at the fifth and rested for two hours,data/l2arctic/YBAA/wav/arctic_a0121.wav,YBAA,Arabic,M,they ate dinner at the fifth and rested for two hours.
two years ago i gave up civilization for this,data/l2arctic/YBAA/wav/arctic_a0122.wav,YBAA,Arabic,M,"two years ago, i gave up civilization for this."
she had died from cold and starvation,data/l2arctic/YBAA/wav/arctic_a0123.wav,YBAA,Arabic,M,she had died from cold and starvation.
it was jeanne singing softly over beyond the rocks,data/l2arctic/YBAA/wav/arctic_a0124.wav,YBAA,Arabic,M,it was jane singing softly over beyond the rocks.
he was determined now to maintain a more certain hold upon himself,data/l2arctic/YBAA/wav/arctic_a0125.wav,YBAA,Arabic,M,he was determined now to maintain a more certain hold upon himself.
each day she became a more vital part of him,data/l2arctic/YBAA/wav/arctic_a0126.wav,YBAA,Arabic,M,"each day, she became a more vital part of him."
it was a temptation but he resisted it,data/l2arctic/YBAA/wav/arctic_a0127.wav,YBAA,Arabic,M,"it was a temptation, but he resisted it."
this one hope was destroyed as quickly as it was born,data/l2arctic/YBAA/wav/arctic_a0128.wav,YBAA,Arabic,M,this one hope was destroyed as quickly as it was born.
her face was against his breast,data/l2arctic/YBAA/wav/arctic_a0129.wav,YBAA,Arabic,M,her face was against his breast.
she was his now forever,data/l2arctic/YBAA/wav/arctic_a0130.wav,YBAA,Arabic,M,"she was his now, forever."
providence had delivered him through the maelstrom,data/l2arctic/YBAA/wav/arctic_a0131.wav,YBAA,Arabic,M,providence had delivered him through the mail store.
a cry of joy burst from philips lips,data/l2arctic/YBAA/wav/arctic_a0132.wav,YBAA,Arabic,M,a cry of joy burst from philip's lips.
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/YBAA/wav/arctic_a0133.wav,YBAA,Arabic,M,philip began to feel that he had foolishly overestimated his strength.
he obeyed the pressure of her hand,data/l2arctic/YBAA/wav/arctic_a0134.wav,YBAA,Arabic,M,he obeyed the pressure of her hand.
im going to surprise father and you will go with pierre,data/l2arctic/YBAA/wav/arctic_a0135.wav,YBAA,Arabic,M,i'm going to surprise father and you will go with perry.
about him everywhere were the evidences of luxury and of age,data/l2arctic/YBAA/wav/arctic_a0136.wav,YBAA,Arabic,M,"about him, everywhere, were the evidences of luxury and of age."
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/YBAA/wav/arctic_a0138.wav,YBAA,Arabic,M,and the picture he saw each moment a greater resemblance to jane.
he told himself that he washed himself and groomed his disheveled clothes,data/l2arctic/YBAA/wav/arctic_a0139.wav,YBAA,Arabic,M,he told himself that he washed himself and groomed his dish-filled clothes.
accept a fathers blessing and with it this,data/l2arctic/YBAA/wav/arctic_a0140.wav,YBAA,Arabic,M,except a father's blessing and with it this.
it seems like a strange pointing of the hand of god,data/l2arctic/YBAA/wav/arctic_a0141.wav,YBAA,Arabic,M,it seems like a strange pointing of the hand of god.
such things had occurred before he told philip,data/l2arctic/YBAA/wav/arctic_a0142.wav,YBAA,Arabic,M,"such things had occurred before, he told philip."
ah i had forgotten he exclaimed,data/l2arctic/YBAA/wav/arctic_a0143.wav,YBAA,Arabic,M,"ah, i had forgotten, he exclaimed."
but there was something even more startling than this resemblance,data/l2arctic/YBAA/wav/arctic_a0144.wav,YBAA,Arabic,M,but there was something even more sterling than this resemblance.
i have to be careful of them as they tear very easily,data/l2arctic/YBAA/wav/arctic_a0145.wav,YBAA,Arabic,M,i have to be careful of them as they tear very easily.
of course that is uninteresting she continued,data/l2arctic/YBAA/wav/arctic_a0146.wav,YBAA,Arabic,M,"of course, that's uninteresting,"" she continued."
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/YBAA/wav/arctic_a0147.wav,YBAA,Arabic,M,a moment before he was intoxicated by a joy that was almost madness.
now these things had been struck dead within him,data/l2arctic/YBAA/wav/arctic_a0148.wav,YBAA,Arabic,M,now these things had been struck dead within him.
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/YBAA/wav/arctic_a0149.wav,YBAA,Arabic,M,for an instant he saw piri drawn like a sealhood against the sky.
goodbye pierre he shouted,data/l2arctic/YBAA/wav/arctic_a0150.wav,YBAA,Arabic,M,"goodbye perry, he shouted."
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/YBAA/wav/arctic_a0151.wav,YBAA,Arabic,M,and macdougall was beyond the trail with three weeks to spare.
philip thrust himself against it and entered,data/l2arctic/YBAA/wav/arctic_a0152.wav,YBAA,Arabic,M,philip thrust himself against it and entered.
macdougall tapped his forehead suspiciously with a stubby forefinger,data/l2arctic/YBAA/wav/arctic_a0153.wav,YBAA,Arabic,M,matt duggle tapped his forehead suspiciously with a stubby forefinger.
wont you draw up gentlemen,data/l2arctic/YBAA/wav/arctic_a0155.wav,YBAA,Arabic,M,"won't you draw up, gentlemen?"
a strange fire burned in his eyes when thorpe turned,data/l2arctic/YBAA/wav/arctic_a0156.wav,YBAA,Arabic,M,a strange fire burned in his eyes when thorpe turned.
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/YBAA/wav/arctic_a0157.wav,YBAA,Arabic,M,he had worshipped her as daint might have worshipped patrice.
does that look good,data/l2arctic/YBAA/wav/arctic_a0158.wav,YBAA,Arabic,M,does that look good?
they look as though he had been drumming a piano all his life,data/l2arctic/YBAA/wav/arctic_a0159.wav,YBAA,Arabic,M,they look as though he had been drumming a piano all his life.
you want to go over and see his gang throw dirt,data/l2arctic/YBAA/wav/arctic_a0160.wav,YBAA,Arabic,M,you want to go over and see his gang throw dirt.
take away their foreman and they wouldnt be worth their grub,data/l2arctic/YBAA/wav/arctic_a0161.wav,YBAA,Arabic,M,take away the foreman and they wouldn't be worth their drop.
thats the sub foreman explained thorpe,data/l2arctic/YBAA/wav/arctic_a0162.wav,YBAA,Arabic,M,"that's the subforman, explained thrope."
philip made no effort to follow,data/l2arctic/YBAA/wav/arctic_a0163.wav,YBAA,Arabic,M,philip made no effect to follow.
he came first a year ago and revealed himself to jeanne,data/l2arctic/YBAA/wav/arctic_a0164.wav,YBAA,Arabic,M,he came first a year ago and revealed himself to jane.
they are to attack your camp tomorrow night,data/l2arctic/YBAA/wav/arctic_a0165.wav,YBAA,Arabic,M,they are to attack your camp tomorrow night.!
two days ago jeanne learned where her fathers men were hiding,data/l2arctic/YBAA/wav/arctic_a0166.wav,YBAA,Arabic,M,"two days ago, jane learned where her father's men were hiding.!"
i was near the cabin and saw you,data/l2arctic/YBAA/wav/arctic_a0167.wav,YBAA,Arabic,M,i was near the cabin and saw you.!
a low bush whipped him in the face and left no sting,data/l2arctic/YBAA/wav/arctic_a0168.wav,YBAA,Arabic,M,a low bush whipped him in the face and left no sting.!
suddenly jeanne stopped for an instant,data/l2arctic/YBAA/wav/arctic_a0169.wav,YBAA,Arabic,M,"suddenly, jane stopped for an instant.!"
there was none of the joy of meeting in his face,data/l2arctic/YBAA/wav/arctic_a0170.wav,YBAA,Arabic,M,there was none of the joy meeting in his face.!
gregson had left the outer door slightly ajar,data/l2arctic/YBAA/wav/arctic_a0172.wav,YBAA,Arabic,M,gregson had left the outer door slightly ajar.!
the date was nearly eighteen years old,data/l2arctic/YBAA/wav/arctic_a0173.wav,YBAA,Arabic,M,the date was nearly 18 years old.!
they were the presage of storm,data/l2arctic/YBAA/wav/arctic_a0174.wav,YBAA,Arabic,M,they were the pre-sage of storm.!
down there the earth was already swelling with life,data/l2arctic/YBAA/wav/arctic_a0175.wav,YBAA,Arabic,M,"down there, the earth was already swelling with life.!"
for the first time in his life he was yearning for a scrap,data/l2arctic/YBAA/wav/arctic_a0176.wav,YBAA,Arabic,M,"for the first time in his life, he was yearning for a scarf.!"
she had been thoroughly and efficiently mauled,data/l2arctic/YBAA/wav/arctic_a0177.wav,YBAA,Arabic,M,she had been thoroughly and efficiently moult.!
every bone in her aged body seemed broken or dislocated,data/l2arctic/YBAA/wav/arctic_a0178.wav,YBAA,Arabic,M,every bone in her etched body seemed broken or dislocated.!
tomorrow im going after that bear he said,data/l2arctic/YBAA/wav/arctic_a0179.wav,YBAA,Arabic,M,"tomorrow i'm going after that beer,"" he said.!"
if not lets say our prayers and go to bed,data/l2arctic/YBAA/wav/arctic_a0180.wav,YBAA,Arabic,M,"if not, let's say our prayers and go to bed.!"
so cheer up and give us your paw,data/l2arctic/YBAA/wav/arctic_a0181.wav,YBAA,Arabic,M,so cheer up and give us your poo.!
this time he did not yap for mercy,data/l2arctic/YBAA/wav/arctic_a0182.wav,YBAA,Arabic,M,this time he had not yet for mercy.
and the air was growing chilly,data/l2arctic/YBAA/wav/arctic_a0183.wav,YBAA,Arabic,M,and the air was growing chilly.
dont you see im chewing this thing in two,data/l2arctic/YBAA/wav/arctic_a0184.wav,YBAA,Arabic,M,don't you see? i'm chewing this thing in two.
the questions may have come vaguely in his mind,data/l2arctic/YBAA/wav/arctic_a0185.wav,YBAA,Arabic,M,the questions may have come vulgarly in his mind.
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/YBAA/wav/arctic_a0186.wav,YBAA,Arabic,M,"like a flash, he lunged himself into the feathered mass of the old."
ahead of them they saw a glimmer of sunshine,data/l2arctic/YBAA/wav/arctic_a0187.wav,YBAA,Arabic,M,"ahead of them, they saw a glimmer of sunshine."
the big eyed clucking moose birds were most annoying,data/l2arctic/YBAA/wav/arctic_a0189.wav,YBAA,Arabic,M,"the big eyed, clucking moose birds were most annoying."
next to them the canada jays were most persistent,data/l2arctic/YBAA/wav/arctic_a0190.wav,YBAA,Arabic,M,"next to them, the canada jays were most persistent."
for a time the exciting thrill of his adventure was gone,data/l2arctic/YBAA/wav/arctic_a0191.wav,YBAA,Arabic,M,"for a time, the exciting thrill of his adventure was gone."
he did not rush in,data/l2arctic/YBAA/wav/arctic_a0192.wav,YBAA,Arabic,M,he did not rush in.
it was edged with ice,data/l2arctic/YBAA/wav/arctic_a0193.wav,YBAA,Arabic,M,it was edged with ice.
he drank of the water cautiously,data/l2arctic/YBAA/wav/arctic_a0194.wav,YBAA,Arabic,M,he drank of the water cautiously.
but a strange thing happened,data/l2arctic/YBAA/wav/arctic_a0195.wav,YBAA,Arabic,M,but a strange thing happened.
he began to follow the footprints of the dog,data/l2arctic/YBAA/wav/arctic_a0196.wav,YBAA,Arabic,M,he began to follow the footprints of the dog.
such a dog the wise driver kills or turns loose,data/l2arctic/YBAA/wav/arctic_a0197.wav,YBAA,Arabic,M,such a dog the wise driver kills or turns loose.
sometimes her dreams were filled with visions,data/l2arctic/YBAA/wav/arctic_a0198.wav,YBAA,Arabic,M,sometimes her dreams were filled with visions.
thus had the raw wilderness prepared him for this day,data/l2arctic/YBAA/wav/arctic_a0199.wav,YBAA,Arabic,M,thus had the raw wilderness prepared him for the stay.!
he leapt again and the club caught him once more,data/l2arctic/YBAA/wav/arctic_a0200.wav,YBAA,Arabic,M,"he lived again, and the club caught him once more.!"
he cried and swung the club wildly,data/l2arctic/YBAA/wav/arctic_a0201.wav,YBAA,Arabic,M,he cried and swung the club wildly.!
she turned fearing that jacques might see what was in her face,data/l2arctic/YBAA/wav/arctic_a0202.wav,YBAA,Arabic,M,she turned fearing that jack might see what was in her face.!
they were following the shore of a lake,data/l2arctic/YBAA/wav/arctic_a0203.wav,YBAA,Arabic,M,they were following the shore of a lake.!
the wolf dog thrust his gaunt muzzle toward him,data/l2arctic/YBAA/wav/arctic_a0204.wav,YBAA,Arabic,M,the wolf dog thrust his gaunt muzzle toward him.!
he says he bought him of jacques le beau,data/l2arctic/YBAA/wav/arctic_a0206.wav,YBAA,Arabic,M,he says he bought him of jack lippo.!
how much was it,data/l2arctic/YBAA/wav/arctic_a0207.wav,YBAA,Arabic,M,how much was it?!
youth had come back to her freed from the yoke of oppression,data/l2arctic/YBAA/wav/arctic_a0208.wav,YBAA,Arabic,M,"youth had come back to her, freed from the yoke of oppression.!"
it was not a large lake and almost round,data/l2arctic/YBAA/wav/arctic_a0209.wav,YBAA,Arabic,M,it was not a large lake and almost round.!
its diameter was not more than two hundred yards,data/l2arctic/YBAA/wav/arctic_a0210.wav,YBAA,Arabic,M,its diameter was not more than 200 yards.!
it drowned all sound that brute agony and death may have made,data/l2arctic/YBAA/wav/arctic_a0211.wav,YBAA,Arabic,M,it drowned all sound that proved agony and death may have made.!
fresh cases still able to walk they clustered about the spokesman,data/l2arctic/YBAA/wav/arctic_a0212.wav,YBAA,Arabic,M,"fresh cases, still able to walk, they clustered about the spokesman.!"
between him and the beach was the cane grass fence of the compound,data/l2arctic/YBAA/wav/arctic_a0213.wav,YBAA,Arabic,M,between him and the peach was the cane grass fence of the compound.!
besides he was paid one case of tobacco per head,data/l2arctic/YBAA/wav/arctic_a0214.wav,YBAA,Arabic,M,"besides, he was paid one case of tobacco per head.!"
they die out of spite,data/l2arctic/YBAA/wav/arctic_a0215.wav,YBAA,Arabic,M,they die out of spite.!
the other felt a sudden wave of irritation rush through him,data/l2arctic/YBAA/wav/arctic_a0216.wav,YBAA,Arabic,M,the other felt a sudden wave of irritation rush through him.
oppressive as the heat had been it was now even more oppressive,data/l2arctic/YBAA/wav/arctic_a0217.wav,YBAA,Arabic,M,"oppressive as the heat had been, it was now even more oppressive."
the ringing of the big bell aroused him,data/l2arctic/YBAA/wav/arctic_a0218.wav,YBAA,Arabic,M,the ringing of the big bell arose then.
