transcription,path_to_audio,speaker_id,native_language,gender,wavlm_base_transcriptions
anything unusual or abnormal was sufficient to send a fellow to molokai,data/l2arctic/ZHAA/wav/arctic_a0502.wav,ZHAA,Arabic,F,anything unusual or abnormal was sufficient to send a fellow to maloki
his beady black eyes saw bargains where other men saw bankruptcy,data/l2arctic/ZHAA/wav/arctic_a0503.wav,ZHAA,Arabic,F,his biddy black eyes so bargans where other men so bank cropsy
he was an athlete and a giant,data/l2arctic/ZHAA/wav/arctic_a0504.wav,ZHAA,Arabic,F,he was an ehleete and a giant
we fished sharks on niihau together,data/l2arctic/ZHAA/wav/arctic_a0505.wav,ZHAA,Arabic,F,weefish sharks on niho together
the claudine was leaving next morning for honolulu,data/l2arctic/ZHAA/wav/arctic_a0506.wav,ZHAA,Arabic,F,the cloudan was leaving next morning for hanolo
in short my joyous individualism was dominated by the orthodox bourgeois ethics,data/l2arctic/ZHAA/wav/arctic_a0507.wav,ZHAA,Arabic,F,in short my choice individualism was dominated by the arthedicso borchoa ephix
soon shall it be thrust back from off prostrate humanity,data/l2arctic/ZHAA/wav/arctic_a0508.wav,ZHAA,Arabic,F,soon shall it be thrust back from off brusrate t heminity
yet in accordance with ernests test of truth it worked,data/l2arctic/ZHAA/wav/arctic_a0509.wav,ZHAA,Arabic,F,yet in accordance with earness tist of truth it wrkd
there is more behind this than a mere university ideal,data/l2arctic/ZHAA/wav/arctic_a0511.wav,ZHAA,Arabic,F,there is more behind this than amuoniversity ideal
no it is a palace wherein there are many servants,data/l2arctic/ZHAA/wav/arctic_a0512.wav,ZHAA,Arabic,F,no it is a palace wherein there are many servants
we must give ourselves and not our money alone,data/l2arctic/ZHAA/wav/arctic_a0513.wav,ZHAA,Arabic,F,we must give ourselves and not our money alone
we are consumed in our own flesh pots,data/l2arctic/ZHAA/wav/arctic_a0514.wav,ZHAA,Arabic,F,we are consumed in our own flesh buts
but here amongst ourselves let us speak out,data/l2arctic/ZHAA/wav/arctic_a0515.wav,ZHAA,Arabic,F,but here amongst ourselve little speak out
also there was awe in their faces,data/l2arctic/ZHAA/wav/arctic_a0516.wav,ZHAA,Arabic,F,also there was a in their faces
out of abstractions ernest had conjured a vision and made them see it,data/l2arctic/ZHAA/wav/arctic_a0517.wav,ZHAA,Arabic,F,outo abstractien and is hath conjored a vision and made them see it
illuminating oil was becoming all profit,data/l2arctic/ZHAA/wav/arctic_a0518.wav,ZHAA,Arabic,F,illuminating oil was becoming all prophet
such an act was in direct violation of the laws of the land,data/l2arctic/ZHAA/wav/arctic_a0519.wav,ZHAA,Arabic,F,such an act was in direct violation of bhelows of the lent
he was fond of quoting a fragment from a certain poem,data/l2arctic/ZHAA/wav/arctic_a0520.wav,ZHAA,Arabic,F,he was fond of qoating a fragment from a certain poem
without them he could not run his empire,data/l2arctic/ZHAA/wav/arctic_a0521.wav,ZHAA,Arabic,F,without them he could not run his empire
for such countries nothing remained but reorganization,data/l2arctic/ZHAA/wav/arctic_a0522.wav,ZHAA,Arabic,F,for such countries nothing remained but reorganization
they could not continue their method of producing surpluses,data/l2arctic/ZHAA/wav/arctic_a0523.wav,ZHAA,Arabic,F,they could not continue their method of producing cerpluces
at once would be instituted a dozen cooperative commonwealth states,data/l2arctic/ZHAA/wav/arctic_a0524.wav,ZHAA,Arabic,F,at once would be instituted a duzink obrative common wealth states
the oligarchy wanted violence and it set its agents provocateurs to work,data/l2arctic/ZHAA/wav/arctic_a0525.wav,ZHAA,Arabic,F,the olegarqi wanted violance and it sits its agent brovicators towark
nowhere did the raw earth appear,data/l2arctic/ZHAA/wav/arctic_a0526.wav,ZHAA,Arabic,F,nowhere did the r o earth appear
men who endure it call it living death,data/l2arctic/ZHAA/wav/arctic_a0528.wav,ZHAA,Arabic,F,men who endure it call its lving death
as i say he had tapped the message very rapidly,data/l2arctic/ZHAA/wav/arctic_a0529.wav,ZHAA,Arabic,F,as i say he had tapped the message very rabidly
ask him i laughed then turned to pasquini,data/l2arctic/ZHAA/wav/arctic_a0530.wav,ZHAA,Arabic,F,ask him i noah endetend to baskuini
in what bucolic school of fence he had been taught was beyond imagining,data/l2arctic/ZHAA/wav/arctic_a0531.wav,ZHAA,Arabic,F,in what becollic school offence he ha been tod was beyond imagining
may drought destroy your crops,data/l2arctic/ZHAA/wav/arctic_a0532.wav,ZHAA,Arabic,F,maye rot destroy your crups
dunham can your boy go along with jesse,data/l2arctic/ZHAA/wav/arctic_a0533.wav,ZHAA,Arabic,F,in ham ckan yor boy go along with jesse
but johannes could and did,data/l2arctic/ZHAA/wav/arctic_a0534.wav,ZHAA,Arabic,F,bate jeanas kit and it
a new preacher and a new doctrine come to jerusalem,data/l2arctic/ZHAA/wav/arctic_a0535.wav,ZHAA,Arabic,F,and you preacher and te you doctran come to jorislam
he would destroy all things that are fixed,data/l2arctic/ZHAA/wav/arctic_a0536.wav,ZHAA,Arabic,F,he would destroy all things that are fixed
he was an enthusiast and a desert dweller,data/l2arctic/ZHAA/wav/arctic_a0537.wav,ZHAA,Arabic,F,he was an enthusiast and a deserted wller
what pascal glimpsed with the vision of a seer i have lived,data/l2arctic/ZHAA/wav/arctic_a0538.wav,ZHAA,Arabic,F,what baskil clims took with the vision of aser i have lieft
i should like to engage just for one whole life in that,data/l2arctic/ZHAA/wav/arctic_a0539.wav,ZHAA,Arabic,F,i should lie kit to engage just for one whole life in that
yea so are all the lesser animals of today clean,data/l2arctic/ZHAA/wav/arctic_a0540.wav,ZHAA,Arabic,F,ye so are al the luser animals of to day clean
the warden with a quart of champagne,data/l2arctic/ZHAA/wav/arctic_a0541.wav,ZHAA,Arabic,F,the warden with a quirt off champaign
without a doubt some of them have dinner engagements,data/l2arctic/ZHAA/wav/arctic_a0542.wav,ZHAA,Arabic,F,without a doubt some of them halv dinner engagements
i had been born with no organic chemical predisposition toward alcohol,data/l2arctic/ZHAA/wav/arctic_a0543.wav,ZHAA,Arabic,F,i had been born with no orgeanic chymical breedas a position toward alchuho
the italian rancho was a bachelor establishment,data/l2arctic/ZHAA/wav/arctic_a0545.wav,ZHAA,Arabic,F,theatilion rancho was a bachlor establishment
i lost my balance and pitched head foremost into the ooze,data/l2arctic/ZHAA/wav/arctic_a0546.wav,ZHAA,Arabic,F,i loset my balance and bitch head formos into the ose
men like joe goose dated existence from drunk to drunk,data/l2arctic/ZHAA/wav/arctic_a0547.wav,ZHAA,Arabic,F,melike jogouse dated existence from train to drank
also churches and preachers i had never known,data/l2arctic/ZHAA/wav/arctic_a0548.wav,ZHAA,Arabic,F,also chirches and breeches i have never known
do you know that we weigh every pound of coal we burn,data/l2arctic/ZHAA/wav/arctic_a0549.wav,ZHAA,Arabic,F,jeinow that we weay every bount of cal we purn
this also became part of the daily schedule,data/l2arctic/ZHAA/wav/arctic_a0550.wav,ZHAA,Arabic,F,this also became bart of the dailes katchwolf
all an appearance can know is mirage,data/l2arctic/ZHAA/wav/arctic_a0551.wav,ZHAA,Arabic,F,all an appearance canno is myra
yet he dreams he is immortal i argue feebly,data/l2arctic/ZHAA/wav/arctic_a0552.wav,ZHAA,Arabic,F,yet hes rems he s immortal i argued feeply
i am writing these lines in honolulu hawaii,data/l2arctic/ZHAA/wav/arctic_a0553.wav,ZHAA,Arabic,F,i am writing these lines in hanollo howi
jack london waikiki beach honolulu oahu,data/l2arctic/ZHAA/wav/arctic_a0554.wav,ZHAA,Arabic,F,jacklondon wke ke bece nalolo wa he
jerry was so secure in his nook that he did not roll away,data/l2arctic/ZHAA/wav/arctic_a0555.wav,ZHAA,Arabic,F,jury was so secur in his knk that he did not rulaway
why hes bought forty pounds of goods from you already,data/l2arctic/ZHAA/wav/arctic_a0556.wav,ZHAA,Arabic,F,why hes bot forty pounds of goods from you oredy
the last refugee had passed,data/l2arctic/ZHAA/wav/arctic_a0557.wav,ZHAA,Arabic,F,the last rovig had passed
and the foundation stone of service in his case was obedience,data/l2arctic/ZHAA/wav/arctic_a0558.wav,ZHAA,Arabic,F,and the foundations stoen of surface in his gase was obedience
peace be unto you and grace before the lord,data/l2arctic/ZHAA/wav/arctic_a0559.wav,ZHAA,Arabic,F,beast be onto you and a praise set before the lord
his mouth opened words shaped vainly on his lips,data/l2arctic/ZHAA/wav/arctic_a0560.wav,ZHAA,Arabic,F,his mouth opind words shaped faily on his lips
they are not regular oyster pirates nicholas continued,data/l2arctic/ZHAA/wav/arctic_a0289.wav,ZHAA,Arabic,F,thy are not regular oyster pirates nicholas continued
he was pressing beyond the limits of his vocabulary,data/l2arctic/ZHAA/wav/arctic_a0306.wav,ZHAA,Arabic,F,he was pressing beyond the limits of his for cablary
he considered the victory already his and stepped forward to the meat,data/l2arctic/ZHAA/wav/arctic_a0323.wav,ZHAA,Arabic,F,he considered the fictry already hes ak tepped forward to the meat
it was like the beating of hoofs,data/l2arctic/ZHAA/wav/arctic_a0340.wav,ZHAA,Arabic,F,it was like the beating of hoofs
a month passed by and bonanza creek remained quiet,data/l2arctic/ZHAA/wav/arctic_a0357.wav,ZHAA,Arabic,F,a month past by and wons a cree remained quiet
but lifes worth more than cash she argued,data/l2arctic/ZHAA/wav/arctic_a0374.wav,ZHAA,Arabic,F,but lifes it worth more than kash she arcit
but he reconciled himself to it by an act of faith,data/l2arctic/ZHAA/wav/arctic_a0391.wav,ZHAA,Arabic,F,but he reconciled himself to it by an act of faith
the eldorado emptied its occupants into the street to see the test,data/l2arctic/ZHAA/wav/arctic_a0408.wav,ZHAA,Arabic,F,the aldorago empted its occupent into the street to see the test
otherwise no restriction is put upon their seafaring,data/l2arctic/ZHAA/wav/arctic_a0425.wav,ZHAA,Arabic,F,otherwise no resdiction is put up on ther s ferrank
you live on an income which your father earned,data/l2arctic/ZHAA/wav/arctic_a0442.wav,ZHAA,Arabic,F,you li on an income which your father end
theres too much of the schoolboy in me,data/l2arctic/ZHAA/wav/arctic_a0459.wav,ZHAA,Arabic,F,theres too much of this chool point in me
at this moment i felt a stir at my shoulder,data/l2arctic/ZHAA/wav/arctic_a0476.wav,ZHAA,Arabic,F,at this moment i felt a stert atmashoulder
the boy obrien was specially maltreated,data/l2arctic/ZHAA/wav/arctic_a0493.wav,ZHAA,Arabic,F,the boy abrayen was spicially maltreated
much more ernest told them of themselves and of his disillusionment,data/l2arctic/ZHAA/wav/arctic_a0510.wav,ZHAA,Arabic,F,much more innustole them of themselves and of his disalgenment
the lush vegetation of that sheltered spot make a natural shield,data/l2arctic/ZHAA/wav/arctic_a0527.wav,ZHAA,Arabic,F,helush vegetation of thosheltered spot made anatural shield
what the flaming,data/l2arctic/ZHAA/wav/arctic_a0562.wav,ZHAA,Arabic,F,whatsa the flamink
missus mcfees jaws brought together with a snap,data/l2arctic/ZHAA/wav/arctic_a0563.wav,ZHAA,Arabic,F,missus makpheiys josa brot together with a snap
then it is as i said womble announced with finality,data/l2arctic/ZHAA/wav/arctic_a0564.wav,ZHAA,Arabic,F,then it is as i said ome bo announced with finality
with them were indians also three other men,data/l2arctic/ZHAA/wav/arctic_a0565.wav,ZHAA,Arabic,F,with them were indians also three other men
dennins hands were released long enough for him to sign the document,data/l2arctic/ZHAA/wav/arctic_a0566.wav,ZHAA,Arabic,F,adenas hans were eleased lunk enough for hem to sign the document
now irvine was a man of impulse a poet,data/l2arctic/ZHAA/wav/arctic_a0567.wav,ZHAA,Arabic,F,now eron was a man of impulse a boet
he was just bursting with joy joy over what,data/l2arctic/ZHAA/wav/arctic_a0568.wav,ZHAA,Arabic,F,he was just percing with joy joy overwhat
at lake linderman i had one canoe very good peterborough canoe,data/l2arctic/ZHAA/wav/arctic_a0569.wav,ZHAA,Arabic,F,ats la ki lindeman i had one canoe very good per poro keno
behind him lay the thousand years long road across all siberia and russia,data/l2arctic/ZHAA/wav/arctic_a0570.wav,ZHAA,Arabic,F,behind him lay the thousand years long road across old syperia and russia
he had forgotten to build a fire and thaw out,data/l2arctic/ZHAA/wav/arctic_a0571.wav,ZHAA,Arabic,F,he had forgottin to build a fire and thou out
i never saw anything like her in my life,data/l2arctic/ZHAA/wav/arctic_a0572.wav,ZHAA,Arabic,F,i never saw anything li care in my life
there was no law on the yukon save what they made for themselves,data/l2arctic/ZHAA/wav/arctic_a0573.wav,ZHAA,Arabic,F,there was no loon the ykin save wher they made for themselves
good business man curly obrien was saying,data/l2arctic/ZHAA/wav/arctic_a0574.wav,ZHAA,Arabic,F,good business man curly opbran was saying
there werent any missions and he was the man to know,data/l2arctic/ZHAA/wav/arctic_a0575.wav,ZHAA,Arabic,F,there werent any missions and he was the man to know
and the big persian knew of his existence before he did of hers,data/l2arctic/ZHAA/wav/arctic_a0576.wav,ZHAA,Arabic,F,and the bik burgian knew of his existence before he did of hers
once the jews harp began emitting its barbaric rhythms michael was helpless,data/l2arctic/ZHAA/wav/arctic_a0577.wav,ZHAA,Arabic,F,once the tois harb began imiting its barbar rithims michael was helpless
there was the emma louisa,data/l2arctic/ZHAA/wav/arctic_a0579.wav,ZHAA,Arabic,F,there was the imma louisa
this is my fifth voyage,data/l2arctic/ZHAA/wav/arctic_a0580.wav,ZHAA,Arabic,F,this is my fifth voyage
it was this proposition that started the big idea in daughtrys mind,data/l2arctic/ZHAA/wav/arctic_a0581.wav,ZHAA,Arabic,F,it was this proposition that started the beak idea in doutrys mind
daughtry elaborated on the counting trick by bringing cocky along,data/l2arctic/ZHAA/wav/arctic_a0582.wav,ZHAA,Arabic,F,doutry ilaporated on the counting track by bringing cokiy a lonk
enjoy it he did but principally for stewards sake,data/l2arctic/ZHAA/wav/arctic_a0583.wav,ZHAA,Arabic,F,enjoy it he did but principally for s to rsake
i have long noted your thirst unquenchable,data/l2arctic/ZHAA/wav/arctic_a0584.wav,ZHAA,Arabic,F,i have flonk noted your thirst and quenchable
wonder if hes a lion dog charles suggested,data/l2arctic/ZHAA/wav/arctic_a0585.wav,ZHAA,Arabic,F,wonder if hes a lin dock chaws sugjested
we dont see ourselves as foolish,data/l2arctic/ZHAA/wav/arctic_a0586.wav,ZHAA,Arabic,F,we dont see ourselves as foolish
he had comparatively no advantages at first,data/l2arctic/ZHAA/wav/arctic_a0587.wav,ZHAA,Arabic,F,he had comportively no advantages atfirst
he had proved it today with his amateurish and sophomoric productions,data/l2arctic/ZHAA/wav/arctic_a0588.wav,ZHAA,Arabic,F,he had prooved it to day with his immetose an softmarke productions
i was sick once typhoid,data/l2arctic/ZHAA/wav/arctic_a0589.wav,ZHAA,Arabic,F,i was sick once tifit
in a way he is my protege,data/l2arctic/ZHAA/wav/arctic_a0590.wav,ZHAA,Arabic,F,in a way hes my protagey
we are both children together,data/l2arctic/ZHAA/wav/arctic_a0591.wav,ZHAA,Arabic,F,we are both children together
its only his indigestion i find fault with,data/l2arctic/ZHAA/wav/arctic_a0592.wav,ZHAA,Arabic,F,its only his in digestion i find fultwith
shed make a good wife for the cashier,data/l2arctic/ZHAA/wav/arctic_a0593.wav,ZHAA,Arabic,F,she would make a good wiforthe kissher
gad do i remember it,data/l2arctic/ZHAA/wav/arctic_b0001.wav,ZHAA,Arabic,F,god do i aamember it
i can see that knife now,data/l2arctic/ZHAA/wav/arctic_b0003.wav,ZHAA,Arabic,F,i can see that knife now
when i cant see beauty in woman i want to die,data/l2arctic/ZHAA/wav/arctic_b0004.wav,ZHAA,Arabic,F,when i can see beauty in women i want to die
his slim fingers closed like steel about philips,data/l2arctic/ZHAA/wav/arctic_b0005.wav,ZHAA,Arabic,F,he slimps fingers closed like steal about phillips
he seized gregson by the arm and led him to the door,data/l2arctic/ZHAA/wav/arctic_b0006.wav,ZHAA,Arabic,F,he seieched grixen by the arm and led him to the door
hear the indian dogs wailing down at churchill,data/l2arctic/ZHAA/wav/arctic_b0007.wav,ZHAA,Arabic,F,here the indian dogs willing down at churchill
burke himself had criticized it because of the smile,data/l2arctic/ZHAA/wav/arctic_b0008.wav,ZHAA,Arabic,F,barrghimself had criticize it because of the smile
id say there was going to be a glorious scrap,data/l2arctic/ZHAA/wav/arctic_b0009.wav,ZHAA,Arabic,F,i would say there was going to be a glorious scrap
he turned the map to gregson pointing with his finger,data/l2arctic/ZHAA/wav/arctic_b0010.wav,ZHAA,Arabic,F,he turned the map to rixon pointing with his finger
his eyes never took themselves for an instant from his companions face,data/l2arctic/ZHAA/wav/arctic_b0011.wav,ZHAA,Arabic,F,his eyes never took themselves for an instant from his companions face
something that whittemore had not yet said thrilled him,data/l2arctic/ZHAA/wav/arctic_b0012.wav,ZHAA,Arabic,F,something that t witmore had not yet said threlled him
lakes and rivers hundreds of them thousands of them,data/l2arctic/ZHAA/wav/arctic_b0013.wav,ZHAA,Arabic,F,lace and rivers hundreds of them thousands of the
whitefish gregson whitefish and trout,data/l2arctic/ZHAA/wav/arctic_b0014.wav,ZHAA,Arabic,F,white fish briksen whitefish and trout
they robbed me a few years later,data/l2arctic/ZHAA/wav/arctic_b0015.wav,ZHAA,Arabic,F,they robbed me a few years later
he chuckled as he pulled out his pipe and began filling it,data/l2arctic/ZHAA/wav/arctic_b0016.wav,ZHAA,Arabic,F,he chuckled as he boulled out his bibe and began filling it
everything was working smoothly better than i had expected,data/l2arctic/ZHAA/wav/arctic_b0017.wav,ZHAA,Arabic,F,everything was working smothley better than i had expected
i was completely lost in my work,data/l2arctic/ZHAA/wav/arctic_b0018.wav,ZHAA,Arabic,F,i was completely lost in my work
he made no reply as he waited for whittemore to continue,data/l2arctic/ZHAA/wav/arctic_b0020.wav,ZHAA,Arabic,F,he made no reply as he waited for with more to continue
philip dropped back into his chair,data/l2arctic/ZHAA/wav/arctic_b0021.wav,ZHAA,Arabic,F,iphilip dropped back into his chair i
if i was out of the game it would be easily made,data/l2arctic/ZHAA/wav/arctic_b0022.wav,ZHAA,Arabic,F,if i was out of the game it would be easily made
macdougall my engineer believes it,data/l2arctic/ZHAA/wav/arctic_b0023.wav,ZHAA,Arabic,F,mactil my engineer beliefs it
it is growing every day every hour,data/l2arctic/ZHAA/wav/arctic_b0024.wav,ZHAA,Arabic,F,itis growing every day every hour
now you understand,data/l2arctic/ZHAA/wav/arctic_b0025.wav,ZHAA,Arabic,F,now you undersend
you have associated with some of these men,data/l2arctic/ZHAA/wav/arctic_b0026.wav,ZHAA,Arabic,F,you have asseciated with some of these men o
and theres no chivalry no quarter shown in this fight,data/l2arctic/ZHAA/wav/arctic_b0027.wav,ZHAA,Arabic,F,and theres no jifalry no quarter showen in this fight
lord fitzhugh is the key to the whole situation,data/l2arctic/ZHAA/wav/arctic_b0028.wav,ZHAA,Arabic,F,lords fitswho is the key to the whol situation
all operations have been carried on from montreal and toronto,data/l2arctic/ZHAA/wav/arctic_b0029.wav,ZHAA,Arabic,F,all operations have been carrieged on from manterial enterinto
gregson held a lighted match until it burnt his fingertips,data/l2arctic/ZHAA/wav/arctic_b0030.wav,ZHAA,Arabic,F,briksin hold e lighted match untill it burns his fingerstips
gregson had seated himself under the lamp and was sharpening a pencil,data/l2arctic/ZHAA/wav/arctic_b0031.wav,ZHAA,Arabic,F,rixonhous seated himself and though the lamp and was sarpeing epencil
he caught himself with a jerk,data/l2arctic/ZHAA/wav/arctic_b0032.wav,ZHAA,Arabic,F,he cohed himself with a jerk
how does your wager look now,data/l2arctic/ZHAA/wav/arctic_b0033.wav,ZHAA,Arabic,F,how does yourwageor look now
he confessed that the sketch had startled him,data/l2arctic/ZHAA/wav/arctic_b0034.wav,ZHAA,Arabic,F,he convinced that the skitch had startled him
after all the picture was only a resemblance,data/l2arctic/ZHAA/wav/arctic_b0035.wav,ZHAA,Arabic,F,after all the bictor was olly a resemblance
philip knew that she was not an indian,data/l2arctic/ZHAA/wav/arctic_b0037.wav,ZHAA,Arabic,F,philip knew that she was not an indian
in her haste to get away she had forgotten these things,data/l2arctic/ZHAA/wav/arctic_b0038.wav,ZHAA,Arabic,F,in hir haste to get away she had forgettin these things
philip took a step toward gregson half determined to awaken him,data/l2arctic/ZHAA/wav/arctic_b0039.wav,ZHAA,Arabic,F,philip took a tip toward grixon halvf determined to awaken him
the thought set his blood tingling,data/l2arctic/ZHAA/wav/arctic_b0040.wav,ZHAA,Arabic,F,the thod set his blood tingling
but if pierre did not return until tomorrow,data/l2arctic/ZHAA/wav/arctic_b0041.wav,ZHAA,Arabic,F,but if piere did not return until to morrow
ten minutes had not elapsed since he had dropped the handkerchief,data/l2arctic/ZHAA/wav/arctic_b0042.wav,ZHAA,Arabic,F,ten minutes had not ellaped since he had dropped his handkerchief
it wont be for sale,data/l2arctic/ZHAA/wav/arctic_b0043.wav,ZHAA,Arabic,F,it want to be foresail
for a few moments he ate in silence,data/l2arctic/ZHAA/wav/arctic_b0044.wav,ZHAA,Arabic,F,for a few moments he ate in silence
philip did not pursue the subject,data/l2arctic/ZHAA/wav/arctic_b0045.wav,ZHAA,Arabic,F,iphillip did not pursue the subject o
philip produced a couple of cigars and took a chair opposite him,data/l2arctic/ZHAA/wav/arctic_b0046.wav,ZHAA,Arabic,F,philip produced a couple of cigars and took a chair oposite him
suppose you saw me at work through the window,data/l2arctic/ZHAA/wav/arctic_b0047.wav,ZHAA,Arabic,F,suppose you saw me at work through the window
he looked like one who had passed through an uncomfortable hour or two,data/l2arctic/ZHAA/wav/arctic_b0048.wav,ZHAA,Arabic,F,he looked like one who had pased through anne uncomfortable our or two
there was nothing more except a large ink blot under the words,data/l2arctic/ZHAA/wav/arctic_b0049.wav,ZHAA,Arabic,F,there was nothing more except a large aim kip lot under the words
all this day gregson remained in the cabin,data/l2arctic/ZHAA/wav/arctic_b0050.wav,ZHAA,Arabic,F,all this dhay greksend remained in the capin
the sixth day he spent in the cabin with gregson,data/l2arctic/ZHAA/wav/arctic_b0051.wav,ZHAA,Arabic,F,the sixth day he spent in the capin with the crickan
the flush was gone from her face,data/l2arctic/ZHAA/wav/arctic_b0052.wav,ZHAA,Arabic,F,the flush was gun from her face
he understood the meaning of the look,data/l2arctic/ZHAA/wav/arctic_b0054.wav,ZHAA,Arabic,F,he enderstood the meaning of the lock
she was even more beautiful than when i saw her before,data/l2arctic/ZHAA/wav/arctic_b0055.wav,ZHAA,Arabic,F,she was even more beautiful than when i so haer before
ill give a thousand if you produce her retorted gregson,data/l2arctic/ZHAA/wav/arctic_b0056.wav,ZHAA,Arabic,F,ill give you a thousand if you produce her retorted rixen
they have won popular sentiment through the newspapers,data/l2arctic/ZHAA/wav/arctic_b0057.wav,ZHAA,Arabic,F,they have one popular sentiments through ther newspapers
we must achieve our own salvation,data/l2arctic/ZHAA/wav/arctic_b0058.wav,ZHAA,Arabic,F,we must atchieve ouur own salvation
in moments of mental energy philip was restless,data/l2arctic/ZHAA/wav/arctic_b0059.wav,ZHAA,Arabic,F,in moments of mental energy philip was restless
he would keep his faith with gregson for the promised day or two,data/l2arctic/ZHAA/wav/arctic_b0060.wav,ZHAA,Arabic,F,he would keep his faith with the cricken for thy promised day or to
something about it seemed to fascinate him to challenge his presence,data/l2arctic/ZHAA/wav/arctic_b0061.wav,ZHAA,Arabic,F,something about it seemed to fascinate him to challenge his prasencs
now it was missing from the wall,data/l2arctic/ZHAA/wav/arctic_b0062.wav,ZHAA,Arabic,F,now it was missing from the wooll o
he boiled himself some coffee and sat down to wait,data/l2arctic/ZHAA/wav/arctic_b0063.wav,ZHAA,Arabic,F,he boiled himself some couffy and sat down to it
im going down there with you and im going to fight,data/l2arctic/ZHAA/wav/arctic_b0064.wav,ZHAA,Arabic,F,im going down there with you and im going to fight
now have you got anything to say against me mister philip,data/l2arctic/ZHAA/wav/arctic_b0065.wav,ZHAA,Arabic,F,now have yoeu got anything to say against me mister phillip
if i meet her again i shall apologize said eileen,data/l2arctic/ZHAA/wav/arctic_b0066.wav,ZHAA,Arabic,F,if i meet turagain i shall apologise said een
below him the shadow was broken into a pool of rippling starlight,data/l2arctic/ZHAA/wav/arctic_b0067.wav,ZHAA,Arabic,F,below him the shadw was broken into a pool of frivlling sulight
only the chance sound had led him to observe them,data/l2arctic/ZHAA/wav/arctic_b0068.wav,ZHAA,Arabic,F,only the chance sound had led him to observe them
could the incident have anything to do with jeanne and pierre,data/l2arctic/ZHAA/wav/arctic_b0069.wav,ZHAA,Arabic,F,good the incident have anything to do with jen a per
there was no answer from the other side,data/l2arctic/ZHAA/wav/arctic_b0071.wav,ZHAA,Arabic,F,there was no answer from the other sight oooooooo
then he hastened on as pierre had guided him,data/l2arctic/ZHAA/wav/arctic_b0072.wav,ZHAA,Arabic,F,then he hastened on asbierahad guided him
with these arguments he convinced himself that he should go on alone,data/l2arctic/ZHAA/wav/arctic_b0073.wav,ZHAA,Arabic,F,with these arguments he conpfinced himself thougt he should go on alone
yet behind them there was another and more powerful motive,data/l2arctic/ZHAA/wav/arctic_b0074.wav,ZHAA,Arabic,F,yet behind them there was another and more powerful motive
in that case he could not miss them if he used caution,data/l2arctic/ZHAA/wav/arctic_b0075.wav,ZHAA,Arabic,F,in that case he could not miss them if he used cochan
before philip could recover himself jeannes startled guards were upon him,data/l2arctic/ZHAA/wav/arctic_b0076.wav,ZHAA,Arabic,F,before philip could recover himself je startild guards were upon him
it is the nearest refuge,data/l2arctic/ZHAA/wav/arctic_b0077.wav,ZHAA,Arabic,F,it is the nearest revewe
there was pride and strength the ring of triumph in his voice,data/l2arctic/ZHAA/wav/arctic_b0078.wav,ZHAA,Arabic,F,there was pride and strength the rank of tremth in his voice
the truth of it set jeanne quivering,data/l2arctic/ZHAA/wav/arctic_b0079.wav,ZHAA,Arabic,F,thatrot oet said jane quivering
tomorrow it will be strong enough for you to stand upon,data/l2arctic/ZHAA/wav/arctic_b0080.wav,ZHAA,Arabic,F,to morrow it will be strong enough for you to stand up on
you were going to leave after you saw me on the rock,data/l2arctic/ZHAA/wav/arctic_b0081.wav,ZHAA,Arabic,F,you were going to leave after yo sow me on ther oc
he bit his tongue and cursed himself at this fresh break,data/l2arctic/ZHAA/wav/arctic_b0082.wav,ZHAA,Arabic,F,he bits his duink and curs himself as this fresh brick
in it there was something that was almost tragedy,data/l2arctic/ZHAA/wav/arctic_b0083.wav,ZHAA,Arabic,F,in it there was something that was almost tracgedy
your face is red with blood,data/l2arctic/ZHAA/wav/arctic_b0084.wav,ZHAA,Arabic,F,your face is red with blod
her eyes smiled truth at him as he came up the bank,data/l2arctic/ZHAA/wav/arctic_b0085.wav,ZHAA,Arabic,F,her eye smiled truth atthemp as he came up the bank
he can care for himself,data/l2arctic/ZHAA/wav/arctic_b0086.wav,ZHAA,Arabic,F,he can care for himself
until i die he exclaimed,data/l2arctic/ZHAA/wav/arctic_b0088.wav,ZHAA,Arabic,F,until i die he axem claimed
her beautiful hair was done up in shining coils,data/l2arctic/ZHAA/wav/arctic_b0089.wav,ZHAA,Arabic,F,har beautiful hair was done up in shining coils
the churchill narrowed and its current became swifter as they progressed,data/l2arctic/ZHAA/wav/arctic_b0090.wav,ZHAA,Arabic,F,the churchildrgnarred and its kurind became swifter as they progressed
for a full half minute jeanne looked at him without speaking,data/l2arctic/ZHAA/wav/arctic_b0091.wav,ZHAA,Arabic,F,for afull half minutes sit gene looked at him without speaking
i want to die in it,data/l2arctic/ZHAA/wav/arctic_b0092.wav,ZHAA,Arabic,F,i want to die in it
darkness hid him from jeanne,data/l2arctic/ZHAA/wav/arctic_b0093.wav,ZHAA,Arabic,F,darkness head him from ceene
and yet if she came he had no words to say,data/l2arctic/ZHAA/wav/arctic_b0094.wav,ZHAA,Arabic,F,and yet if she came he had no words to say
he heard a sound which brought him quickly into consciousness of day,data/l2arctic/ZHAA/wav/arctic_b0095.wav,ZHAA,Arabic,F,he heard the sound which brought him quickly into consciousness of day
within himself he called it no longer his own,data/l2arctic/ZHAA/wav/arctic_b0096.wav,ZHAA,Arabic,F,within himself he coled it no langer his own
