transcription,path_to_audio,speaker_id,native_language,gender,s2t_small_transcriptions
do you know that you are shaking my confidence in you,data/l2arctic/TXHC/wav/arctic_a0109.wav,TXHC,Chinese,M,you know that you are shaking my confidence in you
much replied jeanne as tersely,data/l2arctic/TXHC/wav/arctic_a0110.wav,TXHC,Chinese,M,much replied the gin as tersely
instead he joined her and they ate like two hungry children,data/l2arctic/TXHC/wav/arctic_a0111.wav,TXHC,Chinese,M,instead he joined her and they ate like two hungry children
he was wounded in the arm,data/l2arctic/TXHC/wav/arctic_a0112.wav,TXHC,Chinese,M,he was wounded in arm
i suppose you picked that lingo up among the indians,data/l2arctic/TXHC/wav/arctic_a0113.wav,TXHC,Chinese,M,i s'pose you picked out lingo up among the indians
her words sent a strange chill through philip,data/l2arctic/TXHC/wav/arctic_a0114.wav,TXHC,Chinese,M,her words and her strength chills through stella
he had no excuse for the feelings which were aroused in him,data/l2arctic/TXHC/wav/arctic_a0115.wav,TXHC,Chinese,M,yet no excuse for feelings which were aroused in him
was it the rendezvous of those who were striving to work his ruin,data/l2arctic/TXHC/wav/arctic_a0116.wav,TXHC,Chinese,M,was it the rendezvous of those who were striving to work his ruin
she added with genuine sympathy in her face and voice,data/l2arctic/TXHC/wav/arctic_a0117.wav,TXHC,Chinese,M,she added with genuine sympathy in her face and voice
pierre obeys me when we are together,data/l2arctic/TXHC/wav/arctic_a0118.wav,TXHC,Chinese,M,pierre obeys me when we are together
my right foot feels like that of a chinese debutante,data/l2arctic/TXHC/wav/arctic_a0120.wav,TXHC,Chinese,M,my right food feels like that over chinese debutante
they ate dinner at the fifth and rested for two hours,data/l2arctic/TXHC/wav/arctic_a0121.wav,TXHC,Chinese,M,the eighteener at the fifth and the rest did for two hours
two years ago i gave up civilization for this,data/l2arctic/TXHC/wav/arctic_a0122.wav,TXHC,Chinese,M,two years ago i gave up civilization for this
she had died from cold and starvation,data/l2arctic/TXHC/wav/arctic_a0123.wav,TXHC,Chinese,M,she had died from cold starvation
it was jeanne singing softly over beyond the rocks,data/l2arctic/TXHC/wav/arctic_a0124.wav,TXHC,Chinese,M,it was a gent singing softly over beyond the rocks
he was determined now to maintain a more certain hold upon himself,data/l2arctic/TXHC/wav/arctic_a0125.wav,TXHC,Chinese,M,he was determined now to maintain more certain hold upon himself
each day she became a more vital part of him,data/l2arctic/TXHC/wav/arctic_a0126.wav,TXHC,Chinese,M,each day she became a more vital part of him
it was a temptation but he resisted it,data/l2arctic/TXHC/wav/arctic_a0127.wav,TXHC,Chinese,M,it was a temptation but he resisted it
this one hope was destroyed as quickly as it was born,data/l2arctic/TXHC/wav/arctic_a0128.wav,TXHC,Chinese,M,his one hope was destroyed as quickly as it was born
her face was against his breast,data/l2arctic/TXHC/wav/arctic_a0129.wav,TXHC,Chinese,M,her face was against his breast
she was his now forever,data/l2arctic/TXHC/wav/arctic_a0130.wav,TXHC,Chinese,M,she was in his now flower
providence had delivered him through the maelstrom,data/l2arctic/TXHC/wav/arctic_a0131.wav,TXHC,Chinese,M,providence had delivered him through the maelstrom
a cry of joy burst from philips lips,data/l2arctic/TXHC/wav/arctic_a0132.wav,TXHC,Chinese,M,a cry of joy burst from philip's lips
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/TXHC/wav/arctic_a0133.wav,TXHC,Chinese,M,philip began to feel that he had foolishly oversathimated his strength
he obeyed the pressure of her hand,data/l2arctic/TXHC/wav/arctic_a0134.wav,TXHC,Chinese,M,he obeyed the depressor of our hand
i am going to surprise father and you will go with pierre,data/l2arctic/TXHC/wav/arctic_a0135.wav,TXHC,Chinese,M,i'm going to surprise father and you will go with pierre
then he stepped back with a low cry of pleasure,data/l2arctic/TXHC/wav/arctic_a0137.wav,TXHC,Chinese,M,then he stopped back with a low cry of pleasure
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/TXHC/wav/arctic_a0138.wav,TXHC,Chinese,M,in a picture he saw each moment a greater resemblance to jean
he told himself that as he washed himself and groomed his disheveled clothes,data/l2arctic/TXHC/wav/arctic_a0139.wav,TXHC,Chinese,M,he told himself that as he washed himself and the groom raised his shovel to close his
accept a fathers blessing and with it this,data/l2arctic/TXHC/wav/arctic_a0140.wav,TXHC,Chinese,M,except of father's blessing and visit this
it seems like a strange pointing of the hand of god,data/l2arctic/TXHC/wav/arctic_a0141.wav,TXHC,Chinese,M,it seems like a strange pointing of the hand of god
such things had occurred before he told philip,data/l2arctic/TXHC/wav/arctic_a0142.wav,TXHC,Chinese,M,such things had occurred before he told philip
ah i had forgotten he exclaimed,data/l2arctic/TXHC/wav/arctic_a0143.wav,TXHC,Chinese,M,ah i have forgotten he exclaimed it
but there was something even more startling than this resemblance,data/l2arctic/TXHC/wav/arctic_a0144.wav,TXHC,Chinese,M,but there was something even more startling than this resemblance
i have to be careful of them as they tear very easily,data/l2arctic/TXHC/wav/arctic_a0145.wav,TXHC,Chinese,M,have to be careful of them at the tear wearer easily
of course that is uninteresting she continued,data/l2arctic/TXHC/wav/arctic_a0146.wav,TXHC,Chinese,M,of course sally's uninteresting she continued
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/TXHC/wav/arctic_a0147.wav,TXHC,Chinese,M,a moment before he was intoxicated by a joy that was almost madness
now these things had been struck dead within him,data/l2arctic/TXHC/wav/arctic_a0148.wav,TXHC,Chinese,M,now these things had been struck dead within him
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/TXHC/wav/arctic_a0149.wav,TXHC,Chinese,M,for an instant he saw pierre drawn like a silhouette against a sky
goodbye pierre he shouted,data/l2arctic/TXHC/wav/arctic_a0150.wav,TXHC,Chinese,M,good bye pierre he shouted
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/TXHC/wav/arctic_a0151.wav,TXHC,Chinese,M,and mac doo was beyond the trail with three weeks to spare
philip thrust himself against it and entered,data/l2arctic/TXHC/wav/arctic_a0152.wav,TXHC,Chinese,M,philip thrust himself against it and entered
he was smooth shaven and his hair and eyes were black,data/l2arctic/TXHC/wav/arctic_a0154.wav,TXHC,Chinese,M,he was smooth shaving and his hair and eyes were black
wont you draw up gentlemen,data/l2arctic/TXHC/wav/arctic_a0155.wav,TXHC,Chinese,M,won't you draw up gentlemen
a strange fire burned in his eyes when thorpe turned,data/l2arctic/TXHC/wav/arctic_a0156.wav,TXHC,Chinese,M,a fringed fire binding his eyes when slopped her
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/TXHC/wav/arctic_a0157.wav,TXHC,Chinese,M,he had a worship to her and as dante might have worships to beatrice
does that look good,data/l2arctic/TXHC/wav/arctic_a0158.wav,TXHC,Chinese,M,does that look at
they look as though he had been drumming a piano all his life,data/l2arctic/TXHC/wav/arctic_a0159.wav,TXHC,Chinese,M,he looked as though he had been drumming a pianoa all his life
you want to go over and see his gang throw dirt,data/l2arctic/TXHC/wav/arctic_a0160.wav,TXHC,Chinese,M,you want to go over and see as against rotterd
take away their foreman and they wouldnt be worth their grub,data/l2arctic/TXHC/wav/arctic_a0161.wav,TXHC,Chinese,M,take away their four men that they won't be averse to their grub
thats the sub foreman explained thorpe,data/l2arctic/TXHC/wav/arctic_a0162.wav,TXHC,Chinese,M,that's a sub for men explained sorph
philip made no effort to follow,data/l2arctic/TXHC/wav/arctic_a0163.wav,TXHC,Chinese,M,philip made no effort to follow
he came first a year ago and revealed himself to jeanne,data/l2arctic/TXHC/wav/arctic_a0164.wav,TXHC,Chinese,M,he came first a year ago and reviewed himself to jane
they are to attack your camp tomorrow night,data/l2arctic/TXHC/wav/arctic_a0165.wav,TXHC,Chinese,M,they are to attack your camp to morrow night
two days ago jeanne learned where her fathers men were hiding,data/l2arctic/TXHC/wav/arctic_a0166.wav,TXHC,Chinese,M,two days ago jane learned where her father's men were hiding
i was near the cabin and saw you,data/l2arctic/TXHC/wav/arctic_a0167.wav,TXHC,Chinese,M,i was near the cabin and saw you
a low bush whipped him in the face and left no sting,data/l2arctic/TXHC/wav/arctic_a0168.wav,TXHC,Chinese,M,a low bush whipped in in a face and laughed no stain
suddenly jeanne stopped for an instant,data/l2arctic/TXHC/wav/arctic_a0169.wav,TXHC,Chinese,M,suddenly june stopped a fine instant
and when you come back in a few days bring eileen,data/l2arctic/TXHC/wav/arctic_a0171.wav,TXHC,Chinese,M,and when you came back in a few days bring a lane
gregson had left the outer door slightly ajar,data/l2arctic/TXHC/wav/arctic_a0172.wav,TXHC,Chinese,M,grexon had laughed at the outer door slightly ajar
the date was nearly eighteen years old,data/l2arctic/TXHC/wav/arctic_a0173.wav,TXHC,Chinese,M,the date was nearly eighteen years old
they were the presage of storm,data/l2arctic/TXHC/wav/arctic_a0174.wav,TXHC,Chinese,M,they were the presage of storm
down there the earth was already swelling with life,data/l2arctic/TXHC/wav/arctic_a0175.wav,TXHC,Chinese,M,down there the earth was already swelling with life
for the first time in his life he was yearning for a scrap,data/l2arctic/TXHC/wav/arctic_a0176.wav,TXHC,Chinese,M,for the first time in his life he was yearning for a scrap
she had been thoroughly and efficiently mauled,data/l2arctic/TXHC/wav/arctic_a0177.wav,TXHC,Chinese,M,chattering slowly and efficiently mauled
every bone in her aged body seemed broken or dislocated,data/l2arctic/TXHC/wav/arctic_a0178.wav,TXHC,Chinese,M,every pony her aged body seemed broken or dislocated
tomorrow im going after that bear he said,data/l2arctic/TXHC/wav/arctic_a0179.wav,TXHC,Chinese,M,to morrow i'm going after that bear he said
if not lets say our prayers and go to bed,data/l2arctic/TXHC/wav/arctic_a0180.wav,TXHC,Chinese,M,if not let's say our prayers and go to bed
so cheer up and give us your paw,data/l2arctic/TXHC/wav/arctic_a0181.wav,TXHC,Chinese,M,so cheer up and gave us your paw
this time he did not yap for mercy,data/l2arctic/TXHC/wav/arctic_a0182.wav,TXHC,Chinese,M,this time he did not yet mercy
and the air was growing chilly,data/l2arctic/TXHC/wav/arctic_a0183.wav,TXHC,Chinese,M,and the air was growing chilly
dont you see im chewing this thing in two,data/l2arctic/TXHC/wav/arctic_a0184.wav,TXHC,Chinese,M,don't you see i'm chewing this thing into
the questions may have come vaguely in his mind,data/l2arctic/TXHC/wav/arctic_a0185.wav,TXHC,Chinese,M,the questions may have come vaguely in his mind
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/TXHC/wav/arctic_a0186.wav,TXHC,Chinese,M,like a flash he launched themselves into the feather the mass of the owl
two gigantic owls were tearing at the carcass,data/l2arctic/TXHC/wav/arctic_a0188.wav,TXHC,Chinese,M,two gigantic hours were tearing out of the caucas
the big eyed clucking moose birds were most annoying,data/l2arctic/TXHC/wav/arctic_a0189.wav,TXHC,Chinese,M,the big eye the clucking most birds were most annoying
next to them the canada jays were most persistent,data/l2arctic/TXHC/wav/arctic_a0190.wav,TXHC,Chinese,M,next to them with a canada jays were most persistent
for a time the exciting thrill of his adventure was gone,data/l2arctic/TXHC/wav/arctic_a0191.wav,TXHC,Chinese,M,for a time the exciting shrill of his adventure was gone
he did not rush in,data/l2arctic/TXHC/wav/arctic_a0192.wav,TXHC,Chinese,M,it did not rush in
it was edged with ice,data/l2arctic/TXHC/wav/arctic_a0193.wav,TXHC,Chinese,M,it was edged with ice
he drank of the water cautiously,data/l2arctic/TXHC/wav/arctic_a0194.wav,TXHC,Chinese,M,he drank of the water cautiously
but a strange thing happened,data/l2arctic/TXHC/wav/arctic_a0195.wav,TXHC,Chinese,M,while a strange thing happened
he began to follow the footprints of the dog,data/l2arctic/TXHC/wav/arctic_a0196.wav,TXHC,Chinese,M,he began to follow the footprint of the dog
such a dog the wise driver kills or turns loose,data/l2arctic/TXHC/wav/arctic_a0197.wav,TXHC,Chinese,M,such a dog of the wise driver accused or turned loose
sometimes her dreams were filled with visions,data/l2arctic/TXHC/wav/arctic_a0198.wav,TXHC,Chinese,M,sometimes our dreams were filled with visions
thus had the raw wilderness prepared him for this day,data/l2arctic/TXHC/wav/arctic_a0199.wav,TXHC,Chinese,M,thus added the raw weariness prepared him for this day
he leapt again and the club caught him once more,data/l2arctic/TXHC/wav/arctic_a0200.wav,TXHC,Chinese,M,he lapped again and the club caught him once more
he cried and swung the club wildly,data/l2arctic/TXHC/wav/arctic_a0201.wav,TXHC,Chinese,M,he cried and swung the club wildly
she turned fearing that jacques might see what was in her face,data/l2arctic/TXHC/wav/arctic_a0202.wav,TXHC,Chinese,M,she turned fearing that jack might see what was in her face
they were following the shore of a lake,data/l2arctic/TXHC/wav/arctic_a0203.wav,TXHC,Chinese,M,they were following the shore of a lake
from now on were pals,data/l2arctic/TXHC/wav/arctic_a0205.wav,TXHC,Chinese,M,for now we are piles
he says he bought him of jacques le beau,data/l2arctic/TXHC/wav/arctic_a0206.wav,TXHC,Chinese,M,he says he bottomed of jack labot
how much was it,data/l2arctic/TXHC/wav/arctic_a0207.wav,TXHC,Chinese,M,how much was it
youth had come back to her freed from the yoke of oppression,data/l2arctic/TXHC/wav/arctic_a0208.wav,TXHC,Chinese,M,use had come back to her freed from the yolk of operation
it was not a large lake and almost round,data/l2arctic/TXHC/wav/arctic_a0209.wav,TXHC,Chinese,M,it was now a large lake and almost wrong
its diameter was not more than two hundred yards,data/l2arctic/TXHC/wav/arctic_a0210.wav,TXHC,Chinese,M,its diana may turn was not more than two hundred yards
it drowned all sound that brute agony and death may have made,data/l2arctic/TXHC/wav/arctic_a0211.wav,TXHC,Chinese,M,it's drowned i'll sound that brute agony and the test may have made
fresh cases still able to walk they clustered about the spokesman,data/l2arctic/TXHC/wav/arctic_a0212.wav,TXHC,Chinese,M,fresh cases still able to walk they clustered about as to spokesman
between him and the beach was the cane grass fence of the compound,data/l2arctic/TXHC/wav/arctic_a0213.wav,TXHC,Chinese,M,between hand and the beach with the cane grass fenced of the compound
besides he was paid one case of tobacco per head,data/l2arctic/TXHC/wav/arctic_a0214.wav,TXHC,Chinese,M,besides you was to pay the one case of a tobacco per hat
they die out of spite,data/l2arctic/TXHC/wav/arctic_a0215.wav,TXHC,Chinese,M,they die out of a spite
the other felt a sudden wave of irritation rush through him,data/l2arctic/TXHC/wav/arctic_a0216.wav,TXHC,Chinese,M,the other felt a sudden wave of irritation rush through him
oppressive as the heat had been it was now even more oppressive,data/l2arctic/TXHC/wav/arctic_a0217.wav,TXHC,Chinese,M,appriseive as the heat had been it was now even more oppressive
the ringing of the big bell aroused him,data/l2arctic/TXHC/wav/arctic_a0218.wav,TXHC,Chinese,M,the ringing of the big bell aroused him
at first he puzzled over something untoward he was sure had happened,data/l2arctic/TXHC/wav/arctic_a0219.wav,TXHC,Chinese,M,at first he paused over something on toward he was sure had happened
a dead man is of no use on a plantation,data/l2arctic/TXHC/wav/arctic_a0220.wav,TXHC,Chinese,M,at that minute of a no use on the plantation
what part of the united states is your home,data/l2arctic/TXHC/wav/arctic_a0222.wav,TXHC,Chinese,M,whatever is united states you are home
my im almost homesick for it already,data/l2arctic/TXHC/wav/arctic_a0223.wav,TXHC,Chinese,M,my i'm almost the homesake afore it already
she nodded and her eyes grew soft and moist,data/l2arctic/TXHC/wav/arctic_a0224.wav,TXHC,Chinese,M,she nodded and her eyes grew soft in the moist
i was brought up the way most girls in hawaii are brought up,data/l2arctic/TXHC/wav/arctic_a0225.wav,TXHC,Chinese,M,i was brought up as a way most ghost in hawaiia brava
that came before my a b cs,data/l2arctic/TXHC/wav/arctic_a0226.wav,TXHC,Chinese,M,there came before my a b c
it was the same way with our revolvers and rifles,data/l2arctic/TXHC/wav/arctic_a0227.wav,TXHC,Chinese,M,it was the same way with our revolvers and rifles
but it contributed to the smash,data/l2arctic/TXHC/wav/arctic_a0228.wav,TXHC,Chinese,M,but a contribute to the smash
the last one i knew was an overseer,data/l2arctic/TXHC/wav/arctic_a0229.wav,TXHC,Chinese,M,the loss one i knew was an overseeer
do you know any good land around here,data/l2arctic/TXHC/wav/arctic_a0230.wav,TXHC,Chinese,M,do you know any good land or wrong here
the resident commissioner is away in australia,data/l2arctic/TXHC/wav/arctic_a0231.wav,TXHC,Chinese,M,the rather than the commissioner is the weighing of steilia
i cannot follow you she said,data/l2arctic/TXHC/wav/arctic_a0232.wav,TXHC,Chinese,M,i cannot follow you she said
i never allow what cant be changed to annoy me,data/l2arctic/TXHC/wav/arctic_a0233.wav,TXHC,Chinese,M,and never allow what can't be changed to annoy me
why the average review is more nauseating than cod liver oil,data/l2arctic/TXHC/wav/arctic_a0234.wav,TXHC,Chinese,M,why the average review is more nauseating than cod liver allu
his voice was passionately rebellious,data/l2arctic/TXHC/wav/arctic_a0235.wav,TXHC,Chinese,M,his voice was passionately rebellious
dont you see i hate you,data/l2arctic/TXHC/wav/arctic_a0236.wav,TXHC,Chinese,M,don't you see i hate you
so hughie and i did the managing ourselves,data/l2arctic/TXHC/wav/arctic_a0237.wav,TXHC,Chinese,M,so hughie and i desire managing ourselves
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/TXHC/wav/arctic_a0239.wav,TXHC,Chinese,M,he cried in such genuine dismay that she broke into hearty laughter
wash your hands of me,data/l2arctic/TXHC/wav/arctic_a0240.wav,TXHC,Chinese,M,wash your hands of me
i think its much nicer to quarrel,data/l2arctic/TXHC/wav/arctic_a0241.wav,TXHC,Chinese,M,as thinks much nicer to quarrel
i saw it when she rolled,data/l2arctic/TXHC/wav/arctic_a0242.wav,TXHC,Chinese,M,i saw it when she wrote it
i only read the quotations,data/l2arctic/TXHC/wav/arctic_a0243.wav,TXHC,Chinese,M,i only agreed to the quotations
he was the soul of devotion to his employers,data/l2arctic/TXHC/wav/arctic_a0244.wav,TXHC,Chinese,M,he was a soul of devotion to his employers
out of his eighteen hundred he laid aside sixteen hundred each year,data/l2arctic/TXHC/wav/arctic_a0245.wav,TXHC,Chinese,M,all of his eighteen hundred he laid aside sixteen hundred each year
you have heard always how he was the lover of the princess naomi,data/l2arctic/TXHC/wav/arctic_a0246.wav,TXHC,Chinese,M,you have heard always how he was the lover of the princess naomi
they ought to pass here some time today,data/l2arctic/TXHC/wav/arctic_a0247.wav,TXHC,Chinese,M,they ought to pass here some time to day
i had been sad too long already,data/l2arctic/TXHC/wav/arctic_a0248.wav,TXHC,Chinese,M,how to be sight too long already
all eyes however were staring at him in certitude of expectancy,data/l2arctic/TXHC/wav/arctic_a0249.wav,TXHC,Chinese,M,all eyes however were staring at him in certitude of expectancy
he had observed the business life of hawaii and developed a vaulting ambition,data/l2arctic/TXHC/wav/arctic_a0250.wav,TXHC,Chinese,M,he had observed the business life of hawaii and the development of vaulting ambition
i may manage to freight a cargo back as well,data/l2arctic/TXHC/wav/arctic_a0251.wav,TXHC,Chinese,M,i may manage to freight a cargo back as well
obrien had been a clean living young man with ideals,data/l2arctic/TXHC/wav/arctic_a0252.wav,TXHC,Chinese,M,a bryan had a being a cling living young man with ideals
he it was that lived to found the family of the patino,data/l2arctic/TXHC/wav/arctic_a0253.wav,TXHC,Chinese,M,he it was that lived to found the family of the patino
straight out they swam their heads growing smaller and smaller,data/l2arctic/TXHC/wav/arctic_a0254.wav,TXHC,Chinese,M,straight out they swam there had growing smaller and smaller
see the length of the body and that elongated neck,data/l2arctic/TXHC/wav/arctic_a0256.wav,TXHC,Chinese,M,to the lance of the body and that elongated neck
they are coming ashore whoever they are,data/l2arctic/TXHC/wav/arctic_a0257.wav,TXHC,Chinese,M,they are coming ashore whoever they are
soaked in seawater they offset the heat rays,data/l2arctic/TXHC/wav/arctic_a0258.wav,TXHC,Chinese,M,soaking sea water they off sadly heat rays
think of investing in such an adventure,data/l2arctic/TXHC/wav/arctic_a0259.wav,TXHC,Chinese,M,think of investing in such an adventure
nobody knew his history they of the junta least of all,data/l2arctic/TXHC/wav/arctic_a0260.wav,TXHC,Chinese,M,nobody knew his history they are the hunter least of all
i have been doubly baptized,data/l2arctic/TXHC/wav/arctic_a0261.wav,TXHC,Chinese,M,have been doubly baptized
they wouldnt be sweeping a big vessel like the martha,data/l2arctic/TXHC/wav/arctic_a0262.wav,TXHC,Chinese,M,it wouldn't be sweeping a big vassal like the morsel
joan looked triumphantly at sheldon who bowed,data/l2arctic/TXHC/wav/arctic_a0263.wav,TXHC,Chinese,M,joan looked at triumph they lay at a children who bowed
and i hope youve got plenty of chain out captain young,data/l2arctic/TXHC/wav/arctic_a0264.wav,TXHC,Chinese,M,and i hope you've got plenty of chaining out captain young
the discovery seemed to have been made on the spur of the moment,data/l2arctic/TXHC/wav/arctic_a0265.wav,TXHC,Chinese,M,the discovery seemed to have been made on the spur of the moment
they handled two men already both grub thieves,data/l2arctic/TXHC/wav/arctic_a0266.wav,TXHC,Chinese,M,they handed the two men already boasts grubs ceased
eli harding asked as shunk started to follow,data/l2arctic/TXHC/wav/arctic_a0267.wav,TXHC,Chinese,M,eli harding asked had shrunk started to follow
now go ahead and tell me in a straightforward way what has happened,data/l2arctic/TXHC/wav/arctic_a0268.wav,TXHC,Chinese,M,now go and tell me in a straightforward way what has happened
thats where they cut off the scottish chiefs and killed all hands,data/l2arctic/TXHC/wav/arctic_a0269.wav,TXHC,Chinese,M,that's where the colour of the scottish sheafs and cute all hands
and after the bath a shave would not be bad,data/l2arctic/TXHC/wav/arctic_a0270.wav,TXHC,Chinese,M,and after the best a shave would not be bad
now please give a plain statement of what occurred,data/l2arctic/TXHC/wav/arctic_a0271.wav,TXHC,Chinese,M,now please to give a plain statement of what occurred
they are big trees and require plenty of room,data/l2arctic/TXHC/wav/arctic_a0273.wav,TXHC,Chinese,M,they are big trees and require plenty of a room
and raoul listened again to the tale of the house,data/l2arctic/TXHC/wav/arctic_a0274.wav,TXHC,Chinese,M,and the revolver lessened again to the tail of the house
there are no kiddies and half grown youths among them,data/l2arctic/TXHC/wav/arctic_a0275.wav,TXHC,Chinese,M,there are no kiddies and half grown use among them
oolong atoll was one hundred and forty miles in circumference,data/l2arctic/TXHC/wav/arctic_a0276.wav,TXHC,Chinese,M,who allowed tall was one hundred and forty miles in shock and france
mcoy found a stifling poisonous atmosphere in the pent cabin,data/l2arctic/TXHC/wav/arctic_a0277.wav,TXHC,Chinese,M,my quarry found a stifling poisonous atmosphere in the pinched cabin
it would give me nervous prostration,data/l2arctic/TXHC/wav/arctic_a0278.wav,TXHC,Chinese,M,it will give me nervous prostration
she said with chattering teeth,data/l2arctic/TXHC/wav/arctic_a0279.wav,TXHC,Chinese,M,she said with chattering teeth
ill be out of my head in fifteen minutes,data/l2arctic/TXHC/wav/arctic_a0280.wav,TXHC,Chinese,M,i'll be allo my head in fifty minutes
i do not blame you for anything remember that,data/l2arctic/TXHC/wav/arctic_a0281.wav,TXHC,Chinese,M,i do not blame you if anything remember that
if you mean to insinuate brentwood began hotly,data/l2arctic/TXHC/wav/arctic_a0282.wav,TXHC,Chinese,M,a few means insinuates brantoid began hotly
the woman in you is only incidental accidental and irrelevant,data/l2arctic/TXHC/wav/arctic_a0283.wav,TXHC,Chinese,M,the remaining use only incidental accidental and irrelevant
there was no forecasting this strange girls processes,data/l2arctic/TXHC/wav/arctic_a0284.wav,TXHC,Chinese,M,there was no forecasting a strange girl processes
but what they want with your toothbrush is more than i can imagine,data/l2arctic/TXHC/wav/arctic_a0285.wav,TXHC,Chinese,M,and what they want with you two sperans is more than i can imagine
give them their choice between a fine or an official whipping,data/l2arctic/TXHC/wav/arctic_a0286.wav,TXHC,Chinese,M,give them their choice between a fine war and official weapon
keep an eye on him,data/l2arctic/TXHC/wav/arctic_a0287.wav,TXHC,Chinese,M,keep a nigh allen
those are my oysters he said at last,data/l2arctic/TXHC/wav/arctic_a0288.wav,TXHC,Chinese,M,those are my oysters he said at last
one by one the boys were captured,data/l2arctic/TXHC/wav/arctic_a0290.wav,TXHC,Chinese,M,one by one the boys were captured
the weeks had gone by and no overt acts had been attempted,data/l2arctic/TXHC/wav/arctic_a0291.wav,TXHC,Chinese,M,the weeks had gone by and no overd acts had been attempted
here in the midmorning the first casualty occurred,data/l2arctic/TXHC/wav/arctic_a0292.wav,TXHC,Chinese,M,here in the mead morning the first cowardly occurred
they were deep in the primeval forest,data/l2arctic/TXHC/wav/arctic_a0293.wav,TXHC,Chinese,M,they were deep in the primeval forest
he had been foiled in his attempt to escape,data/l2arctic/TXHC/wav/arctic_a0294.wav,TXHC,Chinese,M,he had been forward in his attempt at to escape
and twenty men could hold it with spears and arrows,data/l2arctic/TXHC/wav/arctic_a0295.wav,TXHC,Chinese,M,and a twenty men could hold it with spears and arrows
bassett was a fastidious man,data/l2arctic/TXHC/wav/arctic_a0296.wav,TXHC,Chinese,M,who said was of fastidious men
theres a big english general right now whose name is roberts,data/l2arctic/TXHC/wav/arctic_a0297.wav,TXHC,Chinese,M,there's a big english general red now's name it is roberts
this tacit promise of continued acquaintance gave saxon a little joy thrill,data/l2arctic/TXHC/wav/arctic_a0298.wav,TXHC,Chinese,M,this tacit promise of continued acquaintance gave saxon and little joyceral
i tell you i am disgusted with this adventure tomfoolery and rot,data/l2arctic/TXHC/wav/arctic_a0299.wav,TXHC,Chinese,M,i tell you i am disgusted with this adventure tomfoolery and rout
from my earliest recollection my sleep was a period of terror,data/l2arctic/TXHC/wav/arctic_a0300.wav,TXHC,Chinese,M,from my earliest recollection my sleep was a period of terror
but all my dreams violated this law,data/l2arctic/TXHC/wav/arctic_a0301.wav,TXHC,Chinese,M,but all my dreams violate at this law
it is very plausible to such people a most convincing hypothesis,data/l2arctic/TXHC/wav/arctic_a0302.wav,TXHC,Chinese,M,it is rather impossible to such people almost a committing hypothesis
but they make the mistake of ignoring their own duality,data/l2arctic/TXHC/wav/arctic_a0303.wav,TXHC,Chinese,M,but they make the mistake of ignoring their own duality
i graduated last of my class,data/l2arctic/TXHC/wav/arctic_a0304.wav,TXHC,Chinese,M,a graduated last of my class
they had no fixed values to be altered by adjectives and adverbs,data/l2arctic/TXHC/wav/arctic_a0305.wav,TXHC,Chinese,M,they have no fixed values to be altered by adjectives and edwards
very early in my life i separated from my mother,data/l2arctic/TXHC/wav/arctic_a0307.wav,TXHC,Chinese,M,weary earlier in my life i separated from my mother
his infernal chattering worries me even now as i think of it,data/l2arctic/TXHC/wav/arctic_a0308.wav,TXHC,Chinese,M,his infernal chattering worries me even now as i think of it
white leghorns said missus mortimer,data/l2arctic/TXHC/wav/arctic_a0309.wav,TXHC,Chinese,M,white laghorn said missus mortimer
massage under tension was the cryptic reply,data/l2arctic/TXHC/wav/arctic_a0310.wav,TXHC,Chinese,M,message on d'artagnan with a cryptic reply
therefore hurrah for the game,data/l2arctic/TXHC/wav/arctic_a0311.wav,TXHC,Chinese,M,therefore hurrah for the game
it lived in perpetual apprehension of that quarter of the compass,data/l2arctic/TXHC/wav/arctic_a0312.wav,TXHC,Chinese,M,delivered in perpetual apprehension of that quarter of the compass
broken tooth yelled with fright and pain,data/l2arctic/TXHC/wav/arctic_a0313.wav,TXHC,Chinese,M,broken toothed yelled with fright and pain
thus was momentum gained in the younger world,data/l2arctic/TXHC/wav/arctic_a0314.wav,TXHC,Chinese,M,that's what's momentin ganged in the younger war
saxon waited for she knew a fresh idea had struck billy,data/l2arctic/TXHC/wav/arctic_a0315.wav,TXHC,Chinese,M,saxon waited for she knew a fish a deer had struck billy
we had been chased by them ourselves more than once,data/l2arctic/TXHC/wav/arctic_a0316.wav,TXHC,Chinese,M,who had a being chased by them themselves more than once
he was a wise hyena,data/l2arctic/TXHC/wav/arctic_a0317.wav,TXHC,Chinese,M,he was a wise hyaena
production is doubling and quadrupling upon itself,data/l2arctic/TXHC/wav/arctic_a0318.wav,TXHC,Chinese,M,production is doubly in the cordial pulling upon itself
and the edinburgh evening news says with editorial gloom,data/l2arctic/TXHC/wav/arctic_a0319.wav,TXHC,Chinese,M,and that edinburgh evening news says with editorial gloom
with my strength i slammed it full into red eyes face,data/l2arctic/TXHC/wav/arctic_a0320.wav,TXHC,Chinese,M,with my strength i slammed it for into riderhood's face
