transcription,path_to_audio,speaker_id,native_language,gender,sew_mid_transcriptions
and now down there eileen was waiting for him,data/l2arctic/BWC/wav/arctic_a0074.wav,BWC,Chinese,M,and now down them a was waiting for him
there has been a change she interrupted him,data/l2arctic/BWC/wav/arctic_a0075.wav,BWC,Chinese,M,dear hasben a change she interupetd him
the gray eyes faltered the flush deepened,data/l2arctic/BWC/wav/arctic_a0076.wav,BWC,Chinese,M,the grie as fotered the f teepend
it is the fire partly she said,data/l2arctic/BWC/wav/arctic_a0077.wav,BWC,Chinese,M,it is the fire party she sad
then and at supper he tried to fathom her,data/l2arctic/BWC/wav/arctic_a0078.wav,BWC,Chinese,M,then an as supper he tried to fatham her
it was a large canoe,data/l2arctic/BWC/wav/arctic_a0079.wav,BWC,Chinese,M,it was the large canno
what if jeanne failed him,data/l2arctic/BWC/wav/arctic_a0080.wav,BWC,Chinese,M,wer if jannia failed him
what if she didnt come to the rock,data/l2arctic/BWC/wav/arctic_a0081.wav,BWC,Chinese,M,what iff she didant come to rock
his face was streaming with blood,data/l2arctic/BWC/wav/arctic_a0082.wav,BWC,Chinese,M,his face was stdeamming with blood
a shadow was creeping over pierres eyes,data/l2arctic/BWC/wav/arctic_a0083.wav,BWC,Chinese,M,a shadow was creepping over piiass ice
scarcely had he uttered the name when pierres closing eyes shot open,data/l2arctic/BWC/wav/arctic_a0084.wav,BWC,Chinese,M,scarely had he uttered the name when pias closing as shold open
death had come with terrible suddenness,data/l2arctic/BWC/wav/arctic_a0086.wav,BWC,Chinese,M,deth hae come with terrrible sudenness
philip bent lower and stared into the face of the dead man,data/l2arctic/BWC/wav/arctic_a0087.wav,BWC,Chinese,M,vvery bot lower and started into the face of theeattachment
he made sure that the magazine was loaded and resumed his paddling,data/l2arctic/BWC/wav/arctic_a0088.wav,BWC,Chinese,M,she mayasure that the axiin was loded and resumed his patily
the night glow was treacherous to shoot by,data/l2arctic/BWC/wav/arctic_a0089.wav,BWC,Chinese,M,thee naht go was teaachers to sho by
the singing voice approached rapidly,data/l2arctic/BWC/wav/arctic_a0090.wav,BWC,Chinese,M,the seeng wis approached rapily
his blood grew hot with rage at the thought,data/l2arctic/BWC/wav/arctic_a0091.wav,BWC,Chinese,M,his blood  grw hout with rach addded thought
he went down in midstream searching the shadows of both shores,data/l2arctic/BWC/wav/arctic_a0092.wav,BWC,Chinese,M,you went down in mid steem serching the shadows of both shors
for a full minute he crouched and listened,data/l2arctic/BWC/wav/arctic_a0093.wav,BWC,Chinese,M,for full main he crouched and listened
he had barely entered this when he saw the glow of a fire,data/l2arctic/BWC/wav/arctic_a0094.wav,BWC,Chinese,M,he had berely enteered this where he saw to go off o fire
a big canvas tent was the first thing to come within his vision,data/l2arctic/BWC/wav/arctic_a0095.wav,BWC,Chinese,M,a biak anes tand was the first thing to come within his visin
perhaps she had already met her fate a little deeper in the forest,data/l2arctic/BWC/wav/arctic_a0096.wav,BWC,Chinese,M,perhaps she had already made her face a little deeper in t a forrists
then you can arrange yourself comfortably among these robes in the bow,data/l2arctic/BWC/wav/arctic_a0097.wav,BWC,Chinese,M,then you can arrange yourself comfrtably amount this robbs in the bok
shall i carry you,data/l2arctic/BWC/wav/arctic_a0098.wav,BWC,Chinese,M,shall i cary you
a maddening joy pounded in his brain,data/l2arctic/BWC/wav/arctic_a0099.wav,BWC,Chinese,M,amandining joy pounded in his sprinn
you must sleep he urged,data/l2arctic/BWC/wav/arctic_a0100.wav,BWC,Chinese,M,you must lape shhe urged
you you would not keep the truth from me,data/l2arctic/BWC/wav/arctic_a0101.wav,BWC,Chinese,M,you you now keep thei  chos from me
but there came no promise from the bow of the canoe,data/l2arctic/BWC/wav/arctic_a0103.wav,BWC,Chinese,M,but there came no promise from the bo of the cnnl
she was sleeping under his protection as sweetly as a child,data/l2arctic/BWC/wav/arctic_a0104.wav,BWC,Chinese,M,she was sleeping under his protatian as sweet  the asar chld
only it is so wonderful so almost impossible to believe,data/l2arctic/BWC/wav/arctic_a0105.wav,BWC,Chinese,M,only it is so wonderfoul so almost impossible to belive
the emotion which she had suppressed burst forth now in a choking sob,data/l2arctic/BWC/wav/arctic_a0106.wav,BWC,Chinese,M,the emmotiion which she had suprised prasd forth now in the  shoking solt
if you only could know how i thank you,data/l2arctic/BWC/wav/arctic_a0107.wav,BWC,Chinese,M,if you only could know how i thank you
he waded into the edge of the water and began scrubbing himself,data/l2arctic/BWC/wav/arctic_a0108.wav,BWC,Chinese,M,hewedd ed into the agh of the water and began scrobing himself
do you know that you are shaking my confidence in you,data/l2arctic/BWC/wav/arctic_a0109.wav,BWC,Chinese,M,do you know that you are saking my confident in you
much replied jeanne as tersely,data/l2arctic/BWC/wav/arctic_a0110.wav,BWC,Chinese,M,much replied jenni as tassly
instead he joined her and they ate like two hungry children,data/l2arctic/BWC/wav/arctic_a0111.wav,BWC,Chinese,M,in stant he joined her and they ate like to hungry children
he was wounded in the arm,data/l2arctic/BWC/wav/arctic_a0112.wav,BWC,Chinese,M,she was wandered in the arm
i suppose you picked that lingo up among the indians,data/l2arctic/BWC/wav/arctic_a0113.wav,BWC,Chinese,M,i suppose youl peek that lingo up amonng the  indiaans
her words sent a strange chill through philip,data/l2arctic/BWC/wav/arctic_a0114.wav,BWC,Chinese,M,hr words sent a strange chil thought filip
he had no excuse for the feelings which were aroused in him,data/l2arctic/BWC/wav/arctic_a0115.wav,BWC,Chinese,M,he had no exccused for the filians whih or aroused in him
it was the rendezvous of those who were striving to work his ruin,data/l2arctic/BWC/wav/arctic_a0116.wav,BWC,Chinese,M,it was the rando of those who were triivving to work his ruin
she added with genuine sympathy in her face and voice,data/l2arctic/BWC/wav/arctic_a0117.wav,BWC,Chinese,M,she aadded with genious simpathy in her face and wifse
pierre obeys me when we are together,data/l2arctic/BWC/wav/arctic_a0118.wav,BWC,Chinese,M,pia obeys me whille we are together
my right foot feels like that of a chinese debutante,data/l2arctic/BWC/wav/arctic_a0120.wav,BWC,Chinese,M,arifl fiells like that of which aniis dabuted
they ate dinner at the fifth and rested for two hours,data/l2arctic/BWC/wav/arctic_a0121.wav,BWC,Chinese,M,they eght dinner at tha fifs and rssdi for two hhours
two years ago i gave up civilization for this,data/l2arctic/BWC/wav/arctic_a0122.wav,BWC,Chinese,M,two years ago i gave up siriisemth for this
she had died from cold and starvation,data/l2arctic/BWC/wav/arctic_a0123.wav,BWC,Chinese,M,she had died from cot and star rigghen
it was jeanne singing softly over beyond the rocks,data/l2arctic/BWC/wav/arctic_a0124.wav,BWC,Chinese,M,it was jennnyy singiing softly over beyond the rocks
he was determined now to maintain a more certain hold upon himself,data/l2arctic/BWC/wav/arctic_a0125.wav,BWC,Chinese,M,he was determined now to maintain a more certin holed apunk himself
each day she became a more vital part of him,data/l2arctic/BWC/wav/arctic_a0126.wav,BWC,Chinese,M,each day she became a more wato part of him
it was a temptation but he resisted it,data/l2arctic/BWC/wav/arctic_a0127.wav,BWC,Chinese,M,it was a tempitation bur he resisted it
this one hope was destroyed as quickly as it was born,data/l2arctic/BWC/wav/arctic_a0128.wav,BWC,Chinese,M,ds ones hope was destroyed as quickly as he was bornn
her face was against his breast,data/l2arctic/BWC/wav/arctic_a0129.wav,BWC,Chinese,M,her face was agaainst his brest
she was his now forever,data/l2arctic/BWC/wav/arctic_a0130.wav,BWC,Chinese,M,she was his snall flower
philip had delivered himself through the maelstrom,data/l2arctic/BWC/wav/arctic_a0131.wav,BWC,Chinese,M,filip had delivered himself fo  ha melstorm
a cry of joy burst from philips lips,data/l2arctic/BWC/wav/arctic_a0132.wav,BWC,Chinese,M,a criyoofjoy brusst from hilips lips
philip began to feel that he had foolishly overestimated his strength,data/l2arctic/BWC/wav/arctic_a0133.wav,BWC,Chinese,M,fili began to fel that he had foolishly oer astimade hi his strength
he obeyed the pressure of her hand,data/l2arctic/BWC/wav/arctic_a0134.wav,BWC,Chinese,M,he obeyed the pressoure of her had
im going to surprise father and you will go with pierre,data/l2arctic/BWC/wav/arctic_a0135.wav,BWC,Chinese,M,im going to surprise father and you willl go wi pie
then he stepped back with a low cry of pleasure,data/l2arctic/BWC/wav/arctic_a0137.wav,BWC,Chinese,M,then he  stapped it back with a low cry of pleasure
in the picture he saw each moment a greater resemblance to jeanne,data/l2arctic/BWC/wav/arctic_a0138.wav,BWC,Chinese,M,in a picture he saw each moment a greater resemblas to janni
he told himself that as he washed himself and groomed his disheveled clothes,data/l2arctic/BWC/wav/arctic_a0139.wav,BWC,Chinese,M,he tolld himself that as he washed himsellf and groomed his dischavaled cothes
accept a fathers blessing and with it this,data/l2arctic/BWC/wav/arctic_a0140.wav,BWC,Chinese,M,except ar fathers plleassing and with itis
it seems like a strange pointing of the hand of god,data/l2arctic/BWC/wav/arctic_a0141.wav,BWC,Chinese,M,it  sens like a strange poinnting of the had of got
such things had occurred before he told philip,data/l2arctic/BWC/wav/arctic_a0142.wav,BWC,Chinese,M,such things had occurred before he told fillig
ah i had forgotten he exclaimed,data/l2arctic/BWC/wav/arctic_a0143.wav,BWC,Chinese,M,a i had furgoton he explained it
but there was something even more startling than this resemblance,data/l2arctic/BWC/wav/arctic_a0144.wav,BWC,Chinese,M,but there was something even more staring than his resembenesse
i have to be careful of them as they tear very easily,data/l2arctic/BWC/wav/arctic_a0145.wav,BWC,Chinese,M,a had to be careful of thehem as ty terered raresily
of course that is uninteresting she continued,data/l2arctic/BWC/wav/arctic_a0146.wav,BWC,Chinese,M,of course that is an intresting she continued
a moment before he was intoxicated by a joy that was almost madness,data/l2arctic/BWC/wav/arctic_a0147.wav,BWC,Chinese,M,a moment before he was in toxicate i by a joy thate was almost madness
now these things had been struck dead within him,data/l2arctic/BWC/wav/arctic_a0148.wav,BWC,Chinese,M,no the things have been struccked that within him
for an instant he saw pierre drawn like a silhouette against the sky,data/l2arctic/BWC/wav/arctic_a0149.wav,BWC,Chinese,M,for instants he saw pear traw like her siwte against the sky
goodbye pierre he shouted,data/l2arctic/BWC/wav/arctic_a0150.wav,BWC,Chinese,M,good by pir he shouted
and macdougall was beyond the trail with three weeks to spare,data/l2arctic/BWC/wav/arctic_a0151.wav,BWC,Chinese,M,and mick deggo was beyond the chiil with three weeks to spive
philip thrust himself against it and entered,data/l2arctic/BWC/wav/arctic_a0152.wav,BWC,Chinese,M,fili thrust himself against it and entored
he was smooth shaven and his hair and eyes were black,data/l2arctic/BWC/wav/arctic_a0154.wav,BWC,Chinese,M,he was smooth shavenn and his hair and eyes were black
wont you draw up gentlemen,data/l2arctic/BWC/wav/arctic_a0155.wav,BWC,Chinese,M,wont you dran up jantbe
a strange fire burned in his eyes when thorpe turned,data/l2arctic/BWC/wav/arctic_a0156.wav,BWC,Chinese,M,a strange fire burned in hiis eyes when thorb turned
he had worshiped her as dante might have worshiped beatrice,data/l2arctic/BWC/wav/arctic_a0157.wav,BWC,Chinese,M,he had worsheed her as dantes my how warshiped be aris
does that look good,data/l2arctic/BWC/wav/arctic_a0158.wav,BWC,Chinese,M,tus that local
they look as though he had been drumming a piano all his life,data/l2arctic/BWC/wav/arctic_a0159.wav,BWC,Chinese,M,deloka thought he had been drown me a piano all his life
you want to go over and see his gang throw dirt,data/l2arctic/BWC/wav/arctic_a0160.wav,BWC,Chinese,M,you want to go over aan see his gafo thirt
take away their foreman and they wouldnt be worth their grub,data/l2arctic/BWC/wav/arctic_a0161.wav,BWC,Chinese,M,take away their formaand they oul em be the worst their grap
thats the sub foreman explained thorpe,data/l2arctic/BWC/wav/arctic_a0162.wav,BWC,Chinese,M,tas a sop forma explained solt
philip made no effort to follow,data/l2arctic/BWC/wav/arctic_a0163.wav,BWC,Chinese,M,filly made no afford to follow
he came first a year ago and revealed himself to jeanne,data/l2arctic/BWC/wav/arctic_a0164.wav,BWC,Chinese,M,he came first a yeer ago and revealed himself to jenni
they are to attack your camp tomorrow night,data/l2arctic/BWC/wav/arctic_a0165.wav,BWC,Chinese,M,theyare to attack your camp to morrow night
two days ago jeanne learned where her fathers men were hiding,data/l2arctic/BWC/wav/arctic_a0166.wav,BWC,Chinese,M,two days ago janny lerned were her fathers men warle hiding
i was near the cabin and saw you,data/l2arctic/BWC/wav/arctic_a0167.wav,BWC,Chinese,M,ii was near the cabbin and saw you
a low bush whipped him in the face and left no sting,data/l2arctic/BWC/wav/arctic_a0168.wav,BWC,Chinese,M,a low brosweepped him in a face t that lafed nosting
suddenly jeanne stopped for an instant,data/l2arctic/BWC/wav/arctic_a0169.wav,BWC,Chinese,M,sudenly channi stopped for a  ustees
and when you come back in a few days bring eileen,data/l2arctic/BWC/wav/arctic_a0171.wav,BWC,Chinese,M,and wenn youll come back in a few days sbring allin
gregson had left the outer door slightly ajar,data/l2arctic/BWC/wav/arctic_a0172.wav,BWC,Chinese,M,grucsa ha left the ater dos lily a char
the date was nearly eighteen years old,data/l2arctic/BWC/wav/arctic_a0173.wav,BWC,Chinese,M,the dat was nearly eighteen yers old
they were the presage of storm,data/l2arctic/BWC/wav/arctic_a0174.wav,BWC,Chinese,M,they were t the pissage of storm
down there the earth was already swelling with life,data/l2arctic/BWC/wav/arctic_a0175.wav,BWC,Chinese,M,tong  tere the earth was areaady swalling with life
for the first time in his life he was yearning for a scrap,data/l2arctic/BWC/wav/arctic_a0176.wav,BWC,Chinese,M,for the first time in his life he was yand for a scrap
she had been thoroughly and efficiently mauled,data/l2arctic/BWC/wav/arctic_a0177.wav,BWC,Chinese,M,she had been thorrrouoly nd eficienly no
every bone in her aged body seemed broken or dislocated,data/l2arctic/BWC/wav/arctic_a0178.wav,BWC,Chinese,M,areboin in her age body seemed broken or dis located
tomorrow im going after that bear he said,data/l2arctic/BWC/wav/arctic_a0179.wav,BWC,Chinese,M,tomorrow iim goling aafter dant bear she said
if not lets say our prayers and go to bed,data/l2arctic/BWC/wav/arctic_a0180.wav,BWC,Chinese,M,is not less te our prayers and go to bat
so cheer up and give us your paw,data/l2arctic/BWC/wav/arctic_a0181.wav,BWC,Chinese,M,so chear up and gave as your po
this time he did not yap for mercy,data/l2arctic/BWC/wav/arctic_a0182.wav,BWC,Chinese,M,this time he didennt uup for murccy
and the air was growing chilly,data/l2arctic/BWC/wav/arctic_a0183.wav,BWC,Chinese,M,and the ar was growing cheerlly
dont you see im chewing this thing in two,data/l2arctic/BWC/wav/arctic_a0184.wav,BWC,Chinese,M,dont oul see and truin  thei thing in to
the questions may have come vaguely in his mind,data/l2arctic/BWC/wav/arctic_a0185.wav,BWC,Chinese,M,the questions may how come walkly in his mnd
like a flash he launched himself into the feathered mass of the owl,data/l2arctic/BWC/wav/arctic_a0186.wav,BWC,Chinese,M,lik a flash  het lonched himself into the fathered mass ofthe all
two gigantic owls were tearing at the carcass,data/l2arctic/BWC/wav/arctic_a0188.wav,BWC,Chinese,M,to jecnantic os wa tering a t the crcas
the big eyed clucking moose birds were most annoying,data/l2arctic/BWC/wav/arctic_a0189.wav,BWC,Chinese,M,the big yss clockly moos birs were mmost annoying
next to them the canada jays were most persistent,data/l2arctic/BWC/wav/arctic_a0190.wav,BWC,Chinese,M,nexjuten to canada jas were most prsistas
for a time the exciting thrill of his adventure was gone,data/l2arctic/BWC/wav/arctic_a0191.wav,BWC,Chinese,M,fora time the excitiing rail of his adventur was gone
he didnt rush in,data/l2arctic/BWC/wav/arctic_a0192.wav,BWC,Chinese,M,he didnt rass in
it was edged with ice,data/l2arctic/BWC/wav/arctic_a0193.wav,BWC,Chinese,M,he was atched with y
he drank of the water cautiously,data/l2arctic/BWC/wav/arctic_a0194.wav,BWC,Chinese,M,he junk of the water caltiously
but a strange thing happened,data/l2arctic/BWC/wav/arctic_a0195.wav,BWC,Chinese,M,bota strang if thang happened
he began to follow the footprints of the dog,data/l2arctic/BWC/wav/arctic_a0196.wav,BWC,Chinese,M,he began to follow their food pwings of the dark
such a dog the wise driver kills or turns loose,data/l2arctic/BWC/wav/arctic_a0197.wav,BWC,Chinese,M,such a dogg the  wise trier killed or tans luse
sometimes her dreams were filled with visions,data/l2arctic/BWC/wav/arctic_a0198.wav,BWC,Chinese,M,sometimmes her jams were filed wiith visions
thus had the raw wilderness prepared him for this day,data/l2arctic/BWC/wav/arctic_a0199.wav,BWC,Chinese,M,thus had the  raw wildirneess prepared him for this day
he leapt again and the club caught him once more,data/l2arctic/BWC/wav/arctic_a0200.wav,BWC,Chinese,M,his liped agaan and the clab coowled hiim once more
he cried and swung the club wildly,data/l2arctic/BWC/wav/arctic_a0201.wav,BWC,Chinese,M,she cried as gowing to cpp wildily
she turned fearing that jacques might see what was in her face,data/l2arctic/BWC/wav/arctic_a0202.wav,BWC,Chinese,M,he turned feering that jack may see what was in her face
they were following the shore of a lake,data/l2arctic/BWC/wav/arctic_a0203.wav,BWC,Chinese,M,they were following the shore of a lakue
from now on were pals,data/l2arctic/BWC/wav/arctic_a0205.wav,BWC,Chinese,M,from noa we were pouse
he says he bought him of jacques le beau,data/l2arctic/BWC/wav/arctic_a0206.wav,BWC,Chinese,M,hesass he brought him a jack la poor
how much was it,data/l2arctic/BWC/wav/arctic_a0207.wav,BWC,Chinese,M,how much was it
youth had come back to her freed from the yoke of oppression,data/l2arctic/BWC/wav/arctic_a0208.wav,BWC,Chinese,M,uth have come bak to her freeed from the yoltoff opprassion
it was not a large lake and almost round,data/l2arctic/BWC/wav/arctic_a0209.wav,BWC,Chinese,M,it was not aa large lake and almost ronged
its diameter was not more than two hundred yards,data/l2arctic/BWC/wav/arctic_a0210.wav,BWC,Chinese,M,is tameter was not more than two hundred yards
it drowned all sound that brute agony and death may have made,data/l2arctic/BWC/wav/arctic_a0211.wav,BWC,Chinese,M,t brond al soun had bbront agonyy ad dast may  haae made
fresh cases still able to walk they clustered about the spokesman,data/l2arctic/BWC/wav/arctic_a0212.wav,BWC,Chinese,M,freshcases still able to walk the classcord about tas bol smen
between him and the beach was the cane grass fence of the compound,data/l2arctic/BWC/wav/arctic_a0213.wav,BWC,Chinese,M,between him and the beach was the cng grass face of the componk
besides he was paid one case of tobacco per head,data/l2arctic/BWC/wav/arctic_a0214.wav,BWC,Chinese,M,besies he was paiid one case off tobaco pper hat
they die out of spite,data/l2arctic/BWC/wav/arctic_a0215.wav,BWC,Chinese,M,they tied out hoff speed
the other felt a sudden wave of irritation rush through him,data/l2arctic/BWC/wav/arctic_a0216.wav,BWC,Chinese,M,the other felt a sudden wave off irritation ros stold to him
oppressive as the heat had been it was now even more oppressive,data/l2arctic/BWC/wav/arctic_a0217.wav,BWC,Chinese,M,opressive as thee heat had beeen t was now even more opressive
the ringing of the big bell aroused him,data/l2arctic/BWC/wav/arctic_a0218.wav,BWC,Chinese,M,the rinng of the bigg bel arous hii
at first he puzzled over something untoward he was sure had happened,data/l2arctic/BWC/wav/arctic_a0219.wav,BWC,Chinese,M,at first he pazzeled over something and towaard he was sure had happpened
a dead man is of no use on a plantation,data/l2arctic/BWC/wav/arctic_a0220.wav,BWC,Chinese,M,a dad man is off no use on the plantnation
what part of the united states is your home,data/l2arctic/BWC/wav/arctic_a0222.wav,BWC,Chinese,M,wat part of the united statees is your home
my im almost homesick for it already,data/l2arctic/BWC/wav/arctic_a0223.wav,BWC,Chinese,M,my an almmost homseek for is orreedy
she nodded and her eyes grew soft and moist,data/l2arctic/BWC/wav/arctic_a0224.wav,BWC,Chinese,M,she noted and her eyes grew soft and moist
i was brought up the way most girls in hawaii are brought up,data/l2arctic/BWC/wav/arctic_a0225.wav,BWC,Chinese,M,i was brought up the way mos gros in hoi a brought up
that came before my a b cs,data/l2arctic/BWC/wav/arctic_a0226.wav,BWC,Chinese,M,ttak came before my abseis
it was the same way with our revolvers and rifles,data/l2arctic/BWC/wav/arctic_a0227.wav,BWC,Chinese,M,it was the same way with our re wavers and rivles
but it contributed to the smash,data/l2arctic/BWC/wav/arctic_a0228.wav,BWC,Chinese,M,by a contribulitid to the march
the last one i knew was an overseer,data/l2arctic/BWC/wav/arctic_a0229.wav,BWC,Chinese,M,the last one i knew was the over sseeer
do you know any good land around here,data/l2arctic/BWC/wav/arctic_a0230.wav,BWC,Chinese,M,do you know any cool land aroun here
the resident commissioner is away in australia,data/l2arctic/BWC/wav/arctic_a0231.wav,BWC,Chinese,M,the rasidant comittioner is always in astralia
i cant follow you she said,data/l2arctic/BWC/wav/arctic_a0232.wav,BWC,Chinese,M,i cant follow you she sat
i never allow what cant be changed to annoy me,data/l2arctic/BWC/wav/arctic_a0233.wav,BWC,Chinese,M,anowr allow what can be changed to annoy e
why the average review is more nauseating than cod liver oil,data/l2arctic/BWC/wav/arctic_a0234.wav,BWC,Chinese,M,why the orage reviel is more now siddin ten cold liver oil
his voice was passionately rebellious,data/l2arctic/BWC/wav/arctic_a0235.wav,BWC,Chinese,M,hes wivese was passion entill they rebiilos
dont you see i hate you,data/l2arctic/BWC/wav/arctic_a0236.wav,BWC,Chinese,M,dont yul see i hate you
so hughie and i did the managing ourselves,data/l2arctic/BWC/wav/arctic_a0237.wav,BWC,Chinese,M,so huy and i ddia managing ourselfs
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/BWC/wav/arctic_a0239.wav,BWC,Chinese,M,he cried inn such denius dismmay and she broke into havily laughed her
wash your hands of me,data/l2arctic/BWC/wav/arctic_a0240.wav,BWC,Chinese,M,wass your has of me
i think its much nicer to quarrel,data/l2arctic/BWC/wav/arctic_a0241.wav,BWC,Chinese,M,i think is much nicer tol qoril
i saw it when she rolled,data/l2arctic/BWC/wav/arctic_a0242.wav,BWC,Chinese,M,i saw e wher she  rode
i only read the quotations,data/l2arctic/BWC/wav/arctic_a0243.wav,BWC,Chinese,M,i only reada cultatiions
he was the soul of devotion to his employers,data/l2arctic/BWC/wav/arctic_a0244.wav,BWC,Chinese,M,he waas the soof devotion to his impiures
out of his eighteen hundred he laid aside sixteen hundred each year,data/l2arctic/BWC/wav/arctic_a0245.wav,BWC,Chinese,M,outoff hs eiighteen  hundrard he allied aside   sixteen hundra eaach year
he had heard always how he was the lover of the princess naomi,data/l2arctic/BWC/wav/arctic_a0246.wav,BWC,Chinese,M,he had heard alwaays how he was the lower off the princes now me
they ought to pass here some time today,data/l2arctic/BWC/wav/arctic_a0247.wav,BWC,Chinese,M,they aurt to pasheeres long time today
i had been sad too long already,data/l2arctic/BWC/wav/arctic_a0248.wav,BWC,Chinese,M,have ben sad to long lready
all eyes however were staring at him in certitude of expectancy,data/l2arctic/BWC/wav/arctic_a0249.wav,BWC,Chinese,M,all eyes however was starting at him in ssertitude of expaancy
he had observed the business life of hawaii and developed a vaulting ambition,data/l2arctic/BWC/wav/arctic_a0250.wav,BWC,Chinese,M,he had observed that the busness life of hoiand developed awoltoning apiion
i may manage to freight a cargo back as well,data/l2arctic/BWC/wav/arctic_a0251.wav,BWC,Chinese,M,i may manage to frighte aa cargol back aswell
obrien had been a clean living young man with ideals,data/l2arctic/BWC/wav/arctic_a0252.wav,BWC,Chinese,M,opring had been a clin living youngmer with ideals
he it was that lived to found the family of the patino,data/l2arctic/BWC/wav/arctic_a0253.wav,BWC,Chinese,M,he it was tha lived to fond t the faily of the patinno
straight out they swam their heads growing smaller and smaller,data/l2arctic/BWC/wav/arctic_a0254.wav,BWC,Chinese,M,swly out they so wan theiir hads growing smorrer and smorrer
see the length of the body and that elongated neck,data/l2arctic/BWC/wav/arctic_a0256.wav,BWC,Chinese,M,seethe lanth of the body and that elonkadin nack
they are coming ashore whoever they are,data/l2arctic/BWC/wav/arctic_a0257.wav,BWC,Chinese,M,terear comin as hor whever they ar
soaked in seawater they offset the heat rays,data/l2arctic/BWC/wav/arctic_a0258.wav,BWC,Chinese,M,solce it inssee water they offsat the heet rase
think of investing in such an adventure,data/l2arctic/BWC/wav/arctic_a0259.wav,BWC,Chinese,M,thingcolf yy rassting is such a alencher
nobody knew his history they of the junta least of all,data/l2arctic/BWC/wav/arctic_a0260.wav,BWC,Chinese,M,nobody knew his history day ofter drond her least off  ol
i have been doubly baptized,data/l2arctic/BWC/wav/arctic_a0261.wav,BWC,Chinese,M,i had ben toubly haftsed
they wouldnt be sweeping a big vessel like the martha,data/l2arctic/BWC/wav/arctic_a0262.wav,BWC,Chinese,M,theey wont be sweeping a bigg raial like the mar tok
joan looked triumphantly at sheldon who bowed,data/l2arctic/BWC/wav/arctic_a0263.wav,BWC,Chinese,M,joy looked triumpfently at soude who broed
and i hope youve got plenty of chain out captain young,data/l2arctic/BWC/wav/arctic_a0264.wav,BWC,Chinese,M,and i hope youe got plati off chain out captin young
the discovery seemed to have been made on the spur of the moment,data/l2arctic/BWC/wav/arctic_a0265.wav,BWC,Chinese,M,the discover seemed to hav be madede on the sper of the moment
they handled two men already both grub thieves,data/l2arctic/BWC/wav/arctic_a0266.wav,BWC,Chinese,M,they handoled two men oraidi ost grab siivs
eli harding asked as shunk started to follow,data/l2arctic/BWC/wav/arctic_a0267.wav,BWC,Chinese,M,aly hardly asked as shunk started to follow
now go ahead and tell me in a straightforward way what has happened,data/l2arctic/BWC/wav/arctic_a0268.wav,BWC,Chinese,M,now go ahad and tell me in the   three forward way will has haponed
thats where they cut off the scottish chiefs and killed all hands,data/l2arctic/BWC/wav/arctic_a0269.wav,BWC,Chinese,M,tas were they cut off the scottiish chiefs and d kklld ohands
and after the bath a shave would not be bad,data/l2arctic/BWC/wav/arctic_a0270.wav,BWC,Chinese,M,and after the bath a shee willl not be bat
now please give a plain statement of what occurred,data/l2arctic/BWC/wav/arctic_a0271.wav,BWC,Chinese,M,now pleese gave a plans they ment off what accured
they are big trees and require plenty of room,data/l2arctic/BWC/wav/arctic_a0273.wav,BWC,Chinese,M,they are bettrees and require planti of roo
and raoul listened again to the tale of the house,data/l2arctic/BWC/wav/arctic_a0274.wav,BWC,Chinese,M,and the row listeened again to the tail of the house
there are no kiddies and half grown youths among them,data/l2arctic/BWC/wav/arctic_a0275.wav,BWC,Chinese,M,there are no kiddies and half goori eh this among them
oolong atoll was one hundred and forty miles in circumference,data/l2arctic/BWC/wav/arctic_a0276.wav,BWC,Chinese,M,ula a tow was whandrard and forty miles inn te  sacomference
mcoy found a stifling poisonous atmosphere in the pent cabin,data/l2arctic/BWC/wav/arctic_a0277.wav,BWC,Chinese,M,my qorifonhe stil fleng pisness admmosppher inn the pans can be
it would give me nervous prostration,data/l2arctic/BWC/wav/arctic_a0278.wav,BWC,Chinese,M,he willl give me nerruus prostriation
she said with chattering teeth,data/l2arctic/BWC/wav/arctic_a0279.wav,BWC,Chinese,M,she sat with chasuring teaast
ill be out of my head in fifteen minutes,data/l2arctic/BWC/wav/arctic_a0280.wav,BWC,Chinese,M,ill be outof my hat i  fftte minutes
i do not blame you for anything remember that,data/l2arctic/BWC/wav/arctic_a0281.wav,BWC,Chinese,M,i do not blam ell for anything remember that
if you mean to insinuate brentwood began hotly,data/l2arctic/BWC/wav/arctic_a0282.wav,BWC,Chinese,M,iff you men to insoni at branot began harly
the woman in you is only incidental accidental and irrelevant,data/l2arctic/BWC/wav/arctic_a0283.wav,BWC,Chinese,M,the omainu is oly insidentaal acidental and yuraroment
there was no forecasting this strange girls processes,data/l2arctic/BWC/wav/arctic_a0284.wav,BWC,Chinese,M,there was no folcasti the strange girls processes
but what they want with your toothbrush is more than i can imagine,data/l2arctic/BWC/wav/arctic_a0285.wav,BWC,Chinese,M,bo wa they wannt with or cooth bros is more than i can imagin
give them their choice between a fine or an official whipping,data/l2arctic/BWC/wav/arctic_a0286.wav,BWC,Chinese,M,gave them their tice betweeen a fine or alliificciaal weeping
keep an eye on him,data/l2arctic/BWC/wav/arctic_a0287.wav,BWC,Chinese,M,sheepher y al hin
those are my oysters he said at last,data/l2arctic/BWC/wav/arctic_a0288.wav,BWC,Chinese,M,those aare my oisters he said atlast
