transcription,path_to_audio,speaker_id,native_language,gender,sew_small_transcriptions
he says he bought him of jacques le beau,data/l2arctic/LXC/wav/arctic_a0206.wav,LXC,Chinese,F,he sais he brout him of jack labol
how much was it,data/l2arctic/LXC/wav/arctic_a0207.wav,LXC,Chinese,F,how much wasea
youth had come back to her freed from the yoke of oppression,data/l2arctic/LXC/wav/arctic_a0208.wav,LXC,Chinese,F,us had combac to her feet from ne yok of utheshion
it was not a large lake and almost round,data/l2arctic/LXC/wav/arctic_a0209.wav,LXC,Chinese,F,it was not a lidelate and almost rong
its diameter was not more than two hundred yards,data/l2arctic/LXC/wav/arctic_a0210.wav,LXC,Chinese,F,its dymetar was not more than to a hundred yord
it drowned all sound that brute agony and death may have made,data/l2arctic/LXC/wav/arctic_a0211.wav,LXC,Chinese,F,its droin all sond tat broadagony and the das may have mee
fresh cases still able to walk they clustered about the spokesman,data/l2arctic/LXC/wav/arctic_a0212.wav,LXC,Chinese,F,fransh casies still able twowok lay costard aboutrispokth may
between him and the beach was the cane grass fence of the compound,data/l2arctic/LXC/wav/arctic_a0213.wav,LXC,Chinese,F,betwen him and the a beach was a king gras fanes of lecommbl
besides he was paid one case of tobacco per head,data/l2arctic/LXC/wav/arctic_a0214.wav,LXC,Chinese,F,beside he was paide wone case oftbarco perhead
they die out of spite,data/l2arctic/LXC/wav/arctic_a0215.wav,LXC,Chinese,F,lad die ultofsbi
the other felt a sudden wave of irritation rush through him,data/l2arctic/LXC/wav/arctic_a0216.wav,LXC,Chinese,F,the ilea fild a sudden wef of iretation rash throhem
oppressive as the heat had been it was now even more oppressive,data/l2arctic/LXC/wav/arctic_a0217.wav,LXC,Chinese,F,uppressive as thu heit had beeen it was now even mor uppressive
the ringing of the big bell aroused him,data/l2arctic/LXC/wav/arctic_a0218.wav,LXC,Chinese,F,lereining of the bi bil aroused ham
at first he puzzled over something untoward he was sure had happened,data/l2arctic/LXC/wav/arctic_a0219.wav,LXC,Chinese,F,first hhe poseled ovewas om sing on toward he was sure had happen
a dead man is of no use on a plantation,data/l2arctic/LXC/wav/arctic_a0220.wav,LXC,Chinese,F,a dat man is of no us omar platenshian
what part of the united states is your home,data/l2arctic/LXC/wav/arctic_a0222.wav,LXC,Chinese,F,what poto offer youniteoustats eas youa home
my im almost homesick for it already,data/l2arctic/LXC/wav/arctic_a0223.wav,LXC,Chinese,F,my am almost hom zeekfor it already
she nodded and her eyes grew soft and moist,data/l2arctic/LXC/wav/arctic_a0224.wav,LXC,Chinese,F,she knodit and the her ies grow soft and moist
i was brought up the way most girls in hawaii are brought up,data/l2arctic/LXC/wav/arctic_a0225.wav,LXC,Chinese,F,i was brout up the way most gos in havayee bbought up
that came before my a b cs,data/l2arctic/LXC/wav/arctic_a0226.wav,LXC,Chinese,F,that came before my abeceise
it was the same way with our revolvers and rifles,data/l2arctic/LXC/wav/arctic_a0227.wav,LXC,Chinese,F,it was he samwayresowar jevolvors and the refols
but it contributed to the smash,data/l2arctic/LXC/wav/arctic_a0228.wav,LXC,Chinese,F,biytate contriboutiate toresmash
the last one i knew was an overseer,data/l2arctic/LXC/wav/arctic_a0229.wav,LXC,Chinese,F,the lothewome i neew wasm oways theear
do you know any good land around here,data/l2arctic/LXC/wav/arctic_a0230.wav,LXC,Chinese,F,do ou know any good lent around here
the resident commissioner is away in australia,data/l2arctic/LXC/wav/arctic_a0231.wav,LXC,Chinese,F,theressitan caminner is awarting as chaliea
i cannot follow you she said,data/l2arctic/LXC/wav/arctic_a0232.wav,LXC,Chinese,F,i can not follow you she sad
i never allow what cant be changed to annoy me,data/l2arctic/LXC/wav/arctic_a0233.wav,LXC,Chinese,F,and never alow what can be chane to annoy me
why the average review is more nauseating than cod liver oil,data/l2arctic/LXC/wav/arctic_a0234.wav,LXC,Chinese,F,wy the average livea is mornosating thenhad lawar oiyl
his voice was passionately rebellious,data/l2arctic/LXC/wav/arctic_a0235.wav,LXC,Chinese,F,his wivese was pasionetly reaaliaes
dont you see i hate you,data/l2arctic/LXC/wav/arctic_a0236.wav,LXC,Chinese,F,dont tou say i hat you
so hughie and i did the managing ourselves,data/l2arctic/LXC/wav/arctic_a0237.wav,LXC,Chinese,F,so hoc an ideaethat emaniging oloctive
he cried in such genuine dismay that she broke into hearty laughter,data/l2arctic/LXC/wav/arctic_a0239.wav,LXC,Chinese,F,he crid in such genuantismat leat she broke into hart ly loffer
wash your hands of me,data/l2arctic/LXC/wav/arctic_a0240.wav,LXC,Chinese,F,whas your hant of me
i think its much nicer to quarrel,data/l2arctic/LXC/wav/arctic_a0241.wav,LXC,Chinese,F,i think its much nieer tol corrow
i saw it when she rolled,data/l2arctic/LXC/wav/arctic_a0242.wav,LXC,Chinese,F,i saw it when she rod
i only read the quotations,data/l2arctic/LXC/wav/arctic_a0243.wav,LXC,Chinese,F,i only reade a cotitions
he was the soul of devotion to his employers,data/l2arctic/LXC/wav/arctic_a0244.wav,LXC,Chinese,F,he was e sure of divotion to his imploias
out of his eighteen hundred he laid aside sixteen hundred each year,data/l2arctic/LXC/wav/arctic_a0245.wav,LXC,Chinese,F,out off his aiten hungrid he late acide sixtng hundred ace year
you have heard always how he was the lover of the princess naomi,data/l2arctic/LXC/wav/arctic_a0246.wav,LXC,Chinese,F,you have hoaut always how he was he he loveer of princes narmme
they ought to pass here some time today,data/l2arctic/LXC/wav/arctic_a0247.wav,LXC,Chinese,F,they aght to pas here sometimes today
i had been sad too long already,data/l2arctic/LXC/wav/arctic_a0248.wav,LXC,Chinese,F,i had beeen set tooo ong already
all eyes however were staring at him in certitude of expectancy,data/l2arctic/LXC/wav/arctic_a0249.wav,LXC,Chinese,F,ol eyes however was staring at him ingsititude offor ispectanc
he had observed the business life of hawaii and developed a vaulting ambition,data/l2arctic/LXC/wav/arctic_a0250.wav,LXC,Chinese,F,he had observeter tha bisnuss life of hove and the developta falten ambision
i may manage to freight a cargo back as well,data/l2arctic/LXC/wav/arctic_a0251.wav,LXC,Chinese,F,i may manage to afrait acoo bat esil
obrien had been a clean living young man with ideals,data/l2arctic/LXC/wav/arctic_a0252.wav,LXC,Chinese,F,o bring had beeen cleaing livin young mamwis ideas
he it was that lived to found the family of the patino,data/l2arctic/LXC/wav/arctic_a0253.wav,LXC,Chinese,F,het was that lived to fonde famly of lepatinal
straight out they swam their heads growing smaller and smaller,data/l2arctic/LXC/wav/arctic_a0254.wav,LXC,Chinese,F,strait outdays wen there has growing smollar and smoler
see the length of the body and that elongated neck,data/l2arctic/LXC/wav/arctic_a0256.wav,LXC,Chinese,F,see the lens of ladty and that along gayteep neck
they are coming ashore whoever they are,data/l2arctic/LXC/wav/arctic_a0257.wav,LXC,Chinese,F,they are comming a share ho eaewer they are
soaked in seawater they offset the heat rays,data/l2arctic/LXC/wav/arctic_a0258.wav,LXC,Chinese,F,sokd inn see warter they off sat her a het rase
think of investing in such an adventure,data/l2arctic/LXC/wav/arctic_a0259.wav,LXC,Chinese,F,sing ofer in beasting in such an adeventuar
nobody knew his history they of the junta least of all,data/l2arctic/LXC/wav/arctic_a0260.wav,LXC,Chinese,F,nobody noussk his hstory they offl  jouti iest off al
i have been doubly baptized,data/l2arctic/LXC/wav/arctic_a0261.wav,LXC,Chinese,F,have been dompaly aptised
they wouldnt be sweeping a big vessel like the martha,data/l2arctic/LXC/wav/arctic_a0262.wav,LXC,Chinese,F,ther woldnt bes sweeping up bi basso like the monter
joan looked triumphantly at sheldon who bowed,data/l2arctic/LXC/wav/arctic_a0263.wav,LXC,Chinese,F,jon looked  chimvantly at the shoudige who bould
and i hope you have got plenty of chain out captain young,data/l2arctic/LXC/wav/arctic_a0264.wav,LXC,Chinese,F,and i hope youl have got planty of chingatcatineia
the discovery seemed to have been made on the spur of the moment,data/l2arctic/LXC/wav/arctic_a0265.wav,LXC,Chinese,F,lhe discovera seme to have ben mad oner spir off the moment
they handled two men already both grub thieves,data/l2arctic/LXC/wav/arctic_a0266.wav,LXC,Chinese,F,they handole trul man alreay bosts cribed theees
eli harding asked as shunk started to follow,data/l2arctic/LXC/wav/arctic_a0267.wav,LXC,Chinese,F,aly hiting usk as shon stited to folouw
now go ahead and tell me in a straightforward way what was happened,data/l2arctic/LXC/wav/arctic_a0268.wav,LXC,Chinese,F,now go hat and tilm u mustrueforward weaat what was happan
thats where they cut off the scottish chiefs and killed all hands,data/l2arctic/LXC/wav/arctic_a0269.wav,LXC,Chinese,F,thats willl cotopla scotish chiffs and av kiled all hands
and after the bath a shave would not be bad,data/l2arctic/LXC/wav/arctic_a0270.wav,LXC,Chinese,F,and after the beas a ship woudnt be ba
now please give me a plain statement of what occurred,data/l2arctic/LXC/wav/arctic_a0271.wav,LXC,Chinese,F,now pllies give me a planes tatment of what occurd
they are big trees and require plenty of room,data/l2arctic/LXC/wav/arctic_a0273.wav,LXC,Chinese,F,they are bicces and the rochel planti off loon
and raoul listened again to the tale of the house,data/l2arctic/LXC/wav/arctic_a0274.wav,LXC,Chinese,F,and the raw lison again trouo that taile off the hos
there are no kiddies and half grown youths among them,data/l2arctic/LXC/wav/arctic_a0275.wav,LXC,Chinese,F,there ere nokiateees an the hof grown used amothm
oolong atoll was one hundred and forty miles in circumference,data/l2arctic/LXC/wav/arctic_a0276.wav,LXC,Chinese,F,a long alto was wong hundrd in forty miles in cilcom fearance
mcoy found a stifling poisonous atmosphere in the pent cabin,data/l2arctic/LXC/wav/arctic_a0277.wav,LXC,Chinese,F,me ci fnd as difling pointsnes ateospia intea penth cappen
it would give me nervous prostration,data/l2arctic/LXC/wav/arctic_a0278.wav,LXC,Chinese,F,it would give e noras postration
she said with chattering teeth,data/l2arctic/LXC/wav/arctic_a0279.wav,LXC,Chinese,F,she sat lese chatering teeth
i will be out of my head in fifteen minutes,data/l2arctic/LXC/wav/arctic_a0280.wav,LXC,Chinese,F,iwiall  bee out of my hat in fifty minles
i do not blame you for anything remember that,data/l2arctic/LXC/wav/arctic_a0281.wav,LXC,Chinese,F,i onnot blam you for anything remember that
if you mean to insinuate brentwood began hotly,data/l2arctic/LXC/wav/arctic_a0282.wav,LXC,Chinese,F,if you mean to anseennuitbraten would began hataly
the woman in you is only incidental accidental and irrelevant,data/l2arctic/LXC/wav/arctic_a0283.wav,LXC,Chinese,F,the woman inu is only xsidental axidental and the  readiweant
there was no forecasting this strange girls processes,data/l2arctic/LXC/wav/arctic_a0284.wav,LXC,Chinese,F,there was no forcasting theschange gols process
but what they want with your toothbrush is more than i can imagine,data/l2arctic/LXC/wav/arctic_a0285.wav,LXC,Chinese,F,but what t thay wong res yuar troosbrsh is mor than ie can m manch
give them their choice between a fine or an official whipping,data/l2arctic/LXC/wav/arctic_a0286.wav,LXC,Chinese,F,giv them theire twise becie af fin o an official wrepin
keep an eye on him,data/l2arctic/LXC/wav/arctic_a0287.wav,LXC,Chinese,F,kep n eye on heat
those are my oysters he said at last,data/l2arctic/LXC/wav/arctic_a0288.wav,LXC,Chinese,F,those aure miyoaysturshe said at lost
one by one the boys were captured,data/l2arctic/LXC/wav/arctic_a0290.wav,LXC,Chinese,F,wumebay awong the boys ho ware keptrat
the weeks had gone by and no overt acts has been attempted,data/l2arctic/LXC/wav/arctic_a0291.wav,LXC,Chinese,F,the wekes had gomeby and e no owert act has been atempteet
here in the midmorning the first casualty occurred,data/l2arctic/LXC/wav/arctic_a0292.wav,LXC,Chinese,F,hea in the min morning the first coleaty occurd
they were deep in the primeval forest,data/l2arctic/LXC/wav/arctic_a0293.wav,LXC,Chinese,F,they wa the inno primaal forest
he had been foiled in his attempt to escape,data/l2arctic/LXC/wav/arctic_a0294.wav,LXC,Chinese,F,he had been ford in h his attenet to eskap
and twenty men could hold it with spears and arrows,data/l2arctic/LXC/wav/arctic_a0295.wav,LXC,Chinese,F,an twenty men coud hod ait respeeiers and aros
bassett was a fastidious man,data/l2arctic/LXC/wav/arctic_a0296.wav,LXC,Chinese,F,basdeate was o fas teedols men
theres a big english general right now whose name is roberts,data/l2arctic/LXC/wav/arctic_a0297.wav,LXC,Chinese,F,theresa be ingish generall right now whis namis robart
this tacit promise of continued acquaintance gave saxon a little joy thrill,data/l2arctic/LXC/wav/arctic_a0298.wav,LXC,Chinese,F,least tasic promice of continued oacqueantanse gives secsen aletol joy thereal
i tell you i am disgusted with this adventure tomfoolery and rot,data/l2arctic/LXC/wav/arctic_a0299.wav,LXC,Chinese,F,itero am disgusd hithewis thes adeveantura tom folary and the rot
from my earliest recollection my sleep was a period of terror,data/l2arctic/LXC/wav/arctic_a0300.wav,LXC,Chinese,F,from my arlest recollection my sleep was aperit of terrer
but all my dreams violated this law,data/l2arctic/LXC/wav/arctic_a0301.wav,LXC,Chinese,F,but all miy dams  wye laty lees lo
it is very plausible to such people a most convincing hypothesis,data/l2arctic/LXC/wav/arctic_a0302.wav,LXC,Chinese,F,its ver yplossible to sach peeple a most conveazing hipoties
but they make the mistake of ignoring their own duality,data/l2arctic/LXC/wav/arctic_a0303.wav,LXC,Chinese,F,but they make ha mistic of enoring ther o olit
i graduated last of my class,data/l2arctic/LXC/wav/arctic_a0304.wav,LXC,Chinese,F,i graduate het lost of my class
they had no fixed values to be altered by adjectives and adverbs,data/l2arctic/LXC/wav/arctic_a0305.wav,LXC,Chinese,F,they had no fict balustow be autered by  objectaists an the atther wubs
very early in my life i separated from my mother,data/l2arctic/LXC/wav/arctic_a0307.wav,LXC,Chinese,F,very arly in my life i sepperateit fror my mother
his infernal chattering worries me even now as i think of it,data/l2arctic/LXC/wav/arctic_a0308.wav,LXC,Chinese,F,his ingffernal tratering warrrias me even now as e sing of he
white leghorns said missus mortimer,data/l2arctic/LXC/wav/arctic_a0309.wav,LXC,Chinese,F,wit lagrns sad mis mol timer
massage under tension was the cryptic reply,data/l2arctic/LXC/wav/arctic_a0310.wav,LXC,Chinese,F,mesage on the atension was no cip te reply
therefore hurrah for the game,data/l2arctic/LXC/wav/arctic_a0311.wav,LXC,Chinese,F,theelffor hirass foul agaime
it lived in perpetual apprehension of that quarter of the compass,data/l2arctic/LXC/wav/arctic_a0312.wav,LXC,Chinese,F,it lifd inn perpanturar aprehention of the carta off the compas
broken tooth yelled with fright and pain,data/l2arctic/LXC/wav/arctic_a0313.wav,LXC,Chinese,F,broen to his aeldees fright and paing
thus was momentum gained in the younger world,data/l2arctic/LXC/wav/arctic_a0314.wav,LXC,Chinese,F,thes was momen tm gaining the oung gobu
saxon waited for she knew a fresh idea had struck billy,data/l2arctic/LXC/wav/arctic_a0315.wav,LXC,Chinese,F,fexon weecape for she neaw a fresh idea had stric bithy
we had been chased by them ourselves more than once,data/l2arctic/LXC/wav/arctic_a0316.wav,LXC,Chinese,F,we hae been chased by them ouourselves more than ones
he was a wise hyena,data/l2arctic/LXC/wav/arctic_a0317.wav,LXC,Chinese,F,he was a wise hana
production is doubling and quadrupling upon itself,data/l2arctic/LXC/wav/arctic_a0318.wav,LXC,Chinese,F,protctio y stobling an the caud jarpling aupone tosseve
and the edinburgh evening news says with editorial gloom,data/l2arctic/LXC/wav/arctic_a0319.wav,LXC,Chinese,F,anthh ademburb evening osteswes adetorial goon
with my strength i slammed it full into red eyes face,data/l2arctic/LXC/wav/arctic_a0320.wav,LXC,Chinese,F,with mey strangs eye s lim it for ininto rad es fase
the log on which lop ear was lying got adrift,data/l2arctic/LXC/wav/arctic_a0321.wav,LXC,Chinese,F,the log on which lop al was lying got acheeved
this is a common experience with all of us,data/l2arctic/LXC/wav/arctic_a0322.wav,LXC,Chinese,F,this is acomma expearience wis all of us
it was not red eyes way to forego revenge so easily,data/l2arctic/LXC/wav/arctic_a0324.wav,LXC,Chinese,F,it was not rat eisway touol folco emange so easily
whiz zip bang lop ear screamed with sudden anguish,data/l2arctic/LXC/wav/arctic_a0325.wav,LXC,Chinese,F,vese eep bonglop ail sucrem ee sudden anuis
cherokee identified himself with his instinct,data/l2arctic/LXC/wav/arctic_a0326.wav,LXC,Chinese,F,charok identifide him selfe wis his insting
they were less stooped than we less springy in their movements,data/l2arctic/LXC/wav/arctic_a0327.wav,LXC,Chinese,F,ther weare less stouet than we less bringing innn ther movements
the fire people like ourselves lived in caves,data/l2arctic/LXC/wav/arctic_a0328.wav,LXC,Chinese,F,the fil peple lc ouourseves live inast
ah indeed,data/l2arctic/LXC/wav/arctic_a0329.wav,LXC,Chinese,F,indi
red eye never committed a more outrageous deed,data/l2arctic/LXC/wav/arctic_a0330.wav,LXC,Chinese,F,reat i nael commeitiat e mor ll tragers deed
poor little crooked leg was terribly scared,data/l2arctic/LXC/wav/arctic_a0331.wav,LXC,Chinese,F,porletol croked the lak was tearrablaces kelt
unconsciously our yells and exclamations yielded to this rhythm,data/l2arctic/LXC/wav/arctic_a0332.wav,LXC,Chinese,F,unconiously awe ers and exclemations oted to his rithm
this is no place for you,data/l2arctic/LXC/wav/arctic_a0333.wav,LXC,Chinese,F,its is no path for you
hell knock you off a few sticks in no time,data/l2arctic/LXC/wav/arctic_a0334.wav,LXC,Chinese,F,heu il nock you off afears dixs en no time
red eye swung back and forth on the branch farther down,data/l2arctic/LXC/wav/arctic_a0335.wav,LXC,Chinese,F,rea eyeswom back the andd fout on the branch farther don
so unexpected was my charge that i knocked him off his feet,data/l2arctic/LXC/wav/arctic_a0336.wav,LXC,Chinese,F,so onspectid was mytaud that ie not cim off his feeet
encouraged by my conduct big face became a sudden ally,data/l2arctic/LXC/wav/arctic_a0337.wav,LXC,Chinese,F,incoce bi my conducktbigfis became a saden alie
the fighting had now become intermittent,data/l2arctic/LXC/wav/arctic_a0338.wav,LXC,Chinese,F,the finding had now became  intemetan
they obeyed him and went here and there at his commands,data/l2arctic/LXC/wav/arctic_a0339.wav,LXC,Chinese,F,they obaite hin and a wen heuanezea at his comonds
why doggone you all shake again,data/l2arctic/LXC/wav/arctic_a0341.wav,LXC,Chinese,F,why thokgon you alll shecagain
seventeen no eighteen days ago,data/l2arctic/LXC/wav/arctic_a0342.wav,LXC,Chinese,F,seventen know aighteen das ago
you mean for this state general alberta,data/l2arctic/LXC/wav/arctic_a0343.wav,LXC,Chinese,F,you mean forles at general albartar
he seemed to fill it with his tremendous vitality,data/l2arctic/LXC/wav/arctic_a0344.wav,LXC,Chinese,F,he seeme to falit rhesictramendorus witality
she was trying to pass the apron string around him,data/l2arctic/LXC/wav/arctic_a0345.wav,LXC,Chinese,F,she was tryin to pos that afferong stren arong hem
get down and dig in,data/l2arctic/LXC/wav/arctic_a0346.wav,LXC,Chinese,F,get thown an dec in
they are greatly delighted with anything that is bright or giveth a sound,data/l2arctic/LXC/wav/arctic_a0347.wav,LXC,Chinese,F,they i greatly deited ws anything in lat his brit of gives the ar song
they only lifted seven hundred and fifty,data/l2arctic/LXC/wav/arctic_a0348.wav,LXC,Chinese,F,they only liveteed taren hundred nan fifty
it was simple in its way and no virtue of his,data/l2arctic/LXC/wav/arctic_a0349.wav,LXC,Chinese,F,it was simple in its way and in no virtu of eas
is that pat hanrahans mug looking hungry and willing,data/l2arctic/LXC/wav/arctic_a0350.wav,LXC,Chinese,F,is that pa harrahans mark looking hongory in the wiling
it was more like sugar,data/l2arctic/LXC/wav/arctic_a0351.wav,LXC,Chinese,F,it was more like souger
im sure going along with you all elijah,data/l2arctic/LXC/wav/arctic_a0352.wav,LXC,Chinese,F,im sure going alongwes youur aladegin
here the explosion of mirth drowned him out,data/l2arctic/LXC/wav/arctic_a0353.wav,LXC,Chinese,F,hee th exxpression of mersjone him out
fresh meat they failed to obtain,data/l2arctic/LXC/wav/arctic_a0354.wav,LXC,Chinese,F,freshmeat they fail to uptain
a burst of laughter was his reward,data/l2arctic/LXC/wav/arctic_a0355.wav,LXC,Chinese,F,bres of locter was heis reward
you dont catch me at any such foolishness,data/l2arctic/LXC/wav/arctic_a0356.wav,LXC,Chinese,F,you dont catch me at any such folishnes
they continued valiantly to lie but the truth continued to outrun them,data/l2arctic/LXC/wav/arctic_a0358.wav,LXC,Chinese,F,the continued weilantely twod bye but the chuos continue tll out round them
earth and gravel seemed to fill the pan,data/l2arctic/LXC/wav/arctic_a0359.wav,LXC,Chinese,F,earth an the greabal seemed to fil a hhan
but he no longer cared quite so much for that form of diversion,data/l2arctic/LXC/wav/arctic_a0360.wav,LXC,Chinese,F,but he nolonger cat quie so mmuch for lalf form oe diyvursion
but he didnt broach it preferring to mature it carefully,data/l2arctic/LXC/wav/arctic_a0361.wav,LXC,Chinese,F,but he did them bothha prefering to mather aite carefully
nope not the slightest idea,data/l2arctic/LXC/wav/arctic_a0362.wav,LXC,Chinese,F,nop notnestyetease idea
its not an attempt to smash the market,data/l2arctic/LXC/wav/arctic_a0363.wav,LXC,Chinese,F,its not on atend to a semsedamrkat
we have plenty of capital ourselves and yet we want more,data/l2arctic/LXC/wav/arctic_a0364.wav,LXC,Chinese,F,we have panaintial captal owourselvs an yet we wone more
these rumors may even originate with us,data/l2arctic/LXC/wav/arctic_a0365.wav,LXC,Chinese,F,these gumers may eval eraannat reescies
a wildly exciting time was his during the week preceding thursday the eighteenth,data/l2arctic/LXC/wav/arctic_a0366.wav,LXC,Chinese,F,a wild  the exciting time was huuring tae wek priseading theirsdayov the etens
there is not an iota of truth in it certainly not,data/l2arctic/LXC/wav/arctic_a0367.wav,LXC,Chinese,F,the is not an iotoa of chuseing at sertery not
i just do appreciate it without being able to express my feelings,data/l2arctic/LXC/wav/arctic_a0368.wav,LXC,Chinese,F,i just do apprisate wisout being able to expresse my felings
in partnership with daylight the pair raided the san jose interurban,data/l2arctic/LXC/wav/arctic_a0369.wav,LXC,Chinese,F,empartina ship wi sdaylight thepail ratee  tanjosennterrpan
he saw all men in the business game doing this,data/l2arctic/LXC/wav/arctic_a0370.wav,LXC,Chinese,F,he saw alll maightin ha bisnes gim doining es
it issued a rate of forty two dollars a car on charcoal,data/l2arctic/LXC/wav/arctic_a0371.wav,LXC,Chinese,F,it easued e rad of forty too dollars acaron charcl
he saw only the effect in a general sketchy a way,data/l2arctic/LXC/wav/arctic_a0372.wav,LXC,Chinese,F,he saw only the efecting a general scaching away
points of view new ideas life,data/l2arctic/LXC/wav/arctic_a0373.wav,LXC,Chinese,F,point of neou nou ideas life
the butchers and meat cutters refused to handle meat destined for unfair restaurants,data/l2arctic/LXC/wav/arctic_a0375.wav,LXC,Chinese,F,the burtres and meet catas reveales to handle metistand for ngfil rest rons
your price my son is just about thirty per week,data/l2arctic/LXC/wav/arctic_a0376.wav,LXC,Chinese,F,youall prise my song is drest about sairten per week
this sound did not disturb the hush and awe of the place,data/l2arctic/LXC/wav/arctic_a0377.wav,LXC,Chinese,F,lesontidant distop the hsh and o of plase
thats why its boundaries are all gouged and jagged,data/l2arctic/LXC/wav/arctic_a0378.wav,LXC,Chinese,F,lets wy esbondderis ore old couch and the ject
how old are you daddy,data/l2arctic/LXC/wav/arctic_a0379.wav,LXC,Chinese,F,how oad y you dady
but in the canyons water was plentiful and also a luxuriant forest growth,data/l2arctic/LXC/wav/arctic_a0380.wav,LXC,Chinese,F,bying ne cns warter was plantiful an the also a luctiran fores groas
my names ferguson,data/l2arctic/LXC/wav/arctic_a0381.wav,LXC,Chinese,F,my nam eeasefilconse
daylight found himself charmed and made curious by the little man,data/l2arctic/LXC/wav/arctic_a0382.wav,LXC,Chinese,F,theay life fomd himself trummed and the made curous vilalital mman
to his surprise her answer was flat and uncompromising,data/l2arctic/LXC/wav/arctic_a0383.wav,LXC,Chinese,F,to his suprised her anser was flad and un compermasing
the farmer works the soil and produces grain,data/l2arctic/LXC/wav/arctic_a0384.wav,LXC,Chinese,F,theh farme worked the soil and the pogutiescren
thats what carnegie did,data/l2arctic/LXC/wav/arctic_a0385.wav,LXC,Chinese,F,nhats what cane jeen ded
i cant argue with you and you know that,data/l2arctic/LXC/wav/arctic_a0386.wav,LXC,Chinese,F,i cant auwes you and you know that
bob growing disgusted turned back suddenly and attempted to pass mab,data/l2arctic/LXC/wav/arctic_a0387.wav,LXC,Chinese,F,bolp growing disgustate tarned back sudddenly and attemt to posmet
it was my idea a tee,data/l2arctic/LXC/wav/arctic_a0388.wav,LXC,Chinese,F,it was my idea athee
mab she said,data/l2arctic/LXC/wav/arctic_a0389.wav,LXC,Chinese,F,mad she sad
ill go over tomorrow afternoon,data/l2arctic/LXC/wav/arctic_a0390.wav,LXC,Chinese,F,i hill go ower tomorw afeinon
there is that magnificent bob eating his head off in the stable,data/l2arctic/LXC/wav/arctic_a0392.wav,LXC,Chinese,F,the aisthad magnificent boll eating his hat off ae yunlest stable
already he had begun borrowing from the banks,data/l2arctic/LXC/wav/arctic_a0393.wav,LXC,Chinese,F,lready he had began burrring fomathanks
its the strap hangers thatll keep us from going under,data/l2arctic/LXC/wav/arctic_a0394.wav,LXC,Chinese,F,its estraem hangres that weall kep es from going onder
as for himself werent the street railway earnings increasing steadily,data/l2arctic/LXC/wav/arctic_a0395.wav,LXC,Chinese,F,as for himself wand tod he street ralway onins increasing statily
a rising tide of fat had submerged them,data/l2arctic/LXC/wav/arctic_a0396.wav,LXC,Chinese,F,arising tip o fat haessupmurgedthom
call me that again he murmured ecstatically,data/l2arctic/LXC/wav/arctic_a0397.wav,LXC,Chinese,F,come that again he mumered exstaticlly
in the car were unwin and harrison while jones sat with the chauffeur,data/l2arctic/LXC/wav/arctic_a0398.wav,LXC,Chinese,F,in the cart wallony an the hirrisenwhil joons set wriseathharfur
and here is another idea,data/l2arctic/LXC/wav/arctic_a0399.wav,LXC,Chinese,F,and heaces  nirther idea
manuel had one besetting sin,data/l2arctic/LXC/wav/arctic_a0400.wav,LXC,Chinese,F,monou had wome besating thin
the man smiled grimly and brought a hatchet and a club,data/l2arctic/LXC/wav/arctic_a0401.wav,LXC,Chinese,F,the man smmeiled greamy and a brout a hachet and te cab
curly rushed her antagonist who struck again and leaped aside,data/l2arctic/LXC/wav/arctic_a0402.wav,LXC,Chinese,F,carlags rushed her an taggmisd hoostrunk again and lit aside
his newborn cunning gave him poise and control,data/l2arctic/LXC/wav/arctic_a0403.wav,LXC,Chinese,F,she is neol boryn cinding gie him poas and acontro
perrault found one with head buried in the grub box,data/l2arctic/LXC/wav/arctic_a0404.wav,LXC,Chinese,F,paro fonglongwies had burri in le gropbocs
it seemed the ordained order of things that dogs should work,data/l2arctic/LXC/wav/arctic_a0405.wav,LXC,Chinese,F,it seemtreautin autr of seams that darks shou walk
and that was the last of francois and perrault,data/l2arctic/LXC/wav/arctic_a0406.wav,LXC,Chinese,F,and that was e lost of franquies an the paro
mercedes screamed cried laughed and manifested the chaotic abandonment of hysteria,data/l2arctic/LXC/wav/arctic_a0407.wav,LXC,Chinese,F,mois sgreane crid loft an the manyfestatl cartac aponthe moon of hasteria
he could feel a new stir in the land,data/l2arctic/LXC/wav/arctic_a0409.wav,LXC,Chinese,F,hey could fill an yostal in the plan
so we have to fit the boat throughout with oil lamps as well,data/l2arctic/LXC/wav/arctic_a0410.wav,LXC,Chinese,F,so we have to feall ta bot sthrow out wiesh oil lems as weel
it will break our hearts and our backs to hoist anchor by hand,data/l2arctic/LXC/wav/arctic_a0411.wav,LXC,Chinese,F,it will brat our hrts an owr bakt tool hast aner by han
there is another virtue in these bulkheads,data/l2arctic/LXC/wav/arctic_a0412.wav,LXC,Chinese,F,ther is another vurtal in this bock hand
but im at the end of my resources,data/l2arctic/LXC/wav/arctic_a0413.wav,LXC,Chinese,F,bu im a to endofo my resources
now our figuring was all right,data/l2arctic/LXC/wav/arctic_a0414.wav,LXC,Chinese,F,now allthoue fiicering was al right
it lasted as a deterrent for two days,data/l2arctic/LXC/wav/arctic_a0415.wav,LXC,Chinese,F,it losdid as e determene for twodays
the added weight had a velocity of fifteen miles per hour,data/l2arctic/LXC/wav/arctic_a0416.wav,LXC,Chinese,F,the adde with haddove velosity oifteen miles for owuer
