transcription,path_to_audio,speaker_id,native_language,gender,whisper_small_transcriptions
he understood the meaning of the look,data/l2arctic/SKA/wav/arctic_b0054.wav,SKA,Arabic,F,he understood the meaning of the lock.!!!
there was no answer from the other side,data/l2arctic/SKA/wav/arctic_b0071.wav,SKA,Arabic,F,there was no answer from the other side.!!!
until i die he exclaimed,data/l2arctic/SKA/wav/arctic_b0088.wav,SKA,Arabic,F,until i die he exclaimed.
i know that you are in charge there and jeanne knows,data/l2arctic/SKA/wav/arctic_b0105.wav,SKA,Arabic,F,i know that you are in charge there and ginny knows.
philip saw macdougall soon after his short talk with thorpe,data/l2arctic/SKA/wav/arctic_b0122.wav,SKA,Arabic,F,philipso macdonald saw after his short talk with froh.
together they ate the rabbit,data/l2arctic/SKA/wav/arctic_b0139.wav,SKA,Arabic,F,"together, they ate the rabbit."
for that reason le beau had chosen him to fight the big fight,data/l2arctic/SKA/wav/arctic_b0156.wav,SKA,Arabic,F,"for that reason, labou had chosen him to fight the big fight."
to these he gave castor oil,data/l2arctic/SKA/wav/arctic_b0173.wav,SKA,Arabic,F,to these he gave castle ike.
idealism led him to philosophic anarchy and his family threw him off,data/l2arctic/SKA/wav/arctic_b0190.wav,SKA,Arabic,F,idealism led him to philosophic anoraki and his family threw him off.
im as good as a man she urged,data/l2arctic/SKA/wav/arctic_b0207.wav,SKA,Arabic,F,"as a good as a man, she urged."
but to culture the revolution thus far had exhausted the junta,data/l2arctic/SKA/wav/arctic_b0224.wav,SKA,Arabic,F,but to caricature the revolutions thus far had existed to junta.
the women they carried away with them to the big valley,data/l2arctic/SKA/wav/arctic_b0241.wav,SKA,Arabic,F,the women they carry away with them to their big valley.
you fired me out of your house in short,data/l2arctic/SKA/wav/arctic_b0258.wav,SKA,Arabic,F,you fired me out of your house in short.
but i did not enjoy it long,data/l2arctic/SKA/wav/arctic_b0275.wav,SKA,Arabic,F,but i did not enjoy it long.
the fire men wore animal skins around their waists and across their shoulders,data/l2arctic/SKA/wav/arctic_b0292.wav,SKA,Arabic,F,the firemen wear animal skins around their waist and across their shoulders.
nor was elam harnish an exception,data/l2arctic/SKA/wav/arctic_b0309.wav,SKA,Arabic,F,nor was alhamdulillah an exception.
our mister howison will call upon you at your hotel,data/l2arctic/SKA/wav/arctic_b0326.wav,SKA,Arabic,F,our mr. watson will call upon you at your hotel.
but how are you going to do it,data/l2arctic/SKA/wav/arctic_b0343.wav,SKA,Arabic,F,but how are you going to do it?
he may desire to escape pain or to enjoy pleasure,data/l2arctic/SKA/wav/arctic_b0413.wav,SKA,Arabic,F,he may decide to skip in or to enjoy the leisure.
the japanese understood as we could never school ourselves or hope to understand,data/l2arctic/SKA/wav/arctic_b0242.wav,SKA,Arabic,F,the japanese understood as we could never school ourselves or hope to understand.
they had been on the same lay as ourselves,data/l2arctic/SKA/wav/arctic_b0243.wav,SKA,Arabic,F,they had been on the same lay as ourselves.
you are positively soulless he said savagely,data/l2arctic/SKA/wav/arctic_b0244.wav,SKA,Arabic,F,"you are positively soulless,"" he said, zavishly."
harrison is still my chauffeur,data/l2arctic/SKA/wav/arctic_b0245.wav,SKA,Arabic,F,harrison's is a stan mychefoeur.
the boy grew and prospered,data/l2arctic/SKA/wav/arctic_b0246.wav,SKA,Arabic,F,the boy grow and grows bit.
he wanted to give the finish to this foe already so far gone,data/l2arctic/SKA/wav/arctic_b0247.wav,SKA,Arabic,F,i wanted to give the finish to this fold already so far gone.
exciting times are the lot of the fish patrol,data/l2arctic/SKA/wav/arctic_b0248.wav,SKA,Arabic,F,exciting times are a lot of the fish patrol.
i know they are my oysters,data/l2arctic/SKA/wav/arctic_b0249.wav,SKA,Arabic,F,i know they are my oysters.
by this time charley was as enraged as the greek,data/l2arctic/SKA/wav/arctic_b0250.wav,SKA,Arabic,F,by this time charlie was as enraged as a greek.
they must have been swept away by the chaotic currents,data/l2arctic/SKA/wav/arctic_b0251.wav,SKA,Arabic,F,they must have been swept away by the equivalent currents.
it resembled tea less than lager beer resembles champagne,data/l2arctic/SKA/wav/arctic_b0252.wav,SKA,Arabic,F,"it resembles a tea, lezzand, leger, beer, resembles a champagne."
the very opposite is true they are discouraged vagabonds,data/l2arctic/SKA/wav/arctic_b0253.wav,SKA,Arabic,F,"the very opposite is true, they are this carriage of vagabonds."
at the same time spears and arrows began to fall among the invaders,data/l2arctic/SKA/wav/arctic_b0254.wav,SKA,Arabic,F,"at the same time, spears and the rose began to fall among the invaders."
then again tudor had such an irritating way about him,data/l2arctic/SKA/wav/arctic_b0255.wav,SKA,Arabic,F,"then again, tudor had such an irritating way about him."
outwardly he maintained a calm and smiling aspect,data/l2arctic/SKA/wav/arctic_b0256.wav,SKA,Arabic,F,i would totally hate to maintain a kalmas-milling aspect.
tudor surveyed him with withering disgust,data/l2arctic/SKA/wav/arctic_b0257.wav,SKA,Arabic,F,to survey him with ring discussed.
her mouth opened but instead of speaking she drew a long sigh,data/l2arctic/SKA/wav/arctic_b0259.wav,SKA,Arabic,F,her mouth opened by instead of speaking he drew alongside.
its worth eight dollars,data/l2arctic/SKA/wav/arctic_b0260.wav,SKA,Arabic,F,towards eight dollars.
and he did hurt my arm,data/l2arctic/SKA/wav/arctic_b0261.wav,SKA,Arabic,F,and it hit and hurt my arm.
saxons onto her job,data/l2arctic/SKA/wav/arctic_b0262.wav,SKA,Arabic,F,saxon on to her job.
only once did i confide the strangeness of it all to another,data/l2arctic/SKA/wav/arctic_b0263.wav,SKA,Arabic,F,only once did i find the strangest of it all to another.
but this time it was saxon who rebelled,data/l2arctic/SKA/wav/arctic_b0264.wav,SKA,Arabic,F,but this time it was tax on holy world.
i was not to cry out in the face of fear,data/l2arctic/SKA/wav/arctic_b0265.wav,SKA,Arabic,F,i was not the cry out in the face of fear.
and now put yourself in my place for a moment,data/l2arctic/SKA/wav/arctic_b0266.wav,SKA,Arabic,F,and now put yourself in my place for a moment.
the boy threw back his head with pride,data/l2arctic/SKA/wav/arctic_b0267.wav,SKA,Arabic,F,"the boy threw it back, his head was bright."
saxon nodded and the boy frowned,data/l2arctic/SKA/wav/arctic_b0268.wav,SKA,Arabic,F,sex on nodded and the boy frowned.
why not like any railroad station or ferry depot,data/l2arctic/SKA/wav/arctic_b0269.wav,SKA,Arabic,F,why not like any reload station or fear the bot?
could throw stones with our feet,data/l2arctic/SKA/wav/arctic_b0270.wav,SKA,Arabic,F,control stones with our feet.
it was put together in a casual helter skelter sort of way,data/l2arctic/SKA/wav/arctic_b0271.wav,SKA,Arabic,F,it was both together in a casual health or skeleton store of hawaii.
these were merely stout sticks an inch or so in diameter,data/l2arctic/SKA/wav/arctic_b0272.wav,SKA,Arabic,F,"this will merely start, takes an inch or so in diameter."
then it was that a strange thing happened,data/l2arctic/SKA/wav/arctic_b0273.wav,SKA,Arabic,F,then it was that strange thing that happened.
from the source of light a harsh voice said,data/l2arctic/SKA/wav/arctic_b0274.wav,SKA,Arabic,F,"from the source of light, a harsh voice said."
we were now good friends,data/l2arctic/SKA/wav/arctic_b0276.wav,SKA,Arabic,F,we were now good friends.
two of the folk were already up,data/l2arctic/SKA/wav/arctic_b0277.wav,SKA,Arabic,F,to of the folk where already up.
now animals do not like mockery,data/l2arctic/SKA/wav/arctic_b0278.wav,SKA,Arabic,F,"now, animals do not like mercury."
he gave one last snarl and slid from view among the trees,data/l2arctic/SKA/wav/arctic_b0279.wav,SKA,Arabic,F,he gave one list now and fled from view among the trees.
again the girls applauded and missus hall cried,data/l2arctic/SKA/wav/arctic_b0280.wav,SKA,Arabic,F,"again, the girl is uploaded and misses hall's cry."
just the same id sooner be myself than have book indigestion,data/l2arctic/SKA/wav/arctic_b0281.wav,SKA,Arabic,F,"just as the same, i'd sooner be myself as than have booked in digestion."
some of the smaller veins had doubtless been ruptured,data/l2arctic/SKA/wav/arctic_b0282.wav,SKA,Arabic,F,some of the smaller veins and doubtless being ruptured.
but we were without this momentum,data/l2arctic/SKA/wav/arctic_b0283.wav,SKA,Arabic,F,but we were without this momentum.
there was one difficulty however,data/l2arctic/SKA/wav/arctic_b0284.wav,SKA,Arabic,F,"there was one difficulty, however,"
the hyena proceeded to dine,data/l2arctic/SKA/wav/arctic_b0285.wav,SKA,Arabic,F,the high enough will see the two dine.
the time was considered auspicious,data/l2arctic/SKA/wav/arctic_b0286.wav,SKA,Arabic,F,the time was considered as spacious.
or have they already devised one,data/l2arctic/SKA/wav/arctic_b0287.wav,SKA,Arabic,F,or have the already devised one.
we would not spend another such night,data/l2arctic/SKA/wav/arctic_b0288.wav,SKA,Arabic,F,we would not spend another such time.
at first his progress was slow and erratic,data/l2arctic/SKA/wav/arctic_b0289.wav,SKA,Arabic,F,at first his progress was slow and erratic.
he placed his paw on one and its movements were accelerated,data/l2arctic/SKA/wav/arctic_b0290.wav,SKA,Arabic,F,he blazed his bull on one and its movements were accelerated.
the awe of man rushed over him again,data/l2arctic/SKA/wav/arctic_b0291.wav,SKA,Arabic,F,the oath man rushed over him again.
between him and all domestic animals there must be no hostilities,data/l2arctic/SKA/wav/arctic_b0293.wav,SKA,Arabic,F,between him and all domestic animals there must be no hostilities.
for a much longer time lop ear and i remained and watched,data/l2arctic/SKA/wav/arctic_b0294.wav,SKA,Arabic,F,"for a much longer time, love here and i remind and watch it."
all right sir replied jock with great regret,data/l2arctic/SKA/wav/arctic_b0295.wav,SKA,Arabic,F,all rights reserved. a blind joke was greatly good.
at times i wondered where sir archibald got his style,data/l2arctic/SKA/wav/arctic_b0296.wav,SKA,Arabic,F,"at times, i wondered where sir archibald got his style."
why should a fellow throw up the sponge after the first round,data/l2arctic/SKA/wav/arctic_b0297.wav,SKA,Arabic,F,why should a foal of throw up the sponge after the first round?
his hand shot out and clutched crooked leg by the neck,data/l2arctic/SKA/wav/arctic_b0298.wav,SKA,Arabic,F,his hands shout out and the crutchled crowd leg by his own neck.
miss brodies smile was slightly sarcastic,data/l2arctic/SKA/wav/arctic_b0299.wav,SKA,Arabic,F,miss prodigy's smile was slightly sarcastic.
does the old boy often go off at half cock that way,data/l2arctic/SKA/wav/arctic_b0300.wav,SKA,Arabic,F,does the old boy often go off at half cook that way?
a flying arrow passed between us,data/l2arctic/SKA/wav/arctic_b0301.wav,SKA,Arabic,F,of flying in aerobats between us.
i pulled suddenly with all my might,data/l2arctic/SKA/wav/arctic_b0302.wav,SKA,Arabic,F,i thought suddenly was on my mind.
here we allow our solicitors to look after our legal work,data/l2arctic/SKA/wav/arctic_b0303.wav,SKA,Arabic,F,here we allow our solicitor to look after our legal work.
his previous wives have never lived long enough to bear him children,data/l2arctic/SKA/wav/arctic_b0304.wav,SKA,Arabic,F,his previous wives have never lived long enough to bear him children.
it was our river emerging like ourselves from the great swamp,data/l2arctic/SKA/wav/arctic_b0305.wav,SKA,Arabic,F,with our river emerging like ourselves from the great swamp.
cameron looked at his hands with their long sinewy fingers,data/l2arctic/SKA/wav/arctic_b0306.wav,SKA,Arabic,F,"cameron logged at his hand with his long, scenery fingers."
we got few vegetables and fruits and became fish eaters,data/l2arctic/SKA/wav/arctic_b0307.wav,SKA,Arabic,F,we got few vegetables and fruits and became fish eaters.
we never made another migration,data/l2arctic/SKA/wav/arctic_b0308.wav,SKA,Arabic,F,we never made another migration.
a little treatment massage with some help from the doctor,data/l2arctic/SKA/wav/arctic_b0310.wav,SKA,Arabic,F,a little treatment massage with some help from the doctor.
the twenty ninth very foggy,data/l2arctic/SKA/wav/arctic_b0311.wav,SKA,Arabic,F,the 29th is fairly foggy.
dig in youre sure good was daylights answer,data/l2arctic/SKA/wav/arctic_b0312.wav,SKA,Arabic,F,"again, you are sure good with the light's answer."
the apron string loomed near he and he shied like an unbroken colt,data/l2arctic/SKA/wav/arctic_b0313.wav,SKA,Arabic,F,the apron string longed near he and his sheet-like and broken clothe.
he had been born with this endowment,data/l2arctic/SKA/wav/arctic_b0314.wav,SKA,Arabic,F,he had been born with this in the man.
and this was their sole conversation throughout the meal,data/l2arctic/SKA/wav/arctic_b0315.wav,SKA,Arabic,F,and this was their sole conversation throughout the meal.
though the aurora still flamed another day had begun,data/l2arctic/SKA/wav/arctic_b0316.wav,SKA,Arabic,F,though the roller still flound another day had begun.
he did not believe in the burning of the daylight for such a luxury,data/l2arctic/SKA/wav/arctic_b0317.wav,SKA,Arabic,F,he did not believe in the burning of the daylight for such a luxury.
again he had done the big thing,data/l2arctic/SKA/wav/arctic_b0318.wav,SKA,Arabic,F,"again, he had done the big thing."
daylight was tired profoundly tired,data/l2arctic/SKA/wav/arctic_b0319.wav,SKA,Arabic,F,"the light was dead, profoundly tired."
the regret in his voice was provocative of a second burst of laughter,data/l2arctic/SKA/wav/arctic_b0320.wav,SKA,Arabic,F,the regret in his voice was provoked of a second burst of laughter.
instead he arrived on the night of the second day,data/l2arctic/SKA/wav/arctic_b0321.wav,SKA,Arabic,F,instead he arrived on the night of the second day.
their supply of grub was gone,data/l2arctic/SKA/wav/arctic_b0322.wav,SKA,Arabic,F,there's a life grab was gone.
crickets began to chirp and more geese and ducks flew overhead,data/l2arctic/SKA/wav/arctic_b0323.wav,SKA,Arabic,F,critics began to strip and more greeks and ducks flow overhead.
not till the twentieth of may did the river break,data/l2arctic/SKA/wav/arctic_b0324.wav,SKA,Arabic,F,"now, till the 20th of may, did the river break."
it was a gigantic inadequacy,data/l2arctic/SKA/wav/arctic_b0325.wav,SKA,Arabic,F,it was a gigantic and equidixy.!!!
he had been so easy,data/l2arctic/SKA/wav/arctic_b0327.wav,SKA,Arabic,F,it had been so easy.!!!
change chairs daylight commanded,data/l2arctic/SKA/wav/arctic_b0328.wav,SKA,Arabic,F,"change shares, daylight command.!!!"
id sooner have my chips back,data/l2arctic/SKA/wav/arctic_b0329.wav,SKA,Arabic,F,i do not have my chips back.!!!
they only had a little thirty thousand dollar fire,data/l2arctic/SKA/wav/arctic_b0330.wav,SKA,Arabic,F,"they only had a little $30,000 file.!!!"
his partners had starved and died on the stewart,data/l2arctic/SKA/wav/arctic_b0331.wav,SKA,Arabic,F,his parson had started and died on the steward.!!!
as to how she dressed he had no ideas at all,data/l2arctic/SKA/wav/arctic_b0332.wav,SKA,Arabic,F,as to how she dressed he had no ideas at all.!!!
it does was her audacious answer,data/l2arctic/SKA/wav/arctic_b0333.wav,SKA,Arabic,F,it does was her auditions answer.!!!
oh its just a novel a love story,data/l2arctic/SKA/wav/arctic_b0334.wav,SKA,Arabic,F,"oh, it's just a novel. i love the story.!!!"
whoever lived on the ranch did that,data/l2arctic/SKA/wav/arctic_b0335.wav,SKA,Arabic,F,who ever lived on the ranch did it.!!!
how old are you mother,data/l2arctic/SKA/wav/arctic_b0336.wav,SKA,Arabic,F,how old are you mother?!!!
here he got a fresh thrill,data/l2arctic/SKA/wav/arctic_b0337.wav,SKA,Arabic,F,here he got a phrase through.!!!
it was unobtrusive yet it was there,data/l2arctic/SKA/wav/arctic_b0338.wav,SKA,Arabic,F,"it was anubis rose, it was there.!!!"
well ill be plumb gosh darned,data/l2arctic/SKA/wav/arctic_b0339.wav,SKA,Arabic,F,"well, i will be blam gosh darn it.!!!"
these quick little joys of hers were sources of joy to him,data/l2arctic/SKA/wav/arctic_b0340.wav,SKA,Arabic,F,these quick little joys of his were sorts of joy to him.!!!
i play that choice wide open to win,data/l2arctic/SKA/wav/arctic_b0341.wav,SKA,Arabic,F,i blaze the trace white of an toen.!!!
each improvement makes the value of everything else pump up,data/l2arctic/SKA/wav/arctic_b0342.wav,SKA,Arabic,F,each improvement makes the value of everything else a bomb up.!!!
lots of men take women buggy riding,data/l2arctic/SKA/wav/arctic_b0344.wav,SKA,Arabic,F,lots of men take women buggy riding.!!!
daylight made no answer and the door closed behind him,data/l2arctic/SKA/wav/arctic_b0345.wav,SKA,Arabic,F,the light made no answer and the door closed behind the hem.!!!
theres not an iota of truth in it,data/l2arctic/SKA/wav/arctic_b0346.wav,SKA,Arabic,F,this is not an aorta of throse senate.!!!
but ever his gaze returned to that crouched venus on the piano,data/l2arctic/SKA/wav/arctic_b0347.wav,SKA,Arabic,F,but ever his gaze turned to that cursed venus on the piano.!!!
would you be satisfied with that one hundredth part of me,data/l2arctic/SKA/wav/arctic_b0348.wav,SKA,Arabic,F,would you be satisfied with that 100th part of me?!!!
in such a tumbling of values was no time to sell,data/l2arctic/SKA/wav/arctic_b0349.wav,SKA,Arabic,F,in such a tumbling of virus was no time to settle.!!!
stand off butcher and baker and all the rest,data/l2arctic/SKA/wav/arctic_b0350.wav,SKA,Arabic,F,standoff virtual and baker and all the rest.!!!
matthewson whos this bookkeeper rogers,data/l2arctic/SKA/wav/arctic_b0351.wav,SKA,Arabic,F,make some holes with the bookkeeper.!!!
now just what do you want to know,data/l2arctic/SKA/wav/arctic_b0352.wav,SKA,Arabic,F,now just what do you want to know?!!!
i want to know how all this is possible,data/l2arctic/SKA/wav/arctic_b0353.wav,SKA,Arabic,F,i want to know how all this is possible.!!!
its that much junk,data/l2arctic/SKA/wav/arctic_b0354.wav,SKA,Arabic,F,it's exactly my shock.!!!
there was proper division of labor in the work they individually performed,data/l2arctic/SKA/wav/arctic_b0355.wav,SKA,Arabic,F,there was probably division of labor in the work they individually performed.!!!
he loved to play chinese lottery,data/l2arctic/SKA/wav/arctic_b0356.wav,SKA,Arabic,F,he loved to play chinese lottery.!!!
the law of club and fang,data/l2arctic/SKA/wav/arctic_b0357.wav,SKA,Arabic,F,the law of climate change.!!!
the temperature dropped to fifty below zero and remained there the whole trip,data/l2arctic/SKA/wav/arctic_b0358.wav,SKA,Arabic,F,the temperature dropped to 50-00 and remained there the whole trip.!!!
any average young fellow can teach himself in a week,data/l2arctic/SKA/wav/arctic_b0367.wav,SKA,Arabic,F,any average young vlog can teach himself in a week.
it is a very tenable hypothesis and will bear looking into,data/l2arctic/SKA/wav/arctic_b0424.wav,SKA,Arabic,F,it is a very turnable high boceces and will be your locking end.
there were orange green gold green and a copper green,data/l2arctic/SKA/wav/arctic_b0425.wav,SKA,Arabic,F,"there will be orange green, gold green and the cover green."
the history of our westward faring race is written in it,data/l2arctic/SKA/wav/arctic_b0428.wav,SKA,Arabic,F,the history of our waste-waded feeling in greece is written in it.
he is a candidate rising from the serf class to our class,data/l2arctic/SKA/wav/arctic_b0432.wav,SKA,Arabic,F,he is a candidate raising from the self-class to our class.
we are cooking on the coal stove and on the oil burners,data/l2arctic/SKA/wav/arctic_b0433.wav,SKA,Arabic,F,we are cooking on the coal stove and on the oil burners.
the steward has just tendered me a respectful bit of advice,data/l2arctic/SKA/wav/arctic_b0434.wav,SKA,Arabic,F,the steward has just and under the me respectable bit of advice.
they ran the canoe in and climbed the high earth bank,data/l2arctic/SKA/wav/arctic_b0438.wav,SKA,Arabic,F,they run the canoe in and climb with the high-air sub-bank.
he did not know what went on in the minds of his superiors,data/l2arctic/SKA/wav/arctic_b0444.wav,SKA,Arabic,F,he did not know what went on in the minds of his spurs.
they saw each other for the first time in boston,data/l2arctic/SKA/wav/arctic_b0452.wav,SKA,Arabic,F,they saw each other for the first time and bestowed.
his reward should have been peace and repose,data/l2arctic/SKA/wav/arctic_b0455.wav,SKA,Arabic,F,his reward should have been peace and repose.
by virtue of that power we shall remain in power,data/l2arctic/SKA/wav/arctic_b0461.wav,SKA,Arabic,F,"by virtue of that power, we shall remain in power."
very few people knew of the existence of this law,data/l2arctic/SKA/wav/arctic_b0469.wav,SKA,Arabic,F,very few people know of the existence of this law.
what an excited whispering and conferring took place,data/l2arctic/SKA/wav/arctic_b0490.wav,SKA,Arabic,F,what an exciting whispering and conferring took place.
thus he turned the tenets and jargon of psychology back on me,data/l2arctic/SKA/wav/arctic_b0492.wav,SKA,Arabic,F,thus he turned the tennis and jargon of psychology back on me.
never so strange a prophet came up to jerusalem,data/l2arctic/SKA/wav/arctic_b0494.wav,SKA,Arabic,F,never so strange a profit came up to jerusalem.
we who have endured so much surely can endure a little more,data/l2arctic/SKA/wav/arctic_b0495.wav,SKA,Arabic,F,we who have endured so much surely can endure a little more.
the scents of strange vegetation blew off the tropic land,data/l2arctic/SKA/wav/arctic_b0503.wav,SKA,Arabic,F,the sense of strange vegetations below off the tropic land.
the life there was healthful and athletic but too juvenile,data/l2arctic/SKA/wav/arctic_b0504.wav,SKA,Arabic,F,the life there was healthful and athletic but too juvenile.
it would help to tide me along until i got steady employment,data/l2arctic/SKA/wav/arctic_b0506.wav,SKA,Arabic,F,it would help to tide me along until i got a steady employment.
but there was also talk of witchcraft in the village,data/l2arctic/SKA/wav/arctic_b0518.wav,SKA,Arabic,F,but there was also talk of witchcraft in the village.
ill tell you the librarian said with a brightening face,data/l2arctic/SKA/wav/arctic_b0534.wav,SKA,Arabic,F,i'll still use the library on set with a bright ring face.
at the best they were necessary accessories,data/l2arctic/SKA/wav/arctic_b0538.wav,SKA,Arabic,F,as best they would necessarily access it.
author of the danger trail philip steels etc,data/l2arctic/YBAA/wav/arctic_a0001.wav,YBAA,Arabic,M,"author of the danger trail, philb steels etc."
not at this particular case tom apologized whittemore,data/l2arctic/YBAA/wav/arctic_a0002.wav,YBAA,Arabic,M,not add this particular case to apologize with more.
for the twentieth time that evening the two men shook hands,data/l2arctic/YBAA/wav/arctic_a0003.wav,YBAA,Arabic,M,for the twentieth time that evening the two men shook hands.
lord but im glad to see you again phil,data/l2arctic/YBAA/wav/arctic_a0004.wav,YBAA,Arabic,M,"lord, but i'm glad to see you again, phil."
will we ever forget it,data/l2arctic/YBAA/wav/arctic_a0005.wav,YBAA,Arabic,M,will we ever forget it?
god bless em i hope ill go on seeing them forever,data/l2arctic/YBAA/wav/arctic_a0006.wav,YBAA,Arabic,M,god bless em. i hope i'll go on seeing them forever.
and you always want to see it in the superlative degree,data/l2arctic/YBAA/wav/arctic_a0007.wav,YBAA,Arabic,M,and you always want to see it in this super relative degree.
gad your letter came just in time,data/l2arctic/YBAA/wav/arctic_a0008.wav,YBAA,Arabic,M,"god, your litter came just in time."
he turned sharply and faced gregson across the table,data/l2arctic/YBAA/wav/arctic_a0009.wav,YBAA,Arabic,M,he turned sharply and faced gregson across the table.
im playing a single hand in what looks like a losing game,data/l2arctic/YBAA/wav/arctic_a0010.wav,YBAA,Arabic,M,i'm playing a single hand in what looks like a losing game.
if i ever needed a fighter in my life i need one now,data/l2arctic/YBAA/wav/arctic_a0011.wav,YBAA,Arabic,M,"if i ever needed a fighter in my life, i need one now."
gregson shoved back his chair and rose to his feet,data/l2arctic/YBAA/wav/arctic_a0012.wav,YBAA,Arabic,M,griggson shoved back his chair and rose to his feet.
he was a head shorter than his companion of almost delicate physique,data/l2arctic/YBAA/wav/arctic_a0013.wav,YBAA,Arabic,M,he was a head shorter than his companion of almost delicate physique.
now youre coming down to business phil he exclaimed,data/l2arctic/YBAA/wav/arctic_a0014.wav,YBAA,Arabic,M,"now you are coming down to business. phil, he exclaimed."
its the aurora borealis,data/l2arctic/YBAA/wav/arctic_a0015.wav,YBAA,Arabic,M,it's the aurora porealis.
theres fort churchill a rifle shot beyond the ridge asleep,data/l2arctic/YBAA/wav/arctic_a0016.wav,YBAA,Arabic,M,"there's 4 churchill, a riffle shot beyond the bridge asleep."
there was a change now,data/l2arctic/YBAA/wav/arctic_a0018.wav,YBAA,Arabic,M,there was a change now.
i followed the line of the proposed railroad looking for chances,data/l2arctic/YBAA/wav/arctic_a0019.wav,YBAA,Arabic,M,i followed the line of the proposed railroad looking for chances.
clubs and balls and cities grew to be only memories,data/l2arctic/YBAA/wav/arctic_a0020.wav,YBAA,Arabic,M,clubs and balls and cities grew to be only memories.
it fairly clubbed me into recognizing it,data/l2arctic/YBAA/wav/arctic_a0021.wav,YBAA,Arabic,M,it fairly clubbed me into recognizing it.
hardly were our plans made public before we were met by powerful opposition,data/l2arctic/YBAA/wav/arctic_a0022.wav,YBAA,Arabic,M,hardly were our plans made public before we were met by powerful opposition.
a combination of canadian capital quickly organized and petitioned for the same privileges,data/l2arctic/YBAA/wav/arctic_a0023.wav,YBAA,Arabic,M,a combination of canadian capital quickly organized and petitioned for the same privileges.
it was my reports from the north which chiefly induced people to buy,data/l2arctic/YBAA/wav/arctic_a0024.wav,YBAA,Arabic,M,it was my reports from the north which chiefly induced people to buy.
i was about to do this when cooler judgment prevailed,data/l2arctic/YBAA/wav/arctic_a0025.wav,YBAA,Arabic,M,i was about to do this when cooler judgement prevailed.
it occurred to me that there would have to be an accounting,data/l2arctic/YBAA/wav/arctic_a0026.wav,YBAA,Arabic,M,it occurred to me that there would have to be an accounting.
to my surprise he began to show actual enthusiasm in my favor,data/l2arctic/YBAA/wav/arctic_a0027.wav,YBAA,Arabic,M,"to my surprise, he began to show actual enthusiasm in my favor."
robbery bribery fraud,data/l2arctic/YBAA/wav/arctic_a0028.wav,YBAA,Arabic,M,"rubbery, prypery, fruit."
their forces were already moving into the north country,data/l2arctic/YBAA/wav/arctic_a0029.wav,YBAA,Arabic,M,their forces were already moving into the north country.
i had faith in them,data/l2arctic/YBAA/wav/arctic_a0030.wav,YBAA,Arabic,M,i had faith in them.
they were three hundred yards apart,data/l2arctic/YBAA/wav/arctic_a0031.wav,YBAA,Arabic,M,they were 300 yards apart.
since then some mysterious force has been fighting us at every step,data/l2arctic/YBAA/wav/arctic_a0032.wav,YBAA,Arabic,M,"since then, some mysterious force has been fighting us at every step."
he unfolded a long typewritten letter and handed it to gregson,data/l2arctic/YBAA/wav/arctic_a0033.wav,YBAA,Arabic,M,"he unfolded a long, tibrethane letter and handed it to gregson."
he stopped and philip nodded at the horrified question in his eyes,data/l2arctic/YBAA/wav/arctic_a0035.wav,YBAA,Arabic,M,he stopped and philip nodded at the horrified question in his eyes.
she turned in at the hotel,data/l2arctic/YBAA/wav/arctic_a0036.wav,YBAA,Arabic,M,she turned in at the hotel.
i was the only one who remained sitting,data/l2arctic/YBAA/wav/arctic_a0037.wav,YBAA,Arabic,M,i was the only one who remained sitting.
well have to watch our chances,data/l2arctic/YBAA/wav/arctic_a0038.wav,YBAA,Arabic,M,we'll have to watch our chances.
the ship should be in within a week or ten days,data/l2arctic/YBAA/wav/arctic_a0039.wav,YBAA,Arabic,M,the ship should be in within a week or 10 days.
i suppose you wonder why she is coming up here,data/l2arctic/YBAA/wav/arctic_a0040.wav,YBAA,Arabic,M,i suppose you wonder why she is coming up here.
meanwhile ill go out to breathe a spell,data/l2arctic/YBAA/wav/arctic_a0041.wav,YBAA,Arabic,M,"meanwhile, i'll go out to breathe a spill."
how could he explain his possession of the sketch,data/l2arctic/YBAA/wav/arctic_a0042.wav,YBAA,Arabic,M,how could he explain his position of the sketch?
it seemed nearer to him since he had seen and talked with gregson,data/l2arctic/YBAA/wav/arctic_a0043.wav,YBAA,Arabic,M,it seemed near to him since he had seen and talked with gryxon.
her own betrayal of herself was like tonic to philip,data/l2arctic/YBAA/wav/arctic_a0044.wav,YBAA,Arabic,M,her own material of herself was like tonic to philip.!!!
he moved away as quietly as he had come,data/l2arctic/YBAA/wav/arctic_a0045.wav,YBAA,Arabic,M,he moved away as quietly as he had come.!!!
the girl faced him her eyes shining with sudden fear,data/l2arctic/YBAA/wav/arctic_a0046.wav,YBAA,Arabic,M,"the girl faced him, her eyes shining with sudden fear.!!!"
close beside him gleamed the white fangs of the wolf dog,data/l2arctic/YBAA/wav/arctic_a0047.wav,YBAA,Arabic,M,close beside him gleamed the white fangs of the wolf dog.!!!
he looked at the handkerchief more closely,data/l2arctic/YBAA/wav/arctic_a0048.wav,YBAA,Arabic,M,he looked at the hand kerchief more closely.!!!
gregson was asleep when he reentered the cabin,data/l2arctic/YBAA/wav/arctic_a0049.wav,YBAA,Arabic,M,gregson was asleep when he re-entered the cabin.!!!
